,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:4xWzZmX4K1yyrdtRfbUvjt,Niack,Oh Juliana,Niack,1,1,32,863840,4xWzZmX4K1yyrdtRfbUvjt,0.9811,0.01,0.945,0.046
1,2,spotify:track:15k1TDabqSEmyXOwMq9RM7,Jonas Esticado,Investe Em Mim,Som Livre,2,3,44,617975,15k1TDabqSEmyXOwMq9RM7,0.0,0.0,1.0,0.0
2,3,spotify:track:4zGtfOglDBfVUypabBwIjQ,"Mc Zaac, Anitta, Tyga",Desce Pro Play (PA PA PA),Universal Music Ltda.,1,2,45,593034,4zGtfOglDBfVUypabBwIjQ,-0.918,0.049,0.935,0.016
3,4,spotify:track:7o9LwQmTuIDm4LyyHFIWul,Henrique & Juliano,Volta Por Baixo - Ao Vivo,Virgin Music Label And Artist Services (S&D),2,5,213,529252,7o9LwQmTuIDm4LyyHFIWul,0.9798,0.0,0.907,0.093
4,5,spotify:track:0AGS6ZRgzobrazmCi6pYMe,Niack,Na Raba Toma Tapão,Niack / Ritmo dos Fluxos,1,4,87,507685,0AGS6ZRgzobrazmCi6pYMe,-0.8126,0.032,0.957,0.011
5,6,spotify:track:0RaIjuKU5hudMteEXwr4RS,Jorge & Mateus,Ranking,Som Livre,4,6,157,504517,0RaIjuKU5hudMteEXwr4RS,-0.89,0.045,0.955,0.0
6,7,spotify:track:3WjSkl7VDWY1prwJw7dSG0,Zé Neto & Cristiano,Barzinho Aleatório - Ao Vivo,Som Livre,7,7,248,494083,3WjSkl7VDWY1prwJw7dSG0,-0.5267,0.021,0.979,0.0
7,8,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,3,9,213,461451,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
8,9,spotify:track:3tv697PZNnaQN0Mn2zGhS5,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,Sony Music Entertainment,1,16,248,443545,3tv697PZNnaQN0Mn2zGhS5,0.9946,0.029,0.823,0.148
9,10,spotify:track:4DngRKOpRPrkbzImUB0zgh,Matheus & Kauan,Litrão - Ao Vivo Em Recife / 2020,Universal Music Ltda.,2,11,192,437798,4DngRKOpRPrkbzImUB0zgh,-0.7989,0.029,0.971,0.0
10,11,spotify:track:3Ghyp3X5Ua9ypHnBIgOObI,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,Virgin Music Label And Artist Services (S&D),1,18,248,426406,3Ghyp3X5Ua9ypHnBIgOObI,-0.6808,0.023,0.977,0.0
11,12,spotify:track:4zsiMjB0794HztyqUkD3Zi,"Dilsinho, Henrique & Juliano",Sogra - Ao Vivo,Sony Music Entertainment,12,13,63,423543,4zsiMjB0794HztyqUkD3Zi,0.0,0.0,1.0,0.0
12,13,spotify:track:51uXmhqGR76tT2UeKZyeN6,"Marília Mendonça, Maiara & Maraisa",Quero Você do Jeito Que Quiser,Som Livre,12,12,31,421486,51uXmhqGR76tT2UeKZyeN6,0.9186,0.0,0.96,0.04
13,14,spotify:track:2fmeSswdyVq4wcqhY41UHk,"Pineapple StormTv, L7NNON, Chris MC, Xamã, Lourena, Cesar Mc, Djonga, Filipe Ret, Salve Malak, Hunter",Poesia Acústica #9: Melhor Forma,Pineapple StormTV,2,8,30,416056,2fmeSswdyVq4wcqhY41UHk,0.0,0.0,1.0,0.0
14,15,spotify:track:260n4ECk9j4IEvTAVBYojl,Matheus & Kauan,Nem Doeu - Ao Vivo,Universal Music Ltda.,15,17,73,409219,260n4ECk9j4IEvTAVBYojl,-0.5267,0.015,0.985,0.0
15,16,spotify:track:3J5Pu25BODMex4Jpy4l6FL,"Luíza & Maurílio, Zé Neto & Cristiano",S de Saudade,Som Livre,6,20,283,405604,3J5Pu25BODMex4Jpy4l6FL,0.0,0.0,1.0,0.0
16,17,spotify:track:5GAdMAL3tRJkVN1HtwohK2,"Mc Don Juan, Maiara & Maraisa",Vai Ter Que Aguentar,GR6 Music,6,10,70,384518,5GAdMAL3tRJkVN1HtwohK2,-0.9355,0.051,0.949,0.0
17,18,spotify:track:12v6LfkX9YIR3uLefIAAYZ,Mc Jacaré,Comprei um Lança,Mc Jacare / Los Pantchos,11,14,48,383498,12v6LfkX9YIR3uLefIAAYZ,-0.8807,0.041,0.959,0.0
18,19,spotify:track:08Sd5vVcIH3uKeAiaJdoYj,Lauana Prado,Viva Voz - Ao Vivo Em São Paulo / 2019,Universal Music Ltda.,15,21,157,382202,08Sd5vVcIH3uKeAiaJdoYj,0.8625,0.038,0.858,0.104
19,20,spotify:track:67mqU3FeErlvWwsxnMfvQo,"MC Du Black, Delacruz",Tudo Aconteceu,Universal Music Ltda.,3,15,137,365462,67mqU3FeErlvWwsxnMfvQo,-0.9413,0.05,0.95,0.0
20,21,spotify:track:3056x1XkmICnQmji68rrft,"Murilo Huff, Henrique & Juliano",Desejando Eu (Ao Vivo),Artinvox,21,25,80,361034,3056x1XkmICnQmji68rrft,0.0,0.0,1.0,0.0
21,22,spotify:track:3dPvQLKl42dMYWV4LWRTLK,Os Barões Da Pisadinha,Tá Rocheda,Sony Music Entertainment,22,30,166,358472,3dPvQLKl42dMYWV4LWRTLK,-0.7959,0.036,0.964,0.0
22,23,spotify:track:60wF0XnX7A0jVpDNA5v8vi,"Vytinho NG, Bianca",Tudo no Sigilo,Vytinho Ng,3,19,145,356304,60wF0XnX7A0jVpDNA5v8vi,-0.8642,0.03,0.97,0.0
23,24,spotify:track:4j2bK4fnc2s6GyVmhJsJhk,Henrique & Juliano,Briga Feia - Ao Vivo,Virgin Music Label And Artist Services (S&D),21,29,241,343606,4j2bK4fnc2s6GyVmhJsJhk,-0.5267,0.018,0.982,0.0
24,25,spotify:track:0SJtvFn4vqgJPscSbEPaql,"Maiara & Maraisa, Dilsinho",Libera Ela - Ao Vivo,Som Livre,16,28,115,340665,0SJtvFn4vqgJPscSbEPaql,0.958,0.0,0.939,0.061
25,26,spotify:track:5LpLYzpV0HWKI2DlPmNywg,"Wesley Safadão, Zé Neto & Cristiano",Despedida - Ao Vivo,Som Livre,15,27,129,340617,5LpLYzpV0HWKI2DlPmNywg,-0.9388,0.049,0.951,0.0
26,27,spotify:track:7Ac3BmqTQoLdAt7HtZyfgN,"DENNIS, Mc Don Juan",Te Prometo,Sony Music Entertainment,8,22,184,339845,7Ac3BmqTQoLdAt7HtZyfgN,-0.9874,0.021,0.965,0.013
27,28,spotify:track:6jcGoHrqfRW6fI2I6xtwBQ,MC Marks,Deus é por nós,WM Brazil,14,24,56,329526,6jcGoHrqfRW6fI2I6xtwBQ,-0.5267,0.01,0.99,0.0
28,29,spotify:track:2ptHQBO7TQhEkXOeK9ST59,"Grupo Menos É Mais, Di Propósito, Vou Zuar",Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,Som Livre,29,31,68,324318,2ptHQBO7TQhEkXOeK9ST59,0.0,0.0,1.0,0.0
29,30,spotify:track:25gD4PQjxCLnwIY2n23aEl,"Vitão, Luísa Sonza",Flores,Universal Music Ltda.,2,23,59,318679,25gD4PQjxCLnwIY2n23aEl,-0.5267,0.013,0.987,0.0
30,31,spotify:track:23zmMwD99ROi9yhxqMxWil,"João Bosco & Vinicius, Matheus",Segunda Taça - Ao Vivo,João Bosco & Vinicius,19,32,171,311496,23zmMwD99ROi9yhxqMxWil,0.0,0.0,1.0,0.0
31,32,spotify:track:71FrGl0XcpL3VId65tB5mg,Os Barões Da Pisadinha,Recairei - Ao Vivo,Sony Music Entertainment,32,37,88,310750,71FrGl0XcpL3VId65tB5mg,0.8555,0.0,0.898,0.102
32,33,spotify:track:2WlZuBDgLfT7Kc0admhFdg,Luísa Sonza,BRABA,Universal Music Ltda.,1,26,145,310349,2WlZuBDgLfT7Kc0admhFdg,-0.5267,0.017,0.983,0.0
33,34,spotify:track:2PWjKmjyTZeDpmOUa3a5da,Jorge & Mateus,Cheirosa - Ao Vivo,Som Livre,3,38,304,308662,2PWjKmjyTZeDpmOUa3a5da,-0.5267,0.02,0.98,0.0
34,35,spotify:track:1GWUiFYLYEapxYHnASyOud,Wesley Safadão,Não Valeu,Som Livre,33,33,87,304070,1GWUiFYLYEapxYHnASyOud,-0.9905,0.126,0.874,0.0
35,36,spotify:track:6NM06xgqxQ0HU5lxbt2JHi,Gusttavo Lima,Saudade Sua,Sony Music Entertainment,2,36,87,301530,6NM06xgqxQ0HU5lxbt2JHi,-0.4871,0.012,0.988,0.0
36,37,spotify:track:3oe0vGmQxem3DcarYMuzu1,Felipe Araújo,Mentira - Ao Vivo,Universal Music Ltda.,11,40,251,288016,3oe0vGmQxem3DcarYMuzu1,0.0,0.0,1.0,0.0
37,38,spotify:track:59CnMc5PR9GdDFEVOpHSg9,"Dj W-Beatz, Ventura, Mc Rennan, MC Bruna Alves, MC BN, MC Rick","Rave do Papa - Deluxe (feat. Mc Rennan, MC Bruna Alves, MC BN & MC Rick) - Remix",Tratto Entretenimentos,33,34,59,266212,59CnMc5PR9GdDFEVOpHSg9,0.0,0.0,1.0,0.0
38,39,spotify:track:28atBekPVlTdnU4M9Z7udd,"Dilsinho, Luísa Sonza, Malibu",Não Vai Embora,Malibu Studios,23,35,94,265112,28atBekPVlTdnU4M9Z7udd,-0.8105,0.02,0.98,0.0
39,40,spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF,Gustavo Mioto,Com Ou Sem Mim - Ao Vivo,Universal Music Ltda.,5,46,262,264775,5L8ZEyIdZ2KE4Wf51SsuOF,0.8541,0.0,0.963,0.037
40,41,spotify:track:01mKvmXQLhr3MEoiAEAcP2,"Rennan da Penha, MC 2jhow",Talarica,Sony Music Entertainment,36,39,17,261262,01mKvmXQLhr3MEoiAEAcP2,-0.8807,0.04,0.96,0.0
41,42,spotify:track:2Ou6UYuUbNyqwXxRDSeFRf,Maiara & Maraisa,Aí Eu Bebo - Ao Vivo,Som Livre,13,49,297,260256,2Ou6UYuUbNyqwXxRDSeFRf,0.0,0.0,1.0,0.0
42,43,spotify:track:0GrEqRHf5FioT1hOB8PBxZ,Marília Mendonça,Vira Homem,Som Livre,22,45,101,259960,0GrEqRHf5FioT1hOB8PBxZ,0.6808,0.009,0.954,0.037
43,44,spotify:track:48CAeajgzcGJaVUSsXd7h0,"Guilherme & Benuto, Israel & Rodolffo",Declaração pro Bar - Ao Vivo,Sony Music Entertainment,43,50,176,254584,48CAeajgzcGJaVUSsXd7h0,0.6124,0.0,0.977,0.023
44,45,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,21,41,180,247247,6UelLqGlWMcVH1E5c4H7lY,0.9584,0.0,0.912,0.088
45,46,spotify:track:1uryupl9hqVZYurJwH4G9k,Guilherme & Benuto,3 Batidas - Ao Vivo,Sony Music Entertainment,8,52,351,237770,1uryupl9hqVZYurJwH4G9k,0.0,0.083,0.856,0.061
46,47,spotify:track:3GmJxfnUDrIs1iCfKUELFz,Marília Mendonça,Supera - Ao Vivo,Som Livre,1,51,360,235318,3GmJxfnUDrIs1iCfKUELFz,0.8402,0.0,0.964,0.036
