,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
23,24,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,Warner Records,1,19,253,292624,3PfIrDoz19wz7qK7tYeu62,-0.9873,0.129,0.839,0.032
24,25,spotify:track:15k1TDabqSEmyXOwMq9RM7,Jonas Esticado,Investe Em Mim,Som Livre,25,35,14,292364,15k1TDabqSEmyXOwMq9RM7,0.0,0.0,1.0,0.0
25,26,spotify:track:51uXmhqGR76tT2UeKZyeN6,"Marília Mendonça, Maiara & Maraisa",Quero Você do Jeito Que Quiser,Som Livre,26,-1,1,282424,51uXmhqGR76tT2UeKZyeN6,0.9186,0.0,0.96,0.04
26,27,spotify:track:23zmMwD99ROi9yhxqMxWil,"João Bosco & Vinicius, Matheus",Segunda Taça - Ao Vivo,João Bosco & Vinicius,19,32,141,268396,23zmMwD99ROi9yhxqMxWil,0.0,0.0,1.0,0.0
27,28,spotify:track:12v6LfkX9YIR3uLefIAAYZ,Mc Jacaré,Comprei um Lança,Mc Jacare / Los Pantchos,28,29,18,264721,12v6LfkX9YIR3uLefIAAYZ,-0.8807,0.041,0.959,0.0
28,29,spotify:track:28atBekPVlTdnU4M9Z7udd,"Dilsinho, Luísa Sonza, Malibu",Não Vai Embora,Malibu Studios,25,31,64,261779,28atBekPVlTdnU4M9Z7udd,-0.8105,0.02,0.98,0.0
29,30,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,17,21,196,261269,0VjIjW4GlUZAMYd2vXMi3b,0.0,0.0,1.0,0.0
30,31,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,23,24,150,258178,6UelLqGlWMcVH1E5c4H7lY,0.9584,0.0,0.912,0.088
31,32,spotify:track:0j1tGcJJfq1nIs4i5GoHXv,Luan Santana,ASAS,LS Music,15,26,27,257677,0j1tGcJJfq1nIs4i5GoHXv,0.9584,0.0,0.935,0.065
32,33,spotify:track:2PWjKmjyTZeDpmOUa3a5da,Jorge & Mateus,Cheirosa - Ao Vivo,Som Livre,3,34,274,256983,2PWjKmjyTZeDpmOUa3a5da,-0.5267,0.02,0.98,0.0
33,34,spotify:track:4j2bK4fnc2s6GyVmhJsJhk,Henrique & Juliano,Briga Feia - Ao Vivo,Virgin Music Label And Artist Services (S&D),21,37,211,250225,4j2bK4fnc2s6GyVmhJsJhk,-0.5267,0.018,0.982,0.0
34,35,spotify:track:0GrEqRHf5FioT1hOB8PBxZ,Marília Mendonça,Vira Homem,Som Livre,22,40,71,249779,0GrEqRHf5FioT1hOB8PBxZ,0.6808,0.009,0.954,0.037
