rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
188	spotify:track:6Im9k8u9iIzKMrmV7BWtlF	Ariana Grande	34+35	Republic Records	27	188	78	91677	6Im9k8u9iIzKMrmV7BWtlF
189	spotify:track:25gD4PQjxCLnwIY2n23aEl	Vitão, Luísa Sonza	Flores	Universal Music Ltda.	2	176	227	91002	25gD4PQjxCLnwIY2n23aEl
190	spotify:track:3MM4J90BLKgagDOMSt5wKM	Matheus Fernandes, Zé Neto & Cristiano	Nem Vá	Som Livre	190	-1	1	90902	3MM4J90BLKgagDOMSt5wKM
191	spotify:track:7hxHWCCAIIxFLCzvDgnQHX	Internet Money, Gunna, Don Toliver, NAV	Lemonade (feat. Gunna, Don Toliver & NAV)	Internet Money Records/ TenThousand Projects	64	189	128	90523	7hxHWCCAIIxFLCzvDgnQHX
192	spotify:track:72xB2J9ZeBl0Rzxq2XmzdY	João Gustavo e Murilo, Analaga	Lençol Dobrado	WM Brazil	2	187	736	90419	72xB2J9ZeBl0Rzxq2XmzdY
193	spotify:track:4dz0GA2DCoP3ZTLrLMd351	Zé Vaqueiro	Confidencial	Sua Música	187	-1	5	90236	4dz0GA2DCoP3ZTLrLMd351
194	spotify:track:50YsV2XFugoMrqJK9Ttdly	MC Teteu	Rave Na Praia	GR6 Music	122	-1	154	89994	50YsV2XFugoMrqJK9Ttdly
195	spotify:track:6FMYZDm6d2bNSK4Q5FI8SC	Biu do Piseiro, Pedrinho Pisadinha	Sextou	Samuel Digital Music	141	-1	10	89818	6FMYZDm6d2bNSK4Q5FI8SC
196	spotify:track:0C1cJj3ZNCS75sojrcMhZV	MC Ryan SP, Mc Kevin, Mc IG, MC Rick, Mc Brisola, Mc Davi, Dfideliz, Mc Dricka, Mc Vk, Mc Brinquedo, MC Paulin da Capital	Revoada do Tubarão	GR6 Music	104	200	115	89160	0C1cJj3ZNCS75sojrcMhZV
197	spotify:track:67zBVbq2krO4rNo6bY6Qzg	MC Mari, MC Ws, Leo Santana	Senta Concentrada	GR6 Music	172	-1	2	89047	67zBVbq2krO4rNo6bY6Qzg
198	spotify:track:4rGZaAoBrEvfLGMDZapBKL	Grupo Menos É Mais, Di Propósito, Vou Zuar	Vai Me Dando Corda - Ao Vivo	Som Livre	123	-1	49	88992	4rGZaAoBrEvfLGMDZapBKL
199	spotify:track:7lVNPh7GV4peci7b7WxMme	Felipe Araújo, Japinha Conde, Conde do Forró	Você Não Vale	Universal Music Ltda.	161	-1	6	88697	7lVNPh7GV4peci7b7WxMme
200	spotify:track:5NY0uxFDQdYmQlbWyLA6K2	Gustavo Mioto	Com Ou Sem Mim - Ao Vivo	Universal Music Ltda.	5	-1	397	88639	5NY0uxFDQdYmQlbWyLA6K2
