rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
123	spotify:track:6l1PdE7lQbodewVQh16GCM	Projota, Vitão	Sei Lá	Universal Music Ltda.	23	94	309	131288	6l1PdE7lQbodewVQh16GCM
124	spotify:track:0rUL7vUZmCKxB0gS83W3aM	Marília Mendonça, Leo Santana, Didá Banda Feminina	Apaixonadinha - Ao Vivo	Som Livre	49	138	289	130905	0rUL7vUZmCKxB0gS83W3aM
125	spotify:track:0AVDN1LiDn0abh39xqDRtQ	Mc Gw, MC Theuzyn, DJ Piu	Rave Jogando o L	GR6 Music	84	133	23	129721	0AVDN1LiDn0abh39xqDRtQ
126	spotify:track:67JokRnfWFJ93mA5HLIw6q	Lexa	Aquecimento da Lexa	Som Livre	76	125	25	129707	67JokRnfWFJ93mA5HLIw6q
127	spotify:track:0hVXuCcriWRGvwMV1r5Yn9	Ed Sheeran, Justin Bieber	I Don't Care (with Justin Bieber)	Atlantic Records UK	2	101	296	127628	0hVXuCcriWRGvwMV1r5Yn9
128	spotify:track:13Rf6RaZT13TW4xLQR3MQr	Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak, Hunter	Poesia Acústica #6: Era uma Vez	Pineapple StormTV	14	105	431	126873	13Rf6RaZT13TW4xLQR3MQr
129	spotify:track:7sl95MXCpM8WWsaH1BqvR3	Diego & Victor Hugo, Marília Mendonça	Do Copo Eu Vim (feat. Marília Mendonça) - Ao Vivo em Brasília	Sony Music Entertainment	32	154	359	124403	7sl95MXCpM8WWsaH1BqvR3
130	spotify:track:49pu85144Xir6PgWjeyJhG	Guilherme & Benuto	Flor Que Se Cheira - Ao Vivo	Sony Music Entertainment	33	152	296	124123	49pu85144Xir6PgWjeyJhG
131	spotify:track:65i9Mc7h1CG7ssI1OhMPcT	Dilsinho	Onze e Pouquinho	Sony Music Entertainment	107	127	135	123986	65i9Mc7h1CG7ssI1OhMPcT
132	spotify:track:0WhDotK0QXigmsrlw0DxKK	MC Kevin o Chris, Sodré	Evoluiu	ADpar	2	151	314	123290	0WhDotK0QXigmsrlw0DxKK
