rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
1	spotify:track:3Ghyp3X5Ua9ypHnBIgOObI	Henrique & Juliano	Liberdade Provisória - Live - Ibirapuera / 2019	Virgin Music Label And Artist Services (S&D)	1	1	77	744622	3Ghyp3X5Ua9ypHnBIgOObI
2	spotify:track:4HUZBG98TYbxSR9V1V2DWS	Thiaguinho MT, Mila, JS o Mão de Ouro	Tudo Ok	Sony Music Entertainment	2	2	53	650093	4HUZBG98TYbxSR9V1V2DWS
3	spotify:track:4lKuzrdZrJuCAedbIslF3A	PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro	SENTADÃO	WM Brazil	2	3	91	627346	4lKuzrdZrJuCAedbIslF3A
4	spotify:track:1K7WzjKDcDdVbKNGrB0gej	Major Lazer, MC Lan, Anitta, BEAM	Rave de Favela (feat. BEAM)	WM Brazil	4	4	6	598452	1K7WzjKDcDdVbKNGrB0gej
5	spotify:track:63SHcJzckFykS8faA5zojY	MC Ingryd, DJ Henrique da VK	Vem Me Satisfazer	MC Ingryd	5	7	79	567433	63SHcJzckFykS8faA5zojY
6	spotify:track:3tv697PZNnaQN0Mn2zGhS5	Gusttavo Lima	A Gente Fez Amor - Ao Vivo	Sony Music Entertainment	2	5	77	564723	3tv697PZNnaQN0Mn2zGhS5
7	spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF	Gustavo Mioto	Com Ou Sem Mim - Ao Vivo	Universal Music Ltda.	6	6	91	544189	5L8ZEyIdZ2KE4Wf51SsuOF
8	spotify:track:3tc8Z4lGzOIwmIVftsxO6o	Marília Mendonça	Graveto - Ao Vivo	Som Livre	5	9	42	500134	3tc8Z4lGzOIwmIVftsxO6o
9	spotify:track:1rgnBhdG2JDFTbYkYRZAku	Tones And I	Dance Monkey	Elektra (NEK)	5	8	151	499990	1rgnBhdG2JDFTbYkYRZAku
10	spotify:track:2bPtwnrpFNEe8N7Q85kLHw	Anitta, Lexa, Luísa Sonza, Rebecca	Combatchy (feat. MC Rebecca)	WM Brazil	1	10	93	494823	2bPtwnrpFNEe8N7Q85kLHw
11	spotify:track:5F8ffc8KWKNawllr5WsW0r	Dadá Boladão, Tati Zaqui, OIK	Surtada - Remix Brega Funk	Sony Music Entertainment	1	13	144	439482	5F8ffc8KWKNawllr5WsW0r
12	spotify:track:5W1kqz2l1lDX77DXBMeXZg	Matheus & Kauan	Litrão - Ao Vivo Em Recife / 2020	Universal Music Ltda.	10	11	21	436937	5W1kqz2l1lDX77DXBMeXZg
13	spotify:track:3J5Pu25BODMex4Jpy4l6FL	Luíza & Maurílio, Zé Neto & Cristiano	S de Saudade	Som Livre	9	12	112	419784	3J5Pu25BODMex4Jpy4l6FL
14	spotify:track:2Q9TaUXNM4mNSCgJjbmsJe	Zé Neto & Cristiano	Bebi Minha Bicicleta (Coração Falido) - Ao Vivo	Som Livre	4	15	84	406165	2Q9TaUXNM4mNSCgJjbmsJe
15	spotify:track:2PWjKmjyTZeDpmOUa3a5da	Jorge & Mateus	Cheirosa - Ao Vivo	Som Livre	3	14	133	405253	2PWjKmjyTZeDpmOUa3a5da
16	spotify:track:7yYsyXQa2JgbyL9fkEiUNt	Pabllo Vittar	Amor de Que	Sony Music Entertainment	11	18	112	396410	7yYsyXQa2JgbyL9fkEiUNt
17	spotify:track:3GmJxfnUDrIs1iCfKUELFz	Marília Mendonça	Supera - Ao Vivo	Som Livre	1	17	189	370794	3GmJxfnUDrIs1iCfKUELFz
18	spotify:track:7vZqxuOvEwRHsGVaDykzpY	Os Parazim	Porta Mala	Os Parazim	7	16	62	364243	7vZqxuOvEwRHsGVaDykzpY
19	spotify:track:1uryupl9hqVZYurJwH4G9k	Guilherme & Benuto	3 Batidas - Ao Vivo	Sony Music Entertainment	8	20	180	349394	1uryupl9hqVZYurJwH4G9k
20	spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg	Dua Lipa	Don't Start Now	Warner Records	15	19	112	348466	6WrI0LAC5M1Rw2MnX2ZvEg
21	spotify:track:2MOq63fxuFLYQM3CsDcFs1	GIULIA BE	menina solta	WM Brazil	10	21	136	343350	2MOq63fxuFLYQM3CsDcFs1
22	spotify:track:2RMOwSvOGQyy985Vx4VSGQ	LUDMILLA, Topo La Maskara, Walshy Fire	Verdinha	WM Brazil	8	22	84	338432	2RMOwSvOGQyy985Vx4VSGQ
23	spotify:track:5FFpRbsH9WDYNoLauRAHpj	MC Kevinho, Dadá Boladão, MC JottaPê	Paredão	WM Brazil	18	25	60	319393	5FFpRbsH9WDYNoLauRAHpj
24	spotify:track:14kRWkCWBYfQqILflEcpSJ	Lexa, PEDRO SAMPAIO	Chama Ela (feat. Pedro Sampaio)	Som Livre	5	29	149	317556	14kRWkCWBYfQqILflEcpSJ
25	spotify:track:1AfNdxHdE4OLcnQUyC6j3i	MC JottaPê, MC Kekel, MC Kevinho	Eterna Sacanagem	KondZilla Records	19	27	126	315714	1AfNdxHdE4OLcnQUyC6j3i
26	spotify:track:6lK3nCiigk34SGqEjpQoqO	Maiara & Maraisa	Aí Eu Bebo - Ao Vivo	Som Livre	13	24	126	315682	6lK3nCiigk34SGqEjpQoqO
27	spotify:track:4RC2nzqaQygxoVQOVv3XlT	Leo Santana, Anitta	Contatinho - Ao Vivo	Universal Music Ltda.	5	33	168	315234	4RC2nzqaQygxoVQOVv3XlT
28	spotify:track:7o9LwQmTuIDm4LyyHFIWul	Henrique & Juliano	Volta Por Baixo - Ao Vivo	Virgin Music Label And Artist Services (S&D)	20	23	42	309106	7o9LwQmTuIDm4LyyHFIWul
