Position	TrackName	Artist	Streams	URL	Id
1	Arranhão - Ao Vivo	Henrique & Juliano	7045673	https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw	4u06FbRh6FvV2FQZkouzCw
2	Meu Pedaço de Pecado	João Gomes	6181314	https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6	2kJRlOyrxsy7Ot3c5TZ8Q6
3	Bala Love	Mc Anjim	6165705	https://open.spotify.com/track/48Ll1C6qAnP2UjnopQDh4a	48Ll1C6qAnP2UjnopQDh4a
4	Você Beberia Ou Não Beberia?	Zé Neto & Cristiano	5940256	https://open.spotify.com/track/4P7IXYPAkinTdZrBF5bGWp	4P7IXYPAkinTdZrBF5bGWp
5	Chega E Senta - Ao Vivo	John Amplificado	5770850	https://open.spotify.com/track/2ookQf9qP2qiBuNFnNXyfl	2ookQf9qP2qiBuNFnNXyfl
6	Quer Voar	Matuê	5730652	https://open.spotify.com/track/7aZusA4cWXz3Wv9e9uhavz	7aZusA4cWXz3Wv9e9uhavz
7	Ela e Ela	Zé Neto & Cristiano	5607862	https://open.spotify.com/track/5Yu1AOnIzC1tWRJ4U0uW7u	5Yu1AOnIzC1tWRJ4U0uW7u
8	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	5101070	https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk	5Z9KJZvQzH6PFmb8SNkxuk
9	Ficha Limpa	Gusttavo Lima	5040976	https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8	5SwyN9hzmWjBsINlif8li8
10	Nota de Repúdio - Ao Vivo	Gusttavo Lima	4927995	https://open.spotify.com/track/3agFBAMPiIvzfTh7a9Udm6	3agFBAMPiIvzfTh7a9Udm6
11	Rolê	Tarcísio do Acordeon	4886342	https://open.spotify.com/track/50gPsfGHy5OnPauA9455DM	50gPsfGHy5OnPauA9455DM
12	MORENA	Luan Santana	4728315	https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd	4PQdrXMDHDPl1RczrrlADd
13	Baby Me Atende	Matheus Fernandes	4504932	https://open.spotify.com/track/1bWBG6IkMnDr3qvCKSvQT7	1bWBG6IkMnDr3qvCKSvQT7
14	Aquelas Coisas	João Gomes	4113765	https://open.spotify.com/track/0FqVtQxRD3HsPltldG5v5M	0FqVtQxRD3HsPltldG5v5M
15	Se For Amor	João Gomes	3887297	https://open.spotify.com/track/5F2xRvRFkxDvqdFtUNAEyw	5F2xRvRFkxDvqdFtUNAEyw
16	Senta Danada	Zé Felipe	3776075	https://open.spotify.com/track/2R9IrE42Mw4zdUXAEFNiZL	2R9IrE42Mw4zdUXAEFNiZL
17	Zero Saudade - Ao Vivo	Os Barões Da Pisadinha	3686732	https://open.spotify.com/track/1hs2hRwPfyFLoYIf6jY1W7	1hs2hRwPfyFLoYIf6jY1W7
18	A Maior Saudade - Ao Vivo	Henrique & Juliano	3679264	https://open.spotify.com/track/5Q0ZnQjk4lQpScX7ujswun	5Q0ZnQjk4lQpScX7ujswun
19	Desbloqueado - Ao Vivo	Diego & Victor Hugo	3644778	https://open.spotify.com/track/79Wou8NwYEFzTyDQudjENF	79Wou8NwYEFzTyDQudjENF
