Position	TrackName	Artist	Streams	URL	Id
2	Esqueça-Me Se For Capaz	Marília Mendonça	8044189	https://open.spotify.com/track/4qsOrxBv09HhNSpsgMRXdC	4qsOrxBv09HhNSpsgMRXdC
3	Toma Toma Vapo Vapo	Zé Felipe	7512466	https://open.spotify.com/track/5VTjBl3ddZEiG2LrH4VzyR	5VTjBl3ddZEiG2LrH4VzyR
4	Arranhão - Ao Vivo	Henrique & Juliano	7324132	https://open.spotify.com/track/3IMLoeLerS7TMpKjxUgAhx	3IMLoeLerS7TMpKjxUgAhx
5	Malvadão 3	Xamã	6997897	https://open.spotify.com/track/0NBgyml7T0IvUNbXIkcSpH	0NBgyml7T0IvUNbXIkcSpH
6	Presepada	Marília Mendonça	6736093	https://open.spotify.com/track/3YvE7uo4ffseBoJPh8IhHp	3YvE7uo4ffseBoJPh8IhHp
7	Ameaça	Paulo Pires	6448084	https://open.spotify.com/track/4fSHADbZbhpZCT9oJpxwbP	4fSHADbZbhpZCT9oJpxwbP
8	Parada Louca	Mari Fernandez	6255594	https://open.spotify.com/track/72g37RoelSnovZakG5MwnF	72g37RoelSnovZakG5MwnF
9	Bloqueado - Ao Vivo	Gusttavo Lima	6165664	https://open.spotify.com/track/6nkoWsFZeFt5dUdNmlIceh	6nkoWsFZeFt5dUdNmlIceh
10	GALOPA	PEDRO SAMPAIO	5945582	https://open.spotify.com/track/2wG1R0uDFwyobcWzVssC1J	2wG1R0uDFwyobcWzVssC1J
11	Coração Cachorro	Avine Vinny	5856967	https://open.spotify.com/track/2RGIuYTsyyHoOCqW0krvNE	2RGIuYTsyyHoOCqW0krvNE
12	Todo Mundo Menos Você	Marília Mendonça	5717170	https://open.spotify.com/track/053zWWZDziDJd3U94x8RuP	053zWWZDziDJd3U94x8RuP
13	Molhando o Volante	Jorge & Mateus	5406133	https://open.spotify.com/track/3ITkrUvAA6gzxer2UIom3P	3ITkrUvAA6gzxer2UIom3P
14	A Maior Saudade - Ao Vivo	Henrique & Juliano	5285466	https://open.spotify.com/track/14JKzKrJbPDflw8XyATMey	14JKzKrJbPDflw8XyATMey
15	Nota de Repúdio - Ao Vivo	Gusttavo Lima	4996207	https://open.spotify.com/track/6qdJZIjxrPaJjaGqlXFLSs	6qdJZIjxrPaJjaGqlXFLSs
16	Ela e Ela	Zé Neto & Cristiano	4967559	https://open.spotify.com/track/7pvrsbBKUQI2QmA74WCJa5	7pvrsbBKUQI2QmA74WCJa5
17	Ela me Falou Que Quer Rave	MC Levin	4939058	https://open.spotify.com/track/0JdkDCdrhMOaeXjIZdeBXN	0JdkDCdrhMOaeXjIZdeBXN
18	Revoada No Colchão	Zé Felipe	4860151	https://open.spotify.com/track/4kGdnA7FzSVsXC29LPghej	4kGdnA7FzSVsXC29LPghej
19	Pandora	DJ Matt D	4831903	https://open.spotify.com/track/0yL7K9MzC20uBesZTPY81r	0yL7K9MzC20uBesZTPY81r
20	NO CHÃO NOVINHA	Anitta	4440278	https://open.spotify.com/track/7ARoqP7G8UYW8SyYPyPp7k	7ARoqP7G8UYW8SyYPyPp7k
21	Meu Pedaço de Pecado	João Gomes	4316255	https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6	2kJRlOyrxsy7Ot3c5TZ8Q6
22	Cê Tá Preparada - Ao Vivo	Tayrone	4017579	https://open.spotify.com/track/1tYJnXtKLoWVIL4lZOouQG	1tYJnXtKLoWVIL4lZOouQG
23	Você Beberia Ou Não Beberia?	Zé Neto & Cristiano	3986863	https://open.spotify.com/track/2ixi9HWJw5lnLDmRMsiCS5	2ixi9HWJw5lnLDmRMsiCS5
