Position	TrackName	Artist	Streams	URL	Id
99	M4	Teto	1075721	https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy	07AQkmp456NpEnT8HR7WLy
100	Aquelas Coisas	João Gomes	1070167	https://open.spotify.com/track/5igZy2wLV0KBzS1zvW9am8	5igZy2wLV0KBzS1zvW9am8
101	Superação Digital	Xand Avião	1057058	https://open.spotify.com/track/1Os5JfX1odjnL3ScZet6FB	1Os5JfX1odjnL3ScZet6FB
102	Shivers	Ed Sheeran	1039689	https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r	75MNhvTCCKsST3YqqUiU9r
103	Antes de Ir	Taty pink	1039539	https://open.spotify.com/track/2G3pr93yMNJ2HcL028dTxt	2G3pr93yMNJ2HcL028dTxt
104	Amando Individual	Felipe Araújo	1035786	https://open.spotify.com/track/40jJXSACXLpFp5czWoa32I	40jJXSACXLpFp5czWoa32I
105	Ele Não Te Merece	Wesley Safadão	1026904	https://open.spotify.com/track/7nsk0cwY5kfxBT21WEzmC0	7nsk0cwY5kfxBT21WEzmC0
106	Peaches (feat. Daniel Caesar & Giveon)	Justin Bieber	1019598	https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI	4iJyoBOLtHqaGxP12qzhQI
107	Ficante Fiel	Mad Dogz	1019167	https://open.spotify.com/track/07Kp3cAQRY0iPp4ATMoehM	07Kp3cAQRY0iPp4ATMoehM
108	Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo	Grupo Menos É Mais	1014313	https://open.spotify.com/track/5r9CZJMoMmxio2AnJdxuDS	5r9CZJMoMmxio2AnJdxuDS
109	Acaso	Vitor Fernandes	1010121	https://open.spotify.com/track/4Ls13Ag4SWnniiX4QLRltL	4Ls13Ag4SWnniiX4QLRltL
110	Blinding Lights	The Weeknd	1008449	https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b	0VjIjW4GlUZAMYd2vXMi3b
111	Proteção de Tela	Tarcísio do Acordeon	1006955	https://open.spotify.com/track/7h8osXb4nNo72fzOf1P1yF	7h8osXb4nNo72fzOf1P1yF
112	Zap Zum	Pabllo Vittar	997376	https://open.spotify.com/track/7zyZ9yPXIQebb79PrMghpV	7zyZ9yPXIQebb79PrMghpV
113	Volta Comigo BB	Zé Vaqueiro	993395	https://open.spotify.com/track/1h4u5t0EJZki8ieNGwwFXc	1h4u5t0EJZki8ieNGwwFXc
114	Ela é Espetacular (Mulher Kama Sutra 2)	Mc Livinho	990795	https://open.spotify.com/track/0x0V1IID2Sj902k6LzuWds	0x0V1IID2Sj902k6LzuWds
115	Roct Pot 02 (Mc Laranjinha)	Mc Laranjinha	989156	https://open.spotify.com/track/35oS3GLitTUcrxI6PNdKbD	35oS3GLitTUcrxI6PNdKbD
116	Morena	NATTAN	983469	https://open.spotify.com/track/6zsEKAZZulmsl1Qlw5G3EX	6zsEKAZZulmsl1Qlw5G3EX
117	Fun Tonight - Pabllo Vittar Remix	Lady Gaga	981323	https://open.spotify.com/track/70FhY7hwautR5xB1qnHzVn	70FhY7hwautR5xB1qnHzVn
118	LALISA	LISA	975983	https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6	7uQZVznj0uQOGC9KhV2Mg6
119	Alívio	Jessé Aguiar	965694	https://open.spotify.com/track/40KZgKCIvRVIoZqv9lNBoP	40KZgKCIvRVIoZqv9lNBoP
120	Save Your Tears (with Ariana Grande) (Remix)	The Weeknd	964517	https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy	37BZB0z9T8Xu7U3e65qxFy
