,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:7EWXP47VlXKO3r7mNxuWHw,"Wesley Safadão, Os Barões Da Pisadinha","Ele É Ele, Eu Sou Eu",Som Livre,1,1,78,888520,7EWXP47VlXKO3r7mNxuWHw,-0.3331,0.023,0.958,0.019
1,2,spotify:track:27X3qzgB0Show6qfw5wNOK,"DJ Ivis, Tarcísio do Acordeon",Esquema Preferido (feat. Tarcísio do Acordeon),Sony Music Entertainment,2,3,23,887645,27X3qzgB0Show6qfw5wNOK,-0.7622,0.022,0.978,0.0
2,3,spotify:track:6sPBi0qLI6KM3yXX56NxsA,Tarcísio do Acordeon,Meia Noite (Você tem meu Whatsapp),Sua Música,1,4,57,823468,6sPBi0qLI6KM3yXX56NxsA,0.9769,0.02,0.896,0.084
3,4,spotify:track:0QglpM23kl9ldvVdoYNZwF,"Kawe, Mc Lele JP",Mds,OQProduções,1,2,34,795566,0QglpM23kl9ldvVdoYNZwF,-0.5848,0.022,0.966,0.012
4,5,spotify:track:1ere9b9vDw2N3m9d4uiXxa,"Diego & Victor Hugo, Bruno & Marrone",Facas - Ao Vivo,Sony Music Entertainment,5,5,106,769760,1ere9b9vDw2N3m9d4uiXxa,0.0,0.0,1.0,0.0
5,6,spotify:track:5m5aY6S9ttfIG157xli2Rs,Zé Neto & Cristiano,Alô Ambev (Segue Sua Vida) - Ao Vivo,Som Livre,3,9,155,681133,5m5aY6S9ttfIG157xli2Rs,0.0,0.0,1.0,0.0
6,7,spotify:track:7GLWWrk1YlkPYqJK3ynIA0,Jorge & Mateus,Lance Individual,Som Livre,3,8,78,671172,7GLWWrk1YlkPYqJK3ynIA0,-0.9034,0.047,0.953,0.0
7,8,spotify:track:07AQkmp456NpEnT8HR7WLy,"Teto, Matuê",M4,30PRAUM,5,6,50,643233,07AQkmp456NpEnT8HR7WLy,0.5908,0.058,0.889,0.053
8,9,spotify:track:0YqTL3nSL36OFdHwHoqCag,"Luísa Sonza, Pabllo Vittar, Anitta",MODO TURBO,Universal Music Ltda.,1,7,39,642411,0YqTL3nSL36OFdHwHoqCag,-0.9796,0.114,0.849,0.037
9,10,spotify:track:2JTir3y1VuJQmexiTCMcTP,Os Barões Da Pisadinha,Recairei - Ao Vivo,Sony Music Entertainment,1,10,261,613393,2JTir3y1VuJQmexiTCMcTP,0.8555,0.0,0.898,0.102
10,11,spotify:track:2nZj5YymF54qhAu7RneVP6,Hugo & Guilherme,Coração Na Cama - Ao Vivo,Som Livre,11,12,64,574814,2nZj5YymF54qhAu7RneVP6,0.0,0.0,1.0,0.0
11,12,spotify:track:7lJoRyuNJtuiqTcKtuMuIR,MC Hariel,Maçã Verde,GR6 Music,9,11,86,522466,7lJoRyuNJtuiqTcKtuMuIR,0.0,0.0,1.0,0.0
12,13,spotify:track:7qmnP8Woc47dLSrMD5MxL1,"Petter Ferraz, Menor Nico",Amor ou o Litrão,k+ produçoes,1,13,73,508813,7qmnP8Woc47dLSrMD5MxL1,0.0,0.0,1.0,0.0
13,14,spotify:track:1O74aTse7W5hd2rAvnEVaW,"Jeff Costa, Mc Danny",Xerecard,Love Funk & Adm Mídias Brasil,14,15,22,506253,1O74aTse7W5hd2rAvnEVaW,-0.9655,0.05,0.95,0.0
14,15,spotify:track:3rRin3LyLY92kpEbkCgwf4,"Os Barões Da Pisadinha, Xand Avião",Basta Você Me Ligar - Ao Vivo,Sony Music Entertainment,2,14,225,491046,3rRin3LyLY92kpEbkCgwf4,0.0,0.0,1.0,0.0
15,16,spotify:track:15k1TDabqSEmyXOwMq9RM7,Jonas Esticado,Investe Em Mim,Som Livre,1,16,217,469748,15k1TDabqSEmyXOwMq9RM7,0.0,0.0,1.0,0.0
16,17,spotify:track:0WlmiIK5qFQ4dAB4mCA4sI,"Os Barões Da Pisadinha, Fernando & Sorocaba",Amor da Despedida,Sony Music Entertainment,9,17,85,456171,0WlmiIK5qFQ4dAB4mCA4sI,0.9971,0.0,0.783,0.217
17,18,spotify:track:1uA7fD01YlQr1Rm0oyNB4H,Guilherme & Benuto,Pulei na Piscina - Ao Vivo,Sony Music Entertainment,13,18,162,432613,1uA7fD01YlQr1Rm0oyNB4H,0.8516,0.0,0.97,0.03
18,19,spotify:track:3cNKhoBUhyuXhQTdQjOiT8,Anitta,Loco,Warner Records,19,-1,1,416690,3cNKhoBUhyuXhQTdQjOiT8,-0.9737,0.128,0.855,0.017
19,20,spotify:track:187Pge0WmJNoS73kaIORSE,"Douglas & Vinicius, MC Bruninho",Figurinha - Ao Vivo,Virgin Music Label And Artist Services (S&D),3,20,197,402191,187Pge0WmJNoS73kaIORSE,-0.5267,0.038,0.962,0.0
20,21,spotify:track:6WXglvTFRmjlHHhgjYMNif,"MC Hariel, Alok, MC Ryan SP, Mc Davi, Salvador Da Rima",Ilusão (Cracolândia),GR6 Music,1,19,78,394001,6WXglvTFRmjlHHhgjYMNif,-0.9749,0.032,0.968,0.0
21,22,spotify:track:0eoMMLrWtXbLk64baeESkc,"Marcos & Belutti, Jorge & Mateus",Tudo Indica (feat. Jorge & Mateus) - Ao Vivo,Sony Music Entertainment,21,23,141,377348,0eoMMLrWtXbLk64baeESkc,0.6808,0.013,0.962,0.025
