rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
148	spotify:track:1rgnBhdG2JDFTbYkYRZAku	Tones And I	Dance Monkey	Elektra (NEK)	5	135	483	109310	1rgnBhdG2JDFTbYkYRZAku
149	spotify:track:0ItJvt7npJ3Mw9mefto5Sn	Vitor Fernandes, Tarcísio do Acordeon	Roxinho	Sua Música	128	154	35	109292	0ItJvt7npJ3Mw9mefto5Sn
150	spotify:track:6G5z2fh5MfVErDCsJJKNwv	Mc Livinho	Na Ponta do Pé 2	Music Branding	130	149	10	109029	6G5z2fh5MfVErDCsJJKNwv
151	spotify:track:5gijVJHyC1E4kt2j5Q3DEb	Lauana Prado	Sua Mãe Tá Nessa - Ao Vivo Em São Paulo / 2019	Universal Music Ltda.	105	137	73	108750	5gijVJHyC1E4kt2j5Q3DEb
152	spotify:track:3xBYCXi1LBsQPGE08M3iAP	Nêgo Jhá, Mc Pierre, Dj Guuga	Quer Esquecer sua Ex Mulher Vem Pro Cabaré	GR6 Music	144	144	8	108562	3xBYCXi1LBsQPGE08M3iAP
153	spotify:track:2rXIj8SkYrAWQ4Dn2oiupk	MC Meno K, DJ Neeh	Camisa do Grêmio	Resumo Produtora	153	158	6	108531	2rXIj8SkYrAWQ4Dn2oiupk
154	spotify:track:3tu0GkIZwwkmILoD4HemBq	Raí Saia Rodada	Bebe e Vem Me Procurar	Som Livre	36	162	575	106212	3tu0GkIZwwkmILoD4HemBq
155	spotify:track:1dHfCJMj1eJMFcKF7VzqR5	Os Barões Da Pisadinha	Fala Comigo Bebê - Ao Vivo	Sony Music Entertainment	87	175	55	105700	1dHfCJMj1eJMFcKF7VzqR5
156	spotify:track:4koUrXFuoId1b6wrMF3laS	Mc Dricka	E Nós Tem um Charme Que É da Hora	Novo Império	55	173	179	102368	4koUrXFuoId1b6wrMF3laS
157	spotify:track:3MkdA6vwF0ifRl86yzTlJW	Matuê	Kenny G	Sony Music Entertainment	5	163	499	102220	3MkdA6vwF0ifRl86yzTlJW
158	spotify:track:2hqRWWmbHT9CTc5a4a9NVe	Marília Mendonça, Maiara & Maraisa	Uma Vida a Mais (Listen To Your Heart)	Som Livre	78	155	136	101961	2hqRWWmbHT9CTc5a4a9NVe
159	spotify:track:3oqC4Ta40ft6NnTJwcUTdi	Rashid, Lukinhas, Emicida	Pipa Voada (feat. Emicida)	Sony Music Entertainment	33	143	314	101960	3oqC4Ta40ft6NnTJwcUTdi
160	spotify:track:233lqmrvWyIC7u5GiAnTV4	Jheo Chavoso, MC Gui Andrade, Mc Vênus	Tapão Nervoso	SR FILMES	138	153	14	101591	233lqmrvWyIC7u5GiAnTV4
161	spotify:track:5KFEB8X5Xmpmsv5j8rHjML	Fernando & Sorocaba, Guilherme & Benuto	Você Não é de Bar - Ao Vivo	Sony Music Entertainment	161	161	3	101435	5KFEB8X5Xmpmsv5j8rHjML
162	spotify:track:6Q9NH5cNBY58nJkp5Jbs9j	Manu Gavassi, Gloria Groove	Deve ser horrível dormir sem mim	Universal Music Ltda.	2	148	148	100925	6Q9NH5cNBY58nJkp5Jbs9j
163	spotify:track:7Jw5gMzNL8g0aeX27mUhuW	Zé Vaqueiro	Meu Mel	Sony Music Entertainment	163	188	2	100481	7Jw5gMzNL8g0aeX27mUhuW
164	spotify:track:7Ac3BmqTQoLdAt7HtZyfgN	DENNIS, Mc Don Juan	Te Prometo	Sony Music Entertainment	8	168	345	100345	7Ac3BmqTQoLdAt7HtZyfgN
165	spotify:track:1FM9CNCjobC3LSNEEKuPkd	Raí Saia Rodada, Tony Guerra & Forró Sacode	Amor de Rapariga	Som Livre	128	171	45	100201	1FM9CNCjobC3LSNEEKuPkd
