rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
57	spotify:track:2fmeSswdyVq4wcqhY41UHk	Pineapple StormTv, L7NNON, Chris MC, Xamã, Lourena, Cesar Mc, Djonga, Filipe Ret, Salve Malak, Hunter	Poesia Acústica #9: Melhor Forma	Pineapple StormTV	2	58	186	203415	2fmeSswdyVq4wcqhY41UHk
58	spotify:track:28atBekPVlTdnU4M9Z7udd	Dilsinho, Luísa Sonza, Malibu	Não Vai Embora	Malibu Studios	23	59	250	197112	28atBekPVlTdnU4M9Z7udd
59	spotify:track:1wowgtxmcxyIDGkQ8S28gL	PEDRO SAMPAIO, Luan Otten	LARISSA	WM Brazil	37	61	33	186223	1wowgtxmcxyIDGkQ8S28gL
60	spotify:track:1x0Uv7gDZfx6jhb4IN4DIx	Gusttavo Lima	Balada do Buteco - Ao Vivo	Sony Music Entertainment	42	55	5	186076	1x0Uv7gDZfx6jhb4IN4DIx
61	spotify:track:4pwFy4YPNGMxK2P2FfQfvt	Pineapple StormTv, MC Cabelinho, Orochi, JayA Luuck, Pk, Black, Delacruz, BK, LUDMILLA, Salve Malak, Hunter	Poesia Acústica 10: Recomeçar	Pineapple StormTV	11	62	47	185094	4pwFy4YPNGMxK2P2FfQfvt
62	spotify:track:07c9lzwx1IIm101PnB4BZu	MC Levin, Caverinha	É Só Botada	Master Gold	55	60	63	183120	07c9lzwx1IIm101PnB4BZu
63	spotify:track:54OqGd3dmug64db0ZtOtF4	Japinha Conde	Romance Desapegado	Conde do Forró	39	63	126	170437	54OqGd3dmug64db0ZtOtF4
64	spotify:track:5oI9blwsXC8AkTWw6wASY8	Matuê	Máquina do Tempo	Sony Music Entertainment	1	67	124	169444	5oI9blwsXC8AkTWw6wASY8
65	spotify:track:3PfIrDoz19wz7qK7tYeu62	Dua Lipa	Don't Start Now	Warner Records	1	69	439	169246	3PfIrDoz19wz7qK7tYeu62
66	spotify:track:79Uf0vVa7HwWKSgdpTwtRm	Leo Santana, Luísa Sonza	Século 21	Universal Music Ltda.	26	65	89	167647	79Uf0vVa7HwWKSgdpTwtRm
67	spotify:track:0GTPmh5G40joBg93vcSQNq	Alok, Ilkay Sencan, Tove Lo	Don't Say Goodbye (feat. Tove Lo)	Columbia/B1 Recordings	67	70	103	167555	0GTPmh5G40joBg93vcSQNq
68	spotify:track:4zGtfOglDBfVUypabBwIjQ	Mc Zaac, Anitta, Tyga	Desce Pro Play (PA PA PA)	Universal Music Ltda.	1	66	201	167341	4zGtfOglDBfVUypabBwIjQ
69	spotify:track:3Xuo5utyzk86BwlUHdTR2O	Henrique & Juliano	Briga Feia - Ao Vivo	Virgin Music Label And Artist Services (S&D)	19	64	397	167055	3Xuo5utyzk86BwlUHdTR2O
70	spotify:track:2BRGOqLBHFJclDM6PB2dnd	Marília Mendonça	Deprê	Som Livre	51	68	40	165681	2BRGOqLBHFJclDM6PB2dnd
71	spotify:track:5NeBu4oKweDXIjhvYqtbLo	Tierry, Marília Mendonça	Hackearam-Me	WorkShow	59	75	59	164369	5NeBu4oKweDXIjhvYqtbLo
72	spotify:track:73uParILjIm5rcP0C2bpMF	BIN, Mainstreet, Mãolee	Marília Mendonça	Mainstreet Records	46	71	160	163784	73uParILjIm5rcP0C2bpMF
73	spotify:track:2enk2whIgJyoe0O9HRQZJV	Avine Vinny, Jorge	Seu Beijo Joga Sujo	Sony Music Entertainment	56	72	82	163513	2enk2whIgJyoe0O9HRQZJV
74	spotify:track:0RaIjuKU5hudMteEXwr4RS	Jorge & Mateus	Ranking	Som Livre	4	76	313	163136	0RaIjuKU5hudMteEXwr4RS
75	spotify:track:08Sd5vVcIH3uKeAiaJdoYj	Lauana Prado	Viva Voz - Ao Vivo Em São Paulo / 2019	Universal Music Ltda.	15	73	313	162537	08Sd5vVcIH3uKeAiaJdoYj
76	spotify:track:0in6Rc29qdyOkhKyYw4A84	Di Propósito	Manda Áudio	Sony Music Entertainment	45	78	205	162430	0in6Rc29qdyOkhKyYw4A84
77	spotify:track:5GAdMAL3tRJkVN1HtwohK2	Mc Don Juan, Maiara & Maraisa	Vai Ter Que Aguentar	GR6 Music	6	74	226	162180	5GAdMAL3tRJkVN1HtwohK2
78	spotify:track:0hDphSo7vI7gCjEPpD6gu0	GIULIA BE	se essa vida fosse um filme	WM Brazil	12	80	184	157628	0hDphSo7vI7gCjEPpD6gu0
79	spotify:track:4DngRKOpRPrkbzImUB0zgh	Matheus & Kauan	Litrão - Ao Vivo Em Recife / 2020	Universal Music Ltda.	2	77	348	157571	4DngRKOpRPrkbzImUB0zgh
80	spotify:track:1HbA4N1MiOsPthALesGFR1	Shawn Mendes, Justin Bieber	Monster (Shawn Mendes & Justin Bieber)	Shawn Mendes LP4-5 PS/ Island	29	79	52	156790	1HbA4N1MiOsPthALesGFR1
81	spotify:track:1O74aTse7W5hd2rAvnEVaW	Jeff Costa, Mc Danny	Xerecard	Love Funk & Adm Mídias Brasil	81	99	5	155543	1O74aTse7W5hd2rAvnEVaW
82	spotify:track:4fB85IhVASxXMWgoke5WVJ	Alok	Alive (It Feels Like)	CONTROVERSIA	76	81	59	155352	4fB85IhVASxXMWgoke5WVJ
83	spotify:track:3J5Pu25BODMex4Jpy4l6FL	Luíza & Maurílio, Zé Neto & Cristiano	S de Saudade	Som Livre	6	82	439	152727	3J5Pu25BODMex4Jpy4l6FL
84	spotify:track:0zLCBJZSiELJf02ucPP9wb	SAINt JHN, Imanbek	Roses - Imanbek Remix	Columbia/B1 Recordings	8	83	320	149004	0zLCBJZSiELJf02ucPP9wb
85	spotify:track:4Y0gR2tYML083T6b2vhJrn	Henrique & Juliano	Liberdade Provisória - Live - Ibirapuera / 2019	Virgin Music Label And Artist Services (S&D)	1	84	404	147516	4Y0gR2tYML083T6b2vhJrn
86	spotify:track:2MOq63fxuFLYQM3CsDcFs1	GIULIA BE	menina solta	WM Brazil	10	86	463	146516	2MOq63fxuFLYQM3CsDcFs1
87	spotify:track:4Oun2ylbjFKMPTiaSbbCih	Cardi B, Megan Thee Stallion	WAP (feat. Megan Thee Stallion)	Atlantic/KSR	8	87	159	144579	4Oun2ylbjFKMPTiaSbbCih
88	spotify:track:2VFTgZwiAdrADSLrUNHWt9	Pabllo Vittar, POCAH	Bandida	Sony Music Entertainment	15	85	47	143868	2VFTgZwiAdrADSLrUNHWt9
89	spotify:track:3tjFYV6RSFtuktYl3ZtYcq	24kGoldn, iann dior	Mood (feat. iann dior)	Records/Columbia	63	88	132	140981	3tjFYV6RSFtuktYl3ZtYcq
90	spotify:track:7CDdyDigw7e3zFr3k7uKMY	Luíza & Maurílio	Pode Sumir	Som Livre	46	90	229	140928	7CDdyDigw7e3zFr3k7uKMY
91	spotify:track:5PNvgiKSwMdjBsDsgFCFLX	Maverick Sabre, Jorja Smith, Vintage Culture, Slow Motion	Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix	Spinnin' Deep	12	95	285	140166	5PNvgiKSwMdjBsDsgFCFLX
92	spotify:track:6Im9k8u9iIzKMrmV7BWtlF	Ariana Grande	34+35	Republic Records	27	89	66	139280	6Im9k8u9iIzKMrmV7BWtlF
93	spotify:track:7pDcS0EVMJR0YwjXmHcCRg	Luísa Sonza, Mc Zaac	TOMA	Universal Music Ltda.	9	91	166	138186	7pDcS0EVMJR0YwjXmHcCRg
94	spotify:track:2InUVOBY515umeuwdQtsQ4	Zé Neto & Cristiano	Esses Vícios	Som Livre	56	93	54	137794	2InUVOBY515umeuwdQtsQ4
95	spotify:track:1WTJdd2atKxhUrbvUHjNDt	João Bosco & Vinicius, Matheus	Segunda Taça - Ao Vivo	João Bosco & Vinicius	19	92	327	136665	1WTJdd2atKxhUrbvUHjNDt
96	spotify:track:4dkMmfrNEIUMjoEIFHA2yy	Israell Muniz	Eu Vou Tirar Você Do Cabaré	Universal Music Ltda.	71	94	42	135184	4dkMmfrNEIUMjoEIFHA2yy
97	spotify:track:5XyDFMwY1NTIlkbzcfVyl3	O Boy da Seresta, Menor Nico	Nega Chegando	DL studio	78	97	18	133956	5XyDFMwY1NTIlkbzcfVyl3
98	spotify:track:4c9Py6O1NeuYKbJ8Ok7mTl	Alok, Vintage Culture, FAULHABER	Party On My Own	CONTROVERSIA	67	98	138	133087	4c9Py6O1NeuYKbJ8Ok7mTl
99	spotify:track:7benotyTvLY2vUsDKtxbiA	Gusttavo Lima	Café e Amor - Ao Vivo	Sony Music Entertainment	6	96	96	132693	7benotyTvLY2vUsDKtxbiA
100	spotify:track:4vDC52DnSqAjec5Vh5yJEb	DJ Matt D, Mc Lipi, MC Lemos, Menor MC, MC Vinny, MC Julio D.E R., MC Leozinho ZS, Makalo	Homenagem aos Relíquias (feat. Menor MC, MC Vinny, MC Julio D.E R., MC Leozinho ZS & Makalo)	Satélite Funk	51	100	139	132064	4vDC52DnSqAjec5Vh5yJEb
101	spotify:track:3oqC4Ta40ft6NnTJwcUTdi	Rashid, Lukinhas, Emicida	Pipa Voada (feat. Emicida)	Sony Music Entertainment	33	101	309	132016	3oqC4Ta40ft6NnTJwcUTdi
102	spotify:track:6Q9NH5cNBY58nJkp5Jbs9j	Manu Gavassi, Gloria Groove	Deve ser horrível dormir sem mim	Universal Music Ltda.	2	102	143	130250	6Q9NH5cNBY58nJkp5Jbs9j
103	spotify:track:4saklk6nie3yiGePpBwUoc	BTS	Dynamite	BIGHIT MUSIC	5	103	143	128797	4saklk6nie3yiGePpBwUoc
104	spotify:track:2Oycxb8QbPkpHTo8ZrmG0B	Miley Cyrus, Dua Lipa	Prisoner (feat. Dua Lipa)	RCA Records Label	25	104	52	127863	2Oycxb8QbPkpHTo8ZrmG0B
105	spotify:track:5LpLYzpV0HWKI2DlPmNywg	Wesley Safadão, Zé Neto & Cristiano	Despedida - Ao Vivo	Som Livre	15	105	285	127281	5LpLYzpV0HWKI2DlPmNywg
106	spotify:track:2WlZuBDgLfT7Kc0admhFdg	Luísa Sonza	BRABA	Universal Music Ltda.	1	106	301	125787	2WlZuBDgLfT7Kc0admhFdg
107	spotify:track:566AZpR4FJErkhS3CmuaWu	DJ Matt D, MC Leozinho ZS, MC Vinny, Menor MC, MC Julio D.E.R., MC Lemos, Mc Dricka, Mc Livinho, Mc Diouro	Set 2.0: Homenagem aos Relíquias	GREE CASSUA	70	107	73	124261	566AZpR4FJErkhS3CmuaWu
108	spotify:track:6jcGoHrqfRW6fI2I6xtwBQ	MC Marks	Deus é por nós	WM Brazil	12	109	212	122647	6jcGoHrqfRW6fI2I6xtwBQ
109	spotify:track:1rgnBhdG2JDFTbYkYRZAku	Tones And I	Dance Monkey	Elektra (NEK)	5	113	478	121352	1rgnBhdG2JDFTbYkYRZAku
110	spotify:track:2ASs0n7ukfyxAxDtdir4vF	MC Luan da BS, Mc Vitin do LJ, MC Marley	Privilégio	Funk Explode	108	108	36	120519	2ASs0n7ukfyxAxDtdir4vF
111	spotify:track:3tc8Z4lGzOIwmIVftsxO6o	Marília Mendonça	Graveto - Ao Vivo	Som Livre	3	115	369	119429	3tc8Z4lGzOIwmIVftsxO6o
112	spotify:track:7hxHWCCAIIxFLCzvDgnQHX	Internet Money, Gunna, Don Toliver, NAV	Lemonade (feat. Gunna, Don Toliver & NAV)	Internet Money Records/ TenThousand Projects	64	114	116	119310	7hxHWCCAIIxFLCzvDgnQHX
113	spotify:track:1fWITNjgwmKEonjikQUaa1	MC Kevinho	Avançada	WM Brazil	67	112	154	119012	1fWITNjgwmKEonjikQUaa1
114	spotify:track:5U28PY9MekLyCBYtLHGQpe	Melim	Meu Abrigo	Universal Music Ltda.	1	118	963	117565	5U28PY9MekLyCBYtLHGQpe
115	spotify:track:1Nmcs8zk7LfcvHRgLtTM5J	Orochi, Papatinho	Amor de Fim de Noite	Mainstreet Records	26	119	421	117326	1Nmcs8zk7LfcvHRgLtTM5J
116	spotify:track:3MkdA6vwF0ifRl86yzTlJW	Matuê	Kenny G	Sony Music Entertainment	5	117	494	117271	3MkdA6vwF0ifRl86yzTlJW
117	spotify:track:3tv697PZNnaQN0Mn2zGhS5	Gusttavo Lima	A Gente Fez Amor - Ao Vivo	Sony Music Entertainment	1	111	404	117266	3tv697PZNnaQN0Mn2zGhS5
118	spotify:track:0N2cvvlyEw5NFc00E3FB0D	Dj Guuga, Mc Pierre	Cabaré	GR6 Music	79	110	215	116991	0N2cvvlyEw5NFc00E3FB0D
119	spotify:track:20McUFi8KCIVdNDLrkTDuZ	HVME	Goosebumps	Columbia/B1 Recordings	119	122	8	115451	20McUFi8KCIVdNDLrkTDuZ
120	spotify:track:54bFM56PmE4YLRnqpW6Tha	Billie Eilish	Therefore I Am	Darkroom/Interscope Records	55	116	57	115332	54bFM56PmE4YLRnqpW6Tha
121	spotify:track:6iW38RGqdDGOofmz2HeXLW	MEDUZA, Alok, Goodboys	Piece Of Your Heart - Alok Remix	Virgin	69	123	533	114523	6iW38RGqdDGOofmz2HeXLW
122	spotify:track:1PZDyestTVydtHpaIcfUJg	Lana Del Rey	Chemtrails Over The Country Club	Polydor Records	122	-1	1	113521	1PZDyestTVydtHpaIcfUJg
123	spotify:track:4a5YIaK7qFu6T63GeYx1Ih	BIN, Borges, L7NNON, Ajaxx	Quase uma Semana	Mainstreet Records	109	125	58	113490	4a5YIaK7qFu6T63GeYx1Ih
124	spotify:track:01mKvmXQLhr3MEoiAEAcP2	Rennan da Penha, MC 2jhow	Talarica	Sony Music Entertainment	27	121	173	113015	01mKvmXQLhr3MEoiAEAcP2
125	spotify:track:7sYAS4CpbV90oSemgaEQat	Alok, Dynoro	On & On	Columbia/B1 Recordings	51	126	397	112628	7sYAS4CpbV90oSemgaEQat
126	spotify:track:25gD4PQjxCLnwIY2n23aEl	Vitão, Luísa Sonza	Flores	Universal Music Ltda.	2	127	215	112611	25gD4PQjxCLnwIY2n23aEl
127	spotify:track:7qEHsqek33rTcFNT9PFqLf	Lewis Capaldi	Someone You Loved	Vertigo Berlin	54	129	488	112573	7qEHsqek33rTcFNT9PFqLf
128	spotify:track:27X3qzgB0Show6qfw5wNOK	DJ Ivis, Tarcísio do Acordeon	Esquema Preferido (feat. Tarcísio do Acordeon)	Sony Music Entertainment	128	140	6	112199	27X3qzgB0Show6qfw5wNOK
129	spotify:track:2c80HnIOPMmQQVQllQEWb5	Matuê	É Sal	Sony Music Entertainment	6	128	121	110907	2c80HnIOPMmQQVQllQEWb5
130	spotify:track:16uUeKOV7m51Vlx9oUIEvE	MC WM, Niack, MC's Jhowzinho & Kadinho	Separei	WM Brazil	93	120	61	110653	16uUeKOV7m51Vlx9oUIEvE
131	spotify:track:2ylAocQwOgzelMbW9KJL56	Zé Vaqueiro	Meia Noite	Sony Music Entertainment	87	131	45	109600	2ylAocQwOgzelMbW9KJL56
132	spotify:track:3fLqmaO4vvZpFZSZy52VMp	Lagum, Ana Gabriela	Deixa (feat. Ana Gabriela)	Sony Music Entertainment	20	134	940	108467	3fLqmaO4vvZpFZSZy52VMp
133	spotify:track:1wsL4Lgoo27ETnLt6svbnT	Mc Jacaré	Senta no Fazendeiro	Mc Jacare / Los Pantchos	99	124	51	108448	1wsL4Lgoo27ETnLt6svbnT
134	spotify:track:5It3UpCRrZM6SJTL8dIQOV	Renno, Tarcísio do Acordeon	A Pior Parte	Sua Música	98	132	35	108118	5It3UpCRrZM6SJTL8dIQOV
135	spotify:track:6G5z2fh5MfVErDCsJJKNwv	Mc Livinho	Na Ponta do Pé 2	Music Branding	130	130	5	106774	6G5z2fh5MfVErDCsJJKNwv
136	spotify:track:6cx06DFPPHchuUAcTxznu9	Joel Corry, MNEK	Head & Heart (feat. MNEK)	Atlantic Records UK	125	135	79	106510	6cx06DFPPHchuUAcTxznu9
137	spotify:track:6rfNbeEGCh8M5AAj879g0r	Grupo Menos É Mais	Adorei	Som Livre	109	146	34	105949	6rfNbeEGCh8M5AAj879g0r
138	spotify:track:0SJtvFn4vqgJPscSbEPaql	Maiara & Maraisa, Dilsinho	Libera Ela - Ao Vivo	Som Livre	16	133	271	105835	0SJtvFn4vqgJPscSbEPaql
139	spotify:track:13Rf6RaZT13TW4xLQR3MQr	Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak, Hunter	Poesia Acústica #6: Era uma Vez	Pineapple StormTV	14	139	746	105210	13Rf6RaZT13TW4xLQR3MQr
140	spotify:track:3bUDPTCStUeLcUgXgvepQh	GIULIA BE, Luan Santana	inesquecível	WM Brazil	87	136	92	104917	3bUDPTCStUeLcUgXgvepQh
141	spotify:track:1daDRI9ahBonbWD8YcxOIB	Miley Cyrus	Angels Like You	RCA Records Label	77	148	6	104582	1daDRI9ahBonbWD8YcxOIB
142	spotify:track:233lqmrvWyIC7u5GiAnTV4	Jheo Chavoso, MC Gui Andrade, Mc Vênus	Tapão Nervoso	SR FILMES	138	138	9	104461	233lqmrvWyIC7u5GiAnTV4
143	spotify:track:60wF0XnX7A0jVpDNA5v8vi	Vytinho NG, Bianca	Tudo no Sigilo	Vytinho Ng	3	137	301	103273	60wF0XnX7A0jVpDNA5v8vi
144	spotify:track:67mqU3FeErlvWwsxnMfvQo	MC Du Black, Delacruz	Tudo Aconteceu	Universal Music Ltda.	3	142	293	102847	67mqU3FeErlvWwsxnMfvQo
145	spotify:track:3oe0vGmQxem3DcarYMuzu1	Felipe Araújo	Mentira - Ao Vivo	Universal Music Ltda.	11	141	407	102666	3oe0vGmQxem3DcarYMuzu1
146	spotify:track:68cPbG7hJnwDW9nPX1uQcX	BIN, Mainstreet, Ajaxx	Saturno	Mainstreet Records	146	162	9	102273	68cPbG7hJnwDW9nPX1uQcX
147	spotify:track:017PF4Q3l4DBUiWoXk4OWT	Dua Lipa	Break My Heart	Warner Records	8	145	273	102216	017PF4Q3l4DBUiWoXk4OWT
148	spotify:track:5yaXBGNko8lmFSOvKWo99j	Matheus & Kauan	Então Toma - Ao Vivo	Universal Music Ltda.	34	144	278	101458	5yaXBGNko8lmFSOvKWo99j
149	spotify:track:5gijVJHyC1E4kt2j5Q3DEb	Lauana Prado	Sua Mãe Tá Nessa - Ao Vivo Em São Paulo / 2019	Universal Music Ltda.	105	147	68	100260	5gijVJHyC1E4kt2j5Q3DEb
150	spotify:track:4WcskbAX3wImaennFI79Ll	Mila, Petter Ferraz, Menor Nico	Amor ou o Litrão - Brega Funk	KondZilla	117	143	12	99649	4WcskbAX3wImaennFI79Ll
151	spotify:track:6NM06xgqxQ0HU5lxbt2JHi	Gusttavo Lima	Saudade Sua	Sony Music Entertainment	2	156	243	99146	6NM06xgqxQ0HU5lxbt2JHi
152	spotify:track:7Gk5OrMYaMRtT2JmgJVAfk	ANAVITÓRIA, Vitor Kley	Pupila	Universal Music Ltda.	14	152	552	98440	7Gk5OrMYaMRtT2JmgJVAfk
153	spotify:track:62tcTmWpOcqFfZNWrheU1T	MC Mari, MC WS	Senta Concentrada (feat. MC WS)	Essa é Hit	89	150	81	98401	62tcTmWpOcqFfZNWrheU1T
154	spotify:track:5nujrmhLynf4yMoMtj8AQF	Dua Lipa, DaBaby	Levitating (feat. DaBaby)	Warner Records	143	155	29	98232	5nujrmhLynf4yMoMtj8AQF
155	spotify:track:7CHi4DtfK4heMlQaudCuHK	MEDUZA, Becky Hill, Goodboys	Lose Control	Virgin	53	158	356	97810	7CHi4DtfK4heMlQaudCuHK
156	spotify:track:2PWjKmjyTZeDpmOUa3a5da	Jorge & Mateus	Cheirosa - Ao Vivo	Som Livre	3	151	460	97060	2PWjKmjyTZeDpmOUa3a5da
