rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
102	spotify:track:49pu85144Xir6PgWjeyJhG	Guilherme & Benuto	Flor Que Se Cheira - Ao Vivo	Sony Music Entertainment	33	109	311	123563	49pu85144Xir6PgWjeyJhG
103	spotify:track:2kOmW169C7UV4SZDN9u0YO	Dj Guuga, Mc Livinho	Vidrado Em Você	GR6 Music	27	114	251	123280	2kOmW169C7UV4SZDN9u0YO
104	spotify:track:5MMrkwK6AgNAsgHVdC7daZ	Dilsinho	Péssimo Negócio (Ao Vivo)	Sony Music Entertainment	14	107	499	123207	5MMrkwK6AgNAsgHVdC7daZ
105	spotify:track:1oQppEGTHYN53xfEaTz4ua	PEDRO SAMPAIO	VAI MENINA	WM Brazil	27	110	368	123178	1oQppEGTHYN53xfEaTz4ua
106	spotify:track:15DHt4fP4FARWLvWkIxdAx	Vou pro Sereno, LUDMILLA	Teu Segredo - Ao Vivo	Sony Music Entertainment	72	106	150	121853	15DHt4fP4FARWLvWkIxdAx
107	spotify:track:5cN5ZOVcYBl4Lnq50Zeqsx	Matheus & Kauan, Gusttavo Lima	Mágica - Live	Universal Music Ltda.	35	112	360	121677	5cN5ZOVcYBl4Lnq50Zeqsx
108	spotify:track:4umIPjkehX1r7uhmGvXiSV	Justin Bieber, Quavo	Intentions (feat. Quavo)	RBMG/Def Jam	41	96	38	121500	4umIPjkehX1r7uhmGvXiSV
109	spotify:track:4A8LKlysJXq8swPVDPd0xH	Rennan da Penha, POCAH	Carnaval Chegando - Ao Vivo	Sony Music Entertainment	33	105	32	120626	4A8LKlysJXq8swPVDPd0xH
110	spotify:track:7CHi4DtfK4heMlQaudCuHK	MEDUZA, Becky Hill, Goodboys	Lose Control	Virgin	72	104	101	119248	7CHi4DtfK4heMlQaudCuHK
111	spotify:track:24YUl9cgjcEvgJTr2WIT1q	Diego & Arnaldo	Casos Pendentes - Acústico	Sony Music Entertainment	65	116	101	118786	24YUl9cgjcEvgJTr2WIT1q
112	spotify:track:67JokRnfWFJ93mA5HLIw6q	Lexa	Aquecimento da Lexa	Som Livre	76	117	40	117947	67JokRnfWFJ93mA5HLIw6q
113	spotify:track:0AVDN1LiDn0abh39xqDRtQ	Mc Gw, MC Theuzyn, DJ Piu	Rave Jogando o L	GR6 Music	84	111	38	117887	0AVDN1LiDn0abh39xqDRtQ
114	spotify:track:6cy3ki60hLwimwIje7tALf	Black Eyed Peas, J Balvin	RITMO (Bad Boys For Life)	Epic/We The Best	62	101	127	117702	6cy3ki60hLwimwIje7tALf
115	spotify:track:2kJu14V7hbZw3I4K8L8SXb	Lady Gaga	Stupid Love	Interscope	5	92	17	117568	2kJu14V7hbZw3I4K8L8SXb
116	spotify:track:696DnlkuDOXcMAnKlTgXXK	Arizona Zervas	ROXANNE	Arizona Zervas	70	119	112	116440	696DnlkuDOXcMAnKlTgXXK
117	spotify:track:21jGcNKet2qwijlDFuPiPb	Post Malone	Circles	Republic Records	32	115	199	114689	21jGcNKet2qwijlDFuPiPb
118	spotify:track:37hCsK2djczyRGWMjqzbxD	Mc Lele JP, MC Neguinho do Kaxeta	Sou Vitorioso	GR6 Music	90	120	72	113694	37hCsK2djczyRGWMjqzbxD
119	spotify:track:6X0XdIcgwfVa9orJnDMQB0	Pabllo Vittar, Psirico	Parabéns	Sony Music Entertainment	18	123	150	113095	6X0XdIcgwfVa9orJnDMQB0
120	spotify:track:13Rf6RaZT13TW4xLQR3MQr	Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak, Hunter	Poesia Acústica #6: Era uma Vez	Pineapple StormTV	14	124	446	113021	13Rf6RaZT13TW4xLQR3MQr
121	spotify:track:0rUL7vUZmCKxB0gS83W3aM	Marília Mendonça, Leo Santana, Didá Banda Feminina	Apaixonadinha - Ao Vivo	Som Livre	49	128	304	112917	0rUL7vUZmCKxB0gS83W3aM
122	spotify:track:1qCLx3nX25NuhfPjM5E1qV	Melim	Ouvi Dizer	Universal Music Ltda.	10	118	604	112693	1qCLx3nX25NuhfPjM5E1qV
123	spotify:track:7qEHsqek33rTcFNT9PFqLf	Lewis Capaldi	Someone You Loved	Vertigo Berlin	60	129	200	112374	7qEHsqek33rTcFNT9PFqLf
124	spotify:track:22rcaYTa2UgcLCbeO0NoNj	Priscilla Alcantara, Whindersson Nunes	Girassol	Sony Music Entertainment	5	113	95	112339	22rcaYTa2UgcLCbeO0NoNj
125	spotify:track:2Fxmhks0bxGSBdJ92vM42m	Billie Eilish	bad guy	Darkroom/Interscope Records	21	125	353	112325	2Fxmhks0bxGSBdJ92vM42m
126	spotify:track:7D5F5BzIon5zhzQrOU2pdN	Marília Mendonça	Ciumeira - Ao Vivo	Som Livre	1	137	570	110826	7D5F5BzIon5zhzQrOU2pdN
127	spotify:track:34b3EBDqiWqj2rL61YwzUQ	Henrique & Juliano	Alô Bebê - Ao Vivo	Virgin Music Label And Artist Services (S&D)	94	121	24	110376	34b3EBDqiWqj2rL61YwzUQ
128	spotify:track:24Yi9hE78yPEbZ4kxyoXAI	SAINt JHN, Imanbek	Roses - Imanbek Remix	Columbia/B1 Recordings	104	126	17	110067	24Yi9hE78yPEbZ4kxyoXAI
129	spotify:track:65i9Mc7h1CG7ssI1OhMPcT	Dilsinho	Onze e Pouquinho	Sony Music Entertainment	107	127	150	109886	65i9Mc7h1CG7ssI1OhMPcT
130	spotify:track:3dPvQLKl42dMYWV4LWRTLK	Os Barões Da Pisadinha	Tá Rocheda	Sony Music Entertainment	103	147	33	108672	3dPvQLKl42dMYWV4LWRTLK
131	spotify:track:1qy7aOHnfnOMJoT1fhoLYG	Marília Mendonça, Gaab	Intenção - Ao Vivo	Som Livre	54	134	213	108633	1qy7aOHnfnOMJoT1fhoLYG
132	spotify:track:0J6cINt02c8UQqDG7vLShY	Melim	Gelo	Universal Music Ltda.	31	122	209	108248	0J6cINt02c8UQqDG7vLShY
133	spotify:track:2RoWhAVtQrPU53BERYlmYZ	Pineapple StormTv, Cesar Mc, Elana Dara, Kayuá, Froid, Cynthia Luz, MV Bill, Bob do Contra, Hunter, Projota	Poesia Acústica #8: Amor e Samba	Pineapple StormTV	35	130	93	107842	2RoWhAVtQrPU53BERYlmYZ
134	spotify:track:6Diq6oBnDVzsrNcRllXRbM	Mc Leozin	Maldita de Ex	A2M Produtora	59	136	212	107560	6Diq6oBnDVzsrNcRllXRbM
135	spotify:track:1zI3RU0boCVsAXChjCvESu	Ferrugem	Até que enfim - Ao vivo	WM Brazil	46	142	240	106493	1zI3RU0boCVsAXChjCvESu
136	spotify:track:5GHA824FwkHeBl5u1T6kLj	Hugo & Guilherme	Namorada Reserva - Ao Vivo	Som Livre	71	145	226	106083	5GHA824FwkHeBl5u1T6kLj
137	spotify:track:3yOuQI8yjJaApfdo4hdkVW	Zé Neto & Cristiano	Textão - Ao Vivo	Som Livre	67	133	17	104978	3yOuQI8yjJaApfdo4hdkVW
138	spotify:track:69Si1G3kLuCQLqQF1EbL25	MC Kevin o Chris, Ferrugem	Romance Proibido - Ao Vivo	Som Livre	86	140	87	104902	69Si1G3kLuCQLqQF1EbL25
139	spotify:track:3tu0GkIZwwkmILoD4HemBq	Raí Saia Rodada	Bebe e Vem Me Procurar	Som Livre	36	139	276	104791	3tu0GkIZwwkmILoD4HemBq
140	spotify:track:01wavOnjFBNgdMWBFYIAP4	Sorriso Maroto, Dilsinho	50 Vezes - Ao Vivo	Sony Music Entertainment	35	141	290	104353	01wavOnjFBNgdMWBFYIAP4
141	spotify:track:6l1PdE7lQbodewVQh16GCM	Projota, Vitão	Sei Lá	Universal Music Ltda.	23	131	324	104123	6l1PdE7lQbodewVQh16GCM
142	spotify:track:5rNNZ6fVYxkhwqUfImVhU1	IZA	Brisa	WM Brazil	36	135	331	103238	5rNNZ6fVYxkhwqUfImVhU1
143	spotify:track:5px6upUHM3fhOP621Edp4V	Dua Lipa	Physical	Warner Records	29	132	43	102459	5px6upUHM3fhOP621Edp4V
144	spotify:track:7N0Py2msno86enR6JPNlpV	Turma do Pagode	Muito Cedo	Sony Music Entertainment	137	144	37	102384	7N0Py2msno86enR6JPNlpV
