rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:4xWzZmX4K1yyrdtRfbUvjt","Niack","Oh Juliana","Niack",1,1,54,"657364"
2,"spotify:track:15k1TDabqSEmyXOwMq9RM7","Jonas Esticado","Investe Em Mim","Som Livre",2,2,66,"496444"
3,"spotify:track:4zGtfOglDBfVUypabBwIjQ","Mc Zaac, Anitta, Tyga","Desce Pro Play (PA PA PA)","Universal Music Ltda.",1,3,67,"435203"
4,"spotify:track:6Q9NH5cNBY58nJkp5Jbs9j","Manu Gavassi, Gloria Groove","Deve ser horrível dormir sem mim","Universal Music Ltda.",2,22,11,"409993"
5,"spotify:track:2fmeSswdyVq4wcqhY41UHk","Pineapple StormTv, L7NNON, Chris MC, Xamã, Lourena, Cesar Mc, Djonga, Filipe Ret, Salve Malak, Hunter","Poesia Acústica #9: Melhor Forma","Pineapple StormTV",2,23,52,"384484"
6,"spotify:track:0AGS6ZRgzobrazmCi6pYMe","Niack","Na Raba Toma Tapão","Niack / Ritmo dos Fluxos",1,4,109,"366237"
7,"spotify:track:51uXmhqGR76tT2UeKZyeN6","Marília Mendonça, Maiara & Maraisa","Quero Você do Jeito Que Quiser","Som Livre",5,7,53,"361307"
8,"spotify:track:12v6LfkX9YIR3uLefIAAYZ","Mc Jacaré","Comprei um Lança","Mc Jacare / Los Pantchos",8,8,70,"353635"
9,"spotify:track:5GAdMAL3tRJkVN1HtwohK2","Mc Don Juan, Maiara & Maraisa","Vai Ter Que Aguentar","GR6 Music",6,12,92,"353353"
10,"spotify:track:4zsiMjB0794HztyqUkD3Zi","Dilsinho, Henrique & Juliano","Sogra - Ao Vivo","Sony Music Entertainment",6,6,85,"351878"
11,"spotify:track:7o9LwQmTuIDm4LyyHFIWul","Henrique & Juliano","Volta Por Baixo - Ao Vivo","Virgin Music Label And Artist Services (S&D)",2,5,235,"341427"
12,"spotify:track:6jcGoHrqfRW6fI2I6xtwBQ","MC Marks","Deus é por nós","WM Brazil",12,14,78,"330627"
13,"spotify:track:0RaIjuKU5hudMteEXwr4RS","Jorge & Mateus","Ranking","Som Livre",4,11,179,"324824"
14,"spotify:track:4Oun2ylbjFKMPTiaSbbCih","Cardi B, Megan Thee Stallion","WAP (feat. Megan Thee Stallion)","Atlantic/KSR",14,39,25,"316900"
15,"spotify:track:67mqU3FeErlvWwsxnMfvQo","MC Du Black, Delacruz","Tudo Aconteceu","Universal Music Ltda.",3,17,159,"313597"
16,"spotify:track:3WjSkl7VDWY1prwJw7dSG0","Zé Neto & Cristiano","Barzinho Aleatório - Ao Vivo","Som Livre",7,10,270,"309091"
17,"spotify:track:0hDphSo7vI7gCjEPpD6gu0","GIULIA BE","se essa vida fosse um filme","WM Brazil",12,37,50,"305665"
18,"spotify:track:7pDcS0EVMJR0YwjXmHcCRg","Luísa Sonza, Mc Zaac","TOMA","Universal Music Ltda.",9,25,32,"300891"
19,"spotify:track:25gD4PQjxCLnwIY2n23aEl","Vitão, Luísa Sonza","Flores","Universal Music Ltda.",2,31,81,"299109"
20,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",16,46,202,"289906"
21,"spotify:track:3dPvQLKl42dMYWV4LWRTLK","Os Barões Da Pisadinha","Tá Rocheda","Sony Music Entertainment",9,9,188,"285491"
22,"spotify:track:4DngRKOpRPrkbzImUB0zgh","Matheus & Kauan","Litrão - Ao Vivo Em Recife / 2020","Universal Music Ltda.",2,16,214,"280598"
23,"spotify:track:260n4ECk9j4IEvTAVBYojl","Matheus & Kauan","Nem Doeu - Ao Vivo","Universal Music Ltda.",15,18,95,"279163"
24,"spotify:track:0t1kP63rueHleOhQkYSXFY","BTS","Dynamite","BIGHIT MUSIC",5,49,11,"276983"
25,"spotify:track:71FrGl0XcpL3VId65tB5mg","Os Barões Da Pisadinha","Recairei - Ao Vivo","Sony Music Entertainment",13,13,110,"274744"
26,"spotify:track:2WlZuBDgLfT7Kc0admhFdg","Luísa Sonza","BRABA","Universal Music Ltda.",1,32,167,"273374"
