,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:3Ghyp3X5Ua9ypHnBIgOObI,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,Virgin Music Label And Artist Services (S&D),1,1,58,1068468,3Ghyp3X5Ua9ypHnBIgOObI,-0.6808,0.023,0.977,0.0
1,2,spotify:track:4HUZBG98TYbxSR9V1V2DWS,"Thiaguinho MT, Mila, JS o Mão de Ouro",Tudo Ok,Sony Music Entertainment,2,2,34,829714,4HUZBG98TYbxSR9V1V2DWS,-0.889,0.063,0.906,0.032
2,3,spotify:track:4lKuzrdZrJuCAedbIslF3A,"PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro",SENTADÃO,WM Brazil,2,3,72,779344,4lKuzrdZrJuCAedbIslF3A,0.5696,0.06,0.867,0.073
3,4,spotify:track:3tv697PZNnaQN0Mn2zGhS5,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,Sony Music Entertainment,2,4,58,748302,3tv697PZNnaQN0Mn2zGhS5,0.9946,0.029,0.823,0.148
4,5,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,5,6,23,661317,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
5,6,spotify:track:2bPtwnrpFNEe8N7Q85kLHw,"Anitta, Lexa, Luísa Sonza, Rebecca",Combatchy (feat. MC Rebecca),WM Brazil,1,7,74,625779,2bPtwnrpFNEe8N7Q85kLHw,-0.9637,0.061,0.939,0.0
6,7,spotify:track:63SHcJzckFykS8faA5zojY,"MC Ingryd, DJ Henrique da VK",Vem Me Satisfazer,MC Ingryd,5,5,60,624537,63SHcJzckFykS8faA5zojY,-0.9718,0.066,0.934,0.0
7,8,spotify:track:2Q9TaUXNM4mNSCgJjbmsJe,Zé Neto & Cristiano,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Som Livre,4,10,65,600892,2Q9TaUXNM4mNSCgJjbmsJe,0.0,0.0,1.0,0.0
8,9,spotify:track:2PWjKmjyTZeDpmOUa3a5da,Jorge & Mateus,Cheirosa - Ao Vivo,Som Livre,3,11,114,584019,2PWjKmjyTZeDpmOUa3a5da,-0.5267,0.02,0.98,0.0
9,10,spotify:track:3J5Pu25BODMex4Jpy4l6FL,"Luíza & Maurílio, Zé Neto & Cristiano",S de Saudade,Som Livre,10,12,93,565944,3J5Pu25BODMex4Jpy4l6FL,0.0,0.0,1.0,0.0
10,11,spotify:track:5F8ffc8KWKNawllr5WsW0r,"Dadá Boladão, Tati Zaqui, OIK",Surtada - Remix Brega Funk,Sony Music Entertainment,1,9,125,563436,5F8ffc8KWKNawllr5WsW0r,-0.5267,0.014,0.986,0.0
11,12,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra (NEK),5,8,132,543950,1rgnBhdG2JDFTbYkYRZAku,0.0387,0.023,0.946,0.03
12,13,spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF,Gustavo Mioto,Com Ou Sem Mim - Ao Vivo,Universal Music Ltda.,12,13,72,537020,5L8ZEyIdZ2KE4Wf51SsuOF,0.8541,0.0,0.963,0.037
13,14,spotify:track:3GmJxfnUDrIs1iCfKUELFz,Marília Mendonça,Supera - Ao Vivo,Som Livre,1,14,170,526073,3GmJxfnUDrIs1iCfKUELFz,0.8402,0.0,0.964,0.036
14,15,spotify:track:1uryupl9hqVZYurJwH4G9k,Guilherme & Benuto,3 Batidas - Ao Vivo,Sony Music Entertainment,8,15,161,502741,1uryupl9hqVZYurJwH4G9k,0.0,0.083,0.856,0.061
15,16,spotify:track:6lK3nCiigk34SGqEjpQoqO,Maiara & Maraisa,Aí Eu Bebo - Ao Vivo,Som Livre,13,19,107,475793,6lK3nCiigk34SGqEjpQoqO,0.0,0.0,1.0,0.0
16,17,spotify:track:7vZqxuOvEwRHsGVaDykzpY,Os Parazim,Porta Mala,Os Parazim,12,16,43,453183,7vZqxuOvEwRHsGVaDykzpY,-0.296,0.004,0.996,0.0
17,18,spotify:track:2RMOwSvOGQyy985Vx4VSGQ,"LUDMILLA, Topo La Maskara, Walshy Fire",Verdinha,WM Brazil,8,17,65,439845,2RMOwSvOGQyy985Vx4VSGQ,-0.1431,0.049,0.917,0.034
18,19,spotify:track:2qD7VoDYcrAPY0cVEfpsR5,"Anitta, Marília Mendonça",Some que ele vem atrás,WM Brazil,2,20,95,436626,2qD7VoDYcrAPY0cVEfpsR5,0.0,0.0,1.0,0.0
19,20,spotify:track:6QwFUcPc5nhsqZuhXUYtV7,Jorge & Mateus,Tijolão - Ao Vivo,Som Livre,1,25,254,425450,6QwFUcPc5nhsqZuhXUYtV7,0.0,0.0,1.0,0.0
20,21,spotify:track:5FFpRbsH9WDYNoLauRAHpj,"MC Kevinho, Dadá Boladão, MC JottaPê",Paredão,WM Brazil,18,18,41,423913,5FFpRbsH9WDYNoLauRAHpj,-0.9581,0.059,0.941,0.0
21,22,spotify:track:7o9LwQmTuIDm4LyyHFIWul,Henrique & Juliano,Volta Por Baixo - Ao Vivo,Virgin Music Label And Artist Services (S&D),22,26,23,410995,7o9LwQmTuIDm4LyyHFIWul,0.9798,0.0,0.907,0.093
22,23,spotify:track:3Uq45ipGutypFPmETfaoaH,"MC Du Black, DJ 2F",Gaiola É o Troco,EP MIX Editora,1,22,188,410389,3Uq45ipGutypFPmETfaoaH,0.9581,0.0,0.954,0.046
23,24,spotify:track:5dKesZwp6deuhEeW8F1UEi,"Felipe Original, MC Kevin o Chris, Sodré, JS o Mão de Ouro",Hit Contagiante,Tudo Nosso Produtora,1,27,187,408741,5dKesZwp6deuhEeW8F1UEi,-0.9337,0.105,0.847,0.048
24,25,spotify:track:14kRWkCWBYfQqILflEcpSJ,"Lexa, PEDRO SAMPAIO",Chama Ela (feat. Pedro Sampaio),Som Livre,5,24,130,402275,14kRWkCWBYfQqILflEcpSJ,-0.8593,0.038,0.962,0.0
25,26,spotify:track:4j2bK4fnc2s6GyVmhJsJhk,Henrique & Juliano,Briga Feia - Ao Vivo,Virgin Music Label And Artist Services (S&D),25,28,51,388905,4j2bK4fnc2s6GyVmhJsJhk,-0.5267,0.018,0.982,0.0
26,27,spotify:track:2MOq63fxuFLYQM3CsDcFs1,GIULIA BE,menina solta,WM Brazil,10,23,117,371091,2MOq63fxuFLYQM3CsDcFs1,0.2244,0.015,0.973,0.013
27,28,spotify:track:4RC2nzqaQygxoVQOVv3XlT,"Leo Santana, Anitta",Contatinho - Ao Vivo,Universal Music Ltda.,5,30,149,364997,4RC2nzqaQygxoVQOVv3XlT,0.8692,0.014,0.958,0.028
28,29,spotify:track:17Ryox5vWKp92IDW87C5PI,Gusttavo Lima,Quem Traiu Levou - Ao Vivo,Sony Music Entertainment,14,33,143,362485,17Ryox5vWKp92IDW87C5PI,-0.1531,0.025,0.96,0.015
29,30,spotify:track:1U3tv41tFRgOfbytpuYQrR,Zé Neto & Cristiano,Ferida Curada,Som Livre,4,31,198,352726,1U3tv41tFRgOfbytpuYQrR,0.9682,0.0,0.91,0.09
30,31,spotify:track:5q0NlM6Pm8Pp3orq7zGiRn,"Matheus & Kauan, Jorge & Mateus",Quarta Cadeira - Ao Vivo,Universal Music Ltda.,9,36,317,351787,5q0NlM6Pm8Pp3orq7zGiRn,0.0,0.0,1.0,0.0
31,32,spotify:track:72xB2J9ZeBl0Rzxq2XmzdY,"João Gustavo e Murilo, Analaga",Lençol Dobrado,WM Brazil,2,34,454,349897,72xB2J9ZeBl0Rzxq2XmzdY,0.0,0.0,1.0,0.0
32,33,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,Dua Lipa,Don't Start Now,Warner Records,21,21,93,349076,6WrI0LAC5M1Rw2MnX2ZvEg,-0.9873,0.129,0.839,0.032
33,34,spotify:track:5MArTXEVyKBwoodjdy04fk,"Zé Felipe, Gusttavo Lima",Tiro Certo - Ao Vivo,Som Livre,14,39,233,346169,5MArTXEVyKBwoodjdy04fk,0.9081,0.0,0.954,0.046
34,35,spotify:track:7HLU2aJTAQfSIgJ2dMASsP,"Mc Poze do Rodo, Dj Gabriel do Borel",To Voando Alto,Mc Poze do Rodo,16,32,70,336236,7HLU2aJTAQfSIgJ2dMASsP,0.0,0.0,1.0,0.0
35,36,spotify:track:4k20Ie47EcWtS4wMBn8w8S,"LUDMILLA, Leo Santana",Invocada (Participação especial de Léo Santana) - Ao vivo,WM Brazil,10,38,192,328752,4k20Ie47EcWtS4wMBn8w8S,0.0,0.0,1.0,0.0
36,37,spotify:track:5fY9bVl1Wj4PIM3wnduWop,Marília Mendonça,Serenata - Ao Vivo,Som Livre,14,40,261,326659,5fY9bVl1Wj4PIM3wnduWop,0.0,0.0,1.0,0.0
37,38,spotify:track:2PqPSf3gtTED79rWGwVtYg,Diego & Victor Hugo,Áudio - Ao Vivo em Brasília,Sony Music Entertainment,30,41,204,325142,2PqPSf3gtTED79rWGwVtYg,0.0,0.0,1.0,0.0
38,39,spotify:track:7yYsyXQa2JgbyL9fkEiUNt,Pabllo Vittar,Amor de Que,Sony Music Entertainment,11,35,93,323905,7yYsyXQa2JgbyL9fkEiUNt,0.995,0.032,0.792,0.176
39,40,spotify:track:1MmS7UIy3J1BTxfGCRvVqN,Gusttavo Lima,Carreira Solo - Ao Vivo,Sony Music Entertainment,22,42,93,319681,1MmS7UIy3J1BTxfGCRvVqN,0.0,0.0,1.0,0.0
40,41,spotify:track:5n8Y78Pl5q8lqS7sJP61qw,Diego & Arnaldo,Relógio Parado (Ao Vivo),Sony Music Entertainment,39,46,108,302585,5n8Y78Pl5q8lqS7sJP61qw,0.0,0.0,1.0,0.0
41,42,spotify:track:3vSXPjfcebTt5mB8DXHWM6,Wesley Safadão,Dois Lados,Som Livre,42,49,177,302427,3vSXPjfcebTt5mB8DXHWM6,0.4098,0.0,0.988,0.012
42,43,spotify:track:1G60NjxeOS7veR1EXuKPaW,Gustavo Mioto,Fake News - Ao Vivo Em São Paulo / 2019,Universal Music Ltda.,18,44,269,298810,1G60NjxeOS7veR1EXuKPaW,0.9581,0.036,0.867,0.097
43,44,spotify:track:0CgMeXQiNYJxPVQ2EMJxdL,"Mc Livinho, Mc Pedrinho",Se Prepara 2,GR6 Music,31,45,107,288975,0CgMeXQiNYJxPVQ2EMJxdL,0.0,0.0,1.0,0.0
44,45,spotify:track:41L3O37CECZt3N7ziG2z7l,Justin Bieber,Yummy,RBMG/Def Jam,12,37,30,275018,41L3O37CECZt3N7ziG2z7l,0.9986,0.008,0.736,0.256
45,46,spotify:track:26WpOBpHiIMoBuMEIwtOCH,"Pk, PK Delas",Quando a vontade bater (Participação especial de PK Delas),WM Brazil,6,47,324,267753,26WpOBpHiIMoBuMEIwtOCH,0.0,0.0,1.0,0.0
46,47,spotify:track:31yFXM26dazFnWI2eoOM5R,"MC G15, Mc Livinho",Ela Vem,GR6 Music,21,48,226,267075,31yFXM26dazFnWI2eoOM5R,-0.8299,0.032,0.968,0.0
47,48,spotify:track:3MkdA6vwF0ifRl86yzTlJW,Matuê,Kenny G,Sony Music Entertainment,5,43,150,262094,3MkdA6vwF0ifRl86yzTlJW,0.8732,0.048,0.888,0.064
48,49,spotify:track:5W1kqz2l1lDX77DXBMeXZg,Matheus & Kauan,Litrão - Ao Vivo Em Recife / 2020,Universal Music Ltda.,49,50,2,261864,5W1kqz2l1lDX77DXBMeXZg,-0.7989,0.029,0.971,0.0
49,50,spotify:track:6mdU8glNHYdBBj5DuKSL1B,Gusttavo Lima,Perrengue - Ao Vivo,Sony Music Entertainment,15,55,121,258810,6mdU8glNHYdBBj5DuKSL1B,0.0,0.0,1.0,0.0
50,51,spotify:track:5px6upUHM3fhOP621Edp4V,Dua Lipa,Physical,Warner Records,29,29,2,253877,5px6upUHM3fhOP621Edp4V,0.9313,0.059,0.848,0.094
51,52,spotify:track:4UUtssVRs2aQTLQCAAtZg1,Jorge & Mateus,"Mil Anos - Recorded At Mosh Studios, São Paulo",Som Livre,35,57,54,253646,4UUtssVRs2aQTLQCAAtZg1,0.8402,0.0,0.953,0.047
52,53,spotify:track:2TR917wkDeRvwTE5cSfZFf,"Humberto & Ronaldo, Matheus & Kauan",Tchau Brigado - Ao Vivo,Humberto e Ronaldo,46,61,31,251581,2TR917wkDeRvwTE5cSfZFf,0.0,0.0,1.0,0.0
53,54,spotify:track:6V43u5SCjkfMpxMAXRPifr,"MC JottaPê, DJ RD, MC M10",Sentou e Gostou,KondZilla,3,56,196,245103,6V43u5SCjkfMpxMAXRPifr,0.9935,0.0,0.838,0.162
54,55,spotify:track:159ntSAEWJ9zIMOSXmQ530,Luan Santana,choque térmico - ao vivo,Som Livre,11,59,163,244623,159ntSAEWJ9zIMOSXmQ530,0.8402,0.0,0.97,0.03
55,56,spotify:track:4jGzR5Vri06Y5T9SxM7m5P,"Xand Avião, Gusttavo Lima",Algo Mais (Amante) - Ao Vivo,Som Livre,10,69,263,241916,4jGzR5Vri06Y5T9SxM7m5P,-0.9688,0.018,0.981,0.001
56,57,spotify:track:3WjSkl7VDWY1prwJw7dSG0,Zé Neto & Cristiano,Barzinho Aleatório - Ao Vivo,Som Livre,55,63,58,236197,3WjSkl7VDWY1prwJw7dSG0,-0.5267,0.021,0.979,0.0
57,58,spotify:track:5gvrBqNFFEWcxYPt3mamvJ,Luan Santana,quando a bad bater - ao vivo,Som Livre,1,52,219,235647,5gvrBqNFFEWcxYPt3mamvJ,-0.9738,0.123,0.823,0.054
58,59,spotify:track:4lEw9Id7kLDSJ6KRdaenM9,Felipe Araújo,Espaçosa Demais - Ao Vivo,Universal Music Ltda.,12,66,486,235345,4lEw9Id7kLDSJ6KRdaenM9,-0.8299,0.029,0.971,0.0
59,60,spotify:track:6sRLrSetyIwIKhW1eMlUNP,"Matheus & Kauan, Marília Mendonça",Vou Ter Que Superar - Ao Vivo,Universal Music Ltda.,2,62,317,233071,6sRLrSetyIwIKhW1eMlUNP,0.9304,0.0,0.962,0.038
60,61,spotify:track:2KyXyTrp3kp1Fsg7B1osYD,"Yasmin Santos, Marília Mendonça","Para, Pensa e Volta - Ao Vivo",Sony Music Entertainment,19,68,219,232902,2KyXyTrp3kp1Fsg7B1osYD,0.0,0.0,1.0,0.0
61,62,spotify:track:2kOmW169C7UV4SZDN9u0YO,"Dj Guuga, Mc Livinho",Vidrado Em Você,GR6 Music,27,64,208,230486,2kOmW169C7UV4SZDN9u0YO,0.0,0.0,1.0,0.0
62,63,spotify:track:7offICpl9kla5kC61uUAs9,"MC JottaPê, Lexa",Bate Palma,KondZilla Records,63,65,16,219529,7offICpl9kla5kC61uUAs9,-0.9929,0.1,0.896,0.005
63,64,spotify:track:3NnW2EqJxvHYrRy3upaznl,"MC Kevin o Chris, POCAH",Resenha lá em casa,WM Brazil,29,67,212,214852,3NnW2EqJxvHYrRy3upaznl,-0.5267,0.007,0.993,0.0
64,65,spotify:track:6toDZSoqG5QUitFsoxavRy,"Vitão, Anitta",Complicado,Universal Music Ltda.,8,53,121,214605,6toDZSoqG5QUitFsoxavRy,0.9446,0.009,0.94,0.05
65,66,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Señorita,Island Records,2,54,226,214415,6v3KW9xbzN5yKLt9YKDYA2,0.9988,0.033,0.724,0.244
66,67,spotify:track:4E6RdcCWMiHTu7zy1VTNDo,Marília Mendonça,Todo Mundo Vai Sofrer - Ao Vivo,Som Livre,1,60,261,213598,4E6RdcCWMiHTu7zy1VTNDo,0.0,0.0,1.0,0.0
67,68,spotify:track:7Gk5OrMYaMRtT2JmgJVAfk,"ANAVITÓRIA, Vitor Kley",Pupila,Universal Music Ltda.,14,58,212,210950,7Gk5OrMYaMRtT2JmgJVAfk,-0.5349,0.007,0.993,0.0
