,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
23,24,spotify:track:146Vb458Y5RbqEa0fYFPzm,Felipe Araújo,Mentira - Ao Vivo,Universal Music Ltda.,21,28,141,256010,146Vb458Y5RbqEa0fYFPzm,0.0,0.0,1.0,0.0
24,25,spotify:track:4j2bK4fnc2s6GyVmhJsJhk,Henrique & Juliano,Briga Feia - Ao Vivo,Virgin Music Label And Artist Services (S&D),23,23,131,252708,4j2bK4fnc2s6GyVmhJsJhk,-0.5267,0.018,0.982,0.0
25,26,spotify:track:2Ou6UYuUbNyqwXxRDSeFRf,Maiara & Maraisa,Aí Eu Bebo - Ao Vivo,Som Livre,13,32,187,244891,2Ou6UYuUbNyqwXxRDSeFRf,0.0,0.0,1.0,0.0
26,27,spotify:track:4p8pEdPYOQLzJUKYrLOacy,"WC no Beat, PEDRO SAMPAIO, FP do Trem Bala",BALANÇA (feat. Pedro Sampaio),Sony Music Entertainment,8,27,82,237259,4p8pEdPYOQLzJUKYrLOacy,-0.5803,0.018,0.982,0.0
27,28,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,23,24,116,235663,0VjIjW4GlUZAMYd2vXMi3b,0.0,0.0,1.0,0.0
28,29,spotify:track:2bPtwnrpFNEe8N7Q85kLHw,"Anitta, Lexa, Luísa Sonza, Rebecca",Combatchy (feat. MC Rebecca),WM Brazil,1,30,154,235604,2bPtwnrpFNEe8N7Q85kLHw,-0.9637,0.061,0.939,0.0
29,30,spotify:track:4pnlRYoaaGu24SuC3et5Pv,"Yasmin Santos, Wesley Safadão",Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo,Sony Music Entertainment,30,38,218,233319,4pnlRYoaaGu24SuC3et5Pv,0.0,0.0,1.0,0.0
30,31,spotify:track:7eJMfftS33KTjuF7lTsMCx,"Powfu, beabadoobee",death bed (coffee for your head),Columbia,25,25,44,230056,7eJMfftS33KTjuF7lTsMCx,0.9925,0.033,0.859,0.108
31,32,spotify:track:2PqPSf3gtTED79rWGwVtYg,Diego & Victor Hugo,Áudio - Ao Vivo em Brasília,Sony Music Entertainment,28,36,284,227874,2PqPSf3gtTED79rWGwVtYg,0.0,0.0,1.0,0.0
32,33,spotify:track:2MOq63fxuFLYQM3CsDcFs1,GIULIA BE,menina solta,WM Brazil,10,31,197,226730,2MOq63fxuFLYQM3CsDcFs1,0.2244,0.015,0.973,0.013
33,34,spotify:track:017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,Warner Records,8,29,27,220154,017PF4Q3l4DBUiWoXk4OWT,0.9992,0.065,0.698,0.236
34,35,spotify:track:5LpLYzpV0HWKI2DlPmNywg,"Wesley Safadão, Zé Neto & Cristiano",Despedida - Ao Vivo,Som Livre,30,37,19,218337,5LpLYzpV0HWKI2DlPmNywg,-0.9388,0.049,0.951,0.0
35,36,spotify:track:4HUZBG98TYbxSR9V1V2DWS,"Thiaguinho MT, Mila, JS o Mão de Ouro",Tudo Ok,Sony Music Entertainment,1,34,114,217678,4HUZBG98TYbxSR9V1V2DWS,-0.889,0.063,0.906,0.032
36,37,spotify:track:6QwFUcPc5nhsqZuhXUYtV7,Jorge & Mateus,Tijolão - Ao Vivo,Som Livre,1,40,334,214463,6QwFUcPc5nhsqZuhXUYtV7,0.0,0.0,1.0,0.0
