rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
157	spotify:track:2RoWhAVtQrPU53BERYlmYZ	Pineapple StormTv, Cesar Mc, Elana Dara, Kayuá, Froid, Cynthia Luz, MV Bill, Bob do Contra, Hunter, Projota	Poesia Acústica #8: Amor e Samba	Pineapple StormTV	35	147	136	76790	2RoWhAVtQrPU53BERYlmYZ
158	spotify:track:3GSGW5pQhHKBmmQLebX3vx	Mc Anônimo	Pagou De Superada	Gufo Records	70	166	139	76384	3GSGW5pQhHKBmmQLebX3vx
159	spotify:track:0u2P5u6lvoDfwTYjAADbn4	Billie Eilish, Khalid	lovely (with Khalid)	Darkroom	124	169	115	76291	0u2P5u6lvoDfwTYjAADbn4
160	spotify:track:15DHt4fP4FARWLvWkIxdAx	Vou pro Sereno, LUDMILLA	Teu Segredo - Ao Vivo	Sony Music Entertainment	72	162	195	76109	15DHt4fP4FARWLvWkIxdAx
161	spotify:track:49pu85144Xir6PgWjeyJhG	Guilherme & Benuto	Flor Que Se Cheira - Ao Vivo	Sony Music Entertainment	33	167	356	76090	49pu85144Xir6PgWjeyJhG
162	spotify:track:2FGhB10Gon36GgFcOTMQEW	Pineapple StormTv, MC Hariel, Negra Li, Ducon, MC Kevin o Chris, Chris MC, Matuê, Dk 47, Vitão, Salve Malak, Hunter	Poesia Acústica #7: Céu Azul	Pineapple StormTV	21	164	291	75692	2FGhB10Gon36GgFcOTMQEW
163	spotify:track:7szuecWAPwGoV1e5vGu8tl	The Weeknd	In Your Eyes	Republic Records	85	159	39	75227	7szuecWAPwGoV1e5vGu8tl
164	spotify:track:5rNNZ6fVYxkhwqUfImVhU1	IZA	Brisa	WM Brazil	36	160	376	74938	5rNNZ6fVYxkhwqUfImVhU1
165	spotify:track:4xwPOyN9VgaTPehdsLiYul	Melim	Dois Corações	Universal Music Ltda.	64	171	387	74375	4xwPOyN9VgaTPehdsLiYul
166	spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc	Future, Drake	Life Is Good (feat. Drake)	Epic/Freebandz	105	158	66	74348	5yY9lUy8nbvjM1Uyo1Uqoc
167	spotify:track:563yuGweEqRVQtjfsDVRyK	Sidoka, Intactoz Corp.	Não Me Sinto Mal Mais	Infame Company	74	168	157	73669	563yuGweEqRVQtjfsDVRyK
168	spotify:track:0H8CBal2Dcu5Yc001VotZN	IZA	Dona de mim	WM Brazil	23	170	573	73467	0H8CBal2Dcu5Yc001VotZN
169	spotify:track:4QFzCjkQl2c7wrzVrOu2sz	Orochi, Dallass	Balão	Mainstreet Records	71	173	329	73417	4QFzCjkQl2c7wrzVrOu2sz
170	spotify:track:1DFD5Fotzgn6yYXkYsKiGs	MEDUZA, Goodboys	Piece Of Your Heart	Virgin	55	172	337	72293	1DFD5Fotzgn6yYXkYsKiGs
171	spotify:track:7D5F5BzIon5zhzQrOU2pdN	Marília Mendonça	Ciumeira - Ao Vivo	Som Livre	1	180	615	71839	7D5F5BzIon5zhzQrOU2pdN
172	spotify:track:1EQ8sBQ7Abv9DvNBzhXAcv	Nando Reis, Ana Cañas	Pra Você Guardei O Amor	Universal Music Ltda.	104	175	544	71628	1EQ8sBQ7Abv9DvNBzhXAcv
173	spotify:track:7N0Py2msno86enR6JPNlpV	Turma do Pagode	Muito Cedo	Sony Music Entertainment	137	176	82	71574	7N0Py2msno86enR6JPNlpV
174	spotify:track:3mikf8qZaNp6wrrWxHgawH	Pabllo Vittar, Psirico	Parabéns	Sony Music Entertainment	18	185	195	71379	3mikf8qZaNp6wrrWxHgawH
175	spotify:track:24YUl9cgjcEvgJTr2WIT1q	Diego & Arnaldo	Casos Pendentes - Acústico	Sony Music Entertainment	65	184	145	71363	24YUl9cgjcEvgJTr2WIT1q
176	spotify:track:0abrd2vT2W3JZBDNezUY7r	Thiaguinho	Deixa Tudo Como Tá - Ao Vivo	Som Livre	77	177	194	70797	0abrd2vT2W3JZBDNezUY7r
177	spotify:track:2VxeLyX666F8uXCJ0dZF8B	Lady Gaga, Bradley Cooper	Shallow	A Star is Born OST	2	174	551	70611	2VxeLyX666F8uXCJ0dZF8B
178	spotify:track:3tA0vALUwrzkTgHcm9j6oJ	Zé Neto & Cristiano	Notificação Preferida - Ao Vivo	Som Livre	2	181	677	69866	3tA0vALUwrzkTgHcm9j6oJ
179	spotify:track:3zXIfbjxSzPMNP6JDZsQsi	Orochi, Kizzy	Mitsubishi	Mainstreet Records	147	187	51	69787	3zXIfbjxSzPMNP6JDZsQsi
180	spotify:track:51Fjme0JiitpyXKuyQiCDo	Y2K, bbno$	Lalala	Columbia	7	178	248	69629	51Fjme0JiitpyXKuyQiCDo
