rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
1	spotify:track:3tv697PZNnaQN0Mn2zGhS5	Gusttavo Lima	A Gente Fez Amor - Ao Vivo	Sony Music Entertainment	1	1	134	647187	3tv697PZNnaQN0Mn2zGhS5
2	spotify:track:2WlZuBDgLfT7Kc0admhFdg	Luísa Sonza	BRABA	Universal Music Ltda.	1	2	31	533426	2WlZuBDgLfT7Kc0admhFdg
3	spotify:track:3Ghyp3X5Ua9ypHnBIgOObI	Henrique & Juliano	Liberdade Provisória - Live - Ibirapuera / 2019	Virgin Music Label And Artist Services (S&D)	1	4	134	530813	3Ghyp3X5Ua9ypHnBIgOObI
4	spotify:track:3PfIrDoz19wz7qK7tYeu62	Dua Lipa	Don't Start Now	Warner Records	1	3	169	518403	3PfIrDoz19wz7qK7tYeu62
5	spotify:track:1K7WzjKDcDdVbKNGrB0gej	Major Lazer, MC Lan, Anitta, BEAM	Rave de Favela (feat. BEAM)	WM Brazil	2	5	63	450983	1K7WzjKDcDdVbKNGrB0gej
6	spotify:track:3tc8Z4lGzOIwmIVftsxO6o	Marília Mendonça	Graveto - Ao Vivo	Som Livre	3	6	99	434991	3tc8Z4lGzOIwmIVftsxO6o
7	spotify:track:5W1kqz2l1lDX77DXBMeXZg	Matheus & Kauan	Litrão - Ao Vivo Em Recife / 2020	Universal Music Ltda.	3	7	78	426450	5W1kqz2l1lDX77DXBMeXZg
8	spotify:track:60wF0XnX7A0jVpDNA5v8vi	Vytinho NG, Bianca	Tudo no Sigilo	Vytinho Ng	8	10	31	400474	60wF0XnX7A0jVpDNA5v8vi
9	spotify:track:3J5Pu25BODMex4Jpy4l6FL	Luíza & Maurílio, Zé Neto & Cristiano	S de Saudade	Som Livre	6	9	169	399150	3J5Pu25BODMex4Jpy4l6FL
10	spotify:track:7Ac3BmqTQoLdAt7HtZyfgN	DENNIS, Mc Don Juan	Te Prometo	Sony Music Entertainment	8	8	70	376574	7Ac3BmqTQoLdAt7HtZyfgN
11	spotify:track:2Q9TaUXNM4mNSCgJjbmsJe	Zé Neto & Cristiano	Bebi Minha Bicicleta (Coração Falido) - Ao Vivo	Som Livre	4	12	141	348758	2Q9TaUXNM4mNSCgJjbmsJe
12	spotify:track:0RaIjuKU5hudMteEXwr4RS	Jorge & Mateus	Ranking	Som Livre	9	13	43	339816	0RaIjuKU5hudMteEXwr4RS
13	spotify:track:4lKuzrdZrJuCAedbIslF3A	PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro	SENTADÃO	WM Brazil	2	14	148	319872	4lKuzrdZrJuCAedbIslF3A
14	spotify:track:1rgnBhdG2JDFTbYkYRZAku	Tones And I	Dance Monkey	Elektra (NEK)	5	11	208	318943	1rgnBhdG2JDFTbYkYRZAku
15	spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF	Gustavo Mioto	Com Ou Sem Mim - Ao Vivo	Universal Music Ltda.	5	16	148	317366	5L8ZEyIdZ2KE4Wf51SsuOF
16	spotify:track:7o9LwQmTuIDm4LyyHFIWul	Henrique & Juliano	Volta Por Baixo - Ao Vivo	Virgin Music Label And Artist Services (S&D)	16	21	99	313157	7o9LwQmTuIDm4LyyHFIWul
17	spotify:track:2PWjKmjyTZeDpmOUa3a5da	Jorge & Mateus	Cheirosa - Ao Vivo	Som Livre	3	20	190	309178	2PWjKmjyTZeDpmOUa3a5da
18	spotify:track:3GmJxfnUDrIs1iCfKUELFz	Marília Mendonça	Supera - Ao Vivo	Som Livre	1	19	246	306248	3GmJxfnUDrIs1iCfKUELFz
19	spotify:track:6nI98wtHOJAYSASq22TCYu	Luan Santana	água com açúcar - ao vivo	Som Livre	17	17	33	303283	6nI98wtHOJAYSASq22TCYu
20	spotify:track:24Yi9hE78yPEbZ4kxyoXAI	SAINt JHN, Imanbek	Roses - Imanbek Remix	Columbia/B1 Recordings	15	15	50	300884	24Yi9hE78yPEbZ4kxyoXAI
21	spotify:track:1uryupl9hqVZYurJwH4G9k	Guilherme & Benuto	3 Batidas - Ao Vivo	Sony Music Entertainment	8	23	237	288994	1uryupl9hqVZYurJwH4G9k
22	spotify:track:63SHcJzckFykS8faA5zojY	MC Ingryd, DJ Henrique da VK	Vem Me Satisfazer	MC Ingryd	4	22	136	278842	63SHcJzckFykS8faA5zojY
23	spotify:track:4p8pEdPYOQLzJUKYrLOacy	WC no Beat, PEDRO SAMPAIO, FP do Trem Bala	BALANÇA (feat. Pedro Sampaio)	Sony Music Entertainment	8	18	78	266034	4p8pEdPYOQLzJUKYrLOacy
24	spotify:track:3WjSkl7VDWY1prwJw7dSG0	Zé Neto & Cristiano	Barzinho Aleatório - Ao Vivo	Som Livre	23	26	134	262457	3WjSkl7VDWY1prwJw7dSG0
25	spotify:track:146Vb458Y5RbqEa0fYFPzm	Felipe Araújo	Mentira - Ao Vivo	Universal Music Ltda.	21	31	137	256028	146Vb458Y5RbqEa0fYFPzm
26	spotify:track:2MOq63fxuFLYQM3CsDcFs1	GIULIA BE	menina solta	WM Brazil	10	28	193	247136	2MOq63fxuFLYQM3CsDcFs1
27	spotify:track:0VjIjW4GlUZAMYd2vXMi3b	The Weeknd	Blinding Lights	Republic Records	23	24	112	246107	0VjIjW4GlUZAMYd2vXMi3b
28	spotify:track:2bPtwnrpFNEe8N7Q85kLHw	Anitta, Lexa, Luísa Sonza, Rebecca	Combatchy (feat. MC Rebecca)	WM Brazil	1	29	150	243315	2bPtwnrpFNEe8N7Q85kLHw
29	spotify:track:7eJMfftS33KTjuF7lTsMCx	Powfu, beabadoobee	death bed (coffee for your head)	Columbia	26	27	40	241903	7eJMfftS33KTjuF7lTsMCx
30	spotify:track:017PF4Q3l4DBUiWoXk4OWT	Dua Lipa	Break My Heart	Warner Records	8	25	23	240312	017PF4Q3l4DBUiWoXk4OWT
31	spotify:track:4j2bK4fnc2s6GyVmhJsJhk	Henrique & Juliano	Briga Feia - Ao Vivo	Virgin Music Label And Artist Services (S&D)	24	34	127	233822	4j2bK4fnc2s6GyVmhJsJhk
32	spotify:track:2Ou6UYuUbNyqwXxRDSeFRf	Maiara & Maraisa	Aí Eu Bebo - Ao Vivo	Som Livre	13	36	183	231391	2Ou6UYuUbNyqwXxRDSeFRf
33	spotify:track:6oEwV0l34zhnC7OmAqmHjY	ANAVITÓRIA	Me conta da tua janela	Universal Music Ltda.	33	-1	1	231371	6oEwV0l34zhnC7OmAqmHjY
34	spotify:track:4HUZBG98TYbxSR9V1V2DWS	Thiaguinho MT, Mila, JS o Mão de Ouro	Tudo Ok	Sony Music Entertainment	1	33	110	221988	4HUZBG98TYbxSR9V1V2DWS
35	spotify:track:2PqPSf3gtTED79rWGwVtYg	Diego & Victor Hugo	Áudio - Ao Vivo em Brasília	Sony Music Entertainment	30	40	280	221042	2PqPSf3gtTED79rWGwVtYg
36	spotify:track:6QwFUcPc5nhsqZuhXUYtV7	Jorge & Mateus	Tijolão - Ao Vivo	Som Livre	1	30	330	216415	6QwFUcPc5nhsqZuhXUYtV7
37	spotify:track:5fY9bVl1Wj4PIM3wnduWop	Marília Mendonça	Serenata - Ao Vivo	Som Livre	14	37	337	214423	5fY9bVl1Wj4PIM3wnduWop
38	spotify:track:0nbXyq5TXYPCO7pr3N8S4I	Roddy Ricch	The Box	Atlantic Records	26	32	98	213974	0nbXyq5TXYPCO7pr3N8S4I
39	spotify:track:1MmS7UIy3J1BTxfGCRvVqN	Gusttavo Lima	Carreira Solo - Ao Vivo	Sony Music Entertainment	21	38	169	211786	1MmS7UIy3J1BTxfGCRvVqN
40	spotify:track:127QTOFJsJQp5LbJbu3A1y	Drake	Toosie Slide	OVO	34	35	15	208257	127QTOFJsJQp5LbJbu3A1y
41	spotify:track:72xB2J9ZeBl0Rzxq2XmzdY	João Gustavo e Murilo, Analaga	Lençol Dobrado	WM Brazil	2	43	530	204783	72xB2J9ZeBl0Rzxq2XmzdY
42	spotify:track:5F8ffc8KWKNawllr5WsW0r	Dadá Boladão, Tati Zaqui, OIK	Surtada - Remix Brega Funk	Sony Music Entertainment	1	39	201	202925	5F8ffc8KWKNawllr5WsW0r
43	spotify:track:5q0NlM6Pm8Pp3orq7zGiRn	Matheus & Kauan, Jorge & Mateus	Quarta Cadeira - Ao Vivo	Universal Music Ltda.	9	44	393	196997	5q0NlM6Pm8Pp3orq7zGiRn
44	spotify:track:7vpGKEUPrA4UEsS4o4W1tP	Pabllo Vittar	Amor de Que	Sony Music Entertainment	10	42	169	195425	7vpGKEUPrA4UEsS4o4W1tP
45	spotify:track:4pnlRYoaaGu24SuC3et5Pv	Yasmin Santos, Wesley Safadão	Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo	Sony Music Entertainment	45	71	214	189448	4pnlRYoaaGu24SuC3et5Pv
46	spotify:track:5n8Y78Pl5q8lqS7sJP61qw	Diego & Arnaldo	Relógio Parado (Ao Vivo)	Sony Music Entertainment	34	48	184	188946	5n8Y78Pl5q8lqS7sJP61qw
47	spotify:track:2uhBCMHwS3SATOHIgM2KPF	Zé Neto & Cristiano	Textão - Ao Vivo	Som Livre	46	47	50	186502	2uhBCMHwS3SATOHIgM2KPF
48	spotify:track:5LpLYzpV0HWKI2DlPmNywg	Wesley Safadão, Zé Neto & Cristiano	Despedida - Ao Vivo	Som Livre	48	55	15	186313	5LpLYzpV0HWKI2DlPmNywg
49	spotify:track:1AfNdxHdE4OLcnQUyC6j3i	MC JottaPê, MC Kekel, MC Kevinho	Eterna Sacanagem	KondZilla Records	19	46	183	185580	1AfNdxHdE4OLcnQUyC6j3i
50	spotify:track:2Yz14TQlxNXHmnkml4TyDL	Gabi Martins	Neném - Ao Vivo	Gabi Martins	40	41	28	184425	2Yz14TQlxNXHmnkml4TyDL
51	spotify:track:1fipvP2zmef6vN2IwXfJhY	Sam Smith, Demi Lovato	I’m Ready (with Demi Lovato)	Capitol	51	-1	1	183623	1fipvP2zmef6vN2IwXfJhY
52	spotify:track:1U3tv41tFRgOfbytpuYQrR	Zé Neto & Cristiano	Ferida Curada	Som Livre	4	49	274	181783	1U3tv41tFRgOfbytpuYQrR
53	spotify:track:17Ryox5vWKp92IDW87C5PI	Gusttavo Lima	Quem Traiu Levou - Ao Vivo	Sony Music Entertainment	14	50	219	178856	17Ryox5vWKp92IDW87C5PI
54	spotify:track:13frX77GWi63BYKwHeTNXi	Henrique & Juliano	Eterno Replay - Ao Vivo	Virgin Music Label And Artist Services (S&D)	54	-1	1	176878	13frX77GWi63BYKwHeTNXi
55	spotify:track:3AzjcOeAmA57TIOr9zF1ZW	Dua Lipa	Physical	Warner Records	11	45	75	174731	3AzjcOeAmA57TIOr9zF1ZW
56	spotify:track:67mqU3FeErlvWwsxnMfvQo	MC Du Black, Delacruz	Tudo Aconteceu	Universal Music Ltda.	56	85	23	157865	67mqU3FeErlvWwsxnMfvQo
57	spotify:track:5MArTXEVyKBwoodjdy04fk	Zé Felipe, Gusttavo Lima	Tiro Certo - Ao Vivo	Som Livre	14	57	309	154194	5MArTXEVyKBwoodjdy04fk
58	spotify:track:1Nmcs8zk7LfcvHRgLtTM5J	Orochi, Papatinho	Amor de Fim de Noite	Mainstreet Records	47	51	153	150574	1Nmcs8zk7LfcvHRgLtTM5J
59	spotify:track:14kRWkCWBYfQqILflEcpSJ	Lexa, PEDRO SAMPAIO	Chama Ela (feat. Pedro Sampaio)	Som Livre	5	54	206	150046	14kRWkCWBYfQqILflEcpSJ
60	spotify:track:5PNvgiKSwMdjBsDsgFCFLX	Maverick Sabre, Jorja Smith, Vintage Culture, Slow Motion	Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix	Spinnin' Deep	56	65	15	149995	5PNvgiKSwMdjBsDsgFCFLX
61	spotify:track:3oqC4Ta40ft6NnTJwcUTdi	Rashid, Lukinhas, Emicida	Pipa Voada (feat. Emicida)	Sony Music Entertainment	59	61	41	149241	3oqC4Ta40ft6NnTJwcUTdi
62	spotify:track:23zmMwD99ROi9yhxqMxWil	João Bosco & Vinicius, Matheus	Segunda Taça - Ao Vivo	João Bosco & Vinicius	61	69	57	147909	23zmMwD99ROi9yhxqMxWil
63	spotify:track:48CAeajgzcGJaVUSsXd7h0	Guilherme & Benuto, Israel & Rodolffo	Declaração pro Bar - Ao Vivo	Sony Music Entertainment	61	63	62	147880	48CAeajgzcGJaVUSsXd7h0
64	spotify:track:7qpXCkcr3Zj4LDvdiWryns	Diego & Victor Hugo	Erro Antigo - Ao Vivo	Sony Music Entertainment	53	60	85	147363	7qpXCkcr3Zj4LDvdiWryns
65	spotify:track:6sRLrSetyIwIKhW1eMlUNP	Matheus & Kauan, Marília Mendonça	Vou Ter Que Superar - Ao Vivo	Universal Music Ltda.	2	62	393	147348	6sRLrSetyIwIKhW1eMlUNP
66	spotify:track:3vSXPjfcebTt5mB8DXHWM6	Wesley Safadão	Dois Lados	Som Livre	37	66	253	147257	3vSXPjfcebTt5mB8DXHWM6
