Position	TrackName	Artist	Streams	URL	Id
41	Motel Afrodite	Marília Mendonça	2527917	https://open.spotify.com/track/6WxpU2F5gwTzwYsAalI6nI	6WxpU2F5gwTzwYsAalI6nI
42	Vestido Coladinho	Max e Luan	2517128	https://open.spotify.com/track/1d7AtPeraWVsvI4U1YTHt1	1d7AtPeraWVsvI4U1YTHt1
43	Desbloqueado - Ao Vivo	Diego & Victor Hugo	2470004	https://open.spotify.com/track/79Wou8NwYEFzTyDQudjENF	79Wou8NwYEFzTyDQudjENF
44	Senta Danada	Zé Felipe	2461442	https://open.spotify.com/track/2R9IrE42Mw4zdUXAEFNiZL	2R9IrE42Mw4zdUXAEFNiZL
45	Aquelas Coisas	João Gomes	2385852	https://open.spotify.com/track/0FqVtQxRD3HsPltldG5v5M	0FqVtQxRD3HsPltldG5v5M
46	Bota a Mão no Chão	Felipe Cardoso DJ	2356935	https://open.spotify.com/track/3Lw41pfko5XMrsHRtlbo2k	3Lw41pfko5XMrsHRtlbo2k
47	Enemy (with JID) - from the series Arcane League of Legends	Imagine Dragons	2335478	https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ	1r9xUipOqoNwggBpENDsvJ
48	Troca de Calçada	Marília Mendonça	2259949	https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe	4AAIAVjSyiq1N7SXKkwXZe
49	Namorando Com Saudade	Jorge & Mateus	2200034	https://open.spotify.com/track/6m84TzSTM5nbwZxIxkYHz6	6m84TzSTM5nbwZxIxkYHz6
50	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	2154618	https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk	5Z9KJZvQzH6PFmb8SNkxuk
51	Me Sinto Abençoado	Mc Poze do Rodo	2149195	https://open.spotify.com/track/7HjZD0NPC1hzFpjUjo45GR	7HjZD0NPC1hzFpjUjo45GR
52	Dar uma Namorada - Ao Vivo	Israel & Rodolffo	2057381	https://open.spotify.com/track/2PZmUFZGlUqkYJL0s0Cl6C	2PZmUFZGlUqkYJL0s0Cl6C
53	Água Nos Zói - Ao Vivo	Clayton & Romário	2050560	https://open.spotify.com/track/77rIMl1WIrLf4ZDKFYZ4ji	77rIMl1WIrLf4ZDKFYZ4ji
54	Tiffany	MD Chefe	1999126	https://open.spotify.com/track/0NvVVP3Q0oSbfBUZ48vCHs	0NvVVP3Q0oSbfBUZ48vCHs
55	Rasteira - Ao Vivo	Henrique & Juliano	1948773	https://open.spotify.com/track/1TyxXIXVVpHwhKaF73z8nw	1TyxXIXVVpHwhKaF73z8nw
56	Chega E Senta - Ao Vivo	John Amplificado	1931029	https://open.spotify.com/track/2ookQf9qP2qiBuNFnNXyfl	2ookQf9qP2qiBuNFnNXyfl
57	Vagabundo	Matheus & Kauan	1864957	https://open.spotify.com/track/6Lrzxd7ST5oQ6FYKXKH7Ia	6Lrzxd7ST5oQ6FYKXKH7Ia
58	Deu Meia Noite, Eu Sumi, Geral Soltando Fogos	Mc Delux	1833823	https://open.spotify.com/track/3hycwch1V1aCbKGlcfKg0I	3hycwch1V1aCbKGlcfKg0I
59	Envolver	Anitta	1749945	https://open.spotify.com/track/3IAfUEeaXRX9s9UdKOJrFI	3IAfUEeaXRX9s9UdKOJrFI
60	Batom de Cereja - Ao Vivo	Israel & Rodolffo	1738580	https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp	2MZQAvsA7aZDssppBLRxYp
61	Se For Amor	João Gomes	1737779	https://open.spotify.com/track/5F2xRvRFkxDvqdFtUNAEyw	5F2xRvRFkxDvqdFtUNAEyw
62	abcdefu	GAYLE	1724448	https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL	4fouWK6XVHhzl78KzQ1UjL
63	Não Me Arranha - Ao Vivo	Gusttavo Lima	1711973	https://open.spotify.com/track/3eq6zwPwN5SAw0rZxNHI22	3eq6zwPwN5SAw0rZxNHI22
64	Oi Deus - Ao Vivo	Hugo & Guilherme	1695777	https://open.spotify.com/track/6JIIejoN31NIn6BJsVS3cu	6JIIejoN31NIn6BJsVS3cu
65	LEILÃO	Gloria Groove	1677526	https://open.spotify.com/track/2eFsVynOiCxtI4kvX0XClm	2eFsVynOiCxtI4kvX0XClm
66	Uma Ex (Ao Vivo)	Murilo Huff	1676007	https://open.spotify.com/track/7xi4XR5EIOU6OHdIydLMjT	7xi4XR5EIOU6OHdIydLMjT
67	Chá De Casa Nova - Ao Vivo	Henrique & Juliano	1672015	https://open.spotify.com/track/6wrkP23fHC8KDHCfs8MpJ9	6wrkP23fHC8KDHCfs8MpJ9
68	ANACONDA *o* ~~~	Luísa Sonza	1662817	https://open.spotify.com/track/2342lPAZ9zddhgAQEiLx4V	2342lPAZ9zddhgAQEiLx4V
69	Eu Já Tava Bem - Ao Vivo	Wesley Safadão	1640407	https://open.spotify.com/track/5emL18Je5WuruMhWr0gj4w	5emL18Je5WuruMhWr0gj4w
70	Cena de Amor	Brisa Star	1611448	https://open.spotify.com/track/6RMYuqlTn8777j5arY9zhC	6RMYuqlTn8777j5arY9zhC
71	Vamo Tomar Uma	Zé Neto & Cristiano	1561159	https://open.spotify.com/track/452LVnTBjXYW3guqe3xiqI	452LVnTBjXYW3guqe3xiqI
72	Sentadinha Descarada	Zé Vaqueiro	1552515	https://open.spotify.com/track/5BFz4pXzknmYYctjvLKJAB	5BFz4pXzknmYYctjvLKJAB
73	Eu Fiz o Jogo Virar	Mc Poze do Rodo	1495044	https://open.spotify.com/track/53BkPZwlaLbW77uV9BnJkl	53BkPZwlaLbW77uV9BnJkl
74	Troca	Jorge & Mateus	1472243	https://open.spotify.com/track/6HV630GY0GT3RN2efFRmbP	6HV630GY0GT3RN2efFRmbP
75	Zero Saudade - Ao Vivo	Os Barões Da Pisadinha	1463230	https://open.spotify.com/track/1hs2hRwPfyFLoYIf6jY1W7	1hs2hRwPfyFLoYIf6jY1W7
76	Facas - Ao Vivo	Diego & Victor Hugo	1454110	https://open.spotify.com/track/6Aw11M9NT2tBeEj3mPKrjy	6Aw11M9NT2tBeEj3mPKrjy
77	Ficante Fiel	Mad Dogz	1438585	https://open.spotify.com/track/07Kp3cAQRY0iPp4ATMoehM	07Kp3cAQRY0iPp4ATMoehM
78	Calculista	Dom Vittor & Gustavo	1431508	https://open.spotify.com/track/3tEaSuDA0eWnIF8ari2Xly	3tEaSuDA0eWnIF8ari2Xly
79	STAY (with Justin Bieber)	The Kid LAROI	1413086	https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX	5PjdY0CKGZdEuoNab3yDmX
80	Cold Heart - PNAU Remix	Elton John	1399667	https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39	7rglLriMNBPAyuJOMGwi39
81	Louis V, Menina Linda	Sidoka	1381458	https://open.spotify.com/track/2jPACjKR21inTnWeo3eHla	2jPACjKR21inTnWeo3eHla
82	Easy On Me	Adele	1380686	https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds	46IZ0fSY2mpAiktS3KOqds
83	A Cara do Crime (Nós Incomoda)	Mc Poze do Rodo	1373380	https://open.spotify.com/track/0wRn3ggAY1fIupTaVigdza	0wRn3ggAY1fIupTaVigdza
84	Fã Clube	Marília Mendonça	1371884	https://open.spotify.com/track/1G0kLIS0hE6uUPlIE9gksp	1G0kLIS0hE6uUPlIE9gksp
85	Só Não Divulga	Fernando & Sorocaba	1342842	https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb	3HquWF2pZmWYu3WAEP9Heb
86	Profissão F0Da	DJ Roca	1342590	https://open.spotify.com/track/2OEz3Dxs9yOEblN5Kk52Sv	2OEz3Dxs9yOEblN5Kk52Sv
87	Unha de Gel	Os Barões Da Pisadinha	1338610	https://open.spotify.com/track/0PH49SrRKOFVWF81PobhW6	0PH49SrRKOFVWF81PobhW6
88	Não Nasceu pra Namorar	MC Zaquin	1335933	https://open.spotify.com/track/6pQKUKBpwr6GhfhcFFFozo	6pQKUKBpwr6GhfhcFFFozo
89	Modo Avião - Ao Vivo	DENNIS	1334576	https://open.spotify.com/track/6PphjPCInSH37orHuV7ymU	6PphjPCInSH37orHuV7ymU
90	Proteção de Tela	Tarcísio do Acordeon	1332916	https://open.spotify.com/track/3v6gYFuAXQcm1EO5yW7yfX	3v6gYFuAXQcm1EO5yW7yfX
91	Groupies	Doode	1299170	https://open.spotify.com/track/3ua3rqwBNmeGeQfcKnA3bT	3ua3rqwBNmeGeQfcKnA3bT
