Position	TrackName	Artist	Streams	URL	Id
1	Coração Cachorro	Avine Vinny	7492365	https://open.spotify.com/track/2RGIuYTsyyHoOCqW0krvNE	2RGIuYTsyyHoOCqW0krvNE
2	Arranhão - Ao Vivo	Henrique & Juliano	6756689	https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw	4u06FbRh6FvV2FQZkouzCw
3	Revoada No Colchão	Zé Felipe	5697837	https://open.spotify.com/track/4kGdnA7FzSVsXC29LPghej	4kGdnA7FzSVsXC29LPghej
4	Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)	DJ Patrick Muniz	5686149	https://open.spotify.com/track/0DsPj89zlY3Us7xb5cXK5h	0DsPj89zlY3Us7xb5cXK5h
5	Bala Love	Mc Anjim	5279199	https://open.spotify.com/track/48Ll1C6qAnP2UjnopQDh4a	48Ll1C6qAnP2UjnopQDh4a
6	Nota de Repúdio - Ao Vivo	Gusttavo Lima	5223456	https://open.spotify.com/track/3agFBAMPiIvzfTh7a9Udm6	3agFBAMPiIvzfTh7a9Udm6
7	Ela e Ela	Zé Neto & Cristiano	5001591	https://open.spotify.com/track/7pvrsbBKUQI2QmA74WCJa5	7pvrsbBKUQI2QmA74WCJa5
8	Meu Pedaço de Pecado	João Gomes	4606425	https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6	2kJRlOyrxsy7Ot3c5TZ8Q6
9	Você Beberia Ou Não Beberia?	Zé Neto & Cristiano	4101018	https://open.spotify.com/track/2ixi9HWJw5lnLDmRMsiCS5	2ixi9HWJw5lnLDmRMsiCS5
10	Quer Voar	Matuê	4093741	https://open.spotify.com/track/7aZusA4cWXz3Wv9e9uhavz	7aZusA4cWXz3Wv9e9uhavz
11	Putariazinha	Felipe Amorim	4091795	https://open.spotify.com/track/2jwrYBGz7osKI31v50bS7b	2jwrYBGz7osKI31v50bS7b
12	A Maior Saudade - Ao Vivo	Henrique & Juliano	3974969	https://open.spotify.com/track/5Q0ZnQjk4lQpScX7ujswun	5Q0ZnQjk4lQpScX7ujswun
13	Sem Sentimento	DG e Batidão Stronda	3942573	https://open.spotify.com/track/4XiFqfUXyTwOChvMLKKi0T	4XiFqfUXyTwOChvMLKKi0T
14	GALOPA	PEDRO SAMPAIO	3784848	https://open.spotify.com/track/2wG1R0uDFwyobcWzVssC1J	2wG1R0uDFwyobcWzVssC1J
15	Baby Me Atende	Matheus Fernandes	3737443	https://open.spotify.com/track/1bWBG6IkMnDr3qvCKSvQT7	1bWBG6IkMnDr3qvCKSvQT7
16	Chega E Senta - Ao Vivo	John Amplificado	3665669	https://open.spotify.com/track/2ookQf9qP2qiBuNFnNXyfl	2ookQf9qP2qiBuNFnNXyfl
17	Rolê	Tarcísio do Acordeon	3601511	https://open.spotify.com/track/50gPsfGHy5OnPauA9455DM	50gPsfGHy5OnPauA9455DM
18	Ficha Limpa	Gusttavo Lima	3494708	https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8	5SwyN9hzmWjBsINlif8li8
19	Expectativa x Realidade	Matheus & Kauan	3480697	https://open.spotify.com/track/1wdhj1r7aeWVDUl9d18YKu	1wdhj1r7aeWVDUl9d18YKu
20	Easy On Me	Adele	3358395	https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX	0gplL1WMoJ6iYaPgMCL0gX
21	A QUEDA	Gloria Groove	3350087	https://open.spotify.com/track/2s9BO8c0co0PmgBiUoTT17	2s9BO8c0co0PmgBiUoTT17
22	MORENA	Luan Santana	3326631	https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd	4PQdrXMDHDPl1RczrrlADd
23	INDUSTRY BABY (feat. Jack Harlow)	Lil Nas X	3267291	https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk	5Z9KJZvQzH6PFmb8SNkxuk
24	Groupies	Doode	3149464	https://open.spotify.com/track/3ua3rqwBNmeGeQfcKnA3bT	3ua3rqwBNmeGeQfcKnA3bT
25	Desbloqueado - Ao Vivo	Diego & Victor Hugo	3093215	https://open.spotify.com/track/79Wou8NwYEFzTyDQudjENF	79Wou8NwYEFzTyDQudjENF
26	Cê Tá Preparada - Ao Vivo Em Goiânia / 2021	Tayrone	3071752	https://open.spotify.com/track/1tYJnXtKLoWVIL4lZOouQG	1tYJnXtKLoWVIL4lZOouQG
27	Louis V, Menina Linda	Sidoka	2983627	https://open.spotify.com/track/2jPACjKR21inTnWeo3eHla	2jPACjKR21inTnWeo3eHla
28	Se For Amor	João Gomes	2958089	https://open.spotify.com/track/5F2xRvRFkxDvqdFtUNAEyw	5F2xRvRFkxDvqdFtUNAEyw
29	Todo Mundo Menos Você	Marília Mendonça	2923610	https://open.spotify.com/track/053zWWZDziDJd3U94x8RuP	053zWWZDziDJd3U94x8RuP
30	Senta Danada	Zé Felipe	2889984	https://open.spotify.com/track/2R9IrE42Mw4zdUXAEFNiZL	2R9IrE42Mw4zdUXAEFNiZL
31	Localiza Aí BB	Vitor e Luan	2836335	https://open.spotify.com/track/6fe5D0ivKnpXFMAnoSRjah	6fe5D0ivKnpXFMAnoSRjah
32	Esqueça-Me Se For Capaz	Marília Mendonça	2826283	https://open.spotify.com/track/4qsOrxBv09HhNSpsgMRXdC	4qsOrxBv09HhNSpsgMRXdC
33	Aquelas Coisas	João Gomes	2811038	https://open.spotify.com/track/0FqVtQxRD3HsPltldG5v5M	0FqVtQxRD3HsPltldG5v5M
34	Mustang Preto	Teto	2699236	https://open.spotify.com/track/6Vgn3IEUkWs3d6og029Gtm	6Vgn3IEUkWs3d6og029Gtm
35	Zero Saudade - Ao Vivo	Os Barões Da Pisadinha	2640745	https://open.spotify.com/track/1hs2hRwPfyFLoYIf6jY1W7	1hs2hRwPfyFLoYIf6jY1W7
36	Carinha de Neném	Japãozin	2606250	https://open.spotify.com/track/6T6SDJszPbuMCBpSm3aS3G	6T6SDJszPbuMCBpSm3aS3G
37	Mete a Louca	MC Rogerinho	2601487	https://open.spotify.com/track/62d4BfCTUHdOsARRETHLDz	62d4BfCTUHdOsARRETHLDz
38	Eu Fiz o Jogo Virar	Mc Poze do Rodo	2502892	https://open.spotify.com/track/53BkPZwlaLbW77uV9BnJkl	53BkPZwlaLbW77uV9BnJkl
39	Não Nasceu pra Namorar	MC Zaquin	2501432	https://open.spotify.com/track/6pQKUKBpwr6GhfhcFFFozo	6pQKUKBpwr6GhfhcFFFozo
40	Faking Love (feat. Saweetie)	Anitta	2474963	https://open.spotify.com/track/3V7jLMYvvg4BHi4tmDveNc	3V7jLMYvvg4BHi4tmDveNc
41	Passinho Debochado	Dan Ventura	2458455	https://open.spotify.com/track/1tdDDOJRdbo1Uz47D1k62G	1tdDDOJRdbo1Uz47D1k62G
42	Não Me Arranha - Ao Vivo	Gusttavo Lima	2456802	https://open.spotify.com/track/3eq6zwPwN5SAw0rZxNHI22	3eq6zwPwN5SAw0rZxNHI22
43	Vagabundo	Matheus & Kauan	2412955	https://open.spotify.com/track/6Lrzxd7ST5oQ6FYKXKH7Ia	6Lrzxd7ST5oQ6FYKXKH7Ia
44	A Cara do Crime (Nós Incomoda)	Mc Poze do Rodo	2305217	https://open.spotify.com/track/0wRn3ggAY1fIupTaVigdza	0wRn3ggAY1fIupTaVigdza
45	Doutora 3	Mc Kevin	2232746	https://open.spotify.com/track/4DWKtQVURjepn8uzBgmwuv	4DWKtQVURjepn8uzBgmwuv
46	Vamo Tomar Uma	Zé Neto & Cristiano	2172782	https://open.spotify.com/track/452LVnTBjXYW3guqe3xiqI	452LVnTBjXYW3guqe3xiqI
