rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
134	spotify:track:696DnlkuDOXcMAnKlTgXXK	Arizona Zervas	ROXANNE	Arizona Zervas	70	134	105	110504	696DnlkuDOXcMAnKlTgXXK
135	spotify:track:6l1PdE7lQbodewVQh16GCM	Projota, Vitão	Sei Lá	Universal Music Ltda.	23	125	317	109337	6l1PdE7lQbodewVQh16GCM
136	spotify:track:65i9Mc7h1CG7ssI1OhMPcT	Dilsinho	Onze e Pouquinho	Sony Music Entertainment	107	140	143	108541	65i9Mc7h1CG7ssI1OhMPcT
137	spotify:track:6Diq6oBnDVzsrNcRllXRbM	Mc Leozin	Maldita de Ex	A2M Produtora	59	141	205	108302	6Diq6oBnDVzsrNcRllXRbM
138	spotify:track:3tu0GkIZwwkmILoD4HemBq	Raí Saia Rodada	Bebe e Vem Me Procurar	Som Livre	36	145	269	107750	3tu0GkIZwwkmILoD4HemBq
139	spotify:track:5rNNZ6fVYxkhwqUfImVhU1	IZA	Brisa	WM Brazil	36	139	324	104491	5rNNZ6fVYxkhwqUfImVhU1
140	spotify:track:7N0Py2msno86enR6JPNlpV	Turma do Pagode	Muito Cedo	Sony Music Entertainment	137	143	30	103862	7N0Py2msno86enR6JPNlpV
141	spotify:track:69Si1G3kLuCQLqQF1EbL25	MC Kevin o Chris, Ferrugem	Romance Proibido - Ao Vivo	Som Livre	86	146	80	103295	69Si1G3kLuCQLqQF1EbL25
142	spotify:track:5GHA824FwkHeBl5u1T6kLj	Hugo & Guilherme	Namorada Reserva - Ao Vivo	Som Livre	71	151	220	103064	5GHA824FwkHeBl5u1T6kLj
143	spotify:track:3tA0vALUwrzkTgHcm9j6oJ	Zé Neto & Cristiano	Notificação Preferida - Ao Vivo	Som Livre	2	155	631	102044	3tA0vALUwrzkTgHcm9j6oJ
144	spotify:track:1zI3RU0boCVsAXChjCvESu	Ferrugem	Até que enfim - Ao vivo	WM Brazil	46	150	233	101754	1zI3RU0boCVsAXChjCvESu
145	spotify:track:2b8fOow8UzyDFAE27YhOZM	Maroon 5	Memories	Interscope Records*	78	142	147	101721	2b8fOow8UzyDFAE27YhOZM
146	spotify:track:5J6b8IqTDgrEfQj4YanxLI	Henrique & Juliano	Sem Rede - Ao Vivo	Virgin Music Label And Artist Services (S&D)	88	147	80	101297	5J6b8IqTDgrEfQj4YanxLI
147	spotify:track:5px6upUHM3fhOP621Edp4V	Dua Lipa	Physical	Warner Records	29	144	36	100933	5px6upUHM3fhOP621Edp4V
148	spotify:track:01wavOnjFBNgdMWBFYIAP4	Sorriso Maroto, Dilsinho	50 Vezes - Ao Vivo	Sony Music Entertainment	35	149	283	100232	01wavOnjFBNgdMWBFYIAP4
149	spotify:track:6hqQPoB1yYKcLfByfxO8he	Wesley Safadão, Zé Neto & Cristiano	Na Cama Que Eu Paguei - Ao Vivo	Som Livre	12	153	171	99596	6hqQPoB1yYKcLfByfxO8he
150	spotify:track:0hVXuCcriWRGvwMV1r5Yn9	Ed Sheeran, Justin Bieber	I Don't Care (with Justin Bieber)	Atlantic Records UK	2	138	304	98785	0hVXuCcriWRGvwMV1r5Yn9
151	spotify:track:5rwdmpN5eMWIIwK4R96vv1	Dynho Alves	Malemolência	GR6 Music	29	160	379	98758	5rwdmpN5eMWIIwK4R96vv1
152	spotify:track:0DwzQguiWvB8jJonQ5ewJu	MC Lya, MC Henny, Dj GM	Virgem	LoveFunk	152	157	10	97192	0DwzQguiWvB8jJonQ5ewJu
153	spotify:track:0h1mVA8gOPR71lxSeY67uT	PEDRO SAMPAIO	FICA À VONTADE	WM Brazil	96	156	206	96674	0h1mVA8gOPR71lxSeY67uT
154	spotify:track:098MRSXb4tj5EDVSUSpHIn	Jorge & Mateus	Instantes	Som Livre	52	93	3	96507	098MRSXb4tj5EDVSUSpHIn
155	spotify:track:5EKHbW7mXcAR4hCyS3YXjb	Felipe Araújo, Ferrugem	Atrasadinha - Live	Universal Music Ltda.	1	163	532	96302	5EKHbW7mXcAR4hCyS3YXjb
156	spotify:track:5aayWOEE7u7bxZ3r7dwIrX	IZA	Meu talismã	WM Brazil	78	152	171	95295	5aayWOEE7u7bxZ3r7dwIrX
157	spotify:track:4BnlnQbF8iu5dXz3Ikk4an	Henrique & Juliano	Colega De Caso - Ao Vivo	Virgin Music Label And Artist Services (S&D)	86	133	3	94649	4BnlnQbF8iu5dXz3Ikk4an
