rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
68	spotify:track:7ArNH109yIfwIquJ535fsi	Marcos & Belutti, Gaab	Certo e Duvidoso (feat. Gaab) - Ao Vivo	Sony Music Entertainment	55	72	88	161464	7ArNH109yIfwIquJ535fsi
69	spotify:track:14kRWkCWBYfQqILflEcpSJ	Lexa, PEDRO SAMPAIO	Chama Ela (feat. Pedro Sampaio)	Som Livre	5	67	214	160156	14kRWkCWBYfQqILflEcpSJ
70	spotify:track:0uaR51nHWtVrVPOFPeGyDq	Eduardo Costa	Ainda Tô Aí - Ao Vivo	Talismã Music	70	119	6	159643	0uaR51nHWtVrVPOFPeGyDq
71	spotify:track:2TR917wkDeRvwTE5cSfZFf	Humberto & Ronaldo, Matheus & Kauan	Tchau Brigado - Ao Vivo	Humberto e Ronaldo	46	81	115	159507	2TR917wkDeRvwTE5cSfZFf
72	spotify:track:4UUtssVRs2aQTLQCAAtZg1	Jorge & Mateus	Mil Anos - Recorded At Mosh Studios, São Paulo	Som Livre	29	76	138	156462	4UUtssVRs2aQTLQCAAtZg1
73	spotify:track:4jGzR5Vri06Y5T9SxM7m5P	Xand Avião, Gusttavo Lima	Algo Mais (Amante) - Ao Vivo	Som Livre	10	97	347	147001	4jGzR5Vri06Y5T9SxM7m5P
74	spotify:track:3eekarcy7kvN4yt5ZFzltW	Travis Scott	HIGHEST IN THE ROOM	Cactus Jack / Epic	35	65	110	146245	3eekarcy7kvN4yt5ZFzltW
75	spotify:track:1G60NjxeOS7veR1EXuKPaW	Gustavo Mioto	Fake News - Ao Vivo Em São Paulo / 2019	Universal Music Ltda.	18	95	353	146090	1G60NjxeOS7veR1EXuKPaW
76	spotify:track:3Dv1eDb0MEgF93GpLXlucZ	Doja Cat	Say So	Kemosabe Records/RCA Records	51	59	63	143687	3Dv1eDb0MEgF93GpLXlucZ
77	spotify:track:1Nmcs8zk7LfcvHRgLtTM5J	Orochi, Papatinho	Amor de Fim de Noite	Mainstreet Records	47	61	161	142961	1Nmcs8zk7LfcvHRgLtTM5J
78	spotify:track:3dPvQLKl42dMYWV4LWRTLK	Os Barões Da Pisadinha	Tá Rocheda	Sony Music Entertainment	78	92	60	141048	3dPvQLKl42dMYWV4LWRTLK
79	spotify:track:5FFpRbsH9WDYNoLauRAHpj	MC Kevinho, Dadá Boladão, MC JottaPê	Paredão	WM Brazil	18	80	125	138784	5FFpRbsH9WDYNoLauRAHpj
80	spotify:track:59997R2RsMZBXJmXh9d13n	LUDMILLA	Amor difícil	WM Brazil	37	37	2	138277	59997R2RsMZBXJmXh9d13n
81	spotify:track:2RMOwSvOGQyy985Vx4VSGQ	LUDMILLA, Topo La Maskara, Walshy Fire	Verdinha	WM Brazil	8	87	149	137747	2RMOwSvOGQyy985Vx4VSGQ
82	spotify:track:4E6RdcCWMiHTu7zy1VTNDo	Marília Mendonça	Todo Mundo Vai Sofrer - Ao Vivo	Som Livre	1	96	345	137457	4E6RdcCWMiHTu7zy1VTNDo
83	spotify:track:4gDvg62vG96w0qJaF6wzcd	Diego & Victor Hugo, Zé Neto & Cristiano	A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília	Sony Music Entertainment	14	105	401	136056	4gDvg62vG96w0qJaF6wzcd
84	spotify:track:7CHi4DtfK4heMlQaudCuHK	MEDUZA, Becky Hill, Goodboys	Lose Control	Virgin	53	68	142	134388	7CHi4DtfK4heMlQaudCuHK
85	spotify:track:7McCAKExE8KsI2q4Y8wx4U	Murilo Huff, Marília Mendonça	Dois Enganados	Artinvox	41	102	331	133750	7McCAKExE8KsI2q4Y8wx4U
86	spotify:track:2rRJrJEo19S2J82BDsQ3F7	Trevor Daniel	Falling	Alamo	51	69	135	133236	2rRJrJEo19S2J82BDsQ3F7
87	spotify:track:5STHFaWYO1KeyITjvB4hR8	Marília Mendonça	Tentativas	Som Livre	20	85	72	133052	5STHFaWYO1KeyITjvB4hR8
88	spotify:track:2qD7VoDYcrAPY0cVEfpsR5	Anitta, Marília Mendonça	Some que ele vem atrás	WM Brazil	2	99	179	131658	2qD7VoDYcrAPY0cVEfpsR5
89	spotify:track:4Y7ay3naWoluoOM3xIj1UZ	LUDMILLA	A boba fui eu - Recorded At Mosh Studios, São Paulo	WM Brazil	68	75	39	130168	4Y7ay3naWoluoOM3xIj1UZ
90	spotify:track:6toDZSoqG5QUitFsoxavRy	Vitão, Anitta	Complicado	Universal Music Ltda.	8	77	205	129652	6toDZSoqG5QUitFsoxavRy
91	spotify:track:6v3KW9xbzN5yKLt9YKDYA2	Shawn Mendes, Camila Cabello	Señorita	Island Records	2	84	310	128813	6v3KW9xbzN5yKLt9YKDYA2
92	spotify:track:4RC2nzqaQygxoVQOVv3XlT	Leo Santana, Anitta	Contatinho - Ao Vivo	Universal Music Ltda.	5	110	233	128334	4RC2nzqaQygxoVQOVv3XlT
93	spotify:track:3Uq45ipGutypFPmETfaoaH	MC Du Black, DJ 2F	Gaiola É o Troco	EP MIX Editora	1	93	272	127517	3Uq45ipGutypFPmETfaoaH
94	spotify:track:7k4t7uLgtOxPwTpFmtJNTY	KAROL G, Nicki Minaj	Tusa	TUSA - Karol G & Nicki Minaj	38	82	113	125895	7k4t7uLgtOxPwTpFmtJNTY
95	spotify:track:4rnI4obabjGCPI2CCCs5VR	Felipe Araújo	Hoje Eu Beberei - Ao Vivo	Universal Music Ltda.	58	138	188	122255	4rnI4obabjGCPI2CCCs5VR
96	spotify:track:5dKesZwp6deuhEeW8F1UEi	Felipe Original, MC Kevin o Chris, Sodré, JS o Mão de Ouro	Hit Contagiante	Tudo Nosso Produtora	1	115	271	122092	5dKesZwp6deuhEeW8F1UEi
97	spotify:track:59WWulo1LM0njpIkcduCMn	Atitude 67	Tão Linda	Universal Music Ltda.	35	100	266	121772	59WWulo1LM0njpIkcduCMn
98	spotify:track:6mdU8glNHYdBBj5DuKSL1B	Gusttavo Lima	Perrengue - Ao Vivo	Sony Music Entertainment	15	142	205	121306	6mdU8glNHYdBBj5DuKSL1B
99	spotify:track:7Gk5OrMYaMRtT2JmgJVAfk	ANAVITÓRIA, Vitor Kley	Pupila	Universal Music Ltda.	14	88	296	120761	7Gk5OrMYaMRtT2JmgJVAfk
100	spotify:track:4Clmg1g8n2yBYG13Z1oSdG	Dayvi, Victor Cardenas, Kelly Ruíz	Baila Conmigo (feat. Kelly Ruiz)	Sony Music México	53	118	116	120579	4Clmg1g8n2yBYG13Z1oSdG
101	spotify:track:7qEHsqek33rTcFNT9PFqLf	Lewis Capaldi	Someone You Loved	Vertigo Berlin	60	86	241	119067	7qEHsqek33rTcFNT9PFqLf
102	spotify:track:3rDAHk73LZmgJIyGZstWQ0	Pixote	Nem de Graça / Saudade Arregaça - Ao Vivo	GR Shows	51	125	240	117272	3rDAHk73LZmgJIyGZstWQ0
103	spotify:track:7sYAS4CpbV90oSemgaEQat	Alok, Dynoro	On & On	Columbia/B1 Recordings	66	98	155	117108	7sYAS4CpbV90oSemgaEQat
104	spotify:track:3MkdA6vwF0ifRl86yzTlJW	Matuê	Kenny G	Sony Music Entertainment	5	90	234	114706	3MkdA6vwF0ifRl86yzTlJW
105	spotify:track:5U28PY9MekLyCBYtLHGQpe	Melim	Meu Abrigo	Universal Music Ltda.	1	114	702	113992	5U28PY9MekLyCBYtLHGQpe
106	spotify:track:5cN5ZOVcYBl4Lnq50Zeqsx	Matheus & Kauan, Gusttavo Lima	Mágica - Live	Universal Music Ltda.	35	141	401	112866	5cN5ZOVcYBl4Lnq50Zeqsx
107	spotify:track:3RbXsVQr4jeTxvT35Hssq3	Marília Mendonça	Bebi Liguei - Ao Vivo	Som Livre	2	139	497	111376	3RbXsVQr4jeTxvT35Hssq3
108	spotify:track:1Cv1YLb4q0RzL6pybtaMLo	Surfaces	Sunday Best	Surfaces, LLC / TenThousand Projects, LLC	72	94	41	111348	1Cv1YLb4q0RzL6pybtaMLo
109	spotify:track:13frX77GWi63BYKwHeTNXi	Henrique & Juliano	Eterno Replay - Ao Vivo	Virgin Music Label And Artist Services (S&D)	54	106	9	110691	13frX77GWi63BYKwHeTNXi
110	spotify:track:1qy7aOHnfnOMJoT1fhoLYG	Marília Mendonça, Gaab	Intenção - Ao Vivo	Som Livre	37	117	254	110166	1qy7aOHnfnOMJoT1fhoLYG
111	spotify:track:21jGcNKet2qwijlDFuPiPb	Post Malone	Circles	Republic Records	32	104	240	109466	21jGcNKet2qwijlDFuPiPb
112	spotify:track:2epD7jzjNfrQYxdSaODCvF	Mc Brunyn, Mc Moana	Vai Luan, Rainha dos Faixa Preta	Mc Brunyn	102	144	30	109417	2epD7jzjNfrQYxdSaODCvF
113	spotify:track:1xyVMQx51Kab6eLVtE6twx	Lauana Prado, Maiara & Maraisa	Cobaia	Universal Music Ltda.	6	145	625	108960	1xyVMQx51Kab6eLVtE6twx
114	spotify:track:22rcaYTa2UgcLCbeO0NoNj	Priscilla Alcantara, Whindersson Nunes	Girassol	Sony Music Entertainment	5	89	136	108403	22rcaYTa2UgcLCbeO0NoNj
115	spotify:track:600Byp0tUwr2aDLm361rG1	Matheus & Kauan	Então Toma - Ao Vivo	Universal Music Ltda.	65	111	16	108303	600Byp0tUwr2aDLm361rG1
116	spotify:track:49pu85144Xir6PgWjeyJhG	Guilherme & Benuto	Flor Que Se Cheira - Ao Vivo	Sony Music Entertainment	33	156	352	107685	49pu85144Xir6PgWjeyJhG
117	spotify:track:0SJtvFn4vqgJPscSbEPaql	Maiara & Maraisa, Dilsinho	Libera Ela - Ao Vivo	Som Livre	107	107	9	107679	0SJtvFn4vqgJPscSbEPaql
118	spotify:track:31yFXM26dazFnWI2eoOM5R	MC G15, Mc Livinho	Ela Vem	GR6 Music	21	123	310	107628	31yFXM26dazFnWI2eoOM5R
119	spotify:track:0rUL7vUZmCKxB0gS83W3aM	Marília Mendonça, Leo Santana, Didá Banda Feminina	Apaixonadinha - Ao Vivo	Som Livre	49	150	345	106356	0rUL7vUZmCKxB0gS83W3aM
120	spotify:track:2b8fOow8UzyDFAE27YhOZM	Maroon 5	Memories	Interscope Records*	78	113	195	105399	2b8fOow8UzyDFAE27YhOZM
121	spotify:track:1qCLx3nX25NuhfPjM5E1qV	Melim	Ouvi Dizer	Universal Music Ltda.	10	134	645	103746	1qCLx3nX25NuhfPjM5E1qV
122	spotify:track:0BVRi6cizWdDrLRmKI0qsw	Os Barões Da Pisadinha	Chupadinha	Sony Music Entertainment	122	165	20	102664	0BVRi6cizWdDrLRmKI0qsw
123	spotify:track:3tA0vALUwrzkTgHcm9j6oJ	Zé Neto & Cristiano	Notificação Preferida - Ao Vivo	Som Livre	2	154	673	102230	3tA0vALUwrzkTgHcm9j6oJ
124	spotify:track:4umIPjkehX1r7uhmGvXiSV	Justin Bieber, Quavo	Intentions (feat. Quavo)	RBMG/Def Jam	41	101	79	101780	4umIPjkehX1r7uhmGvXiSV
125	spotify:track:3NnW2EqJxvHYrRy3upaznl	MC Kevin o Chris, POCAH	Resenha lá em casa	WM Brazil	29	149	296	101311	3NnW2EqJxvHYrRy3upaznl
126	spotify:track:78qd8dvwea0Gosb6Fe6j3k	Doja Cat	Boss Bitch	Atlantic Records	91	109	20	100975	78qd8dvwea0Gosb6Fe6j3k
127	spotify:track:5MMrkwK6AgNAsgHVdC7daZ	Dilsinho	Péssimo Negócio (Ao Vivo)	Sony Music Entertainment	14	152	540	100851	5MMrkwK6AgNAsgHVdC7daZ
128	spotify:track:696DnlkuDOXcMAnKlTgXXK	Arizona Zervas	ROXANNE	Arizona Zervas	70	112	153	100687	696DnlkuDOXcMAnKlTgXXK
129	spotify:track:24YUl9cgjcEvgJTr2WIT1q	Diego & Arnaldo	Casos Pendentes - Acústico	Sony Music Entertainment	65	170	141	100176	24YUl9cgjcEvgJTr2WIT1q
130	spotify:track:15DHt4fP4FARWLvWkIxdAx	Vou pro Sereno, LUDMILLA	Teu Segredo - Ao Vivo	Sony Music Entertainment	72	143	191	100091	15DHt4fP4FARWLvWkIxdAx
131	spotify:track:0J6cINt02c8UQqDG7vLShY	Melim	Gelo	Universal Music Ltda.	31	127	250	99816	0J6cINt02c8UQqDG7vLShY
132	spotify:track:13Rf6RaZT13TW4xLQR3MQr	Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak, Hunter	Poesia Acústica #6: Era uma Vez	Pineapple StormTV	14	108	487	99798	13Rf6RaZT13TW4xLQR3MQr
133	spotify:track:6xcJyGpfZbuuiequtnlKt4	Travis Scott	BUTTERFLY EFFECT	Cactus Jack / Epic / Grand Hustle	116	116	2	99783	6xcJyGpfZbuuiequtnlKt4
134	spotify:track:7D5F5BzIon5zhzQrOU2pdN	Marília Mendonça	Ciumeira - Ao Vivo	Som Livre	1	162	611	99309	7D5F5BzIon5zhzQrOU2pdN
135	spotify:track:2Fxmhks0bxGSBdJ92vM42m	Billie Eilish	bad guy	Darkroom/Interscope Records	21	124	394	99004	2Fxmhks0bxGSBdJ92vM42m
136	spotify:track:5JKaHAt4atuNoLqpyDgbyK	Pineapple StormTv, Froid, Xamã, Dk 47, Chris MC, Cynthia Luz, Luccas Carlos, Hunter	Poesia Acústica - Paris	Pineapple StormTV	87	121	37	98491	5JKaHAt4atuNoLqpyDgbyK
137	spotify:track:0CgMeXQiNYJxPVQ2EMJxdL	Mc Livinho, Mc Pedrinho	Se Prepara 2	GR6 Music	31	148	191	97728	0CgMeXQiNYJxPVQ2EMJxdL
138	spotify:track:7offICpl9kla5kC61uUAs9	MC JottaPê, Lexa	Bate Palma	KondZilla Records	40	151	100	97433	7offICpl9kla5kC61uUAs9
139	spotify:track:6AQHdnPnoNoSpCJIO23KsX	MC JottaPê, DJ RD, MC M10	Sentou e Gostou	KondZilla	3	161	276	96741	6AQHdnPnoNoSpCJIO23KsX
140	spotify:track:5aayWOEE7u7bxZ3r7dwIrX	IZA	Meu talismã	WM Brazil	75	130	219	96620	5aayWOEE7u7bxZ3r7dwIrX
141	spotify:track:16wAOAZ2OkqoIDN7TpChjR	Justin Bieber	Yummy	RBMG/Def Jam	12	126	114	95440	16wAOAZ2OkqoIDN7TpChjR
142	spotify:track:3tu0GkIZwwkmILoD4HemBq	Raí Saia Rodada	Bebe e Vem Me Procurar	Som Livre	36	174	317	95083	3tu0GkIZwwkmILoD4HemBq
