,Data,Danceability,Valence,Energy,Tempo
0,2019-01-03,0.6939750000000001,0.6191165000000001,0.69505,129.353865
1,2019-01-10,0.69104,0.607005,0.685995,128.320995
2,2019-01-17,0.690205,0.6009515000000001,0.693635,128.236365
3,2019-01-24,0.68869,0.6024165,0.694285,128.14354
4,2019-01-31,0.6874650000000001,0.602035,0.6924549999999999,129.47674
5,2019-02-07,0.692845,0.6126014999999999,0.690765,127.892345
6,2019-02-14,0.6884100000000001,0.5935015,0.682115,127.062035
7,2019-02-21,0.68976,0.5950865000000001,0.6829,127.14764
8,2019-02-28,0.6884399999999999,0.6095065,0.69527,128.674555
9,2019-03-07,0.700015,0.6269615000000001,0.6963750000000001,128.936665
10,2019-03-14,0.6898449999999999,0.6143814999999999,0.686275,128.899325
11,2019-03-21,0.689385,0.6119465,0.681045,128.64226499999998
12,2019-03-28,0.67793,0.6177715,0.6920599999999999,127.63313
13,2019-04-04,0.677815,0.6065404999999999,0.68099,128.525645
14,2019-04-11,0.6816300000000001,0.6078665,0.69316,128.221055
15,2019-04-18,0.6761400000000001,0.6033865,0.697095,127.62173999999999
16,2019-04-25,0.68025,0.6108315000000001,0.6952000000000002,127.56817500000001
17,2019-05-02,0.681075,0.6205865,0.6983599999999999,127.18104
18,2019-05-09,0.6748050000000001,0.6048880000000001,0.6732235,127.11978
19,2019-05-16,0.6792699999999999,0.6147875,0.683835,127.23698499999999
20,2019-05-23,0.679035,0.6125324999999999,0.688925,127.28184000000002
21,2019-05-30,0.6763849999999999,0.6138475,0.686975,126.44106
22,2019-06-06,0.674715,0.6116125000000001,0.6946199999999999,126.67608
23,2019-06-13,0.67963,0.6133700000000001,0.6932300000000001,126.272
24,2019-06-20,0.68127,0.6220300000000001,0.698665,125.743595
25,2019-06-27,0.67801,0.616576,0.695245,127.06865499999999
26,2019-07-04,0.67959,0.616956,0.6959150000000001,126.00404
27,2019-07-11,0.6813049999999999,0.6128910000000001,0.68829,126.234555
28,2019-07-18,0.684875,0.620406,0.6927600000000002,126.37018
29,2019-07-25,0.6787350000000001,0.6181145000000001,0.69281,126.56476500000001
30,2019-08-01,0.6825450000000001,0.6230760000000001,0.69624,127.37270499999998
31,2019-08-08,0.68235,0.629551,0.69965,127.73980499999998
32,2019-08-15,0.6843049999999999,0.633076,0.7030200000000001,128.096115
33,2019-08-22,0.68301,0.637546,0.69916,128.923455
34,2019-08-29,0.6794549999999999,0.638286,0.69706,128.801965
35,2019-09-05,0.676585,0.636861,0.69077,128.16056
36,2019-09-12,0.673035,0.6285315,0.6955849999999999,128.905225
37,2019-09-19,0.675625,0.6275565000000001,0.6932650000000001,129.13926500000002
38,2019-09-26,0.6761449999999999,0.6295515,0.693185,129.02404
39,2019-10-03,0.6809000000000001,0.638236,0.690225,128.28786
40,2019-10-10,0.68231,0.6353525000000001,0.6839000000000002,127.03431
41,2019-10-17,0.6832699999999999,0.6338425,0.67917,127.75244
42,2019-10-24,0.6813400000000001,0.6405905000000002,0.682475,126.79950000000001
43,2019-10-31,0.6772100000000001,0.6391605000000001,0.6825399999999999,127.884965
44,2019-11-07,0.6846000000000001,0.6418504999999999,0.684955,126.74718499999999
45,2019-11-14,0.6800550000000001,0.6470855,0.6828049999999999,126.86892
46,2019-11-21,0.6788150000000001,0.6472155,0.68275,127.334415
47,2019-11-28,0.6836699999999999,0.6522605000000001,0.6863399999999998,128.07289
48,2019-12-05,0.67864,0.6454605,0.6859350000000001,128.067195
49,2019-12-12,0.67762,0.6491055,0.694475,127.88271
50,2019-12-19,0.6738,0.6407465000000001,0.693195,128.689755
51,2019-12-26,0.6727850000000001,0.6511525,0.7056699999999999,129.53732
52,2020-01-02,0.6834600000000001,0.663015,0.7092149999999999,130.07924
53,2020-01-09,0.6790649999999999,0.6452704999999999,0.69695,128.36455
54,2020-01-16,0.6811449999999999,0.6413765000000001,0.693275,127.50019999999999
55,2020-01-23,0.6818899999999999,0.650254,0.6989150000000001,128.998215
56,2020-01-30,0.6801900000000001,0.647619,0.6989750000000001,129.142055
57,2020-02-06,0.676455,0.6449000000000001,0.7015350000000001,129.100695
58,2020-02-13,0.679915,0.644725,0.704755,129.934395
59,2020-02-20,0.682375,0.6488945000000002,0.7081700000000001,130.26883999999998
60,2020-02-27,0.6852700000000002,0.6536685,0.723115,130.92611
61,2020-03-05,0.6749449999999999,0.6331345,0.7085049999999999,129.320235
62,2020-03-12,0.67877,0.6442610000000001,0.705955,129.653325
63,2020-03-19,0.6788900000000001,0.6387510000000001,0.7082599999999999,129.15395
64,2020-03-26,0.670805,0.632866,0.70613,129.00422
65,2020-04-02,0.6796899999999999,0.644251,0.7123249999999999,128.43257000000003
66,2020-04-09,0.680375,0.6412059999999999,0.7059899999999999,129.041625
67,2020-04-16,0.6860399999999999,0.6404510000000001,0.7028899999999999,128.93637
68,2020-04-23,0.67916,0.630836,0.692175,128.75023000000002
69,2020-04-30,0.6807500000000001,0.6282505,0.69359,128.74857
70,2020-05-07,0.6842900000000001,0.6275185000000001,0.6905899999999999,127.1277
71,2020-05-14,0.681045,0.6148585,0.687295,126.63536
72,2020-05-21,0.6798140703517589,0.6157723618090453,0.6927035175879398,126.52874371859298
73,2020-05-28,0.6779999999999999,0.6141492462311557,0.6949698492462311,126.81586934673366
74,2020-06-04,0.6777989949748744,0.6010291457286433,0.6998341708542714,125.95058793969848
75,2020-06-11,0.6808100000000001,0.6206785,0.6994149999999999,127.25858500000002
76,2020-06-18,0.679315,0.6161735,0.6908799999999999,126.23468000000001
