,dates,pos
116,2021-03-25T00:00:00.000000,0.046805
117,2021-04-01T00:00:00.000000,0.0432499999999999
118,2021-04-08T00:00:00.000000,0.044235
119,2021-04-15T00:00:00.000000,0.042585
120,2021-04-22T00:00:00.000000,0.042355
121,2021-04-29T00:00:00.000000,0.044635
122,2021-05-06T00:00:00.000000,0.0475549999999999
123,2021-05-13T00:00:00.000000,0.046875
124,2021-05-20T00:00:00.000000,0.044775
125,2021-05-27T00:00:00.000000,0.05069
126,2021-06-03T00:00:00.000000,0.050875
127,2021-06-10T00:00:00.000000,0.05063
128,2021-06-17T00:00:00.000000,0.049065
129,2021-06-24T00:00:00.000000,0.04669
130,2021-07-01T00:00:00.000000,0.047295
131,2021-07-08T00:00:00.000000,0.047115
132,2021-07-15T00:00:00.000000,0.04669
133,2021-07-22T00:00:00.000000,0.0467849999999999
134,2021-07-29T00:00:00.000000,0.04641
135,2021-08-05T00:00:00.000000,0.0494999999999999
136,2021-08-12T00:00:00.000000,0.0456349999999999
137,2021-08-19T00:00:00.000000,0.047065
138,2021-08-26T00:00:00.000000,0.044885
139,2021-09-02T00:00:00.000000,0.04751
140,2021-09-09T00:00:00.000000,0.04032
141,2021-09-16T00:00:00.000000,0.04928
142,2021-09-23T00:00:00.000000,0.046515
143,2021-09-30T00:00:00.000000,0.042935
144,2021-10-07T00:00:00.000000,0.042345
145,2021-10-14T00:00:00.000000,0.04179
146,2021-10-21T00:00:00.000000,0.04248
147,2021-10-28T00:00:00.000000,0.040935
148,2021-11-04T00:00:00.000000,0.03942
149,2021-11-11T00:00:00.000000,0.036745
150,2021-11-18T00:00:00.000000,0.03744
151,2021-11-25T00:00:00.000000,0.0405449999999999
152,2021-12-02T00:00:00.000000,0.03777
153,2021-12-09T00:00:00.000000,0.036175
154,2021-12-16T00:00:00.000000,0.034755
155,2021-12-23T00:00:00.000000,0.033005
156,2021-12-30T00:00:00.000000,0.029975
157,2022-01-06T00:00:00.000000,0.032
