,dates,neg
118,2021-04-08T00:00:00.000000,0.029615
119,2021-04-15T00:00:00.000000,0.029515
120,2021-04-22T00:00:00.000000,0.0283999999999999
121,2021-04-29T00:00:00.000000,0.028405
122,2021-05-06T00:00:00.000000,0.029585
123,2021-05-13T00:00:00.000000,0.02834
124,2021-05-20T00:00:00.000000,0.02849
125,2021-05-27T00:00:00.000000,0.034565
126,2021-06-03T00:00:00.000000,0.03314
127,2021-06-10T00:00:00.000000,0.032795
128,2021-06-17T00:00:00.000000,0.0325699999999999
129,2021-06-24T00:00:00.000000,0.030895
130,2021-07-01T00:00:00.000000,0.0307549999999999
131,2021-07-08T00:00:00.000000,0.029165
132,2021-07-15T00:00:00.000000,0.02973
133,2021-07-22T00:00:00.000000,0.030035
134,2021-07-29T00:00:00.000000,0.02847
135,2021-08-05T00:00:00.000000,0.03305
136,2021-08-12T00:00:00.000000,0.03001
137,2021-08-19T00:00:00.000000,0.030225
138,2021-08-26T00:00:00.000000,0.029605
139,2021-09-02T00:00:00.000000,0.031415
140,2021-09-09T00:00:00.000000,0.02841
141,2021-09-16T00:00:00.000000,0.030555
142,2021-09-23T00:00:00.000000,0.03299
143,2021-09-30T00:00:00.000000,0.03006
144,2021-10-07T00:00:00.000000,0.03005
145,2021-10-14T00:00:00.000000,0.02827
146,2021-10-21T00:00:00.000000,0.029895
147,2021-10-28T00:00:00.000000,0.0291549999999999
148,2021-11-04T00:00:00.000000,0.02867
149,2021-11-11T00:00:00.000000,0.025425
150,2021-11-18T00:00:00.000000,0.027235
151,2021-11-25T00:00:00.000000,0.03007
152,2021-12-02T00:00:00.000000,0.02938
153,2021-12-09T00:00:00.000000,0.0279349999999999
154,2021-12-16T00:00:00.000000,0.026745
155,2021-12-23T00:00:00.000000,0.025505
156,2021-12-30T00:00:00.000000,0.023855
157,2022-01-06T00:00:00.000000,0.02589
