,date,compound
110,2021-02-11T00:00:00.000000,0.09497100000000001
111,2021-02-18T00:00:00.000000,0.12191849999999999
112,2021-02-25T00:00:00.000000,0.11656850000000002
113,2021-03-04T00:00:00.000000,0.1520185
114,2021-03-11T00:00:00.000000,0.15343600000000002
115,2021-03-18T00:00:00.000000,0.1403985
116,2021-03-25T00:00:00.000000,0.2172055
117,2021-04-01T00:00:00.000000,0.179412
118,2021-04-08T00:00:00.000000,0.161324
119,2021-04-15T00:00:00.000000,0.13833700000000002
120,2021-04-22T00:00:00.000000,0.13892249999999998
121,2021-04-29T00:00:00.000000,0.1625205
122,2021-05-06T00:00:00.000000,0.16449199999999997
123,2021-05-13T00:00:00.000000,0.15859100000000004
124,2021-05-20T00:00:00.000000,0.133584
125,2021-05-27T00:00:00.000000,0.104246
126,2021-06-03T00:00:00.000000,0.132287
127,2021-06-10T00:00:00.000000,0.1377325
128,2021-06-17T00:00:00.000000,0.135455
129,2021-06-24T00:00:00.000000,0.13337300000000002
130,2021-07-01T00:00:00.000000,0.11810649999999999
131,2021-07-08T00:00:00.000000,0.127291
132,2021-07-15T00:00:00.000000,0.11567949999999999
133,2021-07-22T00:00:00.000000,0.1220035
134,2021-07-29T00:00:00.000000,0.144112
135,2021-08-05T00:00:00.000000,0.1379815
136,2021-08-12T00:00:00.000000,0.1108835
137,2021-08-19T00:00:00.000000,0.126276
138,2021-08-26T00:00:00.000000,0.0978265
139,2021-09-02T00:00:00.000000,0.125587
140,2021-09-09T00:00:00.000000,0.07594300000000001
141,2021-09-16T00:00:00.000000,0.1359145
142,2021-09-23T00:00:00.000000,0.09279799999999999
143,2021-09-30T00:00:00.000000,0.0964995
144,2021-10-07T00:00:00.000000,0.095221
145,2021-10-14T00:00:00.000000,0.09799100000000001
146,2021-10-21T00:00:00.000000,0.0684915
147,2021-10-28T00:00:00.000000,0.0678615
148,2021-11-04T00:00:00.000000,0.056614500000000005
149,2021-11-11T00:00:00.000000,0.076398
150,2021-11-18T00:00:00.000000,0.06589749999999998
151,2021-11-25T00:00:00.000000,0.08363300000000001
152,2021-12-02T00:00:00.000000,0.060923
153,2021-12-09T00:00:00.000000,0.056481500000000004
154,2021-12-16T00:00:00.000000,0.03630150000000001
155,2021-12-23T00:00:00.000000,0.025101
156,2021-12-30T00:00:00.000000,0.011824
157,2022-01-06T00:00:00.000000,-0.007776500000000002
