,neu
0,0.9372099999999999
1,0.934545
2,0.93672
3,0.934555
4,0.9351050000000001
5,0.9386
6,0.9237949999999999
7,0.9223849999999999
8,0.93464
9,0.9390999999999999
10,0.933525
11,0.9313499999999999
12,0.93279
13,0.9264200000000001
14,0.92161
15,0.921585
16,0.926245
17,0.926835
18,0.93318
19,0.9341750000000001
20,0.9311999999999998
21,0.9259999999999999
22,0.9308500000000001
23,0.9298599999999999
24,0.9346599999999999
25,0.932855
26,0.93219
27,0.9311849999999999
28,0.9285849999999999
29,0.9281900000000001
30,0.9292750000000001
31,0.9332550000000001
32,0.9352799999999999
33,0.936005
34,0.9285599999999999
35,0.9326650000000001
36,0.932105
37,0.9338150000000001
38,0.9360649999999999
39,0.93875
40,0.936665
41,0.9327199999999999
42,0.9339099999999999
43,0.93395
44,0.93113
45,0.9308150000000001
46,0.931285
47,0.931165
48,0.9322999999999999
49,0.9356899999999999
50,0.93402
51,0.9401649999999999
52,0.94056
53,0.9338900000000001
54,0.929015
55,0.929545
56,0.93156
57,0.9326949999999999
58,0.9296099999999999
59,0.9336949999999998
60,0.93304
61,0.9317500000000001
62,0.932355
63,0.9310900000000001
64,0.9308
65,0.9210900000000001
66,0.92497
67,0.9242750000000001
68,0.9272100000000001
69,0.9216150000000001
70,0.920765
71,0.92012
72,0.9218190954773869
73,0.9192713567839195
74,0.9116231155778896
75,0.919665
76,0.920495
77,0.9242199999999999
78,0.9222450000000001
79,0.9275999999999999
80,0.9294100000000001
81,0.93324
82,0.92292
83,0.928775
84,0.9317799999999999
85,0.9304400000000002
86,0.933215
87,0.9299550000000001
88,0.9290900000000001
89,0.9284950000000001
90,0.923675
91,0.92577
92,0.922175
93,0.928535
94,0.9276449999999999
95,0.922855
96,0.9209200000000002
97,0.9250799999999999
98,0.923255
99,0.926405
100,0.92925
101,0.9285499999999999
102,0.9313499999999999
103,0.9352864321608041
104,0.9406331658291456
105,0.9367035175879397
106,0.926678391959799
107,0.9273417085427136
108,0.9249749999999999
109,0.925525
110,0.9230449999999999
111,0.9278399999999999
112,0.9264600000000001
113,0.929555
114,0.931225
115,0.931325
116,0.925575
117,0.9295150000000001
118,0.92618
119,0.9279249999999999
120,0.929285
121,0.926995
122,0.922895
123,0.92482
124,0.92676
125,0.9147550000000001
126,0.9159999999999999
127,0.916585
128,0.91838
129,0.9224199999999999
130,0.921965
131,0.92372
132,0.9235850000000001
133,0.923155
134,0.9250999999999999
135,0.917435
136,0.9243299999999999
137,0.9226800000000001
138,0.925465
139,0.9210300000000001
140,0.93124
141,0.92013
142,0.92049
143,0.926985
144,0.92759
145,0.929915
146,0.9276249999999999
147,0.929915
148,0.9319
149,0.937815
150,0.9353149999999999
151,0.929385
152,0.93285
153,0.9359000000000001
154,0.938495
155,0.94149
156,0.9461599999999999
157,0.94209
