,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,João Gomes,Meu Pedaço de Pecado,Sua Música,1,1,10,8274495,2kJRlOyrxsy7Ot3c5TZ8Q6,-0.8555,0.049,0.942,0.009
1,2,spotify:track:4PQdrXMDHDPl1RczrrlADd,Luan Santana,MORENA,Sony Music Entertainment,2,2,8,5874267,4PQdrXMDHDPl1RczrrlADd,-0.5514,0.032,0.952,0.016
2,3,spotify:track:5SwyN9hzmWjBsINlif8li8,Gusttavo Lima,Ficha Limpa,Sony Music Entertainment,3,5,9,5846766,5SwyN9hzmWjBsINlif8li8,-0.9641,0.092,0.894,0.014
3,4,spotify:track:0FqVtQxRD3HsPltldG5v5M,João Gomes,Aquelas Coisas,Sua Música,3,3,9,5837018,0FqVtQxRD3HsPltldG5v5M,-0.8604,0.039,0.961,0.0
4,5,spotify:track:5F2xRvRFkxDvqdFtUNAEyw,"João Gomes, Vitor Fernandes",Se For Amor,Sua Música,4,4,7,5450847,5F2xRvRFkxDvqdFtUNAEyw,0.9977,0.012,0.768,0.22
5,6,spotify:track:25141FAgU1OmwoC9W2i5E3,"Tarcísio do Acordeon, Marcynho Sensação",Rolê,Sua Música,6,14,3,5198238,25141FAgU1OmwoC9W2i5E3,0.7461,0.0,0.985,0.015
6,7,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,"Matheus Fernandes, Dilsinho",Baby Me Atende,Som Livre,3,6,20,5193420,1bWBG6IkMnDr3qvCKSvQT7,0.8402,0.0,0.976,0.024
7,8,spotify:track:0xBQvhJAm6f7J142ympKOn,Mari Fernandez,"Não, Não Vou",Sony Music Entertainment,1,7,10,4643546,0xBQvhJAm6f7J142ympKOn,0.7303,0.013,0.96,0.026
8,9,spotify:track:1oIqP923yBKV45IaXm5s14,"Os Barões Da Pisadinha, Maiara & Maraisa",Zero Saudade - Ao Vivo,Sony Music Entertainment,9,12,12,4322038,1oIqP923yBKV45IaXm5s14,0.7088,0.016,0.954,0.03
9,10,spotify:track:41pFFOnh1glVNIlrWOpBjb,"Brisa Star, Thiago Jhonathan (TJ)",Se Joga no Passinho,Brisa Star,10,11,7,4316904,41pFFOnh1glVNIlrWOpBjb,-0.9413,0.065,0.935,0.0
10,11,spotify:track:6pQKUKBpwr6GhfhcFFFozo,"MC Zaquin, MC Rick",Não Nasceu pra Namorar,Funk Explode Records,5,8,22,4215631,6pQKUKBpwr6GhfhcFFFozo,-0.296,0.007,0.993,0.0
11,12,spotify:track:7Kba4OaxQFQ1zlknQUpNqN,"Israel & Rodolffo, Wesley Safadão",Faz Amor Comigo Só Hoje - Ao Vivo,Som Livre,5,9,11,4034540,7Kba4OaxQFQ1zlknQUpNqN,0.9963,0.021,0.776,0.204
