rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:2JTir3y1VuJQmexiTCMcTP	Os Barões Da Pisadinha	Recairei - Ao Vivo	Sony Music Entertainment	1	1	26	5480425	2JTir3y1VuJQmexiTCMcTP
2	spotify:track:15k1TDabqSEmyXOwMq9RM7	Jonas Esticado	Investe Em Mim	Som Livre	1	2	20	4504738	15k1TDabqSEmyXOwMq9RM7
3	spotify:track:187Pge0WmJNoS73kaIORSE	Douglas & Vinicius, MC Bruninho	Figurinha - Ao Vivo	Virgin Music Label And Artist Services (S&D)	3	3	17	3919905	187Pge0WmJNoS73kaIORSE
4	spotify:track:59kRq8rb5uJCrSYYbGCk7o	MC Rogerinho	Só Você	MC Rogerinho	4	5	13	3497656	59kRq8rb5uJCrSYYbGCk7o
5	spotify:track:3rRin3LyLY92kpEbkCgwf4	Os Barões Da Pisadinha, Xand Avião	Basta Você Me Ligar - Ao Vivo	Sony Music Entertainment	5	7	21	3479403	3rRin3LyLY92kpEbkCgwf4
6	spotify:track:7J3QMuDCSv56jRSiD9jFBF	Eric Land, Xand Avião	Cidade Inteira	Eric Land	6	8	18	3451989	7J3QMuDCSv56jRSiD9jFBF
7	spotify:track:4xWzZmX4K1yyrdtRfbUvjt	Niack	Oh Juliana	Niack	1	6	18	3378125	4xWzZmX4K1yyrdtRfbUvjt
8	spotify:track:42P3wMiPfXQM93TYZotuPQ	Gusttavo Lima	De Menina pra Mulher - Ao Vivo	Sony Music Entertainment	3	4	8	3359301	42P3wMiPfXQM93TYZotuPQ
9	spotify:track:1X0MaGErD8rcspqQs9s2m0	Zé Felipe	Só Tem Eu	Som Livre	9	19	5	3287605	1X0MaGErD8rcspqQs9s2m0
10	spotify:track:64I6t2tuUGnIlaDIzHJ6YI	Marília Mendonça, Maiara & Maraisa	Quero Você do Jeito Que Quiser	Som Livre	4	9	18	3151017	64I6t2tuUGnIlaDIzHJ6YI
11	spotify:track:1nDCZBI8MaHXI2f36dnQyG	Tierry	Rita	Tierry	11	14	8	3096848	1nDCZBI8MaHXI2f36dnQyG
12	spotify:track:5m5aY6S9ttfIG157xli2Rs	Zé Neto & Cristiano	Alô Ambev (Segue Sua Vida) - Ao Vivo	Som Livre	12	18	11	3024004	5m5aY6S9ttfIG157xli2Rs
13	spotify:track:4zsiMjB0794HztyqUkD3Zi	Dilsinho, Henrique & Juliano	Sogra - Ao Vivo	Sony Music Entertainment	6	10	23	2954057	4zsiMjB0794HztyqUkD3Zi
14	spotify:track:3dPvQLKl42dMYWV4LWRTLK	Os Barões Da Pisadinha	Tá Rocheda	Sony Music Entertainment	7	11	41	2880312	3dPvQLKl42dMYWV4LWRTLK
15	spotify:track:2QCwoYDn4DRfjs4NhW2KpO	João Bosco e Gabriel, Humberto & Ronaldo	Alô Ex-Amor - Ao Vivo	João Bosco e Gabriel	15	15	11	2876899	2QCwoYDn4DRfjs4NhW2KpO
16	spotify:track:260n4ECk9j4IEvTAVBYojl	Matheus & Kauan	Nem Doeu - Ao Vivo	Universal Music Ltda.	12	12	24	2849594	260n4ECk9j4IEvTAVBYojl
17	spotify:track:034Wtb0MsgU2kIT7PWdi4c	Henrique & Juliano	Volta Por Baixo - Ao Vivo	Virgin Music Label And Artist Services (S&D)	3	16	44	2574289	034Wtb0MsgU2kIT7PWdi4c
18	spotify:track:7e1VoRlNumuEkXlITMHKLE	Anitta, Myke Towers, Cardi B	Me Gusta (with Cardi B & Myke Towers)	Warner Records	3	21	8	2502635	7e1VoRlNumuEkXlITMHKLE
19	spotify:track:12v6LfkX9YIR3uLefIAAYZ	Mc Jacaré	Comprei um Lança	Mc Jacare / Los Pantchos	5	17	20	2482528	12v6LfkX9YIR3uLefIAAYZ
