,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:2ookQf9qP2qiBuNFnNXyfl,John Amplificado,Chega E Senta - Ao Vivo,Virgin Music Label And Artist Services (S&D),1,2,3,7456865,2ookQf9qP2qiBuNFnNXyfl,0.0,0.0,1.0,0.0
1,2,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,João Gomes,Meu Pedaço de Pecado,Sua Música,1,1,13,7171645,2kJRlOyrxsy7Ot3c5TZ8Q6,-0.8555,0.049,0.942,0.009
2,3,spotify:track:25141FAgU1OmwoC9W2i5E3,"Tarcísio do Acordeon, Marcynho Sensação",Rolê,Sua Música,3,3,6,6053150,25141FAgU1OmwoC9W2i5E3,0.7461,0.0,0.985,0.015
3,4,spotify:track:4P7IXYPAkinTdZrBF5bGWp,Zé Neto & Cristiano,Você Beberia Ou Não Beberia?,Som Livre,4,11,6,5817330,4P7IXYPAkinTdZrBF5bGWp,0.9581,0.0,0.915,0.085
4,5,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Matuê,Quer Voar,Sony Music Entertainment,2,4,4,5748785,7aZusA4cWXz3Wv9e9uhavz,-0.9655,0.099,0.84,0.061
5,6,spotify:track:4u06FbRh6FvV2FQZkouzCw,Henrique & Juliano,Arranhão - Ao Vivo,Virgin Music Label And Artist Services (S&D),6,8,4,5744004,4u06FbRh6FvV2FQZkouzCw,0.0,0.0,1.0,0.0
6,7,spotify:track:5SwyN9hzmWjBsINlif8li8,Gusttavo Lima,Ficha Limpa,Sony Music Entertainment,3,5,12,5560644,5SwyN9hzmWjBsINlif8li8,-0.9641,0.092,0.894,0.014
7,8,spotify:track:4PQdrXMDHDPl1RczrrlADd,Luan Santana,MORENA,Sony Music Entertainment,2,6,11,5415933,4PQdrXMDHDPl1RczrrlADd,-0.5514,0.032,0.952,0.016
8,9,spotify:track:0FqVtQxRD3HsPltldG5v5M,João Gomes,Aquelas Coisas,Sua Música,3,7,12,4922652,0FqVtQxRD3HsPltldG5v5M,-0.8604,0.039,0.961,0.0
9,10,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,"Matheus Fernandes, Dilsinho",Baby Me Atende,Som Livre,3,10,23,4729409,1bWBG6IkMnDr3qvCKSvQT7,0.8402,0.0,0.976,0.024
10,11,spotify:track:5F2xRvRFkxDvqdFtUNAEyw,"João Gomes, Vitor Fernandes",Se For Amor,Sua Música,4,9,10,4483969,5F2xRvRFkxDvqdFtUNAEyw,0.9977,0.012,0.768,0.22
