rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:4xWzZmX4K1yyrdtRfbUvjt	Niack	Oh Juliana	Niack	1	18	3	4644543	4xWzZmX4K1yyrdtRfbUvjt
2	spotify:track:4zGtfOglDBfVUypabBwIjQ	Mc Zaac, Anitta, Tyga	Desce Pro Play (PA PA PA)	Universal Music Ltda.	1	1	5	4346550	4zGtfOglDBfVUypabBwIjQ
3	spotify:track:0AGS6ZRgzobrazmCi6pYMe	Niack	Na Raba Toma Tapão	Niack / Ritmo dos Fluxos	1	2	11	3539438	0AGS6ZRgzobrazmCi6pYMe
4	spotify:track:15k1TDabqSEmyXOwMq9RM7	Jonas Esticado	Investe Em Mim	Som Livre	4	12	5	3271440	15k1TDabqSEmyXOwMq9RM7
5	spotify:track:2fmeSswdyVq4wcqhY41UHk	Pineapple StormTv, L7NNON, Chris MC, Xamã, Lourena, Cesar Mc, Djonga, Filipe Ret, Salve Malak, Hunter	Poesia Acústica #9: Melhor Forma	Pineapple StormTV	3	3	3	3249281	2fmeSswdyVq4wcqhY41UHk
6	spotify:track:7o9LwQmTuIDm4LyyHFIWul	Henrique & Juliano	Volta Por Baixo - Ao Vivo	Virgin Music Label And Artist Services (S&D)	3	4	29	2845559	7o9LwQmTuIDm4LyyHFIWul
7	spotify:track:0RaIjuKU5hudMteEXwr4RS	Jorge & Mateus	Ranking	Som Livre	4	5	21	2837559	0RaIjuKU5hudMteEXwr4RS
8	spotify:track:3tc8Z4lGzOIwmIVftsxO6o	Marília Mendonça	Graveto - Ao Vivo	Som Livre	3	6	29	2768738	3tc8Z4lGzOIwmIVftsxO6o
9	spotify:track:5GAdMAL3tRJkVN1HtwohK2	Mc Don Juan, Maiara & Maraisa	Vai Ter Que Aguentar	GR6 Music	9	10	9	2756406	5GAdMAL3tRJkVN1HtwohK2
10	spotify:track:67mqU3FeErlvWwsxnMfvQo	MC Du Black, Delacruz	Tudo Aconteceu	Universal Music Ltda.	6	7	18	2659706	67mqU3FeErlvWwsxnMfvQo
11	spotify:track:3WjSkl7VDWY1prwJw7dSG0	Zé Neto & Cristiano	Barzinho Aleatório - Ao Vivo	Som Livre	8	8	34	2643804	3WjSkl7VDWY1prwJw7dSG0
12	spotify:track:3Ghyp3X5Ua9ypHnBIgOObI	Henrique & Juliano	Liberdade Provisória - Live - Ibirapuera / 2019	Virgin Music Label And Artist Services (S&D)	1	9	34	2547639	3Ghyp3X5Ua9ypHnBIgOObI
13	spotify:track:51uXmhqGR76tT2UeKZyeN6	Marília Mendonça, Maiara & Maraisa	Quero Você do Jeito Que Quiser	Som Livre	13	21	3	2486516	51uXmhqGR76tT2UeKZyeN6
14	spotify:track:25gD4PQjxCLnwIY2n23aEl	Vitão, Luísa Sonza	Flores	Universal Music Ltda.	2	11	7	2467045	25gD4PQjxCLnwIY2n23aEl
15	spotify:track:60wF0XnX7A0jVpDNA5v8vi	Vytinho NG, Bianca	Tudo no Sigilo	Vytinho Ng	5	14	19	2424136	60wF0XnX7A0jVpDNA5v8vi
16	spotify:track:12v6LfkX9YIR3uLefIAAYZ	Mc Jacaré	Comprei um Lança	Mc Jacare / Los Pantchos	16	23	5	2416260	12v6LfkX9YIR3uLefIAAYZ
17	spotify:track:4DngRKOpRPrkbzImUB0zgh	Matheus & Kauan	Litrão - Ao Vivo Em Recife / 2020	Universal Music Ltda.	3	13	26	2390199	4DngRKOpRPrkbzImUB0zgh
18	spotify:track:7Ac3BmqTQoLdAt7HtZyfgN	DENNIS, Mc Don Juan	Te Prometo	Sony Music Entertainment	9	16	25	2359600	7Ac3BmqTQoLdAt7HtZyfgN
19	spotify:track:6jcGoHrqfRW6fI2I6xtwBQ	MC Marks	Deus é por nós	WM Brazil	19	24	7	2245039	6jcGoHrqfRW6fI2I6xtwBQ
20	spotify:track:3tv697PZNnaQN0Mn2zGhS5	Gusttavo Lima	A Gente Fez Amor - Ao Vivo	Sony Music Entertainment	1	15	34	2241338	3tv697PZNnaQN0Mn2zGhS5
21	spotify:track:2WlZuBDgLfT7Kc0admhFdg	Luísa Sonza	BRABA	Universal Music Ltda.	2	17	19	2196007	2WlZuBDgLfT7Kc0admhFdg
22	spotify:track:4x8XaoLvpo6kd51PZD16RK	Dilsinho, Henrique & Juliano	Sogra - Ao Vivo	Sony Music Entertainment	20	20	8	2161961	4x8XaoLvpo6kd51PZD16RK
