,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:2bPtwnrpFNEe8N7Q85kLHw,"Anitta, Lexa, Luísa Sonza, Rebecca",Combatchy (feat. MC Rebecca),WM Brazil,1,69,2,4416358,2bPtwnrpFNEe8N7Q85kLHw,-0.9637,0.061,0.939,0.0
1,2,spotify:track:5F8ffc8KWKNawllr5WsW0r,"Dadá Boladão, Tati Zaqui, OIK",Surtada - Remix Brega Funk,Sony Music Entertainment,1,1,9,4172350,5F8ffc8KWKNawllr5WsW0r,-0.5267,0.014,0.986,0.0
2,3,spotify:track:2qD7VoDYcrAPY0cVEfpsR5,"Anitta, Marília Mendonça",Some que ele vem atrás,WM Brazil,2,2,5,3924177,2qD7VoDYcrAPY0cVEfpsR5,0.0,0.0,1.0,0.0
3,4,spotify:track:3GmJxfnUDrIs1iCfKUELFz,Marília Mendonça,Supera - Ao Vivo,Som Livre,1,3,15,3545767,3GmJxfnUDrIs1iCfKUELFz,0.8402,0.0,0.964,0.036
4,5,spotify:track:2PWjKmjyTZeDpmOUa3a5da,Jorge & Mateus,Cheirosa - Ao Vivo,Som Livre,4,4,7,3459810,2PWjKmjyTZeDpmOUa3a5da,-0.5267,0.02,0.98,0.0
5,6,spotify:track:3Uq45ipGutypFPmETfaoaH,"MC Du Black, DJ 2F",Gaiola É o Troco,EP MIX Editora,1,5,18,3278709,3Uq45ipGutypFPmETfaoaH,0.9581,0.0,0.954,0.046
6,7,spotify:track:14kRWkCWBYfQqILflEcpSJ,"Lexa, PEDRO SAMPAIO",Chama Ela (feat. Pedro Sampaio),Som Livre,6,7,9,3015993,14kRWkCWBYfQqILflEcpSJ,-0.8593,0.038,0.962,0.0
7,8,spotify:track:5bHx1IT5vfbM067r9p0S0P,"Felipe Original, MC Kevin o Chris, Sodré, JS o Mão de Ouro",Hit Contagiante,Tudo Nosso Produtora,2,6,18,2970715,5bHx1IT5vfbM067r9p0S0P,-0.9337,0.105,0.847,0.048
8,9,spotify:track:72xB2J9ZeBl0Rzxq2XmzdY,"João Gustavo e Murilo, Analaga",Lençol Dobrado,WM Brazil,2,9,56,2711515,72xB2J9ZeBl0Rzxq2XmzdY,0.0,0.0,1.0,0.0
9,10,spotify:track:6QwFUcPc5nhsqZuhXUYtV7,Jorge & Mateus,Tijolão - Ao Vivo,Som Livre,1,8,27,2694688,6QwFUcPc5nhsqZuhXUYtV7,0.0,0.0,1.0,0.0
10,11,spotify:track:1U3tv41tFRgOfbytpuYQrR,Zé Neto & Cristiano,Ferida Curada,Som Livre,6,10,19,2636775,1U3tv41tFRgOfbytpuYQrR,0.9682,0.0,0.91,0.09
11,12,spotify:track:4k20Ie47EcWtS4wMBn8w8S,"LUDMILLA, Leo Santana",Invocada (Participação especial de Léo Santana) - Ao vivo,WM Brazil,11,12,18,2558413,4k20Ie47EcWtS4wMBn8w8S,0.0,0.0,1.0,0.0
12,13,spotify:track:52vPpP2gEYaBROIS77J38P,"Vitão, Anitta",Complicado,Universal Music Ltda.,13,19,8,2502101,52vPpP2gEYaBROIS77J38P,0.9446,0.009,0.94,0.05
13,14,spotify:track:5gvrBqNFFEWcxYPt3mamvJ,Luan Santana,quando a bad bater - ao vivo,Som Livre,1,11,22,2404428,5gvrBqNFFEWcxYPt3mamvJ,-0.9738,0.123,0.823,0.054
14,15,spotify:track:5q0NlM6Pm8Pp3orq7zGiRn,"Matheus & Kauan, Jorge & Mateus",Quarta Cadeira - Ao Vivo,Universal Music Ltda.,10,14,36,2385866,5q0NlM6Pm8Pp3orq7zGiRn,0.0,0.0,1.0,0.0
15,16,spotify:track:4RC2nzqaQygxoVQOVv3XlT,"Leo Santana, Anitta",Contatinho - Ao Vivo,Universal Music Ltda.,6,13,12,2384218,4RC2nzqaQygxoVQOVv3XlT,0.8692,0.014,0.958,0.028
16,17,spotify:track:26WpOBpHiIMoBuMEIwtOCH,"Pk, PK Delas",Quando a vontade bater (Participação especial de PK Delas),WM Brazil,8,15,37,2364551,26WpOBpHiIMoBuMEIwtOCH,0.0,0.0,1.0,0.0
17,18,spotify:track:6V43u5SCjkfMpxMAXRPifr,"MC JottaPê, DJ RD, MC M10",Sentou e Gostou,KondZilla,3,16,19,2259033,6V43u5SCjkfMpxMAXRPifr,0.9935,0.0,0.838,0.162
18,19,spotify:track:2MOq63fxuFLYQM3CsDcFs1,GIULIA BE,menina solta,WM Brazil,19,20,8,2198527,2MOq63fxuFLYQM3CsDcFs1,0.2244,0.015,0.973,0.013
19,20,spotify:track:3MkdA6vwF0ifRl86yzTlJW,Matuê,Kenny G,Sony Music Entertainment,7,18,12,2196190,3MkdA6vwF0ifRl86yzTlJW,0.8732,0.048,0.888,0.064
