,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:0AGS6ZRgzobrazmCi6pYMe,Niack,Na Raba Toma Tapão,Niack / Ritmo dos Fluxos,1,1,6,4148936,0AGS6ZRgzobrazmCi6pYMe,-0.8126,0.032,0.957,0.011
1,2,spotify:track:25gD4PQjxCLnwIY2n23aEl,"Vitão, Luísa Sonza",Flores,Universal Music Ltda.,2,2,2,3078761,25gD4PQjxCLnwIY2n23aEl,-0.5267,0.013,0.987,0.0
2,3,spotify:track:3Ghyp3X5Ua9ypHnBIgOObI,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,Virgin Music Label And Artist Services (S&D),1,5,29,2918348,3Ghyp3X5Ua9ypHnBIgOObI,-0.6808,0.023,0.977,0.0
3,4,spotify:track:7o9LwQmTuIDm4LyyHFIWul,Henrique & Juliano,Volta Por Baixo - Ao Vivo,Virgin Music Label And Artist Services (S&D),4,6,24,2882023,7o9LwQmTuIDm4LyyHFIWul,0.9798,0.0,0.907,0.093
4,5,spotify:track:4DngRKOpRPrkbzImUB0zgh,Matheus & Kauan,Litrão - Ao Vivo Em Recife / 2020,Universal Music Ltda.,3,4,21,2874334,4DngRKOpRPrkbzImUB0zgh,-0.7989,0.029,0.971,0.0
5,6,spotify:track:67mqU3FeErlvWwsxnMfvQo,"MC Du Black, Delacruz",Tudo Aconteceu,Universal Music Ltda.,6,8,13,2784367,67mqU3FeErlvWwsxnMfvQo,-0.9413,0.05,0.95,0.0
6,7,spotify:track:60wF0XnX7A0jVpDNA5v8vi,"Vytinho NG, Bianca",Tudo no Sigilo,Vytinho Ng,5,12,14,2740891,60wF0XnX7A0jVpDNA5v8vi,-0.8642,0.03,0.97,0.0
7,8,spotify:track:2WlZuBDgLfT7Kc0admhFdg,Luísa Sonza,BRABA,Universal Music Ltda.,2,7,14,2702727,2WlZuBDgLfT7Kc0admhFdg,-0.5267,0.017,0.983,0.0
8,9,spotify:track:6NM06xgqxQ0HU5lxbt2JHi,Gusttavo Lima,Saudade Sua,Sony Music Entertainment,3,3,6,2682047,6NM06xgqxQ0HU5lxbt2JHi,-0.4871,0.012,0.988,0.0
9,10,spotify:track:0RaIjuKU5hudMteEXwr4RS,Jorge & Mateus,Ranking,Som Livre,8,10,16,2678176,0RaIjuKU5hudMteEXwr4RS,-0.89,0.045,0.955,0.0
10,11,spotify:track:3tv697PZNnaQN0Mn2zGhS5,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,Sony Music Entertainment,1,11,29,2671928,3tv697PZNnaQN0Mn2zGhS5,0.9946,0.029,0.823,0.148
11,12,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,3,9,24,2662835,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
12,13,spotify:track:7Ac3BmqTQoLdAt7HtZyfgN,"DENNIS, Mc Don Juan",Te Prometo,Sony Music Entertainment,9,13,20,2581936,7Ac3BmqTQoLdAt7HtZyfgN,-0.9874,0.021,0.965,0.013
13,14,spotify:track:3WjSkl7VDWY1prwJw7dSG0,Zé Neto & Cristiano,Barzinho Aleatório - Ao Vivo,Som Livre,13,14,29,2505213,3WjSkl7VDWY1prwJw7dSG0,-0.5267,0.021,0.979,0.0
14,15,spotify:track:3J5Pu25BODMex4Jpy4l6FL,"Luíza & Maurílio, Zé Neto & Cristiano",S de Saudade,Som Livre,7,15,34,2440600,3J5Pu25BODMex4Jpy4l6FL,0.0,0.0,1.0,0.0
15,16,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,Warner Records,2,16,34,2153227,3PfIrDoz19wz7qK7tYeu62,-0.9873,0.129,0.839,0.032
16,17,spotify:track:5LpLYzpV0HWKI2DlPmNywg,"Wesley Safadão, Zé Neto & Cristiano",Despedida - Ao Vivo,Som Livre,16,18,12,2064369,5LpLYzpV0HWKI2DlPmNywg,-0.9388,0.049,0.951,0.0
17,18,spotify:track:0SJtvFn4vqgJPscSbEPaql,"Maiara & Maraisa, Dilsinho",Libera Ela - Ao Vivo,Som Livre,18,21,10,2040464,0SJtvFn4vqgJPscSbEPaql,0.958,0.0,0.939,0.061
18,19,spotify:track:146Vb458Y5RbqEa0fYFPzm,Felipe Araújo,Mentira - Ao Vivo,Universal Music Ltda.,15,19,30,2032322,146Vb458Y5RbqEa0fYFPzm,0.0,0.0,1.0,0.0
19,20,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,"SAINt JHN, Imanbek",Roses - Imanbek Remix,Columbia/B1 Recordings,11,20,17,2015515,24Yi9hE78yPEbZ4kxyoXAI,-0.9724,0.11,0.825,0.065
20,21,spotify:track:0j1tGcJJfq1nIs4i5GoHXv,Luan Santana,ASAS,LS Music,21,52,2,1912987,0j1tGcJJfq1nIs4i5GoHXv,0.9584,0.0,0.935,0.065
21,22,spotify:track:5GAdMAL3tRJkVN1HtwohK2,"Mc Don Juan, Maiara & Maraisa",Vai Ter Que Aguentar,GR6 Music,22,49,4,1897370,5GAdMAL3tRJkVN1HtwohK2,-0.9355,0.051,0.949,0.0
22,23,spotify:track:2PWjKmjyTZeDpmOUa3a5da,Jorge & Mateus,Cheirosa - Ao Vivo,Som Livre,3,24,37,1813935,2PWjKmjyTZeDpmOUa3a5da,-0.5267,0.02,0.98,0.0
23,24,spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF,Gustavo Mioto,Com Ou Sem Mim - Ao Vivo,Universal Music Ltda.,6,23,31,1804156,5L8ZEyIdZ2KE4Wf51SsuOF,0.8541,0.0,0.963,0.037
24,25,spotify:track:6nI98wtHOJAYSASq22TCYu,Luan Santana,água com açúcar - ao vivo,Som Livre,6,17,15,1803142,6nI98wtHOJAYSASq22TCYu,0.9809,0.018,0.859,0.123
25,26,spotify:track:5PNvgiKSwMdjBsDsgFCFLX,"Maverick Sabre, Jorja Smith, Vintage Culture, Slow Motion",Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix,Spinnin' Deep,21,22,12,1775982,5PNvgiKSwMdjBsDsgFCFLX,0.863,0.054,0.872,0.074
26,27,spotify:track:4j2bK4fnc2s6GyVmhJsJhk,Henrique & Juliano,Briga Feia - Ao Vivo,Virgin Music Label And Artist Services (S&D),26,28,28,1758360,4j2bK4fnc2s6GyVmhJsJhk,-0.5267,0.018,0.982,0.0
27,28,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,25,27,25,1734324,0VjIjW4GlUZAMYd2vXMi3b,0.0,0.0,1.0,0.0
