rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:2x8TNY9KwNvD19gVGs4WOP	MC Kevin o Chris	Ela É do Tipo	ADpar	1	1	6	4277942	2x8TNY9KwNvD19gVGs4WOP
2	spotify:track:5eMmT4Ava5BGThju0AD8vQ	Gusttavo Lima	Cem Mil - Ao Vivo	Som Livre	1	2	26	3238451	5eMmT4Ava5BGThju0AD8vQ
3	spotify:track:6sRLrSetyIwIKhW1eMlUNP	Matheus & Kauan, Marília Mendonça	Vou Ter Que Superar - Ao Vivo	Universal Music Ltda.	3	3	5	3083187	6sRLrSetyIwIKhW1eMlUNP
4	spotify:track:5pRGXCDY0eT6R1QicAn7Uk	João Gustavo e Murilo, Analaga	Lençol Dobrado	WM Brazil	4	6	25	2938500	5pRGXCDY0eT6R1QicAn7Uk
5	spotify:track:2H8ETIUEoN9YMf56X66bxd	Anitta, LUDMILLA, Snoop Dogg, Papatinho	Onda diferente (feat. Papatinho)	WM Brazil	4	4	3	2692273	2H8ETIUEoN9YMf56X66bxd
6	spotify:track:7KdcbYcVF8LkQeQcTYOixJ	Luan Santana, MC Kekel	Vingança - Ao Vivo	Som Livre	5	5	32	2655031	7KdcbYcVF8LkQeQcTYOixJ
7	spotify:track:6YjyT6MEMsMc41NNWk2dYg	Marília Mendonça, Maiara & Maraisa	Bebaça - Ao Vivo	Som Livre	7	9	9	2572530	6YjyT6MEMsMc41NNWk2dYg
8	spotify:track:3RbXsVQr4jeTxvT35Hssq3	Marília Mendonça	Bebi Liguei - Ao Vivo	Som Livre	2	7	19	2360963	3RbXsVQr4jeTxvT35Hssq3
9	spotify:track:5EKHbW7mXcAR4hCyS3YXjb	Felipe Araújo, Ferrugem	Atrasadinha - Live	Universal Music Ltda.	1	8	31	2334327	5EKHbW7mXcAR4hCyS3YXjb
10	spotify:track:1OUPXna2MCgAt3VNmXJBtg	Tropkillaz, J Balvin, Anitta, Mc Zaac	Bola Rebola	Universal Music Ltda.	1	10	9	2244065	1OUPXna2MCgAt3VNmXJBtg
11	spotify:track:7oEr56KG6odStlQH0nvdyr	Gustavo Mioto	Solteiro Não Trai - Ao Vivo	Gustavo Mioto	8	11	20	2241559	7oEr56KG6odStlQH0nvdyr
12	spotify:track:2lAyctg5FocS67eksHoyIg	Márcia Fellipe, Jerry Smith	Quem Me Dera	Universal Music Ltda.	4	12	27	2153264	2lAyctg5FocS67eksHoyIg
13	spotify:track:3mNmUjoDHYDYj08IaRPtg0	Lucas Lucco, Wesley Safadão	Posto 24h (feat. Wesley Safadão) - Ao Vivo	Sony Music Entertainment	13	21	27	2139847	3mNmUjoDHYDYj08IaRPtg0
14	spotify:track:4eB8rsNNm5791m3uvEBNLR	Zé Neto & Cristiano	Estado Decadente - Acústico	Som Livre	10	13	15	2127434	4eB8rsNNm5791m3uvEBNLR
15	spotify:track:0XEJ7eph2IWFYZc73Jm3n2	Diego & Victor Hugo	Infarto	Sony Music Entertainment	9	17	24	2084013	0XEJ7eph2IWFYZc73Jm3n2
16	spotify:track:1xyVMQx51Kab6eLVtE6twx	Lauana Prado, Maiara & Maraisa	Cobaia	Universal Music Ltda.	15	15	37	2040883	1xyVMQx51Kab6eLVtE6twx
17	spotify:track:2qkNnJvQvhLiZ63X1L3eFz	Zé Neto & Cristiano	Notificação Preferida - Ao Vivo	Som Livre	2	18	45	1886930	2qkNnJvQvhLiZ63X1L3eFz
18	spotify:track:7FiIQXpIeLo3ITfGGpb8PB	MC Kevin o Chris, FP do Trem Bala	Vamos pra Gaiola	ADPAR Produções	2	14	15	1876321	7FiIQXpIeLo3ITfGGpb8PB
19	spotify:track:6PqUdUGS4h5aGY7YyEGXr8	Alok, Felix Jaehn, The Vamps	All The Lies	Spinnin' Records	14	16	6	1819071	6PqUdUGS4h5aGY7YyEGXr8
20	spotify:track:0IQCOAw9ZAI6WnXIrl481F	Mc Livinho, Rennan da Penha	Hoje Eu Vou Parar Na Gaiola	GR6 Music	5	19	24	1703605	0IQCOAw9ZAI6WnXIrl481F
21	spotify:track:5yH8pYxNckOU1cxfPsMIaz	DENNIS, MC Kevinho	Agora é Tudo Meu	Sony Music Entertainment	3	20	20	1628257	5yH8pYxNckOU1cxfPsMIaz
22	spotify:track:2VxeLyX666F8uXCJ0dZF8B	Lady Gaga, Bradley Cooper	Shallow	A Star is Born OST	3	22	30	1602530	2VxeLyX666F8uXCJ0dZF8B
23	spotify:track:7D5F5BzIon5zhzQrOU2pdN	Marília Mendonça	Ciumeira - Ao Vivo	Som Livre	1	26	35	1593828	7D5F5BzIon5zhzQrOU2pdN
24	spotify:track:1qCLx3nX25NuhfPjM5E1qV	Melim	Ouvi Dizer	Universal Music Ltda.	13	24	40	1581380	1qCLx3nX25NuhfPjM5E1qV
25	spotify:track:0EZuXcsnjEmGuRYdFdcctX	Marília Mendonça	Sem Sal - Ao Vivo	Som Livre	20	31	26	1547957	0EZuXcsnjEmGuRYdFdcctX
26	spotify:track:5MMrkwK6AgNAsgHVdC7daZ	Dilsinho	Péssimo Negócio (Ao Vivo)	Sony Music Entertainment	24	27	25	1500652	5MMrkwK6AgNAsgHVdC7daZ
27	spotify:track:4gDvg62vG96w0qJaF6wzcd	Diego & Victor Hugo, Zé Neto & Cristiano	A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília	Sony Music Entertainment	27	42	5	1495014	4gDvg62vG96w0qJaF6wzcd
