rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:2JTir3y1VuJQmexiTCMcTP	Os Barões Da Pisadinha	Recairei - Ao Vivo	Sony Music Entertainment	1	1	28	4657621	2JTir3y1VuJQmexiTCMcTP
2	spotify:track:6WXglvTFRmjlHHhgjYMNif	MC Hariel, Alok, MC Ryan SP, Mc Davi, Salvador Da Rima	Ilusão (Cracolândia)	GR6 Music	2	4	2	3929975	6WXglvTFRmjlHHhgjYMNif
3	spotify:track:15k1TDabqSEmyXOwMq9RM7	Jonas Esticado	Investe Em Mim	Som Livre	1	2	22	3797788	15k1TDabqSEmyXOwMq9RM7
4	spotify:track:5m5aY6S9ttfIG157xli2Rs	Zé Neto & Cristiano	Alô Ambev (Segue Sua Vida) - Ao Vivo	Som Livre	4	11	13	3462821	5m5aY6S9ttfIG157xli2Rs
5	spotify:track:3rRin3LyLY92kpEbkCgwf4	Os Barões Da Pisadinha, Xand Avião	Basta Você Me Ligar - Ao Vivo	Sony Music Entertainment	5	6	23	3211781	3rRin3LyLY92kpEbkCgwf4
6	spotify:track:187Pge0WmJNoS73kaIORSE	Douglas & Vinicius, MC Bruninho	Figurinha - Ao Vivo	Virgin Music Label And Artist Services (S&D)	3	5	19	3194866	187Pge0WmJNoS73kaIORSE
7	spotify:track:3dPvQLKl42dMYWV4LWRTLK	Os Barões Da Pisadinha	Tá Rocheda	Sony Music Entertainment	7	14	43	3050293	3dPvQLKl42dMYWV4LWRTLK
8	spotify:track:1X0MaGErD8rcspqQs9s2m0	Zé Felipe	Só Tem Eu	Som Livre	3	3	7	2978015	1X0MaGErD8rcspqQs9s2m0
9	spotify:track:1nDCZBI8MaHXI2f36dnQyG	Tierry	Rita	Tierry	8	8	10	2962392	1nDCZBI8MaHXI2f36dnQyG
10	spotify:track:42P3wMiPfXQM93TYZotuPQ	Gusttavo Lima	De Menina pra Mulher - Ao Vivo	Sony Music Entertainment	3	10	10	2944430	42P3wMiPfXQM93TYZotuPQ
11	spotify:track:7GLWWrk1YlkPYqJK3ynIA0	Jorge & Mateus	Lance Individual	Som Livre	11	33	2	2857272	7GLWWrk1YlkPYqJK3ynIA0
12	spotify:track:4xWzZmX4K1yyrdtRfbUvjt	Niack	Oh Juliana	Niack	1	15	20	2690407	4xWzZmX4K1yyrdtRfbUvjt
13	spotify:track:64I6t2tuUGnIlaDIzHJ6YI	Marília Mendonça, Maiara & Maraisa	Quero Você do Jeito Que Quiser	Som Livre	4	12	20	2648171	64I6t2tuUGnIlaDIzHJ6YI
