,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:1vG3YuKRYqPwTmNmYgqkpg,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,Virgin Music Label And Artist Services (S&D),1,1,4,6445899,1vG3YuKRYqPwTmNmYgqkpg,-0.6808,0.023,0.977,0.0
1,2,spotify:track:4lKuzrdZrJuCAedbIslF3A,"PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro",SENTADÃO,WM Brazil,2,3,6,5007845,4lKuzrdZrJuCAedbIslF3A,0.5696,0.06,0.867,0.073
2,3,spotify:track:2bPtwnrpFNEe8N7Q85kLHw,"Anitta, Lexa, Luísa Sonza, Rebecca",Combatchy (feat. MC Rebecca),WM Brazil,1,2,7,4896894,2bPtwnrpFNEe8N7Q85kLHw,-0.9637,0.061,0.939,0.0
3,4,spotify:track:2PWjKmjyTZeDpmOUa3a5da,Jorge & Mateus,Cheirosa - Ao Vivo,Som Livre,3,4,12,4527810,2PWjKmjyTZeDpmOUa3a5da,-0.5267,0.02,0.98,0.0
4,5,spotify:track:3GmJxfnUDrIs1iCfKUELFz,Marília Mendonça,Supera - Ao Vivo,Som Livre,1,5,20,4430973,3GmJxfnUDrIs1iCfKUELFz,0.8402,0.0,0.964,0.036
5,6,spotify:track:5F8ffc8KWKNawllr5WsW0r,"Dadá Boladão, Tati Zaqui, OIK",Surtada - Remix Brega Funk,Sony Music Entertainment,1,6,14,4414417,5F8ffc8KWKNawllr5WsW0r,-0.5267,0.014,0.986,0.0
6,7,spotify:track:2Q9TaUXNM4mNSCgJjbmsJe,Zé Neto & Cristiano,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Som Livre,7,7,5,3965421,2Q9TaUXNM4mNSCgJjbmsJe,0.0,0.0,1.0,0.0
7,8,spotify:track:3tv697PZNnaQN0Mn2zGhS5,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,Sony Music Entertainment,8,10,4,3808032,3tv697PZNnaQN0Mn2zGhS5,0.9946,0.029,0.823,0.148
8,9,spotify:track:2qD7VoDYcrAPY0cVEfpsR5,"Anitta, Marília Mendonça",Some que ele vem atrás,WM Brazil,2,8,10,3704327,2qD7VoDYcrAPY0cVEfpsR5,0.0,0.0,1.0,0.0
9,10,spotify:track:1uryupl9hqVZYurJwH4G9k,Guilherme & Benuto,3 Batidas - Ao Vivo,Sony Music Entertainment,9,9,19,3541737,1uryupl9hqVZYurJwH4G9k,0.0,0.083,0.856,0.061
10,11,spotify:track:2RMOwSvOGQyy985Vx4VSGQ,"LUDMILLA, Topo La Maskara, Walshy Fire",Verdinha,WM Brazil,9,12,5,3525763,2RMOwSvOGQyy985Vx4VSGQ,-0.1431,0.049,0.917,0.034
11,12,spotify:track:6QwFUcPc5nhsqZuhXUYtV7,Jorge & Mateus,Tijolão - Ao Vivo,Som Livre,1,11,32,3402426,6QwFUcPc5nhsqZuhXUYtV7,0.0,0.0,1.0,0.0
12,13,spotify:track:5dKesZwp6deuhEeW8F1UEi,"Felipe Original, MC Kevin o Chris, Sodré, JS o Mão de Ouro",Hit Contagiante,Tudo Nosso Produtora,2,13,23,3380214,5dKesZwp6deuhEeW8F1UEi,-0.9337,0.105,0.847,0.048
13,14,spotify:track:3J5Pu25BODMex4Jpy4l6FL,"Luíza & Maurílio, Zé Neto & Cristiano",S de Saudade,Som Livre,14,19,9,3350146,3J5Pu25BODMex4Jpy4l6FL,0.0,0.0,1.0,0.0
14,15,spotify:track:3Uq45ipGutypFPmETfaoaH,"MC Du Black, DJ 2F",Gaiola É o Troco,EP MIX Editora,1,14,23,3246022,3Uq45ipGutypFPmETfaoaH,0.9581,0.0,0.954,0.046
15,16,spotify:track:14kRWkCWBYfQqILflEcpSJ,"Lexa, PEDRO SAMPAIO",Chama Ela (feat. Pedro Sampaio),Som Livre,6,16,14,3095260,14kRWkCWBYfQqILflEcpSJ,-0.8593,0.038,0.962,0.0
16,17,spotify:track:72xB2J9ZeBl0Rzxq2XmzdY,"João Gustavo e Murilo, Analaga",Lençol Dobrado,WM Brazil,2,15,61,3040557,72xB2J9ZeBl0Rzxq2XmzdY,0.0,0.0,1.0,0.0
17,18,spotify:track:4RC2nzqaQygxoVQOVv3XlT,"Leo Santana, Anitta",Contatinho - Ao Vivo,Universal Music Ltda.,6,21,17,2995346,4RC2nzqaQygxoVQOVv3XlT,0.8692,0.014,0.958,0.028
18,19,spotify:track:6lK3nCiigk34SGqEjpQoqO,Maiara & Maraisa,Aí Eu Bebo - Ao Vivo,Som Livre,19,22,11,2927399,6lK3nCiigk34SGqEjpQoqO,0.0,0.0,1.0,0.0
19,20,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra (NEK),20,27,16,2892434,1rgnBhdG2JDFTbYkYRZAku,0.0387,0.023,0.946,0.03
20,21,spotify:track:1U3tv41tFRgOfbytpuYQrR,Zé Neto & Cristiano,Ferida Curada,Som Livre,6,18,24,2851019,1U3tv41tFRgOfbytpuYQrR,0.9682,0.0,0.91,0.09
