,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:1vG3YuKRYqPwTmNmYgqkpg,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,Virgin Music Label And Artist Services (S&D),1,1,8,6264549,1vG3YuKRYqPwTmNmYgqkpg,-0.6808,0.023,0.977,0.0
1,2,spotify:track:4HUZBG98TYbxSR9V1V2DWS,"Thiaguinho MT, Mila, JS o Mão de Ouro",Tudo Ok,Sony Music Entertainment,2,2,5,5080114,4HUZBG98TYbxSR9V1V2DWS,-0.889,0.063,0.906,0.032
2,3,spotify:track:4lKuzrdZrJuCAedbIslF3A,"PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro",SENTADÃO,WM Brazil,2,3,10,4702179,4lKuzrdZrJuCAedbIslF3A,0.5696,0.06,0.867,0.073
3,4,spotify:track:3tv697PZNnaQN0Mn2zGhS5,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,Sony Music Entertainment,2,4,8,4311127,3tv697PZNnaQN0Mn2zGhS5,0.9946,0.029,0.823,0.148
4,5,spotify:track:2bPtwnrpFNEe8N7Q85kLHw,"Anitta, Lexa, Luísa Sonza, Rebecca",Combatchy (feat. MC Rebecca),WM Brazil,1,5,11,4019117,2bPtwnrpFNEe8N7Q85kLHw,-0.9637,0.061,0.939,0.0
5,6,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,6,6,3,3908879,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
6,7,spotify:track:63SHcJzckFykS8faA5zojY,"MC Ingryd, DJ Henrique da VK",Vem Me Satisfazer,MC Ingryd,7,12,8,3758115,63SHcJzckFykS8faA5zojY,-0.9718,0.066,0.934,0.0
7,8,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra (NEK),7,7,20,3608210,1rgnBhdG2JDFTbYkYRZAku,0.0387,0.023,0.946,0.03
8,9,spotify:track:5F8ffc8KWKNawllr5WsW0r,"Dadá Boladão, Tati Zaqui, OIK",Surtada - Remix Brega Funk,Sony Music Entertainment,1,8,18,3499758,5F8ffc8KWKNawllr5WsW0r,-0.5267,0.014,0.986,0.0
9,10,spotify:track:2Q9TaUXNM4mNSCgJjbmsJe,Zé Neto & Cristiano,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Som Livre,7,9,9,3399346,2Q9TaUXNM4mNSCgJjbmsJe,0.0,0.0,1.0,0.0
10,11,spotify:track:2PWjKmjyTZeDpmOUa3a5da,Jorge & Mateus,Cheirosa - Ao Vivo,Som Livre,3,10,16,3365134,2PWjKmjyTZeDpmOUa3a5da,-0.5267,0.02,0.98,0.0
11,12,spotify:track:3J5Pu25BODMex4Jpy4l6FL,"Luíza & Maurílio, Zé Neto & Cristiano",S de Saudade,Som Livre,12,13,13,3174338,3J5Pu25BODMex4Jpy4l6FL,0.0,0.0,1.0,0.0
12,13,spotify:track:3GmJxfnUDrIs1iCfKUELFz,Marília Mendonça,Supera - Ao Vivo,Som Livre,1,11,24,3118414,3GmJxfnUDrIs1iCfKUELFz,0.8402,0.0,0.964,0.036
13,14,spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF,Gustavo Mioto,Com Ou Sem Mim - Ao Vivo,Universal Music Ltda.,14,22,10,2990078,5L8ZEyIdZ2KE4Wf51SsuOF,0.8541,0.0,0.963,0.037
14,15,spotify:track:1uryupl9hqVZYurJwH4G9k,Guilherme & Benuto,3 Batidas - Ao Vivo,Sony Music Entertainment,9,16,23,2791553,1uryupl9hqVZYurJwH4G9k,0.0,0.083,0.856,0.061
15,16,spotify:track:7vZqxuOvEwRHsGVaDykzpY,Os Parazim,Porta Mala,Os Parazim,15,17,6,2761151,7vZqxuOvEwRHsGVaDykzpY,-0.296,0.004,0.996,0.0
16,17,spotify:track:2qD7VoDYcrAPY0cVEfpsR5,"Anitta, Marília Mendonça",Some que ele vem atrás,WM Brazil,2,14,14,2613946,2qD7VoDYcrAPY0cVEfpsR5,0.0,0.0,1.0,0.0
17,18,spotify:track:2RMOwSvOGQyy985Vx4VSGQ,"LUDMILLA, Topo La Maskara, Walshy Fire",Verdinha,WM Brazil,9,15,9,2588494,2RMOwSvOGQyy985Vx4VSGQ,-0.1431,0.049,0.917,0.034
18,19,spotify:track:3Uq45ipGutypFPmETfaoaH,"MC Du Black, DJ 2F",Gaiola É o Troco,EP MIX Editora,1,18,27,2485218,3Uq45ipGutypFPmETfaoaH,0.9581,0.0,0.954,0.046
19,20,spotify:track:2MOq63fxuFLYQM3CsDcFs1,GIULIA BE,menina solta,WM Brazil,15,23,17,2473586,2MOq63fxuFLYQM3CsDcFs1,0.2244,0.015,0.973,0.013
20,21,spotify:track:5FFpRbsH9WDYNoLauRAHpj,"MC Kevinho, Dadá Boladão, MC JottaPê",Paredão,WM Brazil,21,31,6,2471447,5FFpRbsH9WDYNoLauRAHpj,-0.9581,0.059,0.941,0.0
21,22,spotify:track:6QwFUcPc5nhsqZuhXUYtV7,Jorge & Mateus,Tijolão - Ao Vivo,Som Livre,1,20,36,2408119,6QwFUcPc5nhsqZuhXUYtV7,0.0,0.0,1.0,0.0
