,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:4xWzZmX4K1yyrdtRfbUvjt,Niack,Oh Juliana,Niack,1,1,11,4798644,4xWzZmX4K1yyrdtRfbUvjt,0.9811,0.01,0.945,0.046
1,2,spotify:track:15k1TDabqSEmyXOwMq9RM7,Jonas Esticado,Investe Em Mim,Som Livre,2,3,13,4436979,15k1TDabqSEmyXOwMq9RM7,0.0,0.0,1.0,0.0
2,3,spotify:track:7e1VoRlNumuEkXlITMHKLE,"Anitta, Myke Towers, Cardi B",Me Gusta (with Cardi B & Myke Towers),Warner Records,3,-1,1,4260445,7e1VoRlNumuEkXlITMHKLE,0.9925,0.101,0.75,0.15
3,4,spotify:track:71FrGl0XcpL3VId65tB5mg,Os Barões Da Pisadinha,Recairei - Ao Vivo,Sony Music Entertainment,4,5,19,3911323,71FrGl0XcpL3VId65tB5mg,0.8555,0.0,0.898,0.102
4,5,spotify:track:5oI9blwsXC8AkTWw6wASY8,Matuê,Máquina do Tempo,Sony Music Entertainment,2,2,2,3714636,5oI9blwsXC8AkTWw6wASY8,0.9982,0.009,0.786,0.204
5,6,spotify:track:64I6t2tuUGnIlaDIzHJ6YI,"Marília Mendonça, Maiara & Maraisa",Quero Você do Jeito Que Quiser,Som Livre,4,8,11,3389676,64I6t2tuUGnIlaDIzHJ6YI,0.9186,0.0,0.96,0.04
6,7,spotify:track:12v6LfkX9YIR3uLefIAAYZ,Mc Jacaré,Comprei um Lança,Mc Jacare / Los Pantchos,5,6,13,3315424,12v6LfkX9YIR3uLefIAAYZ,-0.8807,0.041,0.959,0.0
7,8,spotify:track:4zsiMjB0794HztyqUkD3Zi,"Dilsinho, Henrique & Juliano",Sogra - Ao Vivo,Sony Music Entertainment,6,11,16,3172067,4zsiMjB0794HztyqUkD3Zi,0.0,0.0,1.0,0.0
8,9,spotify:track:3sGcETRMuAgcPgjDpIkgMn,Matuê,777-666,Sony Music Entertainment,4,4,2,3151449,3sGcETRMuAgcPgjDpIkgMn,-0.8625,0.04,0.952,0.008
9,10,spotify:track:4zGtfOglDBfVUypabBwIjQ,"Mc Zaac, Anitta, Tyga",Desce Pro Play (PA PA PA),Universal Music Ltda.,1,7,13,3101049,4zGtfOglDBfVUypabBwIjQ,-0.918,0.049,0.935,0.016
10,11,spotify:track:59kRq8rb5uJCrSYYbGCk7o,MC Rogerinho,Só Você,MC Rogerinho,11,14,6,3059104,59kRq8rb5uJCrSYYbGCk7o,0.0,0.0,1.0,0.0
11,12,spotify:track:3dPvQLKl42dMYWV4LWRTLK,Os Barões Da Pisadinha,Tá Rocheda,Sony Music Entertainment,12,13,34,2838662,3dPvQLKl42dMYWV4LWRTLK,-0.7959,0.036,0.964,0.0
12,13,spotify:track:187Pge0WmJNoS73kaIORSE,"Douglas & Vinicius, MC Bruninho",Figurinha - Ao Vivo,Virgin Music Label And Artist Services (S&D),13,24,10,2785284,187Pge0WmJNoS73kaIORSE,-0.5267,0.038,0.962,0.0
13,14,spotify:track:4Oun2ylbjFKMPTiaSbbCih,"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),Atlantic/KSR,14,22,7,2716648,4Oun2ylbjFKMPTiaSbbCih,0.6808,0.05,0.875,0.075
14,15,spotify:track:7o9LwQmTuIDm4LyyHFIWul,Henrique & Juliano,Volta Por Baixo - Ao Vivo,Virgin Music Label And Artist Services (S&D),3,16,37,2693492,7o9LwQmTuIDm4LyyHFIWul,0.9798,0.0,0.907,0.093
15,16,spotify:track:3WjSkl7VDWY1prwJw7dSG0,Zé Neto & Cristiano,Barzinho Aleatório - Ao Vivo,Som Livre,8,19,42,2667450,3WjSkl7VDWY1prwJw7dSG0,-0.5267,0.021,0.979,0.0
16,17,spotify:track:5GAdMAL3tRJkVN1HtwohK2,"Mc Don Juan, Maiara & Maraisa",Vai Ter Que Aguentar,GR6 Music,8,15,17,2632303,5GAdMAL3tRJkVN1HtwohK2,-0.9355,0.051,0.949,0.0
