,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:4E6RdcCWMiHTu7zy1VTNDo,Marília Mendonça,Todo Mundo Vai Sofrer - Ao Vivo,Som Livre,1,1,12,3429193,4E6RdcCWMiHTu7zy1VTNDo,0.0,0.0,1.0,0.0
1,2,spotify:track:6QwFUcPc5nhsqZuhXUYtV7,Jorge & Mateus,Tijolão - Ao Vivo,Som Livre,2,3,11,3423686,6QwFUcPc5nhsqZuhXUYtV7,0.0,0.0,1.0,0.0
2,3,spotify:track:5pRGXCDY0eT6R1QicAn7Uk,"João Gustavo e Murilo, Analaga",Lençol Dobrado,WM Brazil,2,2,40,3284137,5pRGXCDY0eT6R1QicAn7Uk,0.0,0.0,1.0,0.0
3,4,spotify:track:1nVIlX3h3Ds9bH6JMQopIU,Luan Santana,quando a bad bater - ao vivo,Som Livre,4,5,6,3048158,1nVIlX3h3Ds9bH6JMQopIU,-0.9738,0.123,0.823,0.054
4,5,spotify:track:2bbFhnxYjeb9jYEX2MDKLQ,MC Kevinho,Uma nora pra cada dia,WM Brazil,5,7,6,2858680,2bbFhnxYjeb9jYEX2MDKLQ,-0.5267,0.017,0.983,0.0
5,6,spotify:track:0WhDotK0QXigmsrlw0DxKK,"MC Kevin o Chris, Sodré",Evoluiu,ADpar,2,4,16,2723874,0WhDotK0QXigmsrlw0DxKK,-0.9001,0.056,0.929,0.015
6,7,spotify:track:6sRLrSetyIwIKhW1eMlUNP,"Matheus & Kauan, Marília Mendonça",Vou Ter Que Superar - Ao Vivo,Universal Music Ltda.,2,6,20,2704636,6sRLrSetyIwIKhW1eMlUNP,0.9304,0.0,0.962,0.038
7,8,spotify:track:1nqaSoiLuqevDes4S18sO7,Gusttavo Lima,Milu,Gusttavo Lima,8,11,6,2573572,1nqaSoiLuqevDes4S18sO7,0.7783,0.063,0.86,0.077
8,9,spotify:track:26WpOBpHiIMoBuMEIwtOCH,"Pk, PK Delas",Quando a vontade bater (Participação especial de PK Delas),WM Brazil,8,8,21,2528270,26WpOBpHiIMoBuMEIwtOCH,0.0,0.0,1.0,0.0
9,10,spotify:track:6V43u5SCjkfMpxMAXRPifr,"MC JottaPê, DJ RD, MC M10",Sentou e Gostou,KondZilla,10,10,5,2462288,6V43u5SCjkfMpxMAXRPifr,0.9935,0.0,0.838,0.162
10,11,spotify:track:1xyVMQx51Kab6eLVtE6twx,"Lauana Prado, Maiara & Maraisa",Cobaia,Universal Music Ltda.,6,9,52,2422246,1xyVMQx51Kab6eLVtE6twx,0.9413,0.007,0.939,0.053
11,12,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Señorita,Island Records,2,12,7,2366242,6v3KW9xbzN5yKLt9YKDYA2,0.9988,0.033,0.724,0.244
12,13,spotify:track:5q0NlM6Pm8Pp3orq7zGiRn,"Matheus & Kauan, Jorge & Mateus",Quarta Cadeira - Ao Vivo,Universal Music Ltda.,13,13,20,2154540,5q0NlM6Pm8Pp3orq7zGiRn,0.0,0.0,1.0,0.0
13,14,spotify:track:4jGzR5Vri06Y5T9SxM7m5P,"Xand Avião, Gusttavo Lima",Algo Mais (Amante) - Ao Vivo,Som Livre,14,16,12,2086400,4jGzR5Vri06Y5T9SxM7m5P,-0.9688,0.018,0.981,0.001
14,15,spotify:track:1U3tv41tFRgOfbytpuYQrR,Zé Neto & Cristiano,Ferida Curada,Som Livre,15,15,3,2067847,1U3tv41tFRgOfbytpuYQrR,0.9682,0.0,0.91,0.09
15,16,spotify:track:3RbXsVQr4jeTxvT35Hssq3,Marília Mendonça,Bebi Liguei - Ao Vivo,Som Livre,2,14,34,2019624,3RbXsVQr4jeTxvT35Hssq3,-0.8402,0.043,0.957,0.0
