rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
61	spotify:track:7ArNH109yIfwIquJ535fsi	Marcos & Belutti, Gaab	Certo e Duvidoso (feat. Gaab) - Ao Vivo	Sony Music Entertainment	61	70	8	1106307	7ArNH109yIfwIquJ535fsi
62	spotify:track:0nDnvGagGAQP5vpgCyS5yH	Orochi, Papatinho	Amor de Fim de Noite	SinTZ	59	59	19	1099925	0nDnvGagGAQP5vpgCyS5yH
63	spotify:track:2qD7VoDYcrAPY0cVEfpsR5	Anitta, Marília Mendonça	Some que ele vem atrás	WM Brazil	2	30	21	1082977	2qD7VoDYcrAPY0cVEfpsR5
64	spotify:track:6toDZSoqG5QUitFsoxavRy	Vitão, Anitta	Complicado	Universal Music Ltda.	13	62	24	1081802	6toDZSoqG5QUitFsoxavRy
65	spotify:track:3Dv1eDb0MEgF93GpLXlucZ	Doja Cat	Say So	Kemosabe Records/RCA Records	60	65	4	1081788	3Dv1eDb0MEgF93GpLXlucZ
66	spotify:track:26WpOBpHiIMoBuMEIwtOCH	Pk, PK Delas	Quando a vontade bater (Participação especial de PK Delas)	WM Brazil	8	67	53	1078677	26WpOBpHiIMoBuMEIwtOCH
67	spotify:track:4Clmg1g8n2yBYG13Z1oSdG	Dayvi, Victor Cardenas, Kelly Ruíz	Baila Conmigo (feat. Kelly Ruiz)	Sony Music México	55	71	11	1052611	4Clmg1g8n2yBYG13Z1oSdG
68	spotify:track:16wAOAZ2OkqoIDN7TpChjR	Justin Bieber	Yummy	RBMG/Def Jam	16	66	11	1052133	16wAOAZ2OkqoIDN7TpChjR
69	spotify:track:4jGzR5Vri06Y5T9SxM7m5P	Xand Avião, Gusttavo Lima	Algo Mais (Amante) - Ao Vivo	Som Livre	14	76	44	1038315	4jGzR5Vri06Y5T9SxM7m5P
70	spotify:track:4TnjEaWOeW0eKTKIEvJyCa	Trevor Daniel	Falling	Alamo	57	79	14	1036134	4TnjEaWOeW0eKTKIEvJyCa
71	spotify:track:5STHFaWYO1KeyITjvB4hR8	Marília Mendonça	Tentativas	Som Livre	34	68	5	1031362	5STHFaWYO1KeyITjvB4hR8
72	spotify:track:3ZkTtSBN1wcSw35F8GDRmr	Gusttavo Lima	Chora Até Perder a Fala - Ao Vivo	Sony Music Entertainment	72	96	10	1018854	3ZkTtSBN1wcSw35F8GDRmr
73	spotify:track:4umIPjkehX1r7uhmGvXiSV	Justin Bieber, Quavo	Intentions (feat. Quavo)	RBMG/Def Jam	49	74	6	1002894	4umIPjkehX1r7uhmGvXiSV
74	spotify:track:31yFXM26dazFnWI2eoOM5R	MC G15, Mc Livinho	Ela Vem	GR6 Music	21	75	39	1002359	31yFXM26dazFnWI2eoOM5R
75	spotify:track:7HLU2aJTAQfSIgJ2dMASsP	Mc Poze do Rodo, Dj Gabriel do Borel	To Voando Alto	Mc Poze do Rodo	20	73	17	988401	7HLU2aJTAQfSIgJ2dMASsP
76	spotify:track:4lEw9Id7kLDSJ6KRdaenM9	Felipe Araújo	Espaçosa Demais - Ao Vivo	Universal Music Ltda.	13	85	76	977184	4lEw9Id7kLDSJ6KRdaenM9
77	spotify:track:59WWulo1LM0njpIkcduCMn	Atitude 67	Tão Linda	Universal Music Ltda.	39	78	33	976550	59WWulo1LM0njpIkcduCMn
78	spotify:track:2kJu14V7hbZw3I4K8L8SXb	Lady Gaga	Stupid Love	Interscope	15	53	3	970363	2kJu14V7hbZw3I4K8L8SXb
79	spotify:track:7offICpl9kla5kC61uUAs9	MC JottaPê, Lexa	Bate Palma	KondZilla Records	45	81	9	965239	7offICpl9kla5kC61uUAs9
80	spotify:track:23zmMwD99ROi9yhxqMxWil	João Bosco & Vinicius, Matheus	Segunda Taça - Ao Vivo	João Bosco & Vinicius	80	92	4	963500	23zmMwD99ROi9yhxqMxWil
