,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:3Uq45ipGutypFPmETfaoaH,"MC Du Black, DJ 2F",Gaiola É o Troco,EP MIX Editora,1,4,10,3875647,3Uq45ipGutypFPmETfaoaH,0.9581,0.0,0.954,0.046
1,2,spotify:track:5dKesZwp6deuhEeW8F1UEi,"Felipe Original, MC Kevin o Chris, Sodré, JS o Mão de Ouro",Hit Contagiante,Tudo Nosso Produtora,2,3,10,3754539,5dKesZwp6deuhEeW8F1UEi,-0.9337,0.105,0.847,0.048
2,3,spotify:track:3GmJxfnUDrIs1iCfKUELFz,Marília Mendonça,Supera - Ao Vivo,Som Livre,1,1,7,3624522,3GmJxfnUDrIs1iCfKUELFz,0.8402,0.0,0.964,0.036
3,4,spotify:track:5gvrBqNFFEWcxYPt3mamvJ,Luan Santana,quando a bad bater - ao vivo,Som Livre,1,2,14,3617779,5gvrBqNFFEWcxYPt3mamvJ,-0.9738,0.123,0.823,0.054
4,5,spotify:track:6QwFUcPc5nhsqZuhXUYtV7,Jorge & Mateus,Tijolão - Ao Vivo,Som Livre,1,5,19,3266188,6QwFUcPc5nhsqZuhXUYtV7,0.0,0.0,1.0,0.0
5,6,spotify:track:72xB2J9ZeBl0Rzxq2XmzdY,"João Gustavo e Murilo, Analaga",Lençol Dobrado,WM Brazil,2,6,48,3070315,72xB2J9ZeBl0Rzxq2XmzdY,0.0,0.0,1.0,0.0
6,7,spotify:track:3MkdA6vwF0ifRl86yzTlJW,Matuê,Kenny G,Sony Music Entertainment,7,7,4,2935271,3MkdA6vwF0ifRl86yzTlJW,0.8732,0.048,0.888,0.064
7,8,spotify:track:1U3tv41tFRgOfbytpuYQrR,Zé Neto & Cristiano,Ferida Curada,Som Livre,6,8,11,2870645,1U3tv41tFRgOfbytpuYQrR,0.9682,0.0,0.91,0.09
8,9,spotify:track:26WpOBpHiIMoBuMEIwtOCH,"Pk, PK Delas",Quando a vontade bater (Participação especial de PK Delas),WM Brazil,8,10,29,2759553,26WpOBpHiIMoBuMEIwtOCH,0.0,0.0,1.0,0.0
9,10,spotify:track:1nqaSoiLuqevDes4S18sO7,Gusttavo Lima,Milu,Gusttavo Lima,8,11,14,2718988,1nqaSoiLuqevDes4S18sO7,0.7783,0.063,0.86,0.077
10,11,spotify:track:5q0NlM6Pm8Pp3orq7zGiRn,"Matheus & Kauan, Jorge & Mateus",Quarta Cadeira - Ao Vivo,Universal Music Ltda.,10,13,28,2689550,5q0NlM6Pm8Pp3orq7zGiRn,0.0,0.0,1.0,0.0
11,12,spotify:track:4RC2nzqaQygxoVQOVv3XlT,"Leo Santana, Anitta",Contatinho - Ao Vivo,Universal Music Ltda.,12,19,4,2616258,4RC2nzqaQygxoVQOVv3XlT,0.8692,0.014,0.958,0.028
12,13,spotify:track:4E6RdcCWMiHTu7zy1VTNDo,Marília Mendonça,Todo Mundo Vai Sofrer - Ao Vivo,Som Livre,1,12,20,2558267,4E6RdcCWMiHTu7zy1VTNDo,0.0,0.0,1.0,0.0
13,14,spotify:track:51Fjme0JiitpyXKuyQiCDo,"Y2K, bbno$",Lalala,Columbia,9,9,6,2533409,51Fjme0JiitpyXKuyQiCDo,0.7481,0.099,0.775,0.126
14,15,spotify:track:4mkagJJ8AM1hzeyrgAJc3x,MC Doni,Te Amo Sem Compromisso,BMG Rights Management (US) LLC,8,14,7,2467633,4mkagJJ8AM1hzeyrgAJc3x,0.8738,0.0,0.961,0.039
15,16,spotify:track:6hqQPoB1yYKcLfByfxO8he,"Wesley Safadão, Zé Neto & Cristiano",Na Cama Que Eu Paguei - Ao Vivo,Som Livre,16,29,2,2300090,6hqQPoB1yYKcLfByfxO8he,0.6124,0.0,0.97,0.03
16,17,spotify:track:33g4LmRrWddOvMLnynSktj,George Henrique & Rodrigo,Bagunça Minha Vida - Ao Vivo Em Goiânia / 2019,Universal Music Ltda.,17,18,23,2235249,33g4LmRrWddOvMLnynSktj,0.0,0.0,1.0,0.0
17,18,spotify:track:0WhDotK0QXigmsrlw0DxKK,"MC Kevin o Chris, Sodré",Evoluiu,ADpar,2,15,24,2187251,0WhDotK0QXigmsrlw0DxKK,-0.9001,0.056,0.929,0.015
18,19,spotify:track:7Gk5OrMYaMRtT2JmgJVAfk,"ANAVITÓRIA, Vitor Kley",Pupila,Universal Music Ltda.,18,22,13,2174770,7Gk5OrMYaMRtT2JmgJVAfk,-0.5349,0.007,0.993,0.0
19,20,spotify:track:1xyVMQx51Kab6eLVtE6twx,"Lauana Prado, Maiara & Maraisa",Cobaia,Universal Music Ltda.,6,17,60,2156840,1xyVMQx51Kab6eLVtE6twx,0.9413,0.007,0.939,0.053
20,21,spotify:track:4k20Ie47EcWtS4wMBn8w8S,"LUDMILLA, Leo Santana",Invocada (Participação especial de Léo Santana) - Ao vivo,WM Brazil,19,23,10,2124782,4k20Ie47EcWtS4wMBn8w8S,0.0,0.0,1.0,0.0
21,22,spotify:track:6sRLrSetyIwIKhW1eMlUNP,"Matheus & Kauan, Marília Mendonça",Vou Ter Que Superar - Ao Vivo,Universal Music Ltda.,2,21,28,2083404,6sRLrSetyIwIKhW1eMlUNP,0.9304,0.0,0.962,0.038
22,23,spotify:track:4lEw9Id7kLDSJ6KRdaenM9,Felipe Araújo,Espaçosa Demais - Ao Vivo,Universal Music Ltda.,13,20,52,2071719,4lEw9Id7kLDSJ6KRdaenM9,-0.8299,0.029,0.971,0.0
23,24,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Señorita,Island Records,2,16,15,2034335,6v3KW9xbzN5yKLt9YKDYA2,0.9988,0.033,0.724,0.244
24,25,spotify:track:2KyXyTrp3kp1Fsg7B1osYD,"Yasmin Santos, Marília Mendonça","Para, Pensa e Volta - Ao Vivo",Sony Music Entertainment,24,33,14,1965444,2KyXyTrp3kp1Fsg7B1osYD,0.0,0.0,1.0,0.0
25,26,spotify:track:2qiqXQ2Suc253bR7k9AKVD,"MC Ysa, DJ 2F, DJ Anderson França, MK no Beat",Baile da Colômbia (Brega Funk) - Remix,STUDIO 22 PRODUÇÕES,26,34,9,1936242,2qiqXQ2Suc253bR7k9AKVD,-0.7959,0.03,0.97,0.0
26,27,spotify:track:4gDvg62vG96w0qJaF6wzcd,"Diego & Victor Hugo, Zé Neto & Cristiano",A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Sony Music Entertainment,17,27,28,1929181,4gDvg62vG96w0qJaF6wzcd,0.0,0.0,1.0,0.0
27,28,spotify:track:5fY9bVl1Wj4PIM3wnduWop,Marília Mendonça,Serenata - Ao Vivo,Som Livre,21,25,20,1910850,5fY9bVl1Wj4PIM3wnduWop,0.0,0.0,1.0,0.0
28,29,spotify:track:3RbXsVQr4jeTxvT35Hssq3,Marília Mendonça,Bebi Liguei - Ao Vivo,Som Livre,2,26,42,1908316,3RbXsVQr4jeTxvT35Hssq3,-0.8402,0.043,0.957,0.0
29,30,spotify:track:2bbFhnxYjeb9jYEX2MDKLQ,MC Kevinho,Uma nora pra cada dia,WM Brazil,5,28,14,1880531,2bbFhnxYjeb9jYEX2MDKLQ,-0.5267,0.017,0.983,0.0
30,31,spotify:track:4jGzR5Vri06Y5T9SxM7m5P,"Xand Avião, Gusttavo Lima",Algo Mais (Amante) - Ao Vivo,Som Livre,14,30,20,1854682,4jGzR5Vri06Y5T9SxM7m5P,-0.9688,0.018,0.981,0.001
31,32,spotify:track:1owErGXMkNVCgCmCjI1vRL,Gusttavo Lima,Quem Traiu Levou - Ao Vivo,Sony Music Entertainment,24,24,3,1842643,1owErGXMkNVCgCmCjI1vRL,-0.1531,0.025,0.96,0.015
32,33,spotify:track:159ntSAEWJ9zIMOSXmQ530,Luan Santana,choque térmico - ao vivo,Som Livre,31,31,6,1756431,159ntSAEWJ9zIMOSXmQ530,0.8402,0.0,0.97,0.03
33,34,spotify:track:5MMrkwK6AgNAsgHVdC7daZ,Dilsinho,Péssimo Negócio (Ao Vivo),Sony Music Entertainment,18,35,48,1627836,5MMrkwK6AgNAsgHVdC7daZ,0.0,0.0,1.0,0.0
34,35,spotify:track:6l1PdE7lQbodewVQh16GCM,"Projota, Vitão",Sei Lá,Universal Music Ltda.,29,37,23,1616163,6l1PdE7lQbodewVQh16GCM,0.0,0.0,1.0,0.0
35,36,spotify:track:31yFXM26dazFnWI2eoOM5R,"MC G15, Mc Livinho",Ela Vem,GR6 Music,36,39,15,1583693,31yFXM26dazFnWI2eoOM5R,-0.8299,0.032,0.968,0.0
36,37,spotify:track:3tU3UAasaDA9OixXGC3O33,"Mano Walter, Gustavo Mioto",Fingindo Maturidade - Ao Vivo,Som Livre,19,38,29,1576700,3tU3UAasaDA9OixXGC3O33,-0.296,0.009,0.991,0.0
37,38,spotify:track:2kOmW169C7UV4SZDN9u0YO,"Dj Guuga, Mc Livinho",Vidrado Em Você,GR6 Music,38,68,13,1553985,2kOmW169C7UV4SZDN9u0YO,0.0,0.0,1.0,0.0
38,39,spotify:track:49pu85144Xir6PgWjeyJhG,Guilherme & Benuto,Flor Que Se Cheira - Ao Vivo,Sony Music Entertainment,39,42,21,1522223,49pu85144Xir6PgWjeyJhG,-0.5707,0.035,0.965,0.0
39,40,spotify:track:5rwdmpN5eMWIIwK4R96vv1,Dynho Alves,Malemolência,GR6 Music,30,40,32,1502793,5rwdmpN5eMWIIwK4R96vv1,0.6412,0.0,0.982,0.018
40,41,spotify:track:2YpeDb67231RjR0MgVLzsG,"Lil Nas X, Billy Ray Cyrus",Old Town Road - Remix,Columbia,11,36,25,1489853,2YpeDb67231RjR0MgVLzsG,0.7936,0.015,0.92,0.065
41,42,spotify:track:6i9ToXS6CAfjpp8veBklg1,Vitão,Café,Universal Music Ltda.,42,46,30,1469452,6i9ToXS6CAfjpp8veBklg1,0.9874,0.0,0.932,0.068
42,43,spotify:track:2PqPSf3gtTED79rWGwVtYg,Diego & Victor Hugo,Áudio - Ao Vivo em Brasília,Sony Music Entertainment,43,45,12,1440577,2PqPSf3gtTED79rWGwVtYg,0.0,0.0,1.0,0.0
43,44,spotify:track:3L2uyIJoJPjYkSETVNSPBQ,Maiara & Maraisa,Não Abro Mão - Ao Vivo,Som Livre,13,41,35,1430430,3L2uyIJoJPjYkSETVNSPBQ,0.0,0.0,1.0,0.0
44,45,spotify:track:7oEr56KG6odStlQH0nvdyr,Gustavo Mioto,Solteiro Não Trai - Ao Vivo,Gustavo Mioto,8,44,43,1381418,7oEr56KG6odStlQH0nvdyr,0.0,0.0,1.0,0.0
45,46,spotify:track:14kRWkCWBYfQqILflEcpSJ,"Lexa, PEDRO SAMPAIO",Chama Ela (feat. Pedro Sampaio),Som Livre,46,-1,1,1364521,14kRWkCWBYfQqILflEcpSJ,-0.8593,0.038,0.962,0.0
46,47,spotify:track:59WWulo1LM0njpIkcduCMn,Atitude 67,Tão Linda,Universal Music Ltda.,47,65,9,1360208,59WWulo1LM0njpIkcduCMn,0.0,0.0,1.0,0.0
47,48,spotify:track:1oQppEGTHYN53xfEaTz4ua,PEDRO SAMPAIO,VAI MENINA,WM Brazil,30,48,29,1355169,1oQppEGTHYN53xfEaTz4ua,-0.8402,0.062,0.938,0.0
48,49,spotify:track:0UavwCicOnQwMuh67yaxM3,Jonas Esticado,Vem Me Amar,Som Livre,49,50,4,1347638,0UavwCicOnQwMuh67yaxM3,-0.4184,0.01,0.99,0.0
49,50,spotify:track:2FGhB10Gon36GgFcOTMQEW,"Pineapple StormTv, MC Hariel, Negra Li, Ducon, MC Kevin o Chris, Chris MC, Matuê, Dk 47, Vitão, Salve Malak, Hunter",Poesia Acústica #7: Céu Azul,Pineapple StormTV,24,51,13,1330654,2FGhB10Gon36GgFcOTMQEW,0.0,0.0,1.0,0.0
50,51,spotify:track:5rNNZ6fVYxkhwqUfImVhU1,IZA,Brisa,WM Brazil,39,64,24,1296826,5rNNZ6fVYxkhwqUfImVhU1,0.6369,0.0,0.983,0.017
51,52,spotify:track:4eB8rsNNm5791m3uvEBNLR,Zé Neto & Cristiano,Estado Decadente - Acústico,Som Livre,10,53,38,1290773,4eB8rsNNm5791m3uvEBNLR,0.9347,0.064,0.833,0.102
52,53,spotify:track:01wavOnjFBNgdMWBFYIAP4,"Sorriso Maroto, Dilsinho",50 Vezes - Ao Vivo,Sony Music Entertainment,44,49,19,1290426,01wavOnjFBNgdMWBFYIAP4,0.8402,0.0,0.974,0.026
53,54,spotify:track:3tA0vALUwrzkTgHcm9j6oJ,Zé Neto & Cristiano,Notificação Preferida - Ao Vivo,Som Livre,2,52,68,1283526,3tA0vALUwrzkTgHcm9j6oJ,0.8402,0.0,0.962,0.038
54,55,spotify:track:2x8TNY9KwNvD19gVGs4WOP,MC Kevin o Chris,Ela É do Tipo,ADpar,1,54,29,1268613,2x8TNY9KwNvD19gVGs4WOP,0.7998,0.0,0.975,0.025
55,56,spotify:track:6hrV6KYL9zM8vFAbOSxFHY,Israel & Rodolffo,Também Sei Fazer Falta - Ao Vivo,Som Livre,56,83,11,1242692,6hrV6KYL9zM8vFAbOSxFHY,0.0516,0.016,0.966,0.018
56,57,spotify:track:34D0w6kVzuQ35vyHIFrWTC,"Pk, LUDMILLA",Do jeito que tu gosta,WM Brazil,57,80,7,1226554,34D0w6kVzuQ35vyHIFrWTC,0.7117,0.011,0.966,0.023
57,58,spotify:track:1G60NjxeOS7veR1EXuKPaW,Gustavo Mioto,Fake News - Ao Vivo Em São Paulo / 2019,Universal Music Ltda.,32,32,22,1180166,1G60NjxeOS7veR1EXuKPaW,0.9581,0.036,0.867,0.097
58,59,spotify:track:23GNCotvXa7WPvgYuruJjE,"MC WM, POCAH, Jerry Smith",Para não,WM Brazil,57,57,7,1173452,23GNCotvXa7WPvgYuruJjE,0.6742,0.009,0.973,0.017
59,60,spotify:track:141xCZ6pvh4ymCsQkOFX80,Pixote,Nem de Graça / Saudade Arregaça - Ao Vivo,GR Shows,59,59,5,1168081,141xCZ6pvh4ymCsQkOFX80,0.0,0.0,1.0,0.0
60,61,spotify:track:1zI3RU0boCVsAXChjCvESu,Ferrugem,Até que enfim - Ao vivo,WM Brazil,51,62,11,1128685,1zI3RU0boCVsAXChjCvESu,0.9594,0.0,0.954,0.046
61,62,spotify:track:5U28PY9MekLyCBYtLHGQpe,Melim,Meu Abrigo,Universal Music Ltda.,3,58,71,1123149,5U28PY9MekLyCBYtLHGQpe,0.9022,0.04,0.886,0.074
62,63,spotify:track:3tu0GkIZwwkmILoD4HemBq,Raí Saia Rodada,Bebe e Vem Me Procurar,Som Livre,41,69,16,1121184,3tu0GkIZwwkmILoD4HemBq,0.8807,0.04,0.887,0.073
63,64,spotify:track:1DFD5Fotzgn6yYXkYsKiGs,"MEDUZA, Goodboys",Piece Of Your Heart,Virgin,61,61,19,1109785,1DFD5Fotzgn6yYXkYsKiGs,0.9868,0.004,0.894,0.103
64,65,spotify:track:1uryupl9hqVZYurJwH4G9k,Guilherme & Benuto,3 Batidas - Ao Vivo,Sony Music Entertainment,65,71,6,1106971,1uryupl9hqVZYurJwH4G9k,0.0,0.083,0.856,0.061
65,66,spotify:track:3vSXPjfcebTt5mB8DXHWM6,Wesley Safadão,Dois Lados,Som Livre,54,60,8,1106852,3vSXPjfcebTt5mB8DXHWM6,0.4098,0.0,0.988,0.012
66,67,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,"Ed Sheeran, Justin Bieber",I Don't Care (with Justin Bieber),Atlantic Records UK,5,63,21,1092377,0hVXuCcriWRGvwMV1r5Yn9,0.9177,0.094,0.798,0.108
