,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:4qsOrxBv09HhNSpsgMRXdC,"Marília Mendonça, Maiara & Maraisa",Esqueça-Me Se For Capaz,Som Livre,1,1,9,6747270,4qsOrxBv09HhNSpsgMRXdC,0.0,0.0,1.0,0.0
1,2,spotify:track:1c4htMHiolERc0YJvZNdlc,"George Henrique & Rodrigo, Marília Mendonça",Vai Lá Em Casa Hoje,Worldshow Promoções e Eventos,2,2,8,6684786,1c4htMHiolERc0YJvZNdlc,0.0,0.0,1.0,0.0
2,3,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Henrique & Juliano,Arranhão - Ao Vivo,Virgin Music Label And Artist Services (S&D),1,3,19,6200479,3IMLoeLerS7TMpKjxUgAhx,0.0,0.0,1.0,0.0
3,4,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,"Zé Felipe, Mc Danny",Toma Toma Vapo Vapo,Som Livre,4,6,5,5985217,5VTjBl3ddZEiG2LrH4VzyR,0.5267,0.018,0.961,0.021
4,5,spotify:track:2wG1R0uDFwyobcWzVssC1J,PEDRO SAMPAIO,GALOPA,WM Brazil,4,7,13,5674976,2wG1R0uDFwyobcWzVssC1J,-0.6808,0.032,0.96,0.008
5,6,spotify:track:3YvE7uo4ffseBoJPh8IhHp,"Marília Mendonça, Maiara & Maraisa",Presepada,Som Livre,3,4,6,5661770,3YvE7uo4ffseBoJPh8IhHp,0.0,0.017,0.972,0.011
6,7,spotify:track:4fSHADbZbhpZCT9oJpxwbP,"Paulo Pires, Mc Danny, Marcynho Sensação",Ameaça,Paulo Pires,4,8,9,5319041,4fSHADbZbhpZCT9oJpxwbP,-0.8299,0.028,0.972,0.0
7,8,spotify:track:053zWWZDziDJd3U94x8RuP,"Marília Mendonça, Maiara & Maraisa",Todo Mundo Menos Você,Som Livre,2,5,12,5221647,053zWWZDziDJd3U94x8RuP,0.3939,0.0,0.993,0.007
8,9,spotify:track:2RGIuYTsyyHoOCqW0krvNE,"Avine Vinny, Matheus Fernandes",Coração Cachorro,Sony Music Entertainment,1,9,12,4965362,2RGIuYTsyyHoOCqW0krvNE,0.0,0.0,1.0,0.0
9,10,spotify:track:14JKzKrJbPDflw8XyATMey,Henrique & Juliano,A Maior Saudade - Ao Vivo,Virgin Music Label And Artist Services (S&D),10,11,15,4769642,14JKzKrJbPDflw8XyATMey,0.8402,0.0,0.968,0.032
10,11,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,"Anitta, PEDRO SAMPAIO",NO CHÃO NOVINHA,WM Brazil,11,-1,1,4626278,7ARoqP7G8UYW8SyYPyPp7k,-0.8741,0.08,0.89,0.03
11,12,spotify:track:72g37RoelSnovZakG5MwnF,"Mari Fernandez, Marcynho Sensação",Parada Louca,Sony Music Entertainment,12,12,5,4570952,72g37RoelSnovZakG5MwnF,-0.932,0.049,0.951,0.0
12,13,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,"MC Levin, DJ Nikolas Alves Exclusive, DJ Kaioken, DJ Gege",Ela me Falou Que Quer Rave,Ritmo dos Fluxos Records,6,10,7,4534486,0JdkDCdrhMOaeXjIZdeBXN,0.9837,0.067,0.825,0.107
13,14,spotify:track:7MLCxrDoxcTRg1u3QAGE5a,Gusttavo Lima,Bloqueado - Ao Vivo,Sony Music Entertainment,14,16,3,4179313,7MLCxrDoxcTRg1u3QAGE5a,0.0,0.0,1.0,0.0
