,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,João Gomes,Meu Pedaço de Pecado,Sua Música,1,1,11,8091197,2kJRlOyrxsy7Ot3c5TZ8Q6,-0.8555,0.049,0.942,0.009
1,2,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Matuê,Quer Voar,Sony Music Entertainment,2,57,2,7066121,7aZusA4cWXz3Wv9e9uhavz,-0.9655,0.099,0.84,0.061
2,3,spotify:track:25141FAgU1OmwoC9W2i5E3,"Tarcísio do Acordeon, Marcynho Sensação",Rolê,Sua Música,3,6,4,6074236,25141FAgU1OmwoC9W2i5E3,0.7461,0.0,0.985,0.015
3,4,spotify:track:5SwyN9hzmWjBsINlif8li8,Gusttavo Lima,Ficha Limpa,Sony Music Entertainment,3,3,10,5917125,5SwyN9hzmWjBsINlif8li8,-0.9641,0.092,0.894,0.014
4,5,spotify:track:4PQdrXMDHDPl1RczrrlADd,Luan Santana,MORENA,Sony Music Entertainment,2,2,9,5848458,4PQdrXMDHDPl1RczrrlADd,-0.5514,0.032,0.952,0.016
5,6,spotify:track:0FqVtQxRD3HsPltldG5v5M,João Gomes,Aquelas Coisas,Sua Música,3,4,10,5725516,0FqVtQxRD3HsPltldG5v5M,-0.8604,0.039,0.961,0.0
6,7,spotify:track:5F2xRvRFkxDvqdFtUNAEyw,"João Gomes, Vitor Fernandes",Se For Amor,Sua Música,4,5,8,5331162,5F2xRvRFkxDvqdFtUNAEyw,0.9977,0.012,0.768,0.22
7,8,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,"Matheus Fernandes, Dilsinho",Baby Me Atende,Som Livre,3,7,21,4961150,1bWBG6IkMnDr3qvCKSvQT7,0.8402,0.0,0.976,0.024
8,9,spotify:track:7gMWTBRgB5CZdNDSuweCyr,"Costa Gold, Kawe, André Nine",Se Essa Bunda,Som Livre,9,23,3,4381239,7gMWTBRgB5CZdNDSuweCyr,-0.9542,0.031,0.963,0.007
9,10,spotify:track:41pFFOnh1glVNIlrWOpBjb,"Brisa Star, Thiago Jhonathan (TJ)",Se Joga no Passinho,Brisa Star,10,10,8,4305359,41pFFOnh1glVNIlrWOpBjb,-0.9413,0.065,0.935,0.0
10,11,spotify:track:0xBQvhJAm6f7J142ympKOn,Mari Fernandez,"Não, Não Vou",Sony Music Entertainment,1,8,11,4302294,0xBQvhJAm6f7J142ympKOn,0.7303,0.013,0.96,0.026
11,12,spotify:track:6pQKUKBpwr6GhfhcFFFozo,"MC Zaquin, MC Rick",Não Nasceu pra Namorar,Funk Explode Records,5,11,23,4230678,6pQKUKBpwr6GhfhcFFFozo,-0.296,0.007,0.993,0.0
12,13,spotify:track:1oIqP923yBKV45IaXm5s14,"Os Barões Da Pisadinha, Maiara & Maraisa",Zero Saudade - Ao Vivo,Sony Music Entertainment,9,9,13,4134390,1oIqP923yBKV45IaXm5s14,0.7088,0.016,0.954,0.03
13,14,spotify:track:4P7IXYPAkinTdZrBF5bGWp,Zé Neto & Cristiano,Você Beberia Ou Não Beberia?,Som Livre,14,26,4,4017630,4P7IXYPAkinTdZrBF5bGWp,0.9581,0.0,0.915,0.085
14,15,spotify:track:4u06FbRh6FvV2FQZkouzCw,Henrique & Juliano,Arranhão - Ao Vivo,Virgin Music Label And Artist Services (S&D),15,35,2,3767197,4u06FbRh6FvV2FQZkouzCw,0.0,0.0,1.0,0.0
15,16,spotify:track:27NovPIUIRrOZoCHxABJwK,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,16,20,4,3748601,27NovPIUIRrOZoCHxABJwK,0.9978,0.04,0.791,0.169
