rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:4xWzZmX4K1yyrdtRfbUvjt	Niack	Oh Juliana	Niack	1	1	7	5476760	4xWzZmX4K1yyrdtRfbUvjt
2	spotify:track:6Q9NH5cNBY58nJkp5Jbs9j	Manu Gavassi, Gloria Groove	Deve ser horrível dormir sem mim	Universal Music Ltda.	2	-1	1	3953423	6Q9NH5cNBY58nJkp5Jbs9j
3	spotify:track:15k1TDabqSEmyXOwMq9RM7	Jonas Esticado	Investe Em Mim	Som Livre	3	3	9	3823149	15k1TDabqSEmyXOwMq9RM7
4	spotify:track:4zGtfOglDBfVUypabBwIjQ	Mc Zaac, Anitta, Tyga	Desce Pro Play (PA PA PA)	Universal Music Ltda.	1	2	9	3492716	4zGtfOglDBfVUypabBwIjQ
5	spotify:track:2fmeSswdyVq4wcqhY41UHk	Pineapple StormTv, L7NNON, Chris MC, Xamã, Lourena, Cesar Mc, Djonga, Filipe Ret, Salve Malak, Hunter	Poesia Acústica #9: Melhor Forma	Pineapple StormTV	3	5	7	2950151	2fmeSswdyVq4wcqhY41UHk
6	spotify:track:0AGS6ZRgzobrazmCi6pYMe	Niack	Na Raba Toma Tapão	Niack / Ritmo dos Fluxos	1	4	15	2923806	0AGS6ZRgzobrazmCi6pYMe
7	spotify:track:51uXmhqGR76tT2UeKZyeN6	Marília Mendonça, Maiara & Maraisa	Quero Você do Jeito Que Quiser	Som Livre	7	7	7	2904637	51uXmhqGR76tT2UeKZyeN6
8	spotify:track:7o9LwQmTuIDm4LyyHFIWul	Henrique & Juliano	Volta Por Baixo - Ao Vivo	Virgin Music Label And Artist Services (S&D)	3	6	33	2790668	7o9LwQmTuIDm4LyyHFIWul
9	spotify:track:5GAdMAL3tRJkVN1HtwohK2	Mc Don Juan, Maiara & Maraisa	Vai Ter Que Aguentar	GR6 Music	8	8	13	2751261	5GAdMAL3tRJkVN1HtwohK2
10	spotify:track:0RaIjuKU5hudMteEXwr4RS	Jorge & Mateus	Ranking	Som Livre	4	9	25	2638744	0RaIjuKU5hudMteEXwr4RS
11	spotify:track:12v6LfkX9YIR3uLefIAAYZ	Mc Jacaré	Comprei um Lança	Mc Jacare / Los Pantchos	11	12	9	2636340	12v6LfkX9YIR3uLefIAAYZ
12	spotify:track:4zsiMjB0794HztyqUkD3Zi	Dilsinho, Henrique & Juliano	Sogra - Ao Vivo	Sony Music Entertainment	10	10	12	2634085	4zsiMjB0794HztyqUkD3Zi
13	spotify:track:3WjSkl7VDWY1prwJw7dSG0	Zé Neto & Cristiano	Barzinho Aleatório - Ao Vivo	Som Livre	8	13	38	2508041	3WjSkl7VDWY1prwJw7dSG0
14	spotify:track:7pDcS0EVMJR0YwjXmHcCRg	Luísa Sonza, Mc Zaac	TOMA	Universal Music Ltda.	14	25	4	2506008	7pDcS0EVMJR0YwjXmHcCRg
15	spotify:track:67mqU3FeErlvWwsxnMfvQo	MC Du Black, Delacruz	Tudo Aconteceu	Universal Music Ltda.	6	11	22	2492234	67mqU3FeErlvWwsxnMfvQo
16	spotify:track:6jcGoHrqfRW6fI2I6xtwBQ	MC Marks	Deus é por nós	WM Brazil	16	20	11	2441915	6jcGoHrqfRW6fI2I6xtwBQ
17	spotify:track:0v1x6rN6JHRapa03JElljE	BTS	Dynamite	BIGHIT MUSIC	17	-1	1	2402249	0v1x6rN6JHRapa03JElljE
18	spotify:track:25gD4PQjxCLnwIY2n23aEl	Vitão, Luísa Sonza	Flores	Universal Music Ltda.	2	17	11	2344490	25gD4PQjxCLnwIY2n23aEl
19	spotify:track:4DngRKOpRPrkbzImUB0zgh	Matheus & Kauan	Litrão - Ao Vivo Em Recife / 2020	Universal Music Ltda.	3	15	30	2295511	4DngRKOpRPrkbzImUB0zgh
20	spotify:track:260n4ECk9j4IEvTAVBYojl	Matheus & Kauan	Nem Doeu - Ao Vivo	Universal Music Ltda.	16	16	13	2293880	260n4ECk9j4IEvTAVBYojl
21	spotify:track:0hDphSo7vI7gCjEPpD6gu0	GIULIA BE	se essa vida fosse um filme	WM Brazil	21	33	6	2269268	0hDphSo7vI7gCjEPpD6gu0
22	spotify:track:3tc8Z4lGzOIwmIVftsxO6o	Marília Mendonça	Graveto - Ao Vivo	Som Livre	3	14	33	2154556	3tc8Z4lGzOIwmIVftsxO6o
23	spotify:track:60wF0XnX7A0jVpDNA5v8vi	Vytinho NG, Bianca	Tudo no Sigilo	Vytinho Ng	5	19	23	2134253	60wF0XnX7A0jVpDNA5v8vi
24	spotify:track:7Ac3BmqTQoLdAt7HtZyfgN	DENNIS, Mc Don Juan	Te Prometo	Sony Music Entertainment	9	18	29	2124263	7Ac3BmqTQoLdAt7HtZyfgN
25	spotify:track:3Ghyp3X5Ua9ypHnBIgOObI	Henrique & Juliano	Liberdade Provisória - Live - Ibirapuera / 2019	Virgin Music Label And Artist Services (S&D)	1	22	38	2106075	3Ghyp3X5Ua9ypHnBIgOObI
26	spotify:track:2WlZuBDgLfT7Kc0admhFdg	Luísa Sonza	BRABA	Universal Music Ltda.	2	23	23	2097313	2WlZuBDgLfT7Kc0admhFdg
27	spotify:track:3dPvQLKl42dMYWV4LWRTLK	Os Barões Da Pisadinha	Tá Rocheda	Sony Music Entertainment	27	31	30	2092642	3dPvQLKl42dMYWV4LWRTLK
28	spotify:track:3J5Pu25BODMex4Jpy4l6FL	Luíza & Maurílio, Zé Neto & Cristiano	S de Saudade	Som Livre	7	26	43	2039832	3J5Pu25BODMex4Jpy4l6FL
29	spotify:track:3056x1XkmICnQmji68rrft	Murilo Huff, Henrique & Juliano	Desejando Eu (Ao Vivo)	Artinvox	24	24	14	2039629	3056x1XkmICnQmji68rrft
30	spotify:track:6UelLqGlWMcVH1E5c4H7lY	Harry Styles	Watermelon Sugar	Columbia	27	27	29	2037734	6UelLqGlWMcVH1E5c4H7lY
31	spotify:track:3tv697PZNnaQN0Mn2zGhS5	Gusttavo Lima	A Gente Fez Amor - Ao Vivo	Sony Music Entertainment	1	21	38	2010927	3tv697PZNnaQN0Mn2zGhS5
32	spotify:track:71FrGl0XcpL3VId65tB5mg	Os Barões Da Pisadinha	Recairei - Ao Vivo	Sony Music Entertainment	32	37	15	1983158	71FrGl0XcpL3VId65tB5mg
33	spotify:track:28atBekPVlTdnU4M9Z7udd	Dilsinho, Luísa Sonza, Malibu	Não Vai Embora	Malibu Studios	27	30	16	1966779	28atBekPVlTdnU4M9Z7udd
34	spotify:track:08Sd5vVcIH3uKeAiaJdoYj	Lauana Prado	Viva Voz - Ao Vivo Em São Paulo / 2019	Universal Music Ltda.	17	28	25	1960202	08Sd5vVcIH3uKeAiaJdoYj
35	spotify:track:01mKvmXQLhr3MEoiAEAcP2	Rennan da Penha, MC 2jhow	Talarica	Sony Music Entertainment	29	29	5	1929691	01mKvmXQLhr3MEoiAEAcP2
36	spotify:track:4Oun2ylbjFKMPTiaSbbCih	Cardi B, Megan Thee Stallion	WAP (feat. Megan Thee Stallion)	Atlantic/KSR	36	49	3	1788602	4Oun2ylbjFKMPTiaSbbCih
37	spotify:track:5LpLYzpV0HWKI2DlPmNywg	Wesley Safadão, Zé Neto & Cristiano	Despedida - Ao Vivo	Som Livre	16	32	21	1745255	5LpLYzpV0HWKI2DlPmNywg
38	spotify:track:2ptHQBO7TQhEkXOeK9ST59	Grupo Menos É Mais, Di Propósito, Vou Zuar	Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo	Som Livre	32	34	12	1743235	2ptHQBO7TQhEkXOeK9ST59
39	spotify:track:187Pge0WmJNoS73kaIORSE	Douglas & Vinicius, MC Bruninho	Figurinha - Ao Vivo	Virgin Music Label And Artist Services (S&D)	39	52	6	1705789	187Pge0WmJNoS73kaIORSE
40	spotify:track:4j2bK4fnc2s6GyVmhJsJhk	Henrique & Juliano	Briga Feia - Ao Vivo	Virgin Music Label And Artist Services (S&D)	26	36	37	1691648	4j2bK4fnc2s6GyVmhJsJhk
41	spotify:track:59CnMc5PR9GdDFEVOpHSg9	Dj W-Beatz, Ventura, Mc Rennan, MC Bruna Alves, MC BN, MC Rick	Rave do Papa - Deluxe (feat. Mc Rennan, MC Bruna Alves, MC BN & MC Rick) - Remix	Tratto Entretenimentos	34	38	11	1680510	59CnMc5PR9GdDFEVOpHSg9
42	spotify:track:0VjIjW4GlUZAMYd2vXMi3b	The Weeknd	Blinding Lights	Republic Records	25	42	34	1643539	0VjIjW4GlUZAMYd2vXMi3b
43	spotify:track:0SJtvFn4vqgJPscSbEPaql	Maiara & Maraisa, Dilsinho	Libera Ela - Ao Vivo	Som Livre	18	35	19	1627346	0SJtvFn4vqgJPscSbEPaql
44	spotify:track:1GWUiFYLYEapxYHnASyOud	Wesley Safadão	Não Valeu	Som Livre	39	39	15	1624687	1GWUiFYLYEapxYHnASyOud
45	spotify:track:6NM06xgqxQ0HU5lxbt2JHi	Gusttavo Lima	Saudade Sua	Sony Music Entertainment	3	45	15	1583737	6NM06xgqxQ0HU5lxbt2JHi
46	spotify:track:2MOq63fxuFLYQM3CsDcFs1	GIULIA BE	menina solta	WM Brazil	15	40	47	1546647	2MOq63fxuFLYQM3CsDcFs1
47	spotify:track:2Wo6QQD1KMDWeFkkjLqwx5	SAINt JHN, Imanbek	Roses - Imanbek Remix	Columbia/B1 Recordings	11	41	26	1545921	2Wo6QQD1KMDWeFkkjLqwx5
48	spotify:track:3AV1KI22k1jGMz792lDrj1	Os Barões Da Pisadinha, Xand Avião	Basta Você Me Ligar - Ao Vivo	Sony Music Entertainment	48	62	10	1540770	3AV1KI22k1jGMz792lDrj1
49	spotify:track:3oqC4Ta40ft6NnTJwcUTdi	Rashid, Lukinhas, Emicida	Pipa Voada (feat. Emicida)	Sony Music Entertainment	43	47	25	1511403	3oqC4Ta40ft6NnTJwcUTdi
50	spotify:track:2PWjKmjyTZeDpmOUa3a5da	Jorge & Mateus	Cheirosa - Ao Vivo	Som Livre	3	46	46	1507685	2PWjKmjyTZeDpmOUa3a5da
51	spotify:track:3oe0vGmQxem3DcarYMuzu1	Felipe Araújo	Mentira - Ao Vivo	Universal Music Ltda.	15	44	39	1501140	3oe0vGmQxem3DcarYMuzu1
52	spotify:track:3PfIrDoz19wz7qK7tYeu62	Dua Lipa	Don't Start Now	Warner Records	2	48	43	1397192	3PfIrDoz19wz7qK7tYeu62
53	spotify:track:23zmMwD99ROi9yhxqMxWil	João Bosco & Vinicius, Matheus	Segunda Taça - Ao Vivo	João Bosco & Vinicius	21	43	27	1340908	23zmMwD99ROi9yhxqMxWil
54	spotify:track:0GrEqRHf5FioT1hOB8PBxZ	Marília Mendonça	Vira Homem	Som Livre	28	50	17	1277742	0GrEqRHf5FioT1hOB8PBxZ
55	spotify:track:48CAeajgzcGJaVUSsXd7h0	Guilherme & Benuto, Israel & Rodolffo	Declaração pro Bar - Ao Vivo	Sony Music Entertainment	51	54	28	1275253	48CAeajgzcGJaVUSsXd7h0
56	spotify:track:59kRq8rb5uJCrSYYbGCk7o	MC Rogerinho	Só Você	MC Rogerinho	56	93	2	1225649	59kRq8rb5uJCrSYYbGCk7o
57	spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF	Gustavo Mioto	Com Ou Sem Mim - Ao Vivo	Universal Music Ltda.	6	51	40	1203058	5L8ZEyIdZ2KE4Wf51SsuOF
58	spotify:track:2CBpRE0A922XhWLSI8AT9O	Bárbara Labres, MC WM	Hoje É Rave	Bárbara Labres Music	58	107	2	1177720	2CBpRE0A922XhWLSI8AT9O
59	spotify:track:3GmJxfnUDrIs1iCfKUELFz	Marília Mendonça	Supera - Ao Vivo	Som Livre	1	56	54	1174009	3GmJxfnUDrIs1iCfKUELFz
60	spotify:track:1Nmcs8zk7LfcvHRgLtTM5J	Orochi, Papatinho	Amor de Fim de Noite	Mainstreet Records	36	55	42	1164563	1Nmcs8zk7LfcvHRgLtTM5J
61	spotify:track:2Ou6UYuUbNyqwXxRDSeFRf	Maiara & Maraisa	Aí Eu Bebo - Ao Vivo	Som Livre	17	57	45	1124267	2Ou6UYuUbNyqwXxRDSeFRf
62	spotify:track:1neg4NArvpVL7AOWIBja6q	WC no Beat, PEDRO SAMPAIO, FP do Trem Bala	BALANÇA	Sony Music Entertainment	10	59	30	1106267	1neg4NArvpVL7AOWIBja6q
63	spotify:track:1rgnBhdG2JDFTbYkYRZAku	Tones And I	Dance Monkey	Elektra (NEK)	5	61	50	1100540	1rgnBhdG2JDFTbYkYRZAku
64	spotify:track:1uryupl9hqVZYurJwH4G9k	Guilherme & Benuto	3 Batidas - Ao Vivo	Sony Music Entertainment	9	58	53	1072570	1uryupl9hqVZYurJwH4G9k
65	spotify:track:2Q9TaUXNM4mNSCgJjbmsJe	Zé Neto & Cristiano	Bebi Minha Bicicleta (Coração Falido) - Ao Vivo	Som Livre	7	63	39	1060283	2Q9TaUXNM4mNSCgJjbmsJe
66	spotify:track:3csAhPJlNeCDnvuTdT8RQw	Shevchenko e Elloco, MC Mari, MC 10G	Xereca de Mel	Tropa Produtora 81	62	65	8	1059791	3csAhPJlNeCDnvuTdT8RQw
67	spotify:track:7eJMfftS33KTjuF7lTsMCx	Powfu, beabadoobee	death bed (coffee for your head)	Columbia	18	64	24	1007116	7eJMfftS33KTjuF7lTsMCx
68	spotify:track:0in6Rc29qdyOkhKyYw4A84	Di Propósito	Manda Áudio	Sony Music Entertainment	67	67	10	1006587	0in6Rc29qdyOkhKyYw4A84
69	spotify:track:4lKuzrdZrJuCAedbIslF3A	PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro	SENTADÃO	WM Brazil	2	60	40	996576	4lKuzrdZrJuCAedbIslF3A
70	spotify:track:7DmZMqXYgQ1oI3z3bGUEbi	GIULIA BE	(não) era amor	WM Brazil	45	72	20	989712	7DmZMqXYgQ1oI3z3bGUEbi
71	spotify:track:5yaXBGNko8lmFSOvKWo99j	Matheus & Kauan	Então Toma - Ao Vivo	Universal Music Ltda.	41	66	20	984246	5yaXBGNko8lmFSOvKWo99j
72	spotify:track:7ytR5pFWmSjzHJIeQkgog4	DaBaby, Roddy Ricch	ROCKSTAR (feat. Roddy Ricch)	South Coast Music Group/Interscope Records	62	68	16	983508	7ytR5pFWmSjzHJIeQkgog4
73	spotify:track:5PNvgiKSwMdjBsDsgFCFLX	Maverick Sabre, Jorja Smith, Vintage Culture, Slow Motion	Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix	Spinnin' Deep	21	71	21	962505	5PNvgiKSwMdjBsDsgFCFLX
74	spotify:track:1xQ6trAsedVPCdbtDAmk0c	Jawsh 685, Jason Derulo	Savage Love (Laxed - Siren Beat)	Columbia	69	70	10	947687	1xQ6trAsedVPCdbtDAmk0c
75	spotify:track:5OzvtpasMB3aPWpfVr0PsA	Luíza & Maurílio	Pode Sumir	Som Livre	73	73	13	942275	5OzvtpasMB3aPWpfVr0PsA
76	spotify:track:4koUrXFuoId1b6wrMF3laS	Mc Dricka	E Nós Tem um Charme Que É da Hora	Novo Império	76	77	6	936417	4koUrXFuoId1b6wrMF3laS
