,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:3Ghyp3X5Ua9ypHnBIgOObI,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,Virgin Music Label And Artist Services (S&D),1,1,13,4736433,3Ghyp3X5Ua9ypHnBIgOObI,-0.6808,0.023,0.977,0.0
1,2,spotify:track:3tv697PZNnaQN0Mn2zGhS5,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,Sony Music Entertainment,2,4,13,3817770,3tv697PZNnaQN0Mn2zGhS5,0.9946,0.029,0.823,0.148
2,3,spotify:track:4lKuzrdZrJuCAedbIslF3A,"PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro",SENTADÃO,WM Brazil,2,3,15,3418313,4lKuzrdZrJuCAedbIslF3A,0.5696,0.06,0.867,0.073
3,4,spotify:track:4HUZBG98TYbxSR9V1V2DWS,"Thiaguinho MT, Mila, JS o Mão de Ouro",Tudo Ok,Sony Music Entertainment,2,2,10,3329677,4HUZBG98TYbxSR9V1V2DWS,-0.889,0.063,0.906,0.032
4,5,spotify:track:5W1kqz2l1lDX77DXBMeXZg,Matheus & Kauan,Litrão - Ao Vivo Em Recife / 2020,Universal Music Ltda.,5,11,5,3301578,5W1kqz2l1lDX77DXBMeXZg,-0.7989,0.029,0.971,0.0
5,6,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Marília Mendonça,Graveto - Ao Vivo,Som Livre,5,9,8,3231754,3tc8Z4lGzOIwmIVftsxO6o,0.34,0.015,0.968,0.017
6,7,spotify:track:1K7WzjKDcDdVbKNGrB0gej,"Major Lazer, MC Lan, Anitta, BEAM",Rave de Favela (feat. BEAM),WM Brazil,6,6,3,3160009,1K7WzjKDcDdVbKNGrB0gej,-0.9959,0.211,0.724,0.065
7,8,spotify:track:63SHcJzckFykS8faA5zojY,"MC Ingryd, DJ Henrique da VK",Vem Me Satisfazer,MC Ingryd,5,5,13,3036363,63SHcJzckFykS8faA5zojY,-0.9718,0.066,0.934,0.0
8,9,spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF,Gustavo Mioto,Com Ou Sem Mim - Ao Vivo,Universal Music Ltda.,6,7,15,3030898,5L8ZEyIdZ2KE4Wf51SsuOF,0.8541,0.0,0.963,0.037
9,10,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra (NEK),5,14,25,3011711,1rgnBhdG2JDFTbYkYRZAku,0.0387,0.023,0.946,0.03
10,11,spotify:track:3J5Pu25BODMex4Jpy4l6FL,"Luíza & Maurílio, Zé Neto & Cristiano",S de Saudade,Som Livre,10,12,18,2972462,3J5Pu25BODMex4Jpy4l6FL,0.0,0.0,1.0,0.0
11,12,spotify:track:2Q9TaUXNM4mNSCgJjbmsJe,Zé Neto & Cristiano,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Som Livre,7,13,14,2684279,2Q9TaUXNM4mNSCgJjbmsJe,0.0,0.0,1.0,0.0
12,13,spotify:track:2PWjKmjyTZeDpmOUa3a5da,Jorge & Mateus,Cheirosa - Ao Vivo,Som Livre,3,16,21,2673406,2PWjKmjyTZeDpmOUa3a5da,-0.5267,0.02,0.98,0.0
13,14,spotify:track:2bPtwnrpFNEe8N7Q85kLHw,"Anitta, Lexa, Luísa Sonza, Rebecca",Combatchy (feat. MC Rebecca),WM Brazil,1,8,16,2548462,2bPtwnrpFNEe8N7Q85kLHw,-0.9637,0.061,0.939,0.0
14,15,spotify:track:2kJu14V7hbZw3I4K8L8SXb,Lady Gaga,Stupid Love,Interscope,15,-1,1,2517053,2kJu14V7hbZw3I4K8L8SXb,0.9984,0.178,0.446,0.376
15,16,spotify:track:1uryupl9hqVZYurJwH4G9k,Guilherme & Benuto,3 Batidas - Ao Vivo,Sony Music Entertainment,9,17,28,2497956,1uryupl9hqVZYurJwH4G9k,0.0,0.083,0.856,0.061
16,17,spotify:track:7vZqxuOvEwRHsGVaDykzpY,Os Parazim,Porta Mala,Os Parazim,10,20,11,2431781,7vZqxuOvEwRHsGVaDykzpY,-0.296,0.004,0.996,0.0
17,18,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,Dua Lipa,Don't Start Now,Warner Records,17,34,18,2385537,6WrI0LAC5M1Rw2MnX2ZvEg,-0.9873,0.129,0.839,0.032
18,19,spotify:track:3GmJxfnUDrIs1iCfKUELFz,Marília Mendonça,Supera - Ao Vivo,Som Livre,1,18,29,2379177,3GmJxfnUDrIs1iCfKUELFz,0.8402,0.0,0.964,0.036
19,20,spotify:track:5F8ffc8KWKNawllr5WsW0r,"Dadá Boladão, Tati Zaqui, OIK",Surtada - Remix Brega Funk,Sony Music Entertainment,1,10,23,2355504,5F8ffc8KWKNawllr5WsW0r,-0.5267,0.014,0.986,0.0
20,21,spotify:track:7o9LwQmTuIDm4LyyHFIWul,Henrique & Juliano,Volta Por Baixo - Ao Vivo,Virgin Music Label And Artist Services (S&D),21,25,8,2339247,7o9LwQmTuIDm4LyyHFIWul,0.9798,0.0,0.907,0.093
21,22,spotify:track:6lK3nCiigk34SGqEjpQoqO,Maiara & Maraisa,Aí Eu Bebo - Ao Vivo,Som Livre,17,22,20,2151510,6lK3nCiigk34SGqEjpQoqO,0.0,0.0,1.0,0.0
22,23,spotify:track:2MOq63fxuFLYQM3CsDcFs1,GIULIA BE,menina solta,WM Brazil,15,33,22,2121518,2MOq63fxuFLYQM3CsDcFs1,0.2244,0.015,0.973,0.013
23,24,spotify:track:7yYsyXQa2JgbyL9fkEiUNt,Pabllo Vittar,Amor de Que,Sony Music Entertainment,15,15,18,2083893,7yYsyXQa2JgbyL9fkEiUNt,0.995,0.032,0.792,0.176
24,25,spotify:track:4p8pEdPYOQLzJUKYrLOacy,"WC no Beat, PEDRO SAMPAIO, FP do Trem Bala",BALANÇA (feat. Pedro Sampaio),Sony Music Entertainment,23,23,5,2057536,4p8pEdPYOQLzJUKYrLOacy,-0.5803,0.018,0.982,0.0
25,26,spotify:track:6QwFUcPc5nhsqZuhXUYtV7,Jorge & Mateus,Tijolão - Ao Vivo,Som Livre,1,31,41,1946308,6QwFUcPc5nhsqZuhXUYtV7,0.0,0.0,1.0,0.0
