rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:5gvrBqNFFEWcxYPt3mamvJ	Luan Santana	quando a bad bater - ao vivo	Som Livre	1	1	12	4206405	5gvrBqNFFEWcxYPt3mamvJ
2	spotify:track:3GmJxfnUDrIs1iCfKUELFz	Marília Mendonça	Supera - Ao Vivo	Som Livre	2	2	5	4105691	3GmJxfnUDrIs1iCfKUELFz
3	spotify:track:6QwFUcPc5nhsqZuhXUYtV7	Jorge & Mateus	Tijolão - Ao Vivo	Som Livre	1	4	17	3725408	6QwFUcPc5nhsqZuhXUYtV7
4	spotify:track:72xB2J9ZeBl0Rzxq2XmzdY	João Gustavo e Murilo, Analaga	Lençol Dobrado	WM Brazil	2	5	46	3560503	72xB2J9ZeBl0Rzxq2XmzdY
5	spotify:track:5dKesZwp6deuhEeW8F1UEi	Felipe Original, MC Kevin o Chris, Sodré, JS o Mão de Ouro	Hit Contagiante	Tudo Nosso Produtora	4	6	8	3544184	5dKesZwp6deuhEeW8F1UEi
6	spotify:track:1U3tv41tFRgOfbytpuYQrR	Zé Neto & Cristiano	Ferida Curada	Som Livre	6	7	9	3479795	1U3tv41tFRgOfbytpuYQrR
7	spotify:track:3MkdA6vwF0ifRl86yzTlJW	Matuê	Kenny G	Sony Music Entertainment	7	10	2	3185995	3MkdA6vwF0ifRl86yzTlJW
8	spotify:track:26WpOBpHiIMoBuMEIwtOCH	Pk, PK Delas	Quando a vontade bater (Participação especial de PK Delas)	WM Brazil	8	9	27	3082874	26WpOBpHiIMoBuMEIwtOCH
9	spotify:track:4E6RdcCWMiHTu7zy1VTNDo	Marília Mendonça	Todo Mundo Vai Sofrer - Ao Vivo	Som Livre	1	8	18	2995961	4E6RdcCWMiHTu7zy1VTNDo
10	spotify:track:5q0NlM6Pm8Pp3orq7zGiRn	Matheus & Kauan, Jorge & Mateus	Quarta Cadeira - Ao Vivo	Universal Music Ltda.	10	13	26	2989420	5q0NlM6Pm8Pp3orq7zGiRn
