,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:4E6RdcCWMiHTu7zy1VTNDo,Marília Mendonça,Todo Mundo Vai Sofrer - Ao Vivo,Som Livre,1,1,8,3679193,4E6RdcCWMiHTu7zy1VTNDo,0.0,0.0,1.0,0.0
1,2,spotify:track:5pRGXCDY0eT6R1QicAn7Uk,"João Gustavo e Murilo, Analaga",Lençol Dobrado,WM Brazil,2,3,36,3270672,5pRGXCDY0eT6R1QicAn7Uk,0.0,0.0,1.0,0.0
2,3,spotify:track:0WhDotK0QXigmsrlw0DxKK,"MC Kevin o Chris, Sodré",Evoluiu,ADpar,2,2,12,3182562,0WhDotK0QXigmsrlw0DxKK,-0.9001,0.056,0.929,0.015
3,4,spotify:track:6QwFUcPc5nhsqZuhXUYtV7,Jorge & Mateus,Tijolão - Ao Vivo,Som Livre,4,6,7,3176000,6QwFUcPc5nhsqZuhXUYtV7,0.0,0.0,1.0,0.0
4,5,spotify:track:6sRLrSetyIwIKhW1eMlUNP,"Matheus & Kauan, Marília Mendonça",Vou Ter Que Superar - Ao Vivo,Universal Music Ltda.,2,4,16,2791253,6sRLrSetyIwIKhW1eMlUNP,0.9304,0.0,0.962,0.038
5,6,spotify:track:1xyVMQx51Kab6eLVtE6twx,"Lauana Prado, Maiara & Maraisa",Cobaia,Universal Music Ltda.,6,7,48,2488716,1xyVMQx51Kab6eLVtE6twx,0.9413,0.007,0.939,0.053
6,7,spotify:track:0TK2YIli7K1leLovkQiNik,"Shawn Mendes, Camila Cabello",Señorita,Island Records,2,5,3,2479854,0TK2YIli7K1leLovkQiNik,0.9988,0.033,0.724,0.244
7,8,spotify:track:26WpOBpHiIMoBuMEIwtOCH,"Pk, PK Delas",Quando a vontade bater (Participação especial de PK Delas),WM Brazil,8,8,17,2348093,26WpOBpHiIMoBuMEIwtOCH,0.0,0.0,1.0,0.0
8,9,spotify:track:2x8TNY9KwNvD19gVGs4WOP,MC Kevin o Chris,Ela É do Tipo,ADpar,1,9,17,2140341,2x8TNY9KwNvD19gVGs4WOP,0.7998,0.0,0.975,0.025
9,10,spotify:track:3RbXsVQr4jeTxvT35Hssq3,Marília Mendonça,Bebi Liguei - Ao Vivo,Som Livre,2,10,30,2119727,3RbXsVQr4jeTxvT35Hssq3,-0.8402,0.043,0.957,0.0
10,11,spotify:track:1nVIlX3h3Ds9bH6JMQopIU,Luan Santana,quando a bad bater - ao vivo,Som Livre,11,30,2,2098730,1nVIlX3h3Ds9bH6JMQopIU,-0.9738,0.123,0.823,0.054
