,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
23,24,spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF,Gustavo Mioto,Com Ou Sem Mim - Ao Vivo,Universal Music Ltda.,6,26,29,1836386,5L8ZEyIdZ2KE4Wf51SsuOF,0.8541,0.0,0.963,0.037
24,25,spotify:track:6nI98wtHOJAYSASq22TCYu,Luan Santana,água com açúcar - ao vivo,Som Livre,6,20,13,1824438,6nI98wtHOJAYSASq22TCYu,0.9809,0.018,0.859,0.123
25,26,spotify:track:5PNvgiKSwMdjBsDsgFCFLX,"Maverick Sabre, Jorja Smith, Vintage Culture, Slow Motion",Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix,Spinnin' Deep,21,21,10,1789890,5PNvgiKSwMdjBsDsgFCFLX,0.863,0.054,0.872,0.074
26,27,spotify:track:1uryupl9hqVZYurJwH4G9k,Guilherme & Benuto,3 Batidas - Ao Vivo,Sony Music Entertainment,9,34,42,1787493,1uryupl9hqVZYurJwH4G9k,0.0,0.083,0.856,0.061
27,28,spotify:track:4j2bK4fnc2s6GyVmhJsJhk,Henrique & Juliano,Briga Feia - Ao Vivo,Virgin Music Label And Artist Services (S&D),26,37,26,1744404,4j2bK4fnc2s6GyVmhJsJhk,-0.5267,0.018,0.982,0.0
28,29,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,25,30,23,1744016,0VjIjW4GlUZAMYd2vXMi3b,0.0,0.0,1.0,0.0
29,30,spotify:track:3GmJxfnUDrIs1iCfKUELFz,Marília Mendonça,Supera - Ao Vivo,Som Livre,1,35,43,1713754,3GmJxfnUDrIs1iCfKUELFz,0.8402,0.0,0.964,0.036
30,31,spotify:track:4lKuzrdZrJuCAedbIslF3A,"PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro",SENTADÃO,WM Brazil,2,27,29,1709150,4lKuzrdZrJuCAedbIslF3A,0.5696,0.06,0.867,0.073
31,32,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra (NEK),5,33,39,1673336,1rgnBhdG2JDFTbYkYRZAku,0.0387,0.023,0.946,0.03
32,33,spotify:track:2Ou6UYuUbNyqwXxRDSeFRf,Maiara & Maraisa,Aí Eu Bebo - Ao Vivo,Som Livre,17,28,34,1669316,2Ou6UYuUbNyqwXxRDSeFRf,0.0,0.0,1.0,0.0
33,34,spotify:track:0GrEqRHf5FioT1hOB8PBxZ,Marília Mendonça,Vira Homem,Som Livre,28,39,6,1668121,0GrEqRHf5FioT1hOB8PBxZ,0.6808,0.009,0.954,0.037
34,35,spotify:track:2PqPSf3gtTED79rWGwVtYg,Diego & Victor Hugo,Áudio - Ao Vivo em Brasília,Sony Music Entertainment,27,41,48,1641823,2PqPSf3gtTED79rWGwVtYg,0.0,0.0,1.0,0.0
35,36,spotify:track:4p8pEdPYOQLzJUKYrLOacy,"WC no Beat, PEDRO SAMPAIO, FP do Trem Bala",BALANÇA (feat. Pedro Sampaio),Sony Music Entertainment,10,42,19,1638413,4p8pEdPYOQLzJUKYrLOacy,-0.5803,0.018,0.982,0.0
36,37,spotify:track:2Q9TaUXNM4mNSCgJjbmsJe,Zé Neto & Cristiano,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Som Livre,7,32,28,1608968,2Q9TaUXNM4mNSCgJjbmsJe,0.0,0.0,1.0,0.0
37,38,spotify:track:2MOq63fxuFLYQM3CsDcFs1,GIULIA BE,menina solta,WM Brazil,15,40,36,1606970,2MOq63fxuFLYQM3CsDcFs1,0.2244,0.015,0.973,0.013
38,39,spotify:track:466cKvZn1j45IpxDdYZqdA,Drake,Toosie Slide,OVO,31,38,10,1603412,466cKvZn1j45IpxDdYZqdA,-0.4516,0.115,0.764,0.121
39,40,spotify:track:63SHcJzckFykS8faA5zojY,"MC Ingryd, DJ Henrique da VK",Vem Me Satisfazer,MC Ingryd,5,51,27,1481839,63SHcJzckFykS8faA5zojY,-0.9718,0.066,0.934,0.0
40,41,spotify:track:1Nmcs8zk7LfcvHRgLtTM5J,"Orochi, Papatinho",Amor de Fim de Noite,Mainstreet Records,36,45,31,1470306,1Nmcs8zk7LfcvHRgLtTM5J,0.9948,0.004,0.908,0.088
41,42,spotify:track:5yaXBGNko8lmFSOvKWo99j,Matheus & Kauan,Então Toma - Ao Vivo,Universal Music Ltda.,42,44,9,1434180,5yaXBGNko8lmFSOvKWo99j,0.0,0.0,1.0,0.0
42,43,spotify:track:5n8Y78Pl5q8lqS7sJP61qw,Diego & Arnaldo,Relógio Parado (Ao Vivo),Sony Music Entertainment,38,56,34,1424203,5n8Y78Pl5q8lqS7sJP61qw,0.0,0.0,1.0,0.0
