,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:2x8TNY9KwNvD19gVGs4WOP,MC Kevin o Chris,Ela É do Tipo,ADpar,1,1,8,3574528,2x8TNY9KwNvD19gVGs4WOP,0.7998,0.0,0.975,0.025
1,2,spotify:track:6sRLrSetyIwIKhW1eMlUNP,"Matheus & Kauan, Marília Mendonça",Vou Ter Que Superar - Ao Vivo,Universal Music Ltda.,2,3,7,2852385,6sRLrSetyIwIKhW1eMlUNP,0.9304,0.0,0.962,0.038
2,3,spotify:track:5pRGXCDY0eT6R1QicAn7Uk,"João Gustavo e Murilo, Analaga",Lençol Dobrado,WM Brazil,3,4,27,2849574,5pRGXCDY0eT6R1QicAn7Uk,0.0,0.0,1.0,0.0
3,4,spotify:track:7KdcbYcVF8LkQeQcTYOixJ,"Luan Santana, MC Kekel",Vingança - Ao Vivo,Som Livre,4,5,34,2787124,7KdcbYcVF8LkQeQcTYOixJ,0.9349,0.023,0.921,0.056
4,5,spotify:track:5eMmT4Ava5BGThju0AD8vQ,Gusttavo Lima,Cem Mil - Ao Vivo,Som Livre,1,2,28,2701290,5eMmT4Ava5BGThju0AD8vQ,0.128,0.015,0.966,0.019
5,6,spotify:track:6YjyT6MEMsMc41NNWk2dYg,"Marília Mendonça, Maiara & Maraisa",Bebaça - Ao Vivo,Som Livre,6,6,11,2327535,6YjyT6MEMsMc41NNWk2dYg,0.0,0.0,1.0,0.0
6,7,spotify:track:2H8ETIUEoN9YMf56X66bxd,"Anitta, LUDMILLA, Snoop Dogg, Papatinho",Onda diferente (feat. Papatinho),WM Brazil,4,7,5,2327085,2H8ETIUEoN9YMf56X66bxd,-0.31,0.086,0.827,0.087
7,8,spotify:track:26WpOBpHiIMoBuMEIwtOCH,"Pk, PK Delas",Quando a vontade bater (Participação especial de PK Delas),WM Brazil,8,40,8,2217014,26WpOBpHiIMoBuMEIwtOCH,0.0,0.0,1.0,0.0
8,9,spotify:track:3RbXsVQr4jeTxvT35Hssq3,Marília Mendonça,Bebi Liguei - Ao Vivo,Som Livre,2,8,21,2208709,3RbXsVQr4jeTxvT35Hssq3,-0.8402,0.043,0.957,0.0
9,10,spotify:track:7oEr56KG6odStlQH0nvdyr,Gustavo Mioto,Solteiro Não Trai - Ao Vivo,Gustavo Mioto,8,9,22,2091283,7oEr56KG6odStlQH0nvdyr,0.0,0.0,1.0,0.0
10,11,spotify:track:4eB8rsNNm5791m3uvEBNLR,Zé Neto & Cristiano,Estado Decadente - Acústico,Som Livre,10,10,17,1986011,4eB8rsNNm5791m3uvEBNLR,0.9347,0.064,0.833,0.102
