,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
0,1,spotify:track:4E6RdcCWMiHTu7zy1VTNDo,Marília Mendonça,Todo Mundo Vai Sofrer - Ao Vivo,Som Livre,1,1,10,3718905,4E6RdcCWMiHTu7zy1VTNDo,0.0,0.0,1.0,0.0
1,2,spotify:track:5pRGXCDY0eT6R1QicAn7Uk,"João Gustavo e Murilo, Analaga",Lençol Dobrado,WM Brazil,2,2,38,3473027,5pRGXCDY0eT6R1QicAn7Uk,0.0,0.0,1.0,0.0
2,3,spotify:track:6QwFUcPc5nhsqZuhXUYtV7,Jorge & Mateus,Tijolão - Ao Vivo,Som Livre,3,3,9,3309854,6QwFUcPc5nhsqZuhXUYtV7,0.0,0.0,1.0,0.0
3,4,spotify:track:0WhDotK0QXigmsrlw0DxKK,"MC Kevin o Chris, Sodré",Evoluiu,ADpar,2,4,14,3134142,0WhDotK0QXigmsrlw0DxKK,-0.9001,0.056,0.929,0.015
4,5,spotify:track:1nVIlX3h3Ds9bH6JMQopIU,Luan Santana,quando a bad bater - ao vivo,Som Livre,5,11,4,2840186,1nVIlX3h3Ds9bH6JMQopIU,-0.9738,0.123,0.823,0.054
5,6,spotify:track:6sRLrSetyIwIKhW1eMlUNP,"Matheus & Kauan, Marília Mendonça",Vou Ter Que Superar - Ao Vivo,Universal Music Ltda.,2,5,18,2802245,6sRLrSetyIwIKhW1eMlUNP,0.9304,0.0,0.962,0.038
6,7,spotify:track:2bbFhnxYjeb9jYEX2MDKLQ,MC Kevinho,Uma nora pra cada dia,WM Brazil,7,8,4,2776963,2bbFhnxYjeb9jYEX2MDKLQ,-0.5267,0.017,0.983,0.0
7,8,spotify:track:1xyVMQx51Kab6eLVtE6twx,"Lauana Prado, Maiara & Maraisa",Cobaia,Universal Music Ltda.,6,6,50,2602119,1xyVMQx51Kab6eLVtE6twx,0.9413,0.007,0.939,0.053
8,9,spotify:track:1nqaSoiLuqevDes4S18sO7,Gusttavo Lima,Milu,Gusttavo Lima,9,10,4,2596231,1nqaSoiLuqevDes4S18sO7,0.7783,0.063,0.86,0.077
9,10,spotify:track:0TK2YIli7K1leLovkQiNik,"Shawn Mendes, Camila Cabello",Señorita,Island Records,2,7,5,2429933,0TK2YIli7K1leLovkQiNik,0.9988,0.033,0.724,0.244
10,11,spotify:track:6V43u5SCjkfMpxMAXRPifr,"MC JottaPê, DJ RD, MC M10",Sentou e Gostou,KondZilla,11,20,3,2389255,6V43u5SCjkfMpxMAXRPifr,0.9935,0.0,0.838,0.162
11,12,spotify:track:26WpOBpHiIMoBuMEIwtOCH,"Pk, PK Delas",Quando a vontade bater (Participação especial de PK Delas),WM Brazil,8,9,19,2370681,26WpOBpHiIMoBuMEIwtOCH,0.0,0.0,1.0,0.0
12,13,spotify:track:3RbXsVQr4jeTxvT35Hssq3,Marília Mendonça,Bebi Liguei - Ao Vivo,Som Livre,2,14,32,2230785,3RbXsVQr4jeTxvT35Hssq3,-0.8402,0.043,0.957,0.0
13,14,spotify:track:5q0NlM6Pm8Pp3orq7zGiRn,"Matheus & Kauan, Jorge & Mateus",Quarta Cadeira - Ao Vivo,Universal Music Ltda.,14,19,18,2062521,5q0NlM6Pm8Pp3orq7zGiRn,0.0,0.0,1.0,0.0
14,15,spotify:track:4eB8rsNNm5791m3uvEBNLR,Zé Neto & Cristiano,Estado Decadente - Acústico,Som Livre,10,15,28,2020921,4eB8rsNNm5791m3uvEBNLR,0.9347,0.064,0.833,0.102
15,16,spotify:track:2x8TNY9KwNvD19gVGs4WOP,MC Kevin o Chris,Ela É do Tipo,ADpar,1,12,19,2012554,2x8TNY9KwNvD19gVGs4WOP,0.7998,0.0,0.975,0.025
16,17,spotify:track:4lEw9Id7kLDSJ6KRdaenM9,Felipe Araújo,Espaçosa Demais - Ao Vivo,Universal Music Ltda.,13,13,42,1961012,4lEw9Id7kLDSJ6KRdaenM9,-0.8299,0.029,0.971,0.0
17,18,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,"Lil Nas X, Billy Ray Cyrus",Old Town Road - Remix,Columbia,11,17,15,1945180,6u7jPi22kF8CTQ3rb9DHE7,0.7936,0.015,0.92,0.065
18,19,spotify:track:3tU3UAasaDA9OixXGC3O33,"Mano Walter, Gustavo Mioto",Fingindo Maturidade - Ao Vivo,Som Livre,19,21,19,1930662,3tU3UAasaDA9OixXGC3O33,-0.296,0.009,0.991,0.0
19,20,spotify:track:4gDvg62vG96w0qJaF6wzcd,"Diego & Victor Hugo, Zé Neto & Cristiano",A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Sony Music Entertainment,18,18,18,1910617,4gDvg62vG96w0qJaF6wzcd,0.0,0.0,1.0,0.0
