rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
153	spotify:track:4xwPOyN9VgaTPehdsLiYul	Melim	Dois Corações	Universal Music Ltda.	64	180	329	87282	4xwPOyN9VgaTPehdsLiYul
154	spotify:track:0GWYApQBwErVPkyXYCTJjI	The Pussycat Dolls	React	Access Records	104	-1	3	87228	0GWYApQBwErVPkyXYCTJjI
155	spotify:track:2tnVG71enUj33Ic2nFN6kZ	Regard	Ride It	Ministry of Sound Recordings	155	-1	20	86919	2tnVG71enUj33Ic2nFN6kZ
156	spotify:track:3GSGW5pQhHKBmmQLebX3vx	Mc Anônimo	Pagou De Superada	Gufo Records	126	149	60	86896	3GSGW5pQhHKBmmQLebX3vx
157	spotify:track:0h1mVA8gOPR71lxSeY67uT	PEDRO SAMPAIO	FICA À VONTADE	WM Brazil	96	136	179	86882	0h1mVA8gOPR71lxSeY67uT
158	spotify:track:01wavOnjFBNgdMWBFYIAP4	Sorriso Maroto, Dilsinho	50 Vezes - Ao Vivo	Sony Music Entertainment	35	145	256	86828	01wavOnjFBNgdMWBFYIAP4
159	spotify:track:1zI3RU0boCVsAXChjCvESu	Ferrugem	Até que enfim - Ao vivo	WM Brazil	46	148	206	85884	1zI3RU0boCVsAXChjCvESu
160	spotify:track:7D5F5BzIon5zhzQrOU2pdN	Marília Mendonça	Ciumeira - Ao Vivo	Som Livre	1	119	536	85606	7D5F5BzIon5zhzQrOU2pdN
161	spotify:track:2qiqXQ2Suc253bR7k9AKVD	MC Ysa, DJ 2F, DJ Anderson França, MK no Beat	Baile da Colômbia (Brega Funk) - Remix	STUDIO 22 PRODUÇÕES	21	131	193	85420	2qiqXQ2Suc253bR7k9AKVD
162	spotify:track:24YUl9cgjcEvgJTr2WIT1q	Diego & Arnaldo	Casos Pendentes - Acústico	Sony Music Entertainment	65	116	67	85152	24YUl9cgjcEvgJTr2WIT1q
163	spotify:track:4l0Mvzj72xxOpRrp6h8nHi	Selena Gomez	Lose You To Love Me	Interscope Records	6	-1	97	84878	4l0Mvzj72xxOpRrp6h8nHi
164	spotify:track:7FIWs0pqAYbP91WWM0vlTQ	Eminem, Juice WRLD	Godzilla (feat. Juice WRLD)	Shady/Aftermath/Interscope Records	123	-1	18	84823	7FIWs0pqAYbP91WWM0vlTQ
165	spotify:track:5GHA824FwkHeBl5u1T6kLj	Hugo & Guilherme	Namorada Reserva - Ao Vivo	Som Livre	71	121	200	84204	5GHA824FwkHeBl5u1T6kLj
166	spotify:track:5rwdmpN5eMWIIwK4R96vv1	Dynho Alves	Malemolência	GR6 Music	29	120	353	83787	5rwdmpN5eMWIIwK4R96vv1
167	spotify:track:1AmG2vRzkO6VeYydpU33SL	Os Parazim	Espetinho	Os Parazim	167	174	9	83726	1AmG2vRzkO6VeYydpU33SL
168	spotify:track:2H8ETIUEoN9YMf56X66bxd	Anitta, LUDMILLA, Snoop Dogg, Papatinho	Onda diferente (feat. Papatinho)	WM Brazil	2	128	312	83343	2H8ETIUEoN9YMf56X66bxd
169	spotify:track:3bcduSxypEUxlM5UawQ3kD	Orochi, Kizzy	Mitsubishi	Orochi Records	169	-1	7	83029	3bcduSxypEUxlM5UawQ3kD
170	spotify:track:34D0w6kVzuQ35vyHIFrWTC	Pk, LUDMILLA	Do jeito que tu gosta	WM Brazil	45	161	178	83020	34D0w6kVzuQ35vyHIFrWTC
171	spotify:track:2VxeLyX666F8uXCJ0dZF8B	Lady Gaga, Bradley Cooper	Shallow	A Star is Born OST	2	-1	492	82927	2VxeLyX666F8uXCJ0dZF8B
172	spotify:track:7lidXGPXPYLNThITAOTlkK	Halsey	You should be sad	Capitol Records	127	-1	17	82402	7lidXGPXPYLNThITAOTlkK
173	spotify:track:4zZ2rPOa8itw3VuusVSicv	Mc Th, Xamã, WC no Beat, Pep Starling	Deixa	MC TH OFICIAL	101	-1	92	82209	4zZ2rPOa8itw3VuusVSicv
174	spotify:track:6UelLqGlWMcVH1E5c4H7lY	Harry Styles	Watermelon Sugar	Columbia	46	-1	80	81905	6UelLqGlWMcVH1E5c4H7lY
175	spotify:track:2dpaYNEQHiRxtZbfNsse99	Marshmello, Bastille	Happier	Astralwerks	40	-1	533	81905	2dpaYNEQHiRxtZbfNsse99
176	spotify:track:6hqQPoB1yYKcLfByfxO8he	Wesley Safadão, Zé Neto & Cristiano	Na Cama Que Eu Paguei - Ao Vivo	Som Livre	12	125	144	81825	6hqQPoB1yYKcLfByfxO8he
177	spotify:track:4YbZBChhX5SkLhNJcvvhuD	Pk, Belo	Indomável (Participação especial de Belo)	WM Brazil	130	-1	122	81586	4YbZBChhX5SkLhNJcvvhuD
178	spotify:track:0nkDm27DGppCSk8dnGtvPa	POCAH	Não sou obrigada	WM Brazil	14	142	316	81222	0nkDm27DGppCSk8dnGtvPa
179	spotify:track:1EQ8sBQ7Abv9DvNBzhXAcv	Nando Reis, Ana Cañas	Pra Você Guardei O Amor	Universal Music Ltda.	104	-1	493	81188	1EQ8sBQ7Abv9DvNBzhXAcv
180	spotify:track:0AVDN1LiDn0abh39xqDRtQ	Mc Gw, MC Theuzyn, DJ Piu	Rave Jogando o L	GR6 Music	141	143	4	81020	0AVDN1LiDn0abh39xqDRtQ
181	spotify:track:17rF54WvGGqPVxDheq8PP8	WIU, Matuê	Mantém	Sony Music Entertainment	55	-1	78	80899	17rF54WvGGqPVxDheq8PP8
182	spotify:track:4lzdvZhokhDcKdUG4h6OdT	Mad Dogz, Danny, Matheus Alves	Vacilei	WM Brazil	182	188	3	80833	4lzdvZhokhDcKdUG4h6OdT
183	spotify:track:3tu0GkIZwwkmILoD4HemBq	Raí Saia Rodada	Bebe e Vem Me Procurar	Som Livre	36	139	242	80048	3tu0GkIZwwkmILoD4HemBq
184	spotify:track:2YpeDb67231RjR0MgVLzsG	Lil Nas X, Billy Ray Cyrus	Old Town Road - Remix	Columbia	9	196	302	79954	2YpeDb67231RjR0MgVLzsG
185	spotify:track:0RiRZpuVRbi7oqRdSMwhQY	Post Malone, Swae Lee	Sunflower - Spider-Man: Into the Spider-Verse	Republic Records	32	-1	420	79630	0RiRZpuVRbi7oqRdSMwhQY
186	spotify:track:3CgZi8DMUftJHK6WL2gKc1	Hungria Hip Hop	Um Pedido	Hungria Hip Hop	19	200	247	78630	3CgZi8DMUftJHK6WL2gKc1
187	spotify:track:5EKHbW7mXcAR4hCyS3YXjb	Felipe Araújo, Ferrugem	Atrasadinha - Live	Universal Music Ltda.	1	137	508	78570	5EKHbW7mXcAR4hCyS3YXjb
188	spotify:track:0u2P5u6lvoDfwTYjAADbn4	Billie Eilish, Khalid	lovely (with Khalid)	Darkroom	124	-1	73	77964	0u2P5u6lvoDfwTYjAADbn4
