rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:71FrGl0XcpL3VId65tB5mg	Os Barões Da Pisadinha	Recairei - Ao Vivo	Sony Music Entertainment	1	2	22	5078475	71FrGl0XcpL3VId65tB5mg
2	spotify:track:15k1TDabqSEmyXOwMq9RM7	Jonas Esticado	Investe Em Mim	Som Livre	1	1	16	4869478	15k1TDabqSEmyXOwMq9RM7
3	spotify:track:4xWzZmX4K1yyrdtRfbUvjt	Niack	Oh Juliana	Niack	1	3	14	4382691	4xWzZmX4K1yyrdtRfbUvjt
4	spotify:track:59kRq8rb5uJCrSYYbGCk7o	MC Rogerinho	Só Você	MC Rogerinho	4	4	9	3848066	59kRq8rb5uJCrSYYbGCk7o
5	spotify:track:42P3wMiPfXQM93TYZotuPQ	Gusttavo Lima	De Menina pra Mulher - Ao Vivo	Sony Music Entertainment	5	11	4	3497764	42P3wMiPfXQM93TYZotuPQ
6	spotify:track:64I6t2tuUGnIlaDIzHJ6YI	Marília Mendonça, Maiara & Maraisa	Quero Você do Jeito Que Quiser	Som Livre	4	6	14	3415062	64I6t2tuUGnIlaDIzHJ6YI
7	spotify:track:3dPvQLKl42dMYWV4LWRTLK	Os Barões Da Pisadinha	Tá Rocheda	Sony Music Entertainment	7	10	37	3299973	3dPvQLKl42dMYWV4LWRTLK
8	spotify:track:7e1VoRlNumuEkXlITMHKLE	Anitta, Myke Towers, Cardi B	Me Gusta (with Cardi B & Myke Towers)	Warner Records	3	5	4	3192503	7e1VoRlNumuEkXlITMHKLE
9	spotify:track:4zsiMjB0794HztyqUkD3Zi	Dilsinho, Henrique & Juliano	Sogra - Ao Vivo	Sony Music Entertainment	6	7	19	3167044	4zsiMjB0794HztyqUkD3Zi
10	spotify:track:3AV1KI22k1jGMz792lDrj1	Os Barões Da Pisadinha, Xand Avião	Basta Você Me Ligar - Ao Vivo	Sony Music Entertainment	10	13	17	3158963	3AV1KI22k1jGMz792lDrj1
11	spotify:track:12v6LfkX9YIR3uLefIAAYZ	Mc Jacaré	Comprei um Lança	Mc Jacare / Los Pantchos	5	8	16	3131445	12v6LfkX9YIR3uLefIAAYZ
12	spotify:track:187Pge0WmJNoS73kaIORSE	Douglas & Vinicius, MC Bruninho	Figurinha - Ao Vivo	Virgin Music Label And Artist Services (S&D)	9	9	13	3127385	187Pge0WmJNoS73kaIORSE
13	spotify:track:7benotyTvLY2vUsDKtxbiA	Gusttavo Lima	Café e Amor - Ao Vivo	Sony Music Entertainment	13	-1	1	3065164	7benotyTvLY2vUsDKtxbiA
14	spotify:track:3WjSkl7VDWY1prwJw7dSG0	Zé Neto & Cristiano	Barzinho Aleatório - Ao Vivo	Som Livre	8	14	45	2963941	3WjSkl7VDWY1prwJw7dSG0
15	spotify:track:7o9LwQmTuIDm4LyyHFIWul	Henrique & Juliano	Volta Por Baixo - Ao Vivo	Virgin Music Label And Artist Services (S&D)	3	17	40	2851504	7o9LwQmTuIDm4LyyHFIWul
16	spotify:track:260n4ECk9j4IEvTAVBYojl	Matheus & Kauan	Nem Doeu - Ao Vivo	Universal Music Ltda.	16	16	20	2786362	260n4ECk9j4IEvTAVBYojl
17	spotify:track:5GAdMAL3tRJkVN1HtwohK2	Mc Don Juan, Maiara & Maraisa	Vai Ter Que Aguentar	GR6 Music	8	12	20	2782285	5GAdMAL3tRJkVN1HtwohK2
18	spotify:track:0RaIjuKU5hudMteEXwr4RS	Jorge & Mateus	Ranking	Som Livre	4	19	32	2761892	0RaIjuKU5hudMteEXwr4RS
19	spotify:track:4zGtfOglDBfVUypabBwIjQ	Mc Zaac, Anitta, Tyga	Desce Pro Play (PA PA PA)	Universal Music Ltda.	1	15	16	2601188	4zGtfOglDBfVUypabBwIjQ
20	spotify:track:7J3QMuDCSv56jRSiD9jFBF	Eric Land, Xand Avião	Cidade Inteira	Eric Land	20	23	14	2564679	7J3QMuDCSv56jRSiD9jFBF
21	spotify:track:5oI9blwsXC8AkTWw6wASY8	Matuê	Máquina do Tempo	Sony Music Entertainment	2	18	5	2403553	5oI9blwsXC8AkTWw6wASY8
22	spotify:track:4j2bK4fnc2s6GyVmhJsJhk	Henrique & Juliano	Briga Feia - Ao Vivo	Virgin Music Label And Artist Services (S&D)	22	35	44	2378681	4j2bK4fnc2s6GyVmhJsJhk
23	spotify:track:2fmeSswdyVq4wcqhY41UHk	Pineapple StormTv, L7NNON, Chris MC, Xamã, Lourena, Cesar Mc, Djonga, Filipe Ret, Salve Malak, Hunter	Poesia Acústica #9: Melhor Forma	Pineapple StormTV	3	20	14	2369620	2fmeSswdyVq4wcqhY41UHk
