rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:4qsOrxBv09HhNSpsgMRXdC	Marília Mendonça, Maiara & Maraisa	Esqueça-Me Se For Capaz	Som Livre	1	1	7	7297643	4qsOrxBv09HhNSpsgMRXdC
2	spotify:track:1c4htMHiolERc0YJvZNdlc	George Henrique & Rodrigo, Marília Mendonça	Vai Lá Em Casa Hoje	Worldshow Promoções e Eventos	2	6	6	6414627	1c4htMHiolERc0YJvZNdlc
3	spotify:track:053zWWZDziDJd3U94x8RuP	Marília Mendonça, Maiara & Maraisa	Todo Mundo Menos Você	Som Livre	2	2	10	6069206	053zWWZDziDJd3U94x8RuP
4	spotify:track:3YvE7uo4ffseBoJPh8IhHp	Marília Mendonça, Maiara & Maraisa	Presepada	Som Livre	3	3	4	5954490	3YvE7uo4ffseBoJPh8IhHp
5	spotify:track:4u06FbRh6FvV2FQZkouzCw	Henrique & Juliano	Arranhão - Ao Vivo	Virgin Music Label And Artist Services (S&D)	1	4	17	5918296	4u06FbRh6FvV2FQZkouzCw
6	spotify:track:4fSHADbZbhpZCT9oJpxwbP	Paulo Pires, Mc Danny, Marcynho Sensação	Ameaça	Paulo Pires	4	5	7	5719382	4fSHADbZbhpZCT9oJpxwbP
7	spotify:track:2wG1R0uDFwyobcWzVssC1J	PEDRO SAMPAIO	GALOPA	WM Brazil	4	7	11	5624095	2wG1R0uDFwyobcWzVssC1J
8	spotify:track:2RGIuYTsyyHoOCqW0krvNE	Avine Vinny, Matheus Fernandes	Coração Cachorro	Sony Music Entertainment	1	8	10	5419680	2RGIuYTsyyHoOCqW0krvNE
9	spotify:track:5VTjBl3ddZEiG2LrH4VzyR	Zé Felipe, Mc Danny	Toma Toma Vapo Vapo	Som Livre	9	11	3	5318055	5VTjBl3ddZEiG2LrH4VzyR
10	spotify:track:0JdkDCdrhMOaeXjIZdeBXN	MC Levin, DJ Nikolas Alves Exclusive, DJ Kaioken, DJ Gege	Ela me Falou Que Quer Rave	Ritmo dos Fluxos Records	6	9	5	4927834	0JdkDCdrhMOaeXjIZdeBXN
11	spotify:track:4kGdnA7FzSVsXC29LPghej	Zé Felipe, Marcynho Sensação	Revoada No Colchão	Som Livre	3	10	11	4296488	4kGdnA7FzSVsXC29LPghej
12	spotify:track:7pvrsbBKUQI2QmA74WCJa5	Zé Neto & Cristiano	Ela e Ela	Som Livre	3	13	14	4281761	7pvrsbBKUQI2QmA74WCJa5
13	spotify:track:5Q0ZnQjk4lQpScX7ujswun	Henrique & Juliano	A Maior Saudade - Ao Vivo	Virgin Music Label And Artist Services (S&D)	11	14	13	4169967	5Q0ZnQjk4lQpScX7ujswun
14	spotify:track:3agFBAMPiIvzfTh7a9Udm6	Gusttavo Lima	Nota de Repúdio - Ao Vivo	Sony Music Entertainment	4	16	13	3964152	3agFBAMPiIvzfTh7a9Udm6
15	spotify:track:7xVSNhAUQhUIpwfR6lTOwA	Marina Sena	Por Supuesto	Alá Comunicação e Cultura	10	12	6	3864173	7xVSNhAUQhUIpwfR6lTOwA
16	spotify:track:0DsPj89zlY3Us7xb5cXK5h	DJ Patrick Muniz, Dj Olliver, Mc Topre, Mc Rennan	Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)	Tratto Entretenimentos	4	15	9	3776384	0DsPj89zlY3Us7xb5cXK5h
17	spotify:track:72g37RoelSnovZakG5MwnF	Mari Fernandez, Marcynho Sensação	Parada Louca	Sony Music Entertainment	17	42	3	3589341	72g37RoelSnovZakG5MwnF
18	spotify:track:2jwrYBGz7osKI31v50bS7b	Felipe Amorim	Putariazinha	OnePlay	9	18	10	3583436	2jwrYBGz7osKI31v50bS7b
19	spotify:track:48Ll1C6qAnP2UjnopQDh4a	Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA	Bala Love	Mc Anjim	2	17	15	3567849	48Ll1C6qAnP2UjnopQDh4a
20	spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6	João Gomes	Meu Pedaço de Pecado	Sua Música	1	20	26	3424526	2kJRlOyrxsy7Ot3c5TZ8Q6
21	spotify:track:1wdhj1r7aeWVDUl9d18YKu	Matheus & Kauan	Expectativa x Realidade	Universal Music Ltda.	15	21	22	3357002	1wdhj1r7aeWVDUl9d18YKu
