rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:2x8TNY9KwNvD19gVGs4WOP	MC Kevin o Chris	Ela É do Tipo	ADpar	1	1	5	4668124	2x8TNY9KwNvD19gVGs4WOP
2	spotify:track:5eMmT4Ava5BGThju0AD8vQ	Gusttavo Lima	Cem Mil - Ao Vivo	Som Livre	1	2	25	3436758	5eMmT4Ava5BGThju0AD8vQ
3	spotify:track:6sRLrSetyIwIKhW1eMlUNP	Matheus & Kauan, Marília Mendonça	Vou Ter Que Superar - Ao Vivo	Universal Music Ltda.	3	3	4	3196888	6sRLrSetyIwIKhW1eMlUNP
4	spotify:track:2H8ETIUEoN9YMf56X66bxd	Anitta, LUDMILLA, Snoop Dogg, Papatinho	Onda diferente (feat. Papatinho)	WM Brazil	4	4	2	2975277	2H8ETIUEoN9YMf56X66bxd
5	spotify:track:7KdcbYcVF8LkQeQcTYOixJ	Luan Santana, MC Kekel	Vingança - Ao Vivo	Som Livre	5	9	31	2712698	7KdcbYcVF8LkQeQcTYOixJ
6	spotify:track:5pRGXCDY0eT6R1QicAn7Uk	João Gustavo e Murilo, Analaga	Lençol Dobrado	WM Brazil	6	8	24	2700988	5pRGXCDY0eT6R1QicAn7Uk
7	spotify:track:3RbXsVQr4jeTxvT35Hssq3	Marília Mendonça	Bebi Liguei - Ao Vivo	Som Livre	2	6	18	2560126	3RbXsVQr4jeTxvT35Hssq3
8	spotify:track:5EKHbW7mXcAR4hCyS3YXjb	Felipe Araújo, Ferrugem	Atrasadinha - Live	Universal Music Ltda.	1	7	30	2528718	5EKHbW7mXcAR4hCyS3YXjb
9	spotify:track:6YjyT6MEMsMc41NNWk2dYg	Marília Mendonça, Maiara & Maraisa	Bebaça - Ao Vivo	Som Livre	9	11	8	2513382	6YjyT6MEMsMc41NNWk2dYg
10	spotify:track:1OUPXna2MCgAt3VNmXJBtg	Tropkillaz, J Balvin, Anitta, Mc Zaac	Bola Rebola	Universal Music Ltda.	1	5	8	2505138	1OUPXna2MCgAt3VNmXJBtg
11	spotify:track:7oEr56KG6odStlQH0nvdyr	Gustavo Mioto	Solteiro Não Trai - Ao Vivo	Gustavo Mioto	8	10	19	2377798	7oEr56KG6odStlQH0nvdyr
12	spotify:track:2lAyctg5FocS67eksHoyIg	Márcia Fellipe, Jerry Smith	Quem Me Dera	Universal Music Ltda.	4	12	26	2301383	2lAyctg5FocS67eksHoyIg
13	spotify:track:4eB8rsNNm5791m3uvEBNLR	Zé Neto & Cristiano	Estado Decadente - Acústico	Som Livre	10	14	14	2207506	4eB8rsNNm5791m3uvEBNLR
14	spotify:track:7FiIQXpIeLo3ITfGGpb8PB	MC Kevin o Chris, FP do Trem Bala	Vamos pra Gaiola	ADPAR Produções	2	13	14	2134772	7FiIQXpIeLo3ITfGGpb8PB
15	spotify:track:1xyVMQx51Kab6eLVtE6twx	Lauana Prado, Maiara & Maraisa	Cobaia	Universal Music Ltda.	15	16	36	2128464	1xyVMQx51Kab6eLVtE6twx
16	spotify:track:6PqUdUGS4h5aGY7YyEGXr8	Alok, Felix Jaehn, The Vamps	All The Lies	Spinnin' Records	14	15	5	2069113	6PqUdUGS4h5aGY7YyEGXr8
17	spotify:track:0XEJ7eph2IWFYZc73Jm3n2	Diego & Victor Hugo	Infarto	Sony Music Entertainment	9	19	23	1959802	0XEJ7eph2IWFYZc73Jm3n2
18	spotify:track:2qkNnJvQvhLiZ63X1L3eFz	Zé Neto & Cristiano	Notificação Preferida - Ao Vivo	Som Livre	2	22	44	1935326	2qkNnJvQvhLiZ63X1L3eFz
19	spotify:track:0IQCOAw9ZAI6WnXIrl481F	Mc Livinho, Rennan da Penha	Hoje Eu Vou Parar Na Gaiola	GR6 Music	5	17	23	1891078	0IQCOAw9ZAI6WnXIrl481F
20	spotify:track:5yH8pYxNckOU1cxfPsMIaz	DENNIS, MC Kevinho	Agora é Tudo Meu	Sony Music Entertainment	3	18	19	1818136	5yH8pYxNckOU1cxfPsMIaz
21	spotify:track:3mNmUjoDHYDYj08IaRPtg0	Lucas Lucco, Wesley Safadão	Posto 24h (feat. Wesley Safadão) - Ao Vivo	Sony Music Entertainment	21	31	26	1772099	3mNmUjoDHYDYj08IaRPtg0
22	spotify:track:2VxeLyX666F8uXCJ0dZF8B	Lady Gaga, Bradley Cooper	Shallow	A Star is Born OST	3	21	29	1769414	2VxeLyX666F8uXCJ0dZF8B
23	spotify:track:5mFn4teAi2HMi7kRHliyFL	Bruno & Marrone, Jorge & Mateus	Surto De Amor - Ao Vivo Em Uberlândia / 2018	Universal Music Ltda.	23	66	5	1705934	5mFn4teAi2HMi7kRHliyFL
24	spotify:track:1qCLx3nX25NuhfPjM5E1qV	Melim	Ouvi Dizer	Universal Music Ltda.	13	25	39	1678504	1qCLx3nX25NuhfPjM5E1qV
25	spotify:track:5KawlOMHjWeUjQtnuRs22c	BTS, Halsey	Boy With Luv (feat. Halsey)	BIGHIT MUSIC	25	-1	1	1661546	5KawlOMHjWeUjQtnuRs22c
26	spotify:track:7D5F5BzIon5zhzQrOU2pdN	Marília Mendonça	Ciumeira - Ao Vivo	Som Livre	1	34	34	1601365	7D5F5BzIon5zhzQrOU2pdN
27	spotify:track:5MMrkwK6AgNAsgHVdC7daZ	Dilsinho	Péssimo Negócio (Ao Vivo)	Sony Music Entertainment	24	28	24	1583619	5MMrkwK6AgNAsgHVdC7daZ
28	spotify:track:3NpRkAnxexTh4TklAZNjag	Mc Don Juan, Mc Davi	Bye Bye	GR6 Music	28	32	5	1573993	3NpRkAnxexTh4TklAZNjag
29	spotify:track:2mJOngYlqgfdLMBSxPcJL3	Jerry Smith, Wesley Safadão	Quem Tem o Dom	Start Music	15	30	12	1556958	2mJOngYlqgfdLMBSxPcJL3
30	spotify:track:2caDAj0O4uD8OlJ8bap9nz	LUDMILLA, Anitta	Favela chegou - Ao vivo	WM Brazil	12	23	8	1548921	2caDAj0O4uD8OlJ8bap9nz
31	spotify:track:0EZuXcsnjEmGuRYdFdcctX	Marília Mendonça	Sem Sal - Ao Vivo	Som Livre	20	36	25	1541790	0EZuXcsnjEmGuRYdFdcctX
32	spotify:track:7wMAgaPiKzTNxpDWu2BPfk	Gabriel Diniz	Jenifer	Universal Music Ltda.	1	33	24	1446381	7wMAgaPiKzTNxpDWu2BPfk
33	spotify:track:2X8sssaxS5GReg6945B6RW	Wesley Safadão	Só Pra Castigar	Som Livre	4	37	31	1439985	2X8sssaxS5GReg6945B6RW
34	spotify:track:7G2XZhDNHo7SSDWSVxC0UT	Anitta, MC Kevinho	Terremoto	WM Brazil	1	26	11	1424565	7G2XZhDNHo7SSDWSVxC0UT
35	spotify:track:3o67Yt3Ua1qlSNV22zWUAn	Maiara & Maraisa, Zé Neto & Cristiano	Traí Sim - Ao Vivo	Som Livre	18	38	20	1392600	3o67Yt3Ua1qlSNV22zWUAn
36	spotify:track:0nkDm27DGppCSk8dnGtvPa	POCAH	Não sou obrigada	WM Brazil	36	141	2	1356085	0nkDm27DGppCSk8dnGtvPa
37	spotify:track:13Rf6RaZT13TW4xLQR3MQr	Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak, Hunter	Poesia Acústica #6: Era uma Vez	Pineapple StormTV	18	39	16	1348124	13Rf6RaZT13TW4xLQR3MQr
38	spotify:track:7nJJKm0R90xM1nGlxTHTme	Matheus & Kauan	Cerveja, Sal E Limão - Ao Vivo	Universal Music Ltda.	22	42	15	1326482	7nJJKm0R90xM1nGlxTHTme
39	spotify:track:5U28PY9MekLyCBYtLHGQpe	Melim	Meu Abrigo	Universal Music Ltda.	3	48	47	1281302	5U28PY9MekLyCBYtLHGQpe
40	spotify:track:3L2uyIJoJPjYkSETVNSPBQ	Maiara & Maraisa	Não Abro Mão - Ao Vivo	Som Livre	40	58	11	1258513	3L2uyIJoJPjYkSETVNSPBQ
41	spotify:track:6HtVFR6WAeJRgYtleNcEE8	Lexa	Só Depois do Carnaval	Som Livre	28	47	11	1256628	6HtVFR6WAeJRgYtleNcEE8
