rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:7qmnP8Woc47dLSrMD5MxL1	Petter Ferraz, Menor Nico	Amor ou o Litrão	k+ produçoes	1	2	4	5261366	7qmnP8Woc47dLSrMD5MxL1
2	spotify:track:2JTir3y1VuJQmexiTCMcTP	Os Barões Da Pisadinha	Recairei - Ao Vivo	Sony Music Entertainment	1	1	31	5222783	2JTir3y1VuJQmexiTCMcTP
3	spotify:track:15k1TDabqSEmyXOwMq9RM7	Jonas Esticado	Investe Em Mim	Som Livre	1	3	25	4227659	15k1TDabqSEmyXOwMq9RM7
4	spotify:track:7GLWWrk1YlkPYqJK3ynIA0	Jorge & Mateus	Lance Individual	Som Livre	4	6	5	4106449	7GLWWrk1YlkPYqJK3ynIA0
5	spotify:track:3rRin3LyLY92kpEbkCgwf4	Os Barões Da Pisadinha, Xand Avião	Basta Você Me Ligar - Ao Vivo	Sony Music Entertainment	4	4	26	4104442	3rRin3LyLY92kpEbkCgwf4
6	spotify:track:1X0MaGErD8rcspqQs9s2m0	Zé Felipe	Só Tem Eu	Som Livre	3	8	10	3746722	1X0MaGErD8rcspqQs9s2m0
7	spotify:track:5m5aY6S9ttfIG157xli2Rs	Zé Neto & Cristiano	Alô Ambev (Segue Sua Vida) - Ao Vivo	Som Livre	4	7	16	3725296	5m5aY6S9ttfIG157xli2Rs
8	spotify:track:6WXglvTFRmjlHHhgjYMNif	MC Hariel, Alok, MC Ryan SP, Mc Davi, Salvador Da Rima	Ilusão (Cracolândia)	GR6 Music	2	5	5	3570079	6WXglvTFRmjlHHhgjYMNif
9	spotify:track:187Pge0WmJNoS73kaIORSE	Douglas & Vinicius, MC Bruninho	Figurinha - Ao Vivo	Virgin Music Label And Artist Services (S&D)	3	9	22	3431975	187Pge0WmJNoS73kaIORSE
10	spotify:track:1nDCZBI8MaHXI2f36dnQyG	Tierry	Rita	Tierry	8	10	13	3387211	1nDCZBI8MaHXI2f36dnQyG
11	spotify:track:6sPBi0qLI6KM3yXX56NxsA	Tarcísio do Acordeon	Meia Noite (Você tem meu Whatsapp)	Sua Música	11	57	2	3331843	6sPBi0qLI6KM3yXX56NxsA
12	spotify:track:7J3QMuDCSv56jRSiD9jFBF	Eric Land, Xand Avião	Cidade Inteira	Eric Land	6	11	23	3217786	7J3QMuDCSv56jRSiD9jFBF
13	spotify:track:59kRq8rb5uJCrSYYbGCk7o	MC Rogerinho	Só Você	MC Rogerinho	4	14	18	3101885	59kRq8rb5uJCrSYYbGCk7o
14	spotify:track:42P3wMiPfXQM93TYZotuPQ	Gusttavo Lima	De Menina pra Mulher - Ao Vivo	Sony Music Entertainment	3	12	13	3025772	42P3wMiPfXQM93TYZotuPQ
15	spotify:track:2R1OgezGfBMeiAcMpJ1EkH	Zé Vaqueiro	Letícia	Sony Music Entertainment	15	23	7	2906808	2R1OgezGfBMeiAcMpJ1EkH
16	spotify:track:3vu864xi5Xis9VfOsJpmXu	LUDMILLA	Rainha da Favela	WM Brazil	16	16	5	2893955	3vu864xi5Xis9VfOsJpmXu
17	spotify:track:1uA7fD01YlQr1Rm0oyNB4H	Guilherme & Benuto	Pulei na Piscina - Ao Vivo	Sony Music Entertainment	17	19	17	2874292	1uA7fD01YlQr1Rm0oyNB4H
18	spotify:track:3dPvQLKl42dMYWV4LWRTLK	Os Barões Da Pisadinha	Tá Rocheda	Sony Music Entertainment	7	13	46	2833824	3dPvQLKl42dMYWV4LWRTLK
19	spotify:track:64I6t2tuUGnIlaDIzHJ6YI	Marília Mendonça, Maiara & Maraisa	Quero Você do Jeito Que Quiser	Som Livre	4	15	23	2824126	64I6t2tuUGnIlaDIzHJ6YI
20	spotify:track:2QCwoYDn4DRfjs4NhW2KpO	João Bosco e Gabriel, Humberto & Ronaldo	Alô Ex-Amor - Ao Vivo	João Bosco e Gabriel	14	20	16	2722411	2QCwoYDn4DRfjs4NhW2KpO
21	spotify:track:0WlmiIK5qFQ4dAB4mCA4sI	Os Barões Da Pisadinha, Fernando & Sorocaba	Amor da Despedida	Sony Music Entertainment	21	25	6	2708378	0WlmiIK5qFQ4dAB4mCA4sI
