rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6	João Gomes	Meu Pedaço de Pecado	Sua Música	1	3	5	8091134	2kJRlOyrxsy7Ot3c5TZ8Q6
2	spotify:track:0xBQvhJAm6f7J142ympKOn	Mari Fernandez	Não, Não Vou	Sony Music Entertainment	1	1	5	6226941	0xBQvhJAm6f7J142ympKOn
3	spotify:track:5R9KPXQVeyqsHZoPLMgfNy	Matheus Fernandes, Dilsinho	Baby Me Atende	Som Livre	3	5	15	5655415	5R9KPXQVeyqsHZoPLMgfNy
4	spotify:track:0qxLQ6opocOGyFnlXqJ53x	Mc Davi, Mc Pedrinho, Mc Don Juan	Bipolar	GR6 Music	1	2	11	5428371	0qxLQ6opocOGyFnlXqJ53x
5	spotify:track:4wQUopWk9Ed7Ng5qpKN5qd	Dj Guuga, DJ Ivis	Volta Bebê, Volta Neném	GR6 Music	2	4	13	5372649	4wQUopWk9Ed7Ng5qpKN5qd
6	spotify:track:7Kba4OaxQFQ1zlknQUpNqN	Israel & Rodolffo, Wesley Safadão	Faz Amor Comigo Só Hoje - Ao Vivo	Som Livre	5	9	6	5075090	7Kba4OaxQFQ1zlknQUpNqN
7	spotify:track:6pQKUKBpwr6GhfhcFFFozo	MC Zaquin, MC Rick	Não Nasceu pra Namorar	Funk Explode Records	6	6	17	5032992	6pQKUKBpwr6GhfhcFFFozo
8	spotify:track:5SwyN9hzmWjBsINlif8li8	Gusttavo Lima	Ficha Limpa	Sony Music Entertainment	7	7	4	4934519	5SwyN9hzmWjBsINlif8li8
9	spotify:track:2MZQAvsA7aZDssppBLRxYp	Israel & Rodolffo	Batom de Cereja - Ao Vivo	Som Livre	1	8	22	4738270	2MZQAvsA7aZDssppBLRxYp
10	spotify:track:0FqVtQxRD3HsPltldG5v5M	João Gomes	Aquelas Coisas	Sua Música	10	29	4	4501661	0FqVtQxRD3HsPltldG5v5M
11	spotify:track:6HV630GY0GT3RN2efFRmbP	Jorge & Mateus	Troca	Som Livre	7	11	11	4264777	6HV630GY0GT3RN2efFRmbP
12	spotify:track:4PQdrXMDHDPl1RczrrlADd	Luan Santana	MORENA	Sony Music Entertainment	12	14	3	4233907	4PQdrXMDHDPl1RczrrlADd
13	spotify:track:3HquWF2pZmWYu3WAEP9Heb	Fernando & Sorocaba, Tarcísio do Acordeon	Só Não Divulga	Sony Music Entertainment	6	10	19	4229116	3HquWF2pZmWYu3WAEP9Heb
14	spotify:track:3Wrjm47oTz2sjIgck11l5e	Måneskin	Beggin'	RCA Records Label	14	30	3	3812917	3Wrjm47oTz2sjIgck11l5e
15	spotify:track:7IG7laqVpcvIIULrwWP5SA	Mc Poze do Rodo, Neo Beats, Mainstreet	Vida Louca	Mainstreet Records	6	13	14	3736273	7IG7laqVpcvIIULrwWP5SA
