rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:2x8TNY9KwNvD19gVGs4WOP	MC Kevin o Chris	Ela É do Tipo	ADpar	1	1	8	3574528	2x8TNY9KwNvD19gVGs4WOP
2	spotify:track:6sRLrSetyIwIKhW1eMlUNP	Matheus & Kauan, Marília Mendonça	Vou Ter Que Superar - Ao Vivo	Universal Music Ltda.	2	3	7	2852385	6sRLrSetyIwIKhW1eMlUNP
3	spotify:track:5pRGXCDY0eT6R1QicAn7Uk	João Gustavo e Murilo, Analaga	Lençol Dobrado	WM Brazil	3	4	27	2849574	5pRGXCDY0eT6R1QicAn7Uk
4	spotify:track:7KdcbYcVF8LkQeQcTYOixJ	Luan Santana, MC Kekel	Vingança - Ao Vivo	Som Livre	4	5	34	2787124	7KdcbYcVF8LkQeQcTYOixJ
5	spotify:track:5eMmT4Ava5BGThju0AD8vQ	Gusttavo Lima	Cem Mil - Ao Vivo	Som Livre	1	2	28	2701290	5eMmT4Ava5BGThju0AD8vQ
6	spotify:track:6YjyT6MEMsMc41NNWk2dYg	Marília Mendonça, Maiara & Maraisa	Bebaça - Ao Vivo	Som Livre	6	6	11	2327535	6YjyT6MEMsMc41NNWk2dYg
7	spotify:track:2H8ETIUEoN9YMf56X66bxd	Anitta, LUDMILLA, Snoop Dogg, Papatinho	Onda diferente (feat. Papatinho)	WM Brazil	4	7	5	2327085	2H8ETIUEoN9YMf56X66bxd
8	spotify:track:26WpOBpHiIMoBuMEIwtOCH	Pk, PK Delas	Quando a vontade bater (Participação especial de PK Delas)	WM Brazil	8	40	8	2217014	26WpOBpHiIMoBuMEIwtOCH
9	spotify:track:3RbXsVQr4jeTxvT35Hssq3	Marília Mendonça	Bebi Liguei - Ao Vivo	Som Livre	2	8	21	2208709	3RbXsVQr4jeTxvT35Hssq3
10	spotify:track:7oEr56KG6odStlQH0nvdyr	Gustavo Mioto	Solteiro Não Trai - Ao Vivo	Gustavo Mioto	8	9	22	2091283	7oEr56KG6odStlQH0nvdyr
11	spotify:track:4eB8rsNNm5791m3uvEBNLR	Zé Neto & Cristiano	Estado Decadente - Acústico	Som Livre	10	10	17	1986011	4eB8rsNNm5791m3uvEBNLR
12	spotify:track:1OUPXna2MCgAt3VNmXJBtg	Tropkillaz, J Balvin, Anitta, Mc Zaac	Bola Rebola	Universal Music Ltda.	1	11	11	1984819	1OUPXna2MCgAt3VNmXJBtg
13	spotify:track:3mNmUjoDHYDYj08IaRPtg0	Lucas Lucco, Wesley Safadão	Posto 24h (feat. Wesley Safadão) - Ao Vivo	Sony Music Entertainment	12	12	29	1889774	3mNmUjoDHYDYj08IaRPtg0
14	spotify:track:5EKHbW7mXcAR4hCyS3YXjb	Felipe Araújo, Ferrugem	Atrasadinha - Live	Universal Music Ltda.	1	14	33	1865468	5EKHbW7mXcAR4hCyS3YXjb
15	spotify:track:2lAyctg5FocS67eksHoyIg	Márcia Fellipe, Jerry Smith	Quem Me Dera	Universal Music Ltda.	4	13	29	1822231	2lAyctg5FocS67eksHoyIg
16	spotify:track:0XEJ7eph2IWFYZc73Jm3n2	Diego & Victor Hugo	Infarto	Sony Music Entertainment	9	16	26	1794799	0XEJ7eph2IWFYZc73Jm3n2
17	spotify:track:1xyVMQx51Kab6eLVtE6twx	Lauana Prado, Maiara & Maraisa	Cobaia	Universal Music Ltda.	15	15	39	1784736	1xyVMQx51Kab6eLVtE6twx
18	spotify:track:2qkNnJvQvhLiZ63X1L3eFz	Zé Neto & Cristiano	Notificação Preferida - Ao Vivo	Som Livre	2	18	47	1704781	2qkNnJvQvhLiZ63X1L3eFz
19	spotify:track:0WhDotK0QXigmsrlw0DxKK	MC Kevin o Chris, Sodré	Evoluiu	ADpar	19	95	3	1648977	0WhDotK0QXigmsrlw0DxKK
20	spotify:track:7FiIQXpIeLo3ITfGGpb8PB	MC Kevin o Chris, FP do Trem Bala	Vamos pra Gaiola	ADPAR Produções	2	17	17	1637833	7FiIQXpIeLo3ITfGGpb8PB
21	spotify:track:0nkDm27DGppCSk8dnGtvPa	POCAH	Não sou obrigada	WM Brazil	21	22	5	1620260	0nkDm27DGppCSk8dnGtvPa
22	spotify:track:0BzRlHCiks2DGlfsEKy54f	TIAGO IORC	Desconstrução	Universal Music Ltda.	22	-1	1	1616443	0BzRlHCiks2DGlfsEKy54f
23	spotify:track:0IQCOAw9ZAI6WnXIrl481F	Mc Livinho, Rennan da Penha	Hoje Eu Vou Parar Na Gaiola	GR6 Music	5	19	26	1543605	0IQCOAw9ZAI6WnXIrl481F
24	spotify:track:7D5F5BzIon5zhzQrOU2pdN	Marília Mendonça	Ciumeira - Ao Vivo	Som Livre	1	23	37	1494438	7D5F5BzIon5zhzQrOU2pdN
25	spotify:track:2VxeLyX666F8uXCJ0dZF8B	Lady Gaga, Bradley Cooper	Shallow	A Star is Born OST	3	26	32	1480280	2VxeLyX666F8uXCJ0dZF8B
26	spotify:track:3L2uyIJoJPjYkSETVNSPBQ	Maiara & Maraisa	Não Abro Mão - Ao Vivo	Som Livre	26	29	14	1462017	3L2uyIJoJPjYkSETVNSPBQ
27	spotify:track:64Z7zO9eYMqznZAw1vXj2i	TIAGO IORC	Hoje Lembrei Do Teu Amor	Universal Music Ltda.	27	-1	1	1459376	64Z7zO9eYMqznZAw1vXj2i
28	spotify:track:1qCLx3nX25NuhfPjM5E1qV	Melim	Ouvi Dizer	Universal Music Ltda.	13	24	42	1455381	1qCLx3nX25NuhfPjM5E1qV
