rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:2MZQAvsA7aZDssppBLRxYp	Israel & Rodolffo	Batom de Cereja - Ao Vivo	Som Livre	1	1	10	8807171	2MZQAvsA7aZDssppBLRxYp
2	spotify:track:2Gjt4rUHBUH0rMKpBg0hF4	Malu, DJ Lucas Beat	Disco Arranhado - Funk Remix	Essaéhit	2	2	6	6735291	2Gjt4rUHBUH0rMKpBg0hF4
3	spotify:track:58pgi1RpcU2fVJsxhm7BIr	Raí Saia Rodada	Tapão Na Raba	Som Livre	1	3	11	5814333	58pgi1RpcU2fVJsxhm7BIr
4	spotify:track:1ere9b9vDw2N3m9d4uiXxa	Diego & Victor Hugo, Bruno & Marrone	Facas - Ao Vivo	Sony Music Entertainment	3	4	26	5390002	1ere9b9vDw2N3m9d4uiXxa
5	spotify:track:7EWXP47VlXKO3r7mNxuWHw	Wesley Safadão, Os Barões Da Pisadinha	Ele É Ele, Eu Sou Eu	Som Livre	1	5	22	5303633	7EWXP47VlXKO3r7mNxuWHw
6	spotify:track:2QLbRVzixE282JSQjBz2DG	Alok, Mc Don Juan, Dj GBR	Liberdade (Quando o Grave Bate Forte)	GR6 Music	6	49	2	4822814	2QLbRVzixE282JSQjBz2DG
7	spotify:track:2SUPbyD77tJuOUbqbxct6l	Os Barões Da Pisadinha, Jorge	Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo	Sony Music Entertainment	7	8	8	4689696	2SUPbyD77tJuOUbqbxct6l
8	spotify:track:2nZj5YymF54qhAu7RneVP6	Hugo & Guilherme	Coração Na Cama - Ao Vivo	Som Livre	5	6	20	4598726	2nZj5YymF54qhAu7RneVP6
9	spotify:track:158ukl5rih76dOEsp0I91H	Jorge & Mateus	Paradigmas	Som Livre	7	7	12	4251830	158ukl5rih76dOEsp0I91H
10	spotify:track:7cgF1aSGBXWlTgNbon3g2p	DJ Ivis, Tarcísio do Acordeon	Esquema Preferido (feat. Tarcísio do Acordeon)	Sony Music Entertainment	1	-1	13	4105403	7cgF1aSGBXWlTgNbon3g2p
11	spotify:track:07AQkmp456NpEnT8HR7WLy	Teto, Matuê	M4	30PRAUM	6	12	17	3851365	07AQkmp456NpEnT8HR7WLy
12	spotify:track:7GLWWrk1YlkPYqJK3ynIA0	Jorge & Mateus	Lance Individual	Som Livre	4	10	22	3603390	7GLWWrk1YlkPYqJK3ynIA0
13	spotify:track:1HoapWs5KcMzs8QYdgg9Kt	Xand Avião, DJ Ivis, Mc Danny	Não Pode Se Apaixonar	Som Livre	13	20	7	3583101	1HoapWs5KcMzs8QYdgg9Kt
