rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:2bPtwnrpFNEe8N7Q85kLHw	Anitta, Lexa, Luísa Sonza, Rebecca	Combatchy (feat. MC Rebecca)	WM Brazil	1	1	3	5658600	2bPtwnrpFNEe8N7Q85kLHw
2	spotify:track:5F8ffc8KWKNawllr5WsW0r	Dadá Boladão, Tati Zaqui, OIK	Surtada - Remix Brega Funk	Sony Music Entertainment	1	2	10	4229833	5F8ffc8KWKNawllr5WsW0r
3	spotify:track:2PWjKmjyTZeDpmOUa3a5da	Jorge & Mateus	Cheirosa - Ao Vivo	Som Livre	3	5	8	3626118	2PWjKmjyTZeDpmOUa3a5da
4	spotify:track:2qD7VoDYcrAPY0cVEfpsR5	Anitta, Marília Mendonça	Some que ele vem atrás	WM Brazil	2	3	6	3601112	2qD7VoDYcrAPY0cVEfpsR5
5	spotify:track:3GmJxfnUDrIs1iCfKUELFz	Marília Mendonça	Supera - Ao Vivo	Som Livre	1	4	16	3598949	3GmJxfnUDrIs1iCfKUELFz
6	spotify:track:3Uq45ipGutypFPmETfaoaH	MC Du Black, DJ 2F	Gaiola É o Troco	EP MIX Editora	1	6	19	3417101	3Uq45ipGutypFPmETfaoaH
7	spotify:track:14kRWkCWBYfQqILflEcpSJ	Lexa, PEDRO SAMPAIO	Chama Ela (feat. Pedro Sampaio)	Som Livre	6	7	10	3139654	14kRWkCWBYfQqILflEcpSJ
8	spotify:track:5dKesZwp6deuhEeW8F1UEi	Felipe Original, MC Kevin o Chris, Sodré, JS o Mão de Ouro	Hit Contagiante	Tudo Nosso Produtora	2	8	19	3114108	5dKesZwp6deuhEeW8F1UEi
9	spotify:track:6QwFUcPc5nhsqZuhXUYtV7	Jorge & Mateus	Tijolão - Ao Vivo	Som Livre	1	10	28	2735094	6QwFUcPc5nhsqZuhXUYtV7
10	spotify:track:72xB2J9ZeBl0Rzxq2XmzdY	João Gustavo e Murilo, Analaga	Lençol Dobrado	WM Brazil	2	9	57	2729465	72xB2J9ZeBl0Rzxq2XmzdY
11	spotify:track:1U3tv41tFRgOfbytpuYQrR	Zé Neto & Cristiano	Ferida Curada	Som Livre	6	11	20	2688985	1U3tv41tFRgOfbytpuYQrR
12	spotify:track:4k20Ie47EcWtS4wMBn8w8S	LUDMILLA, Leo Santana	Invocada (Participação especial de Léo Santana) - Ao vivo	WM Brazil	11	12	19	2630182	4k20Ie47EcWtS4wMBn8w8S
13	spotify:track:4RC2nzqaQygxoVQOVv3XlT	Leo Santana, Anitta	Contatinho - Ao Vivo	Universal Music Ltda.	6	16	13	2570544	4RC2nzqaQygxoVQOVv3XlT
14	spotify:track:159ntSAEWJ9zIMOSXmQ530	Luan Santana	choque térmico - ao vivo	Som Livre	14	29	15	2528225	159ntSAEWJ9zIMOSXmQ530
15	spotify:track:2MOq63fxuFLYQM3CsDcFs1	GIULIA BE	menina solta	WM Brazil	15	19	9	2489339	2MOq63fxuFLYQM3CsDcFs1
16	spotify:track:1uryupl9hqVZYurJwH4G9k	Guilherme & Benuto	3 Batidas - Ao Vivo	Sony Music Entertainment	16	26	15	2487037	1uryupl9hqVZYurJwH4G9k
17	spotify:track:5q0NlM6Pm8Pp3orq7zGiRn	Matheus & Kauan, Jorge & Mateus	Quarta Cadeira - Ao Vivo	Universal Music Ltda.	10	15	37	2485635	5q0NlM6Pm8Pp3orq7zGiRn
18	spotify:track:26WpOBpHiIMoBuMEIwtOCH	Pk, PK Delas	Quando a vontade bater (Participação especial de PK Delas)	WM Brazil	8	17	38	2464238	26WpOBpHiIMoBuMEIwtOCH
19	spotify:track:6V43u5SCjkfMpxMAXRPifr	MC JottaPê, DJ RD, MC M10	Sentou e Gostou	KondZilla	3	18	20	2411021	6V43u5SCjkfMpxMAXRPifr
20	spotify:track:3MkdA6vwF0ifRl86yzTlJW	Matuê	Kenny G	Sony Music Entertainment	7	20	13	2338665	3MkdA6vwF0ifRl86yzTlJW
21	spotify:track:7HLU2aJTAQfSIgJ2dMASsP	Mc Poze do Rodo, Dj Gabriel do Borel	To Voando Alto	Mc Poze do Rodo	21	101	2	2329885	7HLU2aJTAQfSIgJ2dMASsP
22	spotify:track:5gvrBqNFFEWcxYPt3mamvJ	Luan Santana	quando a bad bater - ao vivo	Som Livre	1	14	23	2319697	5gvrBqNFFEWcxYPt3mamvJ
23	spotify:track:2RMOwSvOGQyy985Vx4VSGQ	LUDMILLA, Topo La Maskara, Walshy Fire	Verdinha	WM Brazil	23	-1	1	2308241	2RMOwSvOGQyy985Vx4VSGQ
24	spotify:track:4lKuzrdZrJuCAedbIslF3A	PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro	SENTADÃO	WM Brazil	24	111	2	2261636	4lKuzrdZrJuCAedbIslF3A
25	spotify:track:5MArTXEVyKBwoodjdy04fk	Zé Felipe, Gusttavo Lima	Tiro Certo - Ao Vivo	Som Livre	24	24	25	2238523	5MArTXEVyKBwoodjdy04fk
26	spotify:track:31yFXM26dazFnWI2eoOM5R	MC G15, Mc Livinho	Ela Vem	GR6 Music	21	22	24	2183525	31yFXM26dazFnWI2eoOM5R
27	spotify:track:5fY9bVl1Wj4PIM3wnduWop	Marília Mendonça	Serenata - Ao Vivo	Som Livre	16	21	29	2163774	5fY9bVl1Wj4PIM3wnduWop
28	spotify:track:3J5Pu25BODMex4Jpy4l6FL	Luíza & Maurílio, Zé Neto & Cristiano	S de Saudade	Som Livre	23	23	5	2163636	3J5Pu25BODMex4Jpy4l6FL
29	spotify:track:52vPpP2gEYaBROIS77J38P	Vitão, Anitta	Complicado	Universal Music Ltda.	13	13	9	2100572	52vPpP2gEYaBROIS77J38P
30	spotify:track:7Gk5OrMYaMRtT2JmgJVAfk	ANAVITÓRIA, Vitor Kley	Pupila	Universal Music Ltda.	16	25	22	2028797	7Gk5OrMYaMRtT2JmgJVAfk
31	spotify:track:1rgnBhdG2JDFTbYkYRZAku	Tones And I	Dance Monkey	Elektra (NEK)	31	39	12	2006342	1rgnBhdG2JDFTbYkYRZAku
32	spotify:track:3RbXsVQr4jeTxvT35Hssq3	Marília Mendonça	Bebi Liguei - Ao Vivo	Som Livre	2	32	51	1902781	3RbXsVQr4jeTxvT35Hssq3
33	spotify:track:1owErGXMkNVCgCmCjI1vRL	Gusttavo Lima	Quem Traiu Levou - Ao Vivo	Sony Music Entertainment	16	30	12	1852161	1owErGXMkNVCgCmCjI1vRL
34	spotify:track:4jGzR5Vri06Y5T9SxM7m5P	Xand Avião, Gusttavo Lima	Algo Mais (Amante) - Ao Vivo	Som Livre	14	27	29	1842078	4jGzR5Vri06Y5T9SxM7m5P
35	spotify:track:4E6RdcCWMiHTu7zy1VTNDo	Marília Mendonça	Todo Mundo Vai Sofrer - Ao Vivo	Som Livre	1	33	29	1834866	4E6RdcCWMiHTu7zy1VTNDo
36	spotify:track:1G60NjxeOS7veR1EXuKPaW	Gustavo Mioto	Fake News - Ao Vivo Em São Paulo / 2019	Universal Music Ltda.	20	31	31	1748556	1G60NjxeOS7veR1EXuKPaW
