rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:2JTir3y1VuJQmexiTCMcTP	Os Barões Da Pisadinha	Recairei - Ao Vivo	Sony Music Entertainment	1	1	33	6719221	2JTir3y1VuJQmexiTCMcTP
2	spotify:track:0YqTL3nSL36OFdHwHoqCag	Luísa Sonza, Pabllo Vittar, Anitta	MODO TURBO	Universal Music Ltda.	2	8	2	6678895	0YqTL3nSL36OFdHwHoqCag
3	spotify:track:6sPBi0qLI6KM3yXX56NxsA	Tarcísio do Acordeon	Meia Noite (Você tem meu Whatsapp)	Sua Música	3	4	4	5861680	6sPBi0qLI6KM3yXX56NxsA
4	spotify:track:7qmnP8Woc47dLSrMD5MxL1	Petter Ferraz, Menor Nico	Amor ou o Litrão	k+ produçoes	1	2	6	5427280	7qmnP8Woc47dLSrMD5MxL1
5	spotify:track:3rRin3LyLY92kpEbkCgwf4	Os Barões Da Pisadinha, Xand Avião	Basta Você Me Ligar - Ao Vivo	Sony Music Entertainment	3	3	28	5301451	3rRin3LyLY92kpEbkCgwf4
6	spotify:track:15k1TDabqSEmyXOwMq9RM7	Jonas Esticado	Investe Em Mim	Som Livre	1	6	27	5045633	15k1TDabqSEmyXOwMq9RM7
7	spotify:track:7GLWWrk1YlkPYqJK3ynIA0	Jorge & Mateus	Lance Individual	Som Livre	4	5	7	5042883	7GLWWrk1YlkPYqJK3ynIA0
8	spotify:track:5m5aY6S9ttfIG157xli2Rs	Zé Neto & Cristiano	Alô Ambev (Segue Sua Vida) - Ao Vivo	Som Livre	4	7	18	4719927	5m5aY6S9ttfIG157xli2Rs
9	spotify:track:0WlmiIK5qFQ4dAB4mCA4sI	Os Barões Da Pisadinha, Fernando & Sorocaba	Amor da Despedida	Sony Music Entertainment	9	13	8	4221834	0WlmiIK5qFQ4dAB4mCA4sI
10	spotify:track:1X0MaGErD8rcspqQs9s2m0	Zé Felipe	Só Tem Eu	Som Livre	3	9	12	4121436	1X0MaGErD8rcspqQs9s2m0
11	spotify:track:187Pge0WmJNoS73kaIORSE	Douglas & Vinicius, MC Bruninho	Figurinha - Ao Vivo	Virgin Music Label And Artist Services (S&D)	3	10	24	4019936	187Pge0WmJNoS73kaIORSE
12	spotify:track:1nDCZBI8MaHXI2f36dnQyG	Tierry	Rita	Tierry	8	12	15	4004712	1nDCZBI8MaHXI2f36dnQyG
13	spotify:track:2R1OgezGfBMeiAcMpJ1EkH	Zé Vaqueiro	Letícia	Sony Music Entertainment	13	19	9	3863771	2R1OgezGfBMeiAcMpJ1EkH
14	spotify:track:3dPvQLKl42dMYWV4LWRTLK	Os Barões Da Pisadinha	Tá Rocheda	Sony Music Entertainment	7	18	48	3772920	3dPvQLKl42dMYWV4LWRTLK
15	spotify:track:1uA7fD01YlQr1Rm0oyNB4H	Guilherme & Benuto	Pulei na Piscina - Ao Vivo	Sony Music Entertainment	14	14	19	3722001	1uA7fD01YlQr1Rm0oyNB4H
16	spotify:track:42P3wMiPfXQM93TYZotuPQ	Gusttavo Lima	De Menina pra Mulher - Ao Vivo	Sony Music Entertainment	3	17	15	3648190	42P3wMiPfXQM93TYZotuPQ
17	spotify:track:3vu864xi5Xis9VfOsJpmXu	LUDMILLA	Rainha da Favela	WM Brazil	16	16	7	3563259	3vu864xi5Xis9VfOsJpmXu
18	spotify:track:7EWXP47VlXKO3r7mNxuWHw	Wesley Safadão, Os Barões Da Pisadinha	Ele É Ele, Eu Sou Eu	Som Livre	18	30	7	3442566	7EWXP47VlXKO3r7mNxuWHw
19	spotify:track:7J3QMuDCSv56jRSiD9jFBF	Eric Land, Xand Avião	Cidade Inteira	Eric Land	6	15	25	3405572	7J3QMuDCSv56jRSiD9jFBF
20	spotify:track:2QCwoYDn4DRfjs4NhW2KpO	João Bosco e Gabriel, Humberto & Ronaldo	Alô Ex-Amor - Ao Vivo	João Bosco e Gabriel	14	21	18	3271749	2QCwoYDn4DRfjs4NhW2KpO
21	spotify:track:6WXglvTFRmjlHHhgjYMNif	MC Hariel, Alok, MC Ryan SP, Mc Davi, Salvador Da Rima	Ilusão (Cracolândia)	GR6 Music	2	11	7	3259881	6WXglvTFRmjlHHhgjYMNif
22	spotify:track:4zsiMjB0794HztyqUkD3Zi	Dilsinho, Henrique & Juliano	Sogra - Ao Vivo	Sony Music Entertainment	6	22	30	3172527	4zsiMjB0794HztyqUkD3Zi
