rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
111	spotify:track:37Xnka0c1qea5wagV91UIl	Xand Avião	Casal Raiz - Ao Vivo	Som Livre	29	118	11	673993	37Xnka0c1qea5wagV91UIl
112	spotify:track:7rLegaz7zKB6EtDNzcslKE	MC Kevin o Chris, DENNIS	Medley da Gaiola - DENNIS Remix	Sony Music Entertainment	4	106	43	660428	7rLegaz7zKB6EtDNzcslKE
113	spotify:track:6LsAAHotRLMOHfCsSfYCsz	Shawn Mendes	If I Can't Have You	Island Records	48	127	8	658898	6LsAAHotRLMOHfCsSfYCsz
114	spotify:track:2X8sssaxS5GReg6945B6RW	Wesley Safadão	Só Pra Castigar	Som Livre	4	113	41	656889	2X8sssaxS5GReg6945B6RW
115	spotify:track:11DkUDkBt9kaha1QRnuCMU	Diego & Arnaldo	Regras - Ao Vivo	Sony Music Entertainment	27	108	28	652977	11DkUDkBt9kaha1QRnuCMU
116	spotify:track:3bR8wBqLky6b61ROJlaBEF	ANAVITÓRIA	Ai, Amor	Universal Music Ltda.	32	115	47	652479	3bR8wBqLky6b61ROJlaBEF
117	spotify:track:0pqnGHJpmpxLKifKRmU6WP	Imagine Dragons	Believer	Kid Ina Korner / Interscope	38	124	125	640043	0pqnGHJpmpxLKifKRmU6WP
118	spotify:track:3IdXfXbXcbEe3LP9ClIZw8	Yasmin Santos	Pronta pra Trair	Sony Music Entertainment	42	112	18	639584	3IdXfXbXcbEe3LP9ClIZw8
119	spotify:track:4ABwmZSNZPHqH2cXPhKgfH	Zé Neto & Cristiano	Enchendo e Derramando	Som Livre	101	114	7	634572	4ABwmZSNZPHqH2cXPhKgfH
120	spotify:track:4xwPOyN9VgaTPehdsLiYul	Melim	Dois Corações	Universal Music Ltda.	107	117	11	630661	4xwPOyN9VgaTPehdsLiYul
121	spotify:track:74n5d5M21JnC4WJ6gdkggK	Jorge & Mateus	Propaganda - Ao Vivo	Som Livre	2	109	70	630032	74n5d5M21JnC4WJ6gdkggK
122	spotify:track:7FXjPI4dE1Eian6Exy6VEa	Agnes Nunes, Xamã	Cida	Universal Music Ltda.	122	131	2	628910	7FXjPI4dE1Eian6Exy6VEa
123	spotify:track:3M6QJpWhM9NPcBwxTRKLlH	George Henrique & Rodrigo, Zé Neto & Cristiano	Compartilhando Mágoa	Universal Music Ltda.	43	119	20	619515	3M6QJpWhM9NPcBwxTRKLlH
124	spotify:track:31yFXM26dazFnWI2eoOM5R	MC G15, Mc Livinho	Ela Vem	GR6 Music	124	-1	1	614891	31yFXM26dazFnWI2eoOM5R
125	spotify:track:0GSHXM7PZ75f6ZwpekBq83	Maiara & Maraisa, Jorge & Mateus	Bebo Litro - Ao Vivo	Som Livre	64	123	24	611972	0GSHXM7PZ75f6ZwpekBq83
