rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:1vG3YuKRYqPwTmNmYgqkpg	Henrique & Juliano	Liberdade Provisória - Live - Ibirapuera / 2019	Virgin Music Label And Artist Services (S&D)	1	1	4	6445899	1vG3YuKRYqPwTmNmYgqkpg
2	spotify:track:4lKuzrdZrJuCAedbIslF3A	PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro	SENTADÃO	WM Brazil	2	3	6	5007845	4lKuzrdZrJuCAedbIslF3A
3	spotify:track:2bPtwnrpFNEe8N7Q85kLHw	Anitta, Lexa, Luísa Sonza, Rebecca	Combatchy (feat. MC Rebecca)	WM Brazil	1	2	7	4896894	2bPtwnrpFNEe8N7Q85kLHw
4	spotify:track:2PWjKmjyTZeDpmOUa3a5da	Jorge & Mateus	Cheirosa - Ao Vivo	Som Livre	3	4	12	4527810	2PWjKmjyTZeDpmOUa3a5da
5	spotify:track:3GmJxfnUDrIs1iCfKUELFz	Marília Mendonça	Supera - Ao Vivo	Som Livre	1	5	20	4430973	3GmJxfnUDrIs1iCfKUELFz
6	spotify:track:5F8ffc8KWKNawllr5WsW0r	Dadá Boladão, Tati Zaqui, OIK	Surtada - Remix Brega Funk	Sony Music Entertainment	1	6	14	4414417	5F8ffc8KWKNawllr5WsW0r
7	spotify:track:2Q9TaUXNM4mNSCgJjbmsJe	Zé Neto & Cristiano	Bebi Minha Bicicleta (Coração Falido) - Ao Vivo	Som Livre	7	7	5	3965421	2Q9TaUXNM4mNSCgJjbmsJe
8	spotify:track:3tv697PZNnaQN0Mn2zGhS5	Gusttavo Lima	A Gente Fez Amor - Ao Vivo	Sony Music Entertainment	8	10	4	3808032	3tv697PZNnaQN0Mn2zGhS5
9	spotify:track:2qD7VoDYcrAPY0cVEfpsR5	Anitta, Marília Mendonça	Some que ele vem atrás	WM Brazil	2	8	10	3704327	2qD7VoDYcrAPY0cVEfpsR5
10	spotify:track:1uryupl9hqVZYurJwH4G9k	Guilherme & Benuto	3 Batidas - Ao Vivo	Sony Music Entertainment	9	9	19	3541737	1uryupl9hqVZYurJwH4G9k
11	spotify:track:2RMOwSvOGQyy985Vx4VSGQ	LUDMILLA, Topo La Maskara, Walshy Fire	Verdinha	WM Brazil	9	12	5	3525763	2RMOwSvOGQyy985Vx4VSGQ
12	spotify:track:6QwFUcPc5nhsqZuhXUYtV7	Jorge & Mateus	Tijolão - Ao Vivo	Som Livre	1	11	32	3402426	6QwFUcPc5nhsqZuhXUYtV7
13	spotify:track:5dKesZwp6deuhEeW8F1UEi	Felipe Original, MC Kevin o Chris, Sodré, JS o Mão de Ouro	Hit Contagiante	Tudo Nosso Produtora	2	13	23	3380214	5dKesZwp6deuhEeW8F1UEi
14	spotify:track:3J5Pu25BODMex4Jpy4l6FL	Luíza & Maurílio, Zé Neto & Cristiano	S de Saudade	Som Livre	14	19	9	3350146	3J5Pu25BODMex4Jpy4l6FL
15	spotify:track:3Uq45ipGutypFPmETfaoaH	MC Du Black, DJ 2F	Gaiola É o Troco	EP MIX Editora	1	14	23	3246022	3Uq45ipGutypFPmETfaoaH
16	spotify:track:14kRWkCWBYfQqILflEcpSJ	Lexa, PEDRO SAMPAIO	Chama Ela (feat. Pedro Sampaio)	Som Livre	6	16	14	3095260	14kRWkCWBYfQqILflEcpSJ
17	spotify:track:72xB2J9ZeBl0Rzxq2XmzdY	João Gustavo e Murilo, Analaga	Lençol Dobrado	WM Brazil	2	15	61	3040557	72xB2J9ZeBl0Rzxq2XmzdY
18	spotify:track:4RC2nzqaQygxoVQOVv3XlT	Leo Santana, Anitta	Contatinho - Ao Vivo	Universal Music Ltda.	6	21	17	2995346	4RC2nzqaQygxoVQOVv3XlT
19	spotify:track:6lK3nCiigk34SGqEjpQoqO	Maiara & Maraisa	Aí Eu Bebo - Ao Vivo	Som Livre	19	22	11	2927399	6lK3nCiigk34SGqEjpQoqO
20	spotify:track:1rgnBhdG2JDFTbYkYRZAku	Tones And I	Dance Monkey	Elektra (NEK)	20	27	16	2892434	1rgnBhdG2JDFTbYkYRZAku
21	spotify:track:1U3tv41tFRgOfbytpuYQrR	Zé Neto & Cristiano	Ferida Curada	Som Livre	6	18	24	2851019	1U3tv41tFRgOfbytpuYQrR
22	spotify:track:5MArTXEVyKBwoodjdy04fk	Zé Felipe, Gusttavo Lima	Tiro Certo - Ao Vivo	Som Livre	20	20	29	2777070	5MArTXEVyKBwoodjdy04fk
23	spotify:track:4k20Ie47EcWtS4wMBn8w8S	LUDMILLA, Leo Santana	Invocada (Participação especial de Léo Santana) - Ao vivo	WM Brazil	11	32	23	2700778	4k20Ie47EcWtS4wMBn8w8S
24	spotify:track:7HLU2aJTAQfSIgJ2dMASsP	Mc Poze do Rodo, Dj Gabriel do Borel	To Voando Alto	Mc Poze do Rodo	20	26	6	2663331	7HLU2aJTAQfSIgJ2dMASsP
25	spotify:track:2BU6XXSG8SqiptRuj6EiLA	Gustavo Mioto	Com ou Sem Mim - Ao Vivo	Gustavo Mioto	17	17	6	2636557	2BU6XXSG8SqiptRuj6EiLA
26	spotify:track:6V43u5SCjkfMpxMAXRPifr	MC JottaPê, DJ RD, MC M10	Sentou e Gostou	KondZilla	3	34	24	2626499	6V43u5SCjkfMpxMAXRPifr
27	spotify:track:5q0NlM6Pm8Pp3orq7zGiRn	Matheus & Kauan, Jorge & Mateus	Quarta Cadeira - Ao Vivo	Universal Music Ltda.	10	23	41	2624852	5q0NlM6Pm8Pp3orq7zGiRn
28	spotify:track:3RbXsVQr4jeTxvT35Hssq3	Marília Mendonça	Bebi Liguei - Ao Vivo	Som Livre	2	28	55	2583292	3RbXsVQr4jeTxvT35Hssq3
29	spotify:track:5fY9bVl1Wj4PIM3wnduWop	Marília Mendonça	Serenata - Ao Vivo	Som Livre	16	24	33	2572022	5fY9bVl1Wj4PIM3wnduWop
30	spotify:track:5gvrBqNFFEWcxYPt3mamvJ	Luan Santana	quando a bad bater - ao vivo	Som Livre	1	31	27	2551219	5gvrBqNFFEWcxYPt3mamvJ
31	spotify:track:4E6RdcCWMiHTu7zy1VTNDo	Marília Mendonça	Todo Mundo Vai Sofrer - Ao Vivo	Som Livre	1	30	33	2550734	4E6RdcCWMiHTu7zy1VTNDo
32	spotify:track:2MOq63fxuFLYQM3CsDcFs1	GIULIA BE	menina solta	WM Brazil	15	33	13	2500346	2MOq63fxuFLYQM3CsDcFs1
33	spotify:track:26WpOBpHiIMoBuMEIwtOCH	Pk, PK Delas	Quando a vontade bater (Participação especial de PK Delas)	WM Brazil	8	35	42	2463474	26WpOBpHiIMoBuMEIwtOCH
34	spotify:track:31yFXM26dazFnWI2eoOM5R	MC G15, Mc Livinho	Ela Vem	GR6 Music	21	37	28	2308511	31yFXM26dazFnWI2eoOM5R
35	spotify:track:1MmS7UIy3J1BTxfGCRvVqN	Gusttavo Lima	Carreira Solo - Ao Vivo	Sony Music Entertainment	25	25	9	2295788	1MmS7UIy3J1BTxfGCRvVqN
36	spotify:track:2PqPSf3gtTED79rWGwVtYg	Diego & Victor Hugo	Áudio - Ao Vivo em Brasília	Sony Music Entertainment	36	54	25	2292548	2PqPSf3gtTED79rWGwVtYg
37	spotify:track:0CgMeXQiNYJxPVQ2EMJxdL	Mc Livinho, Mc Pedrinho	Se Prepara 2	GR6 Music	34	40	11	2280670	0CgMeXQiNYJxPVQ2EMJxdL
38	spotify:track:4UUtssVRs2aQTLQCAAtZg1	Jorge & Mateus	Mil Anos - Recorded At Mosh Studios, São Paulo	Som Livre	38	39	3	2240698	4UUtssVRs2aQTLQCAAtZg1
39	spotify:track:159ntSAEWJ9zIMOSXmQ530	Luan Santana	choque térmico - ao vivo	Som Livre	14	36	19	2220969	159ntSAEWJ9zIMOSXmQ530
40	spotify:track:2KyXyTrp3kp1Fsg7B1osYD	Yasmin Santos, Marília Mendonça	Para, Pensa e Volta - Ao Vivo	Sony Music Entertainment	21	38	27	2143252	2KyXyTrp3kp1Fsg7B1osYD
41	spotify:track:6sRLrSetyIwIKhW1eMlUNP	Matheus & Kauan, Marília Mendonça	Vou Ter Que Superar - Ao Vivo	Universal Music Ltda.	2	42	41	2136948	6sRLrSetyIwIKhW1eMlUNP
42	spotify:track:4jGzR5Vri06Y5T9SxM7m5P	Xand Avião, Gusttavo Lima	Algo Mais (Amante) - Ao Vivo	Som Livre	14	44	33	2100709	4jGzR5Vri06Y5T9SxM7m5P
43	spotify:track:17Ryox5vWKp92IDW87C5PI	Gusttavo Lima	Quem Traiu Levou - Ao Vivo	Sony Music Entertainment	16	41	16	2083628	17Ryox5vWKp92IDW87C5PI
