rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:3Uq45ipGutypFPmETfaoaH	MC Du Black, DJ 2F	Gaiola É o Troco	EP MIX Editora	1	4	10	3875647	3Uq45ipGutypFPmETfaoaH
2	spotify:track:5dKesZwp6deuhEeW8F1UEi	Felipe Original, MC Kevin o Chris, Sodré, JS o Mão de Ouro	Hit Contagiante	Tudo Nosso Produtora	2	3	10	3754539	5dKesZwp6deuhEeW8F1UEi
3	spotify:track:3GmJxfnUDrIs1iCfKUELFz	Marília Mendonça	Supera - Ao Vivo	Som Livre	1	1	7	3624522	3GmJxfnUDrIs1iCfKUELFz
4	spotify:track:5gvrBqNFFEWcxYPt3mamvJ	Luan Santana	quando a bad bater - ao vivo	Som Livre	1	2	14	3617779	5gvrBqNFFEWcxYPt3mamvJ
5	spotify:track:6QwFUcPc5nhsqZuhXUYtV7	Jorge & Mateus	Tijolão - Ao Vivo	Som Livre	1	5	19	3266188	6QwFUcPc5nhsqZuhXUYtV7
6	spotify:track:72xB2J9ZeBl0Rzxq2XmzdY	João Gustavo e Murilo, Analaga	Lençol Dobrado	WM Brazil	2	6	48	3070315	72xB2J9ZeBl0Rzxq2XmzdY
7	spotify:track:3MkdA6vwF0ifRl86yzTlJW	Matuê	Kenny G	Sony Music Entertainment	7	7	4	2935271	3MkdA6vwF0ifRl86yzTlJW
8	spotify:track:1U3tv41tFRgOfbytpuYQrR	Zé Neto & Cristiano	Ferida Curada	Som Livre	6	8	11	2870645	1U3tv41tFRgOfbytpuYQrR
9	spotify:track:26WpOBpHiIMoBuMEIwtOCH	Pk, PK Delas	Quando a vontade bater (Participação especial de PK Delas)	WM Brazil	8	10	29	2759553	26WpOBpHiIMoBuMEIwtOCH
10	spotify:track:1nqaSoiLuqevDes4S18sO7	Gusttavo Lima	Milu	Gusttavo Lima	8	11	14	2718988	1nqaSoiLuqevDes4S18sO7
11	spotify:track:5q0NlM6Pm8Pp3orq7zGiRn	Matheus & Kauan, Jorge & Mateus	Quarta Cadeira - Ao Vivo	Universal Music Ltda.	10	13	28	2689550	5q0NlM6Pm8Pp3orq7zGiRn
12	spotify:track:4RC2nzqaQygxoVQOVv3XlT	Leo Santana, Anitta	Contatinho - Ao Vivo	Universal Music Ltda.	12	19	4	2616258	4RC2nzqaQygxoVQOVv3XlT
13	spotify:track:4E6RdcCWMiHTu7zy1VTNDo	Marília Mendonça	Todo Mundo Vai Sofrer - Ao Vivo	Som Livre	1	12	20	2558267	4E6RdcCWMiHTu7zy1VTNDo
14	spotify:track:51Fjme0JiitpyXKuyQiCDo	Y2K, bbno$	Lalala	Columbia	9	9	6	2533409	51Fjme0JiitpyXKuyQiCDo
15	spotify:track:4mkagJJ8AM1hzeyrgAJc3x	MC Doni	Te Amo Sem Compromisso	BMG Rights Management (US) LLC	8	14	7	2467633	4mkagJJ8AM1hzeyrgAJc3x
16	spotify:track:6hqQPoB1yYKcLfByfxO8he	Wesley Safadão, Zé Neto & Cristiano	Na Cama Que Eu Paguei - Ao Vivo	Som Livre	16	29	2	2300090	6hqQPoB1yYKcLfByfxO8he
17	spotify:track:33g4LmRrWddOvMLnynSktj	George Henrique & Rodrigo	Bagunça Minha Vida - Ao Vivo Em Goiânia / 2019	Universal Music Ltda.	17	18	23	2235249	33g4LmRrWddOvMLnynSktj
18	spotify:track:0WhDotK0QXigmsrlw0DxKK	MC Kevin o Chris, Sodré	Evoluiu	ADpar	2	15	24	2187251	0WhDotK0QXigmsrlw0DxKK
19	spotify:track:7Gk5OrMYaMRtT2JmgJVAfk	ANAVITÓRIA, Vitor Kley	Pupila	Universal Music Ltda.	18	22	13	2174770	7Gk5OrMYaMRtT2JmgJVAfk
20	spotify:track:1xyVMQx51Kab6eLVtE6twx	Lauana Prado, Maiara & Maraisa	Cobaia	Universal Music Ltda.	6	17	60	2156840	1xyVMQx51Kab6eLVtE6twx
21	spotify:track:4k20Ie47EcWtS4wMBn8w8S	LUDMILLA, Leo Santana	Invocada (Participação especial de Léo Santana) - Ao vivo	WM Brazil	19	23	10	2124782	4k20Ie47EcWtS4wMBn8w8S
22	spotify:track:6sRLrSetyIwIKhW1eMlUNP	Matheus & Kauan, Marília Mendonça	Vou Ter Que Superar - Ao Vivo	Universal Music Ltda.	2	21	28	2083404	6sRLrSetyIwIKhW1eMlUNP
23	spotify:track:4lEw9Id7kLDSJ6KRdaenM9	Felipe Araújo	Espaçosa Demais - Ao Vivo	Universal Music Ltda.	13	20	52	2071719	4lEw9Id7kLDSJ6KRdaenM9
24	spotify:track:6v3KW9xbzN5yKLt9YKDYA2	Shawn Mendes, Camila Cabello	Señorita	Island Records	2	16	15	2034335	6v3KW9xbzN5yKLt9YKDYA2
25	spotify:track:2KyXyTrp3kp1Fsg7B1osYD	Yasmin Santos, Marília Mendonça	Para, Pensa e Volta - Ao Vivo	Sony Music Entertainment	24	33	14	1965444	2KyXyTrp3kp1Fsg7B1osYD
26	spotify:track:2qiqXQ2Suc253bR7k9AKVD	MC Ysa, DJ 2F, DJ Anderson França, MK no Beat	Baile da Colômbia (Brega Funk) - Remix	STUDIO 22 PRODUÇÕES	26	34	9	1936242	2qiqXQ2Suc253bR7k9AKVD
27	spotify:track:4gDvg62vG96w0qJaF6wzcd	Diego & Victor Hugo, Zé Neto & Cristiano	A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília	Sony Music Entertainment	17	27	28	1929181	4gDvg62vG96w0qJaF6wzcd
28	spotify:track:5fY9bVl1Wj4PIM3wnduWop	Marília Mendonça	Serenata - Ao Vivo	Som Livre	21	25	20	1910850	5fY9bVl1Wj4PIM3wnduWop
29	spotify:track:3RbXsVQr4jeTxvT35Hssq3	Marília Mendonça	Bebi Liguei - Ao Vivo	Som Livre	2	26	42	1908316	3RbXsVQr4jeTxvT35Hssq3
30	spotify:track:2bbFhnxYjeb9jYEX2MDKLQ	MC Kevinho	Uma nora pra cada dia	WM Brazil	5	28	14	1880531	2bbFhnxYjeb9jYEX2MDKLQ
31	spotify:track:4jGzR5Vri06Y5T9SxM7m5P	Xand Avião, Gusttavo Lima	Algo Mais (Amante) - Ao Vivo	Som Livre	14	30	20	1854682	4jGzR5Vri06Y5T9SxM7m5P
32	spotify:track:1owErGXMkNVCgCmCjI1vRL	Gusttavo Lima	Quem Traiu Levou - Ao Vivo	Sony Music Entertainment	24	24	3	1842643	1owErGXMkNVCgCmCjI1vRL
33	spotify:track:159ntSAEWJ9zIMOSXmQ530	Luan Santana	choque térmico - ao vivo	Som Livre	31	31	6	1756431	159ntSAEWJ9zIMOSXmQ530
34	spotify:track:5MMrkwK6AgNAsgHVdC7daZ	Dilsinho	Péssimo Negócio (Ao Vivo)	Sony Music Entertainment	18	35	48	1627836	5MMrkwK6AgNAsgHVdC7daZ
35	spotify:track:6l1PdE7lQbodewVQh16GCM	Projota, Vitão	Sei Lá	Universal Music Ltda.	29	37	23	1616163	6l1PdE7lQbodewVQh16GCM
