rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
111,"spotify:track:6OsMu5ntYteQzcCrZVWA33","Os Barões Da Pisadinha","Agora Eu Pego Mesmo","Sony Music Entertainment",111,160,9,"114398"
112,"spotify:track:3COVZV6VRP4sdXiWTB1XTM","Grupo Menos É Mais, Di Propósito, Vou Zuar","Pot-Pourri: Tempo de Aprender / Energia Surreal / Não Pedi Pra Me Apaixonar / Deixa Acontecer - Ao Vivo","Som Livre",112,136,13,"114028"
113,"spotify:track:7M6D0ACikinC39ZtuEwMPo","Dayvi, Victor Cardenas, Rennan da Penha, Kelly Ruíz","Baila Comigo (feat. Kelly Ruiz) - Rennan da Penha Remix","Sony Music Entertainment",73,106,96,"113658"
114,"spotify:track:0N2cvvlyEw5NFc00E3FB0D","Dj Guuga, Mc Pierre","Cabaré","GR6 Music",98,115,60,"111106"
115,"spotify:track:1qy7aOHnfnOMJoT1fhoLYG","Marília Mendonça, Gaab","Intenção - Ao Vivo","Som Livre",37,124,360,"110332"
116,"spotify:track:5U28PY9MekLyCBYtLHGQpe","Melim","Meu Abrigo","Universal Music Ltda.",1,109,808,"110164"
117,"spotify:track:13Rf6RaZT13TW4xLQR3MQr","Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak, Hunter","Poesia Acústica #6: Era uma Vez","Pineapple StormTV",14,110,593,"109621"
118,"spotify:track:5JsxHA8NttHWThpTCToK1J","Salvador Da Rima, NOG, Mc Kevin, MC Ryan SP, Mc Lele JP","Vergonha pra Midia","RapRJ Music",81,113,62,"109128"
119,"spotify:track:15kdyHRNcHSCTRjvHvmqrs","LUDMILLA, DJ Will22","Cobra Venenosa (feat. DJ Will22)","WM Brazil",37,108,38,"108793"
120,"spotify:track:3Uq45ipGutypFPmETfaoaH","MC Du Black, DJ 2F","Gaiola É o Troco","EP MIX Editora",1,119,378,"107255"
121,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",54,111,347,"106827"
122,"spotify:track:7ju97lgwC2rKQ6wwsf9no9","Lady Gaga, Ariana Grande","Rain On Me (with Ariana Grande)","Interscope",1,104,80,"106619"
123,"spotify:track:36P6ptTyxOggYgR2aoZiAl","Diego & Victor Hugo, Raí Saia Rodada","Pisadinha - Ao Vivo","Sony Music Entertainment",123,141,45,"106052"
124,"spotify:track:7Gk5OrMYaMRtT2JmgJVAfk","ANAVITÓRIA, Vitor Kley","Pupila","Universal Music Ltda.",14,112,402,"105797"
125,"spotify:track:2qD7VoDYcrAPY0cVEfpsR5","Anitta, Marília Mendonça","Some que ele vem atrás","WM Brazil",2,129,285,"104192"
126,"spotify:track:7N0Py2msno86enR6JPNlpV","Turma do Pagode","Muito Cedo","Sony Music Entertainment",100,127,179,"103673"
127,"spotify:track:3MkdA6vwF0ifRl86yzTlJW","Matuê","Kenny G","Sony Music Entertainment",5,120,340,"103615"
128,"spotify:track:6mdU8glNHYdBBj5DuKSL1B","Gusttavo Lima","Perrengue - Ao Vivo","Sony Music Entertainment",15,157,272,"103313"
129,"spotify:track:6YClJMtJDyyJ2iaUf5npyC","MC Kevin o Chris","Pode Jogar","Som Livre",97,114,59,"103142"
130,"spotify:track:1NFRjwcyR91yN0cLRm8263","Wesley Safadão","Vai Lá","Som Livre",101,134,51,"103012"
131,"spotify:track:7MnT7msJZg3XBAS0OTfGrB","Legião Urbana","Tempo Perdido","EMI Brazil",131,164,184,"100828"
132,"spotify:track:14kRWkCWBYfQqILflEcpSJ","Lexa, PEDRO SAMPAIO","Chama Ela (feat. Pedro Sampaio)","Som Livre",5,126,320,"100613"
133,"spotify:track:1xyVMQx51Kab6eLVtE6twx","Lauana Prado, Maiara & Maraisa","Cobaia","Universal Music Ltda.",6,139,723,"100147"
134,"spotify:track:5dKesZwp6deuhEeW8F1UEi","Felipe Original, MC Kevin o Chris, Sodré, JS o Mão de Ouro","Hit Contagiante","Tudo Nosso Produtora",1,130,377,"100070"
135,"spotify:track:09KUam5nfzNEXSSV9zWiT9","Os Barões Da Pisadinha","O Matuto Se Apaixonou","Sony Music Entertainment",135,183,2,"99525"
136,"spotify:track:6mnySl4xEnPy0ZBBWSAHc9","Henrique & Juliano","Não Gosto Eu Amo - Ao Vivo","Virgin Music Label And Artist Services (S&D)",53,150,139,"98643"
137,"spotify:track:3GDnVUfriizmbSEOLieKP8","Marília Mendonça, Maiara & Maraisa","10 de Setembro","Som Livre",74,128,17,"98114"
138,"spotify:track:6mX7ERpt8gb2BjWtqXkz9p","Os Barões Da Pisadinha","Quem me Colocou pra Beber","Sony Music Entertainment",95,185,19,"96957"
139,"spotify:track:5MMrkwK6AgNAsgHVdC7daZ","Dilsinho","Péssimo Negócio (Ao Vivo)","Sony Music Entertainment",14,148,632,"95946"
140,"spotify:track:5J4tK2FbXQEeC0AsfFgwpz","Yasmin Santos","Cuidado Que Eu Te Supero","Sony Music Entertainment",135,145,4,"95316"
141,"spotify:track:4jGzR5Vri06Y5T9SxM7m5P","Xand Avião, Gusttavo Lima","Algo Mais (Amante) - Ao Vivo","Som Livre",10,177,448,"94954"
142,"spotify:track:3H7ihDc1dqLriiWXwsc2po","Topic, A7S","Breaking Me","Virgin",83,118,52,"94884"
143,"spotify:track:5eMmT4Ava5BGThju0AD8vQ","Gusttavo Lima","Cem Mil - Ao Vivo","Som Livre",1,192,492,"94519"
144,"spotify:track:77ZVVjhuCtA1SF8hZYaDAF","Grupo Menos É Mais, Di Propósito, Vou Zuar","Vai Me Dando Corda - Ao Vivo","Som Livre",144,186,4,"94487"
145,"spotify:track:4R2kfaDFhslZEMJqAFNpdd","Taylor Swift","cardigan","Taylor Swift",15,122,17,"93971"
146,"spotify:track:0ZIof6h8kl4LCZFy6VN5Kt","Os Barões Da Pisadinha","Mamãe Que É Mamãe","Sony Music Entertainment",146,-1,1,"93551"
147,"spotify:track:4gryO2XRHDvVgDfAoxZCi4","Mano Walter","Matuto de Verdade","Som Livre",147,163,5,"93438"
148,"spotify:track:1qCLx3nX25NuhfPjM5E1qV","Melim","Ouvi Dizer","Universal Music Ltda.",10,135,751,"92766"
149,"spotify:track:2bPtwnrpFNEe8N7Q85kLHw","Anitta, Lexa, Luísa Sonza, Rebecca","Combatchy (feat. MC Rebecca)","WM Brazil",1,137,264,"92590"
150,"spotify:track:3rDAHk73LZmgJIyGZstWQ0","Pixote","Nem de Graça / Saudade Arregaça - Ao Vivo","GR Shows",51,190,285,"92318"
151,"spotify:track:59WWulo1LM0njpIkcduCMn","Atitude 67","Tão Linda","Universal Music Ltda.",35,143,365,"92123"
152,"spotify:track:4koUrXFuoId1b6wrMF3laS","Mc Dricka","E Nós Tem um Charme Que É da Hora","Novo Império",132,142,24,"91862"
153,"spotify:track:1IGARc5YhGUSomhIk9DRDI","Diego & Arnaldo","Decisão Errada - Ao Vivo","Sony Music Entertainment",99,169,84,"91769"
154,"spotify:track:4DfPhCFm0Cx6VXr5Rxkx6D","Felipe Araújo, Ferrugem","Atrasadinha - Live","Universal Music Ltda.",1,178,579,"91179"
155,"spotify:track:37hCsK2djczyRGWMjqzbxD","Mc Lele JP, MC Neguinho do Kaxeta","Sou Vitorioso","GR6 Music",87,152,187,"90738"
156,"spotify:track:5iHJ6FB4iWVcaY7iDYJrJB","Os Barões Da Pisadinha, Thiago Brava","Casa de Praia - Ao Vivo","Sony Music Entertainment",156,-1,1,"90301"
157,"spotify:track:4nyQshn0cfaRvvnu02Wcqn","Os Barões Da Pisadinha","Bebê Vem Me Procurar","Sony Music Entertainment",157,-1,2,"89811"
158,"spotify:track:1EQ8sBQ7Abv9DvNBzhXAcv","Nando Reis, Ana Cañas","Pra Você Guardei O Amor","Universal Music Ltda.",104,173,643,"89572"
159,"spotify:track:22rcaYTa2UgcLCbeO0NoNj","Priscilla Alcantara, Whindersson Nunes","Girassol","Sony Music Entertainment",5,133,242,"89572"
160,"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Shawn Mendes, Camila Cabello","Señorita","Island Records",2,131,416,"89175"
161,"spotify:track:5JKaHAt4atuNoLqpyDgbyK","Pineapple StormTv, Froid, Xamã, Dk 47, Chris MC, Cynthia Luz, Luccas Carlos, Hunter","Poesia Acústica - Paris","Pineapple StormTV",68,140,143,"88794"
162,"spotify:track:15DHt4fP4FARWLvWkIxdAx","Vou pro Sereno, LUDMILLA","Teu Segredo - Ao Vivo","Sony Music Entertainment",72,184,249,"88302"
163,"spotify:track:7vpGKEUPrA4UEsS4o4W1tP","Pabllo Vittar","Amor de Que","Sony Music Entertainment",10,146,283,"88255"
164,"spotify:track:5SX7xhHFOZswVRx9hXpFFN","Os Barões Da Pisadinha","Investe Em Mim","Sony Music Entertainment",164,-1,1,"88031"
165,"spotify:track:4Z20Nlp53CuArdsy0VbeTb","Bruno & Marrone","Boate Azul - Ao Vivo","RCA Records Label",135,-1,4,"87567"
166,"spotify:track:2zv8VuCCLdcSIefH3BOeuu","Os Barões Da Pisadinha","Já Que Me Ensinou a Beber","Sony Music Entertainment",149,-1,15,"87037"
167,"spotify:track:0v8OKUrqZGoEbgEUXScRSQ","Alok, THRDL!FE","Hear Me Tonight","Columbia/B1 Recordings",55,132,103,"86934"
